theta,skew
0.000000000000000000e+00,-7.642926594335547330e-02
3.272492347489367598e-02,-7.181555815523260611e-02
6.544984694978735196e-02,-6.712494846865341147e-02
9.817477042468103487e-02,-6.236245970595744037e-02
1.308996938995747039e-01,-5.753319165939907442e-02
1.636246173744683730e-01,-5.264231563016241733e-02
1.963495408493620697e-01,-4.769506889080277201e-02
2.290744643242557388e-01,-4.269674907704368305e-02
2.617993877991494078e-01,-3.765270851493590643e-02
2.945243112740431046e-01,-3.256834848945283634e-02
3.272492347489367459e-01,-2.744911346065914692e-02
3.599741582238304427e-01,-2.230048523364641655e-02
3.926990816987241395e-01,-1.712797708847929590e-02
4.254240051736177808e-01,-1.193712787643669282e-02
4.581489286485114776e-01,-6.733496088871582241e-03
4.908738521234051189e-01,-1.522653905038806599e-03
5.235987755982988157e-01,3.691892346186498308e-03
5.563236990731924569e-01,-2.083708410474061079e-03
5.890486225480862092e-01,-7.857077879977580892e-03
6.217735460229798505e-01,-1.362203379368870371e-02
6.544984694978734918e-01,-1.937240289241903834e-02
6.872233929727672441e-01,-2.510202753690615740e-02
7.199483164476608854e-01,-3.080477230156986046e-02
7.526732399225545267e-01,-3.647453054447735710e-02
7.853981633974482790e-01,-4.210523094649054610e-02
8.181230868723419203e-01,-4.769084401258516515e-02
8.508480103472355616e-01,-5.322538852838565315e-02
8.835729338221292029e-01,-5.870293796499959083e-02
9.162978572970229552e-01,-6.411762682529209556e-02
9.490227807719165964e-01,-6.946365692480871434e-02
9.817477042468102377e-01,-7.473530360061542144e-02
1.014472627721703990e+00,-7.992692184141125811e-02
1.047197551196597631e+00,-8.503295233234831052e-02
1.079922474671491273e+00,-9.004792740808464924e-02
1.112647398146384914e+00,-9.496647690769777217e-02
1.145372321621278555e+00,-9.978333392518745626e-02
1.178097245096172418e+00,-1.044933404494097218e-01
1.210822168571066060e+00,-1.090914528874061817e-01
1.243547092045959701e+00,-1.135727474652079572e-01
1.276272015520853342e+00,-1.179324255003366684e-01
1.308996938995746984e+00,-1.221658185403545760e-01
1.341721862470640625e+00,-1.262683933619593857e-01
1.374446785945534488e+00,-1.302357568252737741e-01
1.407171709420428130e+00,-1.340636605781296842e-01
1.439896632895321771e+00,-1.377480056053100865e-01
1.472621556370215412e+00,-1.412848466178767692e-01
1.505346479845109053e+00,-1.446703962778856933e-01
1.538071403320002695e+00,-1.479010292539619797e-01
1.570796326794896558e+00,-1.509732861033963314e-01
1.603521250269790199e+00,-1.538838769766026626e-01
1.636246173744683841e+00,-1.566296851399715528e-01
1.668971097219577482e+00,-1.592077703133468747e-01
1.701696020694471123e+00,-1.616153718185507904e-01
1.734420944169364764e+00,-1.638499115355878111e-01
1.767145867644258406e+00,-1.659089966633597868e-01
1.799870791119152269e+00,-1.677904222819373015e-01
1.832595714594045910e+00,-1.694921737136434459e-01
1.865320638068939552e+00,-1.710124286804212135e-01
1.898045561543833193e+00,-1.723495592551737010e-01
1.930770485018726834e+00,-1.735021336049900054e-01
1.963495408493620475e+00,-1.744689175243873125e-01
1.996220331968514339e+00,-1.750429669673575495e-01
2.028945255443407980e+00,-1.749384565309454187e-01
2.061670178918301399e+00,-1.746466176135492709e-01
2.094395102393195263e+00,-1.741677627235919124e-01
2.127120025868089126e+00,-1.735024046308831780e-01
2.159844949342982545e+00,-1.726512558175345990e-01
2.192569872817876409e+00,-1.716152277150140293e-01
2.225294796292769828e+00,-1.703954297281634611e-01
2.258019719767663691e+00,-1.689931680472199771e-01
2.290744643242557110e+00,-1.674099442491142620e-01
2.323469566717450974e+00,-1.656474536895446437e-01
2.356194490192344837e+00,-1.637075836875480639e-01
2.388919413667238256e+00,-1.615924115045109244e-01
2.421644337142132120e+00,-1.593042021197863534e-01
2.454369260617025539e+00,-1.568454058052965450e-01
2.487094184091919402e+00,-1.542186555017215355e-01
2.519819107566813265e+00,-1.500369820406561305e-01
2.552544031041706685e+00,-1.428986658030482748e-01
2.585268954516600548e+00,-1.356073300948770211e-01
2.617993877991493967e+00,-1.281707826610471446e-01
2.650718801466387831e+00,-1.205969867428156039e-01
2.683443724941281250e+00,-1.128940525505547354e-01
2.716168648416175113e+00,-1.050702285791351165e-01
2.748893571891068976e+00,-9.713389277523060139e-02
2.781618495365962396e+00,-8.909354356600385216e-02
2.814343418840856259e+00,-8.095779075877651554e-02
2.847068342315749678e+00,-7.273534632143333067e-02
2.879793265790643542e+00,-6.443501505342721924e-02
2.912518189265536961e+00,-5.606568515738089009e-02
2.945243112740430824e+00,-4.763631872137565060e-02
2.977968036215324688e+00,-3.915594212212386571e-02
3.010692959690218107e+00,-3.063363635929845785e-02
3.043417883165111970e+00,-2.207852733137043860e-02
3.076142806640005389e+00,-1.349977606336932173e-02
3.108867730114899253e+00,-4.906568897026890308e-03
3.141592653589793116e+00,3.691892346186603259e-03
3.174317577064686535e+00,-1.572247242118261085e-02
3.207042500539580399e+00,-3.512000117127856563e-02
3.239767424014473818e+00,-5.447992254446001187e-02
3.272492347489367681e+00,-7.378150545200781729e-02
3.305217270964261100e+00,-9.300408127549213144e-02
3.337942194439154964e+00,-1.121270659992487234e-01
3.370667117914048827e+00,-1.311299822522565273e-01
3.403392041388942246e+00,-1.499924812358205406e-01
3.436116964863836110e+00,-1.686943645135754455e-01
3.468841888338729529e+00,-1.872156056404759017e-01
3.501566811813623392e+00,-2.055363716076172020e-01
3.534291735288516811e+00,-2.236370440799161086e-01
3.567016658763410675e+00,-2.414982404039173192e-01
3.599741582238304538e+00,-2.564176276171798996e-01
3.632466505713197957e+00,-2.590659842293605575e-01
3.665191429188091821e+00,-2.614369264967330020e-01
3.697916352662985240e+00,-2.635279155549318797e-01
3.730641276137879103e+00,-2.653367123204999900e-01
3.763366199612772522e+00,-2.668613798885554056e-01
3.796091123087666386e+00,-2.681002856068774309e-01
3.828816046562560249e+00,-2.690521028241916746e-01
