interval_index,start,end,signature,guard,root_count,certified_subbox_count,certified_signs,unresolved_subbox_count,status
0,0.0,0.11336618289269351,p0|p0|p2,2e-10,0,1,['negative'],0,passed
1,0.11336618289269351,0.16541353195550346,L|p0|p2,2e-08,3,286,"['negative', 'positive']",0,passed
2,0.16541353195550346,0.35818524364279547,p1|p0|p2,2e-10,0,2,['positive'],0,passed
3,0.35818524364279547,0.4102325927056054,p1|p0|R,2e-08,0,1,['positive'],0,passed
4,0.4102325927056054,1.5707963267948966,p1|p0|p3,2e-10,1,43,"['negative', 'positive']",0,passed
5,1.5707963267948966,1.68416250968759,p2|p0|p3,2e-10,0,1,['negative'],0,passed
6,1.68416250968759,1.7362098587504,p2|L|p3,2e-08,1,8,"['negative', 'positive']",0,passed
7,1.7362098587504,2.0943951023931953,p2|p1|p3,2e-10,1,45,"['negative', 'positive']",0,passed
8,2.0943951023931953,2.9761791216342894,p2|p1|p0,2e-10,1,41,"['negative', 'positive']",0,passed
9,2.9761791216342894,3.0282264706970996,R|p1|p0,2e-08,0,3,['negative'],0,passed
10,3.0282264706970996,3.141592653589793,p3|p1|p0,2e-10,0,1,['positive'],0,passed
11,3.141592653589793,3.7785576120807858,p3|p2|p0,2e-10,1,2,"['negative', 'positive']",0,passed
12,3.7785576120807858,3.830604961143596,p3|p2|L,2e-08,1,9,"['negative', 'positive']",0,passed
13,3.830604961143596,4.546975448429186,p3|p2|p1,2e-10,1,47,"['negative', 'positive']",0,passed
14,4.546975448429186,4.599022797491996,p3|R|p1,2e-08,0,1,['negative'],0,passed
15,4.599022797491996,4.71238898038469,p3|p3|p1,2e-10,0,1,['negative'],0,passed
16,4.71238898038469,5.235987755982989,p0|p3|p1,2e-10,1,40,"['negative', 'positive']",0,passed
17,5.235987755982989,6.283185307179586,p0|p3|p2,2e-10,1,47,"['negative', 'positive']",0,passed
