interval_index,signature,kind,root_center,uniqueness_box,second_derivative_interval,interval_newton_unique,scale_evaluation_box,scale_interval,scale_lower_minus_s270_upper
1,L|p0|p2,smooth_minimum,0.12408080655017882,"[0.12406080655017881, 0.12410080655017883]","[0.33044125396593027, 0.3342203443987719]",True,"[0.12408080645017883, 0.12408080665017882]","[0.998914385794244, 0.9989143861791628]",4.6700730615967245e-08
1,L|p0|p2,smooth_maximum,0.1393895742880965,"[0.13936957428809651, 0.1394095742880965]","[-0.12842301654813015, -0.12833424338153254]",True,"[0.1393895741880965, 0.13938957438809652]","[0.9989225366981463, 0.9989225370679453]",8.197604632997901e-06
1,L|p0|p2,smooth_minimum,0.15469912702833447,"[0.15467912702833447, 0.15471912702833446]","[0.33045546099014955, 0.3342464110168606]",True,"[0.15469912692833446, 0.15469912712833447]","[0.998914384668595, 0.9989143850789992]",4.5575081597526435e-08
4,p1|p0|p3,smooth_maximum,0.9948291211775703,"[0.9948291011775703, 0.9948291411775703]","[-1.2478794743402664, -1.2478794231593477]",True,"[0.9948291210775703, 0.9948291212775703]","[1.2478794485996478, 1.2478794488999667]",0.24896510950613449
6,p2|L|p3,smooth_minimum,1.7361802255077736,"[1.7361602255077737, 1.7362002255077735]","[130.85664286752677, 677.9911493104169]",True,"[1.7361802254077736, 1.7361802256077736]","[1.0293519814842886, 1.0293519962365918]",0.030437642390775288
7,p2|p1|p3,smooth_maximum,1.8325957176545418,"[1.8325956976545417, 1.8325957376545419]","[-1.0341522626755784, -1.0341521820693516]",True,"[1.8325957175545418, 1.8325957177545418]","[1.0341522221505357, 1.0341522225943942]",0.03523788305702236
8,p2|p1|p0,smooth_maximum,2.644378233756333,"[2.644378213756333, 2.644378253756333]","[-1.1717012265247806, -1.1717011838545988]",True,"[2.644378233656333, 2.644378233856333]","[1.1717012050710367, 1.1717012053083433]",0.17278686597752335
11,p3|p2|p0,smooth_maximum,3.480731208100489,"[3.480731188100489, 3.4807312281004887]","[-1.1795233484959433, -1.1795233188588843]",True,"[3.480731208000489, 3.480731208200489]","[1.1795233335867703, 1.1795233337680577]",0.18060899449325696
12,p3|p2|L,smooth_minimum,3.778956292755884,"[3.778936292755884, 3.778976292755884]","[30.36511802874649, 33.666844198950876]",True,"[3.778956292655884, 3.778956292855884]","[1.1275915287934657, 1.1275915305970148]",0.12867718969995234
13,p3|p2|p1,smooth_maximum,4.092020570314876,"[4.092020550314876, 4.092020590314876]","[-1.1691243008058207, -1.1691242261360433]",True,"[4.092020570214876, 4.092020570414876]","[1.1691242632601146, 1.1691242636817498]",0.1702099241666013
16,p0|p3|p1,smooth_maximum,5.121148360205284,"[5.121148340205284, 5.121148380205284]","[-1.0885989730032486, -1.0885989396963285]",True,"[5.121148360105284, 5.121148360305284]","[1.0885989562521368, 1.0885989564474408]",0.08968461715862341
17,p0|p3|p2,smooth_maximum,5.717277034815458,"[5.717277014815458, 5.717277054815458]","[-1.2200248641847142, -1.2200247934828603]",True,"[5.717277034715458, 5.717277034915458]","[1.22002482864211, 1.2200248290254652]",0.2211104895485967
