trial,scale,parameter_distance
0,0.99891434329724405,1.3400000000000001e-07
1,0.99891434329724105,5.6599999999999997e-08
2,0.99891434329723972,2.2100000000000001e-07
3,0.99891434329725071,7.2300000000000006e-08
4,0.99891434329724615,1.8199999999999999e-07
5,0.99891434329721274,9.0499999999999996e-08
6,0.99891434329724782,1.11e-07
7,0.99891434329725226,6.2600000000000005e-08
8,0.99891434329722895,1.8199999999999999e-07
9,0.99891434329724837,2.4600000000000001e-07
10,0.99891434329725048,3.5600000000000001e-08
11,0.99891434329724538,3.9000000000000002e-07
12,0.9989143432972496,1.17e-07
13,0.99891434329725071,2.2600000000000001e-07
14,0.99891434329725137,1.79e-07
15,0.99891434329724249,1.48e-07
16,0.99891434329724904,9.7199999999999997e-08
17,0.99891434329724482,1.6400000000000001e-07
18,0.99891434329724693,1.06e-07
19,0.99891434329725015,8.5100000000000001e-08
