multiplier,coefficient_norm,full_global_scale,gain_over_base,full_global_phase,full_local_minimum_count,four_branch_scale
1.8,0.07200000000000001,0.9989144244311381,8.118865468809133e-08,2.0943951023931953,8,0.9989144244311191
2.0,0.08,0.9989144327394842,8.949700081029022e-08,4.71238898038469,8,0.9989144327394801
2.2,0.08800000000000001,0.9989144409118345,9.766935105126606e-08,4.71238898038469,9,0.998914440911836
2.5,0.1,0.9989144529173303,1.0967484687096629e-07,2.0943951023931953,9,0.9989144529173282
2.8,0.11199999999999999,0.9989144646170178,1.2137453442306878e-07,4.71238898038469,9,0.998914464617016
3.0,0.12000000000000001,0.9989144722198322,1.289773488011292e-07,4.71238898038469,9,0.9989144722198169
3.2,0.128,0.9989144797088045,1.3646632113228918e-07,2.0943951023931953,9,0.9989144797088022
3.21,0.12840000000000001,0.9989144800793904,1.368369070275932e-07,4.71238898038469,9,0.9989144800793727
3.22,0.12880000000000003,0.9989144804490765,1.3720659308713579e-07,2.0943951023931953,9,0.9989144804490547
3.2235,0.12894,0.9989143777915888,3.454910535438671e-08,0.13842480985290007,,0.998914480541263
3.224,0.12896000000000002,0.998914445052358,1.018098746419227e-07,0.13842002250969587,,0.9989144805877717
3.2244,0.128976,0.9989144768636122,1.3362112882830957e-07,0.13841962216130524,,0.9989144806113717
3.2245,0.12898,0.9989144791019711,1.358594876599284e-07,0.13842027995727038,,0.9989144806154205
3.2246,0.128984,0.9989144806187404,1.373762570366921e-07,2.0943951023931953,,0.998914480618743
3.225,0.129,0.9989144806330954,1.373906119983559e-07,4.71238898038469,,0.9989144806330859
3.2255,0.12902,0.9989144806501955,1.3740771209747038e-07,4.71238898038469,,0.9989144806501649
3.2257,0.129028,0.9989144806566214,1.374141379573146e-07,4.71238898038469,,0.9989144806566055
3.226,0.12904000000000002,0.9989144806667047,1.3742422133589116e-07,4.71238898038469,,0.9989144806666832
3.2263,0.12905200000000003,0.9989144806763782,1.3743389482012702e-07,2.0943951023931953,,0.9989144806763632
3.2266,0.129064,0.9989144806862029,1.3744371951673884e-07,4.71238898038469,,0.9989144806861994
3.227,0.12908,0.9989144806996735,1.3745719007474122e-07,2.0943951023931953,,0.9989144806996526
3.2275,0.1291,0.9989144807169712,1.374744877935541e-07,4.71238898038469,,0.9989144807169577
3.228,0.12912,0.9989144708324701,1.275899866870489e-07,0.13842173905600003,,0.9989144807446726
3.2285,0.12914,0.9989144715580969,1.2831561346793308e-07,0.13842241339464048,,0.998914480762725
3.229,0.12916,0.998914472279891,1.2903740764791394e-07,0.13842298411084597,,0.998914480780531
3.23,0.1292,0.9989144667490105,1.2350652711656807e-07,0.13842262655193757,9,0.9989144808183933
3.24,0.12960000000000002,0.9989144406886434,9.74461600300458e-08,0.1384261067049082,9,0.9989144811874552
3.25,0.13,0.9989144168731945,7.363071108379415e-08,0.13842922028987445,9,0.9989144815567403
3.27,0.1308,0.998914364544452,2.1301968633480328e-08,0.13843576133917365,9,0.9989144822932917
3.3,0.132,0.9989142863373122,-5.6905171241794505e-08,0.1384441210476708,9,0.9989144833810076
3.33,0.1332,0.998914209476868,-1.3376561536215803e-07,0.13845412578896138,9,0.9989144844952167
3.4,0.136,0.9989140218743887,-3.213680946911879e-07,0.1384731258298237,9,0.9989144870475063
3.6,0.14400000000000002,0.9989135900939894,-7.531484940148658e-07,0.1385174970573369,9,0.9989144942394458
3.8,0.152,0.9989130972884959,-1.2459539875386838e-06,0.1385587179728707,9,0.9989145013051403
4.0,0.16,0.9989125609441144,-1.7822983690019e-06,0.13858984561789617,9,0.998914508243707
4.3,0.172,0.9989118985908905,-2.4446515929366086e-06,0.1386270555404058,9,0.9989145183708417
4.6,0.184,0.9989111323567208,-3.210885762605642e-06,0.13866182979465516,9,0.9989145282073111
5.0,0.2,0.9989102350421349,-4.1082003484627094e-06,0.13869484222303466,9,0.9989145408276725
