phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
0.000000000000000000e+00,9.512368749726554107e-01,1.666666666666666574e-01,1.666666666666666852e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.745329251994329547e-02,9.570955740078144203e-01,1.695500169322791129e-01,1.695500169322791406e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988659095e-02,9.626627324595375956e-01,1.723817206202661045e-01,1.723817206202661323e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.235987755982988989e-02,9.679366545174302727e-01,1.751609151662529285e-01,1.751609151662529562e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
6.981317007977318190e-02,9.729157336937441780e-01,1.778867540006582315e-01,1.778867540006582593e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
8.726646259971647390e-02,9.775984533127284326e-01,1.805584068065672620e-01,1.805584068065672898e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.047197551196597798e-01,9.819833869726248832e-01,1.831750597726544416e-01,1.831750597726544694e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.221730476396030718e-01,9.860691989801626534e-01,1.857359158410782363e-01,1.857359158410782640e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.396263401595463638e-01,9.898546447574246843e-01,1.882401949502726102e-01,1.882401949502726657e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.570796326794896558e-01,9.933385712209558127e-01,1.906871342725614260e-01,1.906871342725614538e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.745329251994329478e-01,9.965199171330063610e-01,1.930759884465230447e-01,1.930759884465230725e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.919862177193762398e-01,9.993977134247931104e-01,1.954060298040347921e-01,1.954060298040348198e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.094395102393195596e-01,1.001971083491687731e+00,1.976765485919274867e-01,1.976765485919275145e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.268928027592628516e-01,1.004239243460238740e+00,1.998868531881833610e-01,1.998868531881833888e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.443460952792061436e-01,1.006201502426947725e+00,2.020362703126106774e-01,2.020362703126107051e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.617993877991494078e-01,1.007857262668724774e+00,2.041241452319314809e-01,2.041241452319315364e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.792526803190927276e-01,1.009206019824960388e+00,2.061498419592196762e-01,2.061498419592197040e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.967059728390360474e-01,1.010247363051159031e+00,2.081127434476286453e-01,2.081127434476287286e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.141592653589793116e-01,1.010980975144086136e+00,2.100122517783501175e-01,2.100122517783501730e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.316125578789226314e-01,1.011406632638392145e+00,2.118477883427455633e-01,2.118477883427456188e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
3.490658503988658956e-01,1.011524205874680282e+00,2.136187940185961531e-01,2.136187940185962086e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
3.665191429188092154e-01,1.011333659039003852e+00,2.153247293404169649e-01,2.153247293404170204e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.839724354387524796e-01,1.010835050173775063e+00,2.169650746637832028e-01,2.169650746637832583e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.014257279586957994e-01,1.010028531160084508e+00,2.185393303236189966e-01,2.185393303236190521e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.188790204786391191e-01,1.008914347671436174e+00,2.200470167864001236e-01,2.200470167864001791e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.363323129985823834e-01,1.007492839098914850e+00,2.214876747962248593e-01,2.214876747962249148e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
4.537856055185257032e-01,1.005764438447801279e+00,2.228608655147073514e-01,2.228608655147074069e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.712388980384689674e-01,1.003729672205677659e+00,2.241661706546524135e-01,2.241661706546524413e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.886921905584122872e-01,1.001389160182052596e+00,2.254031926074695769e-01,2.254031926074696046e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.061454830783556069e-01,9.987436153195615729e-01,2.265715545642887907e-01,2.265715545642887907e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.235987755982988157e-01,1.001503517922048836e+00,2.276709006307397476e-01,2.276709006307397476e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.410520681182421354e-01,1.010429296689402623e+00,2.287008959353610260e-01,2.287008959353610815e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.585053606381854552e-01,1.019047288904736837e+00,2.296612267316051059e-01,2.296612267316051337e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.759586531581287749e-01,1.027354869444137453e+00,2.305516004934084762e-01,2.305516004934085039e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.934119456780720947e-01,1.035349507738095420e+00,2.313717460042980512e-01,2.313717460042980789e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.108652381980153034e-01,1.043028768542340723e+00,2.321214134400062801e-01,2.321214134400063078e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.283185307179586232e-01,1.050390312679641225e+00,2.328003744445700518e-01,2.328003744445700796e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.457718232379019430e-01,1.057431897752340033e+00,2.334084221998901365e-01,2.334084221998901643e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.632251157578452627e-01,1.064151378825410665e+00,2.339453714887299862e-01,2.339453714887300140e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.806784082777884715e-01,1.070546709079825298e+00,2.344110587511346599e-01,2.344110587511347155e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.981317007977317912e-01,1.076615940436035368e+00,2.348053421342528591e-01,2.348053421342528591e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.155849933176751110e-01,1.082357224147375785e+00,2.351281015355465298e-01,2.351281015355465298e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.330382858376184307e-01,1.087768811363211130e+00,2.353792386393753766e-01,2.353792386393754044e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.504915783575617505e-01,1.092849053661651970e+00,2.355586769469447950e-01,2.355586769469448227e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
7.679448708775049592e-01,1.097596403551680977e+00,2.356663617996080373e-01,2.356663617996080651e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
7.853981633974482790e-01,1.102009414944533194e+00,2.357022603955158113e-01,2.357022603955158391e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
