phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
0.000000000000000000e+00,9.366108922830929107e-01,2.115421780246949934e-01,2.122278975753274510e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.745329251994329547e-02,9.414297199750475409e-01,2.141290031126101834e-01,2.132684503218370831e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
3.490658503988659095e-02,9.460731772117201288e-01,2.166506024318630430e-01,2.143519842965362909e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.235987755982988989e-02,9.505760435105264916e-01,2.191062078788736378e-01,2.154440822957213453e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
6.981317007977318190e-02,9.550986222550101878e-01,2.214950714524348552e-01,2.164705539403854462e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.726646259971647390e-02,9.594768433110626438e-01,2.238164654815607280e-01,2.175731174142132573e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.047197551196597798e-01,9.637465829215895452e-01,2.260696828471420727e-01,2.186491757844600536e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.221730476396030718e-01,9.679606570246656050e-01,2.282540371973420523e-01,2.196586314976607945e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.396263401595463638e-01,9.720616304161247001e-01,2.303688631566651879e-01,2.207772923924370967e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.570796326794896558e-01,9.760864793246895044e-01,2.324135165286375371e-01,2.218343837952768127e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.745329251994329478e-01,9.800098510397564633e-01,2.343873744920348945e-01,2.228523093122717624e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
1.919862177193762398e-01,9.837930020168648149e-01,2.362898357906005609e-01,2.239557443915257962e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.094395102393195596e-01,9.875619588694894979e-01,2.381203209161933954e-01,2.249909603815301584e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.268928027592628516e-01,9.911897512204989047e-01,2.398782722853117777e-01,2.260201370841278812e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
2.443460952792061436e-01,9.946387413621294860e-01,2.415631544089390514e-01,2.270997728716556696e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,1.110223024625156540e-16
2.617993877991494078e-01,9.981415976181601257e-01,2.431744540556585454e-01,2.281102318684018471e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.792526803190927276e-01,1.001463873236451141e+00,2.447116804079888519e-01,2.291477888704014643e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.967059728390360474e-01,1.004616620877608169e+00,2.461743652118915937e-01,2.302007654403143144e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.141592653589793116e-01,1.007796407675893402e+00,2.475620629194061617e-01,2.311836206270691529e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.316125578789226314e-01,1.010804059203321836e+00,2.488743508243679847e-01,2.322267240537389810e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988658956e-01,1.013675530591300333e+00,2.501108291911686710e-01,2.332502214582145295e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.665191429188092154e-01,1.016499916644597601e+00,2.512711213765197460e-01,2.342026685856882784e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.839724354387524796e-01,1.019184691696183975e+00,2.523548739441815458e-01,2.352485293411125111e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.014257279586957994e-01,1.021766924896298834e+00,2.533617567726233477e-01,2.362397753389668675e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.188790204786391191e-01,1.024245829671694752e+00,2.542914631555817651e-01,2.371761046361179626e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.363323129985823834e-01,1.026582763965235179e+00,2.551437098954862925e-01,2.382049418237942862e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.537856055185257032e-01,1.028868681255773909e+00,2.559182373897240792e-01,2.391612194786479906e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
4.712388980384689674e-01,1.031012915747989478e+00,2.566148097097172842e-01,2.400957787968250323e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.886921905584122872e-01,1.032977942996086140e+00,2.572332146727894231e-01,2.410878716252045639e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.061454830783556069e-01,1.034961370267851066e+00,2.577732639067981113e-01,2.420065267524163510e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.235987755982988157e-01,1.036765065900389082e+00,2.582347929075151094e-01,2.429366845514171480e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.410520681182421354e-01,1.038376415812594544e+00,2.586176610887358507e-01,2.438894240745570763e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.585053606381854552e-01,1.040028308919865863e+00,2.589217518251034633e-01,2.447678725165139402e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.759586531581287749e-01,1.041486523119973917e+00,2.591469724876338532e-01,2.456910693015748326e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.934119456780720947e-01,1.042787146873817017e+00,2.592932544719313559e-01,2.466019213455255543e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
6.108652381980153034e-01,1.044055606315163809e+00,2.593605532190865759e-01,2.474376560553479820e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.283185307179586232e-01,1.045164336061069621e+00,2.593488482292491959e-01,2.483514113926479083e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
6.457718232379019430e-01,1.046150546829143657e+00,2.592581430678724264e-01,2.492179235006206917e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.632251157578452627e-01,1.047038064912668487e+00,2.590884653646271518e-01,2.500142028249107695e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.806784082777884715e-01,1.047788394540093870e+00,2.588398668049854967e-01,2.509104407296891548e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.981317007977317912e-01,1.048457458710117640e+00,2.585124231144769746e-01,2.517302488835971852e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.155849933176751110e-01,1.048990937077191266e+00,2.581062340356217177e-01,2.525131473407912219e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
