phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
0.000000000000000000e+00,1.509489740307737859e+00,2.456903737101751584e-01,3.058477723948750948e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.745329251994329547e-02,1.500399874992261573e+00,2.403151742444579186e-01,3.100890785574504926e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988659095e-02,1.490852973340162757e+00,2.348667724486804276e-01,3.142359285827968640e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.235987755982988989e-02,1.480851943430167461e+00,2.293468279588095904e-01,3.182870593002251614e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.981317007977318190e-02,1.470399831672868807e+00,2.237570222034098444e-01,3.222412366960746288e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.726646259971647390e-02,1.459499821882759063e+00,2.180990578914640265e-01,3.260972562896055083e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.047197551196597798e-01,1.448155234308411865e+00,2.123746584937114268e-01,3.298539434998955522e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.221730476396030718e-01,1.436369524621099680e+00,2.065855677176621774e-01,3.335101540036286005e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.396263401595463638e-01,1.424146282862163826e+00,2.007335489764467962e-01,3.370647740836667516e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.570796326794896558e-01,1.411489232349453005e+00,1.948203848516635861e-01,3.405167209682992135e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.745329251994329478e-01,1.398402228543165426e+00,1.888478765503871226e-01,3.438649431610651952e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.919862177193762398e-01,1.384889257871437129e+00,1.828178433565029459e-01,3.471084207610498074e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.094395102393195596e-01,1.370954436516037767e+00,1.767321220765362133e-01,3.502461657735558842e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.268928027592628516e-01,1.356602009158541566e+00,1.705925664801424269e-01,3.532772224110564685e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.443460952792061436e-01,1.341836347687357378e+00,1.644010467354314609e-01,3.562006673843373661e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
