phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
0.000000000000000000e+00,1.821719356514230226e+00,5.000000000000000000e-01,-0.000000000000000000e+00,3.000000000000000000e+00,2.196268309380391961e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.745329251994329547e-02,1.839452630888447127e+00,4.999238475781956348e-01,8.726203218641847767e-03,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988659095e-02,1.856625590172117590e+00,4.996954135095478811e-01,1.744974835125057480e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.235987755982988989e-02,1.873233003315485590e+00,4.993147673772869166e-01,2.616797812147200752e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.981317007977318190e-02,1.889269811539628252e+00,4.987820251299120988e-01,3.487823687206274142e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
8.726646259971647390e-02,1.904731129877408113e+00,4.980973490458727726e-01,4.357787137382917314e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.047197551196597798e-01,1.919612248661482612e+00,4.972609476841366449e-01,5.226423163382682563e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.221730476396030718e-01,1.933908634958913408e+00,4.962730758206609916e-01,6.093467170257382826e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.396263401595463638e-01,1.947615933951942324e+00,4.951340343707851810e-01,6.958655048003281607e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.570796326794896558e-01,1.960729970264510014e+00,4.938441702975688852e-01,7.821723252011553162e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.745329251994329478e-01,1.973246749234117470e+00,4.924038765061040102e-01,8.682408883346526274e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.919862177193762398e-01,1.985162458128637786e+00,4.908135917238319879e-01,9.540449768827248545e-02,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.094395102393195596e-01,1.996473467307711802e+00,4.890738003669028444e-01,1.039558454088797546e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.268928027592628516e-01,2.007176331328370367e+00,4.871850323926176229e-01,1.124755271719325850e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.443460952792061436e-01,2.017267789994553251e+00,4.851478631379982365e-01,1.209609477998339483e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.617993877991494078e-01,2.026744769350191877e+00,4.829629131445341561e-01,1.294095225512604530e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.792526803190927276e-01,2.035604382615568753e+00,4.806308479691594471e-01,1.378186779084996649e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.967059728390360474e-01,2.043843931066658737e+00,4.781523779815177178e-01,1.461858523613684679e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.141592653589793116e-01,2.051460904857184797e+00,4.755282581475767656e-01,1.545084971874737811e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.316125578789226314e-01,2.058452983783143786e+00,4.727592877996584231e-01,1.627840772285784332e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988658956e-01,2.064818037989560207e+00,4.698463103929542140e-01,1.710100716628344397e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
3.665191429188092154e-01,2.070554128619263246e+00,4.667902132486008715e-01,1.791839747726502174e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.839724354387524796e-01,2.075659508403481457e+00,4.635919272833937121e-01,1.873032967079560906e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.014257279586957994e-01,2.080132622194074354e+00,4.602524267262201874e-01,1.953655642446369689e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
4.188790204786391191e-01,2.083972107437249477e+00,4.567727288213004333e-01,2.033683215379001874e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.363323129985823834e-01,2.087176794588608608e+00,4.531538935183249683e-01,2.113091308703498039e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.537856055185257032e-01,2.089745707469400582e+00,4.493970231495835188e-01,2.191855733945387852e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
4.712388980384689674e-01,2.091678063563875423e+00,4.455032620941838939e-01,2.269952498697734578e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
4.886921905584122872e-01,2.092973274257648786e+00,4.414737964294634387e-01,2.347357813929454862e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.061454830783556069e-01,2.093630945016995426e+00,4.373098535696978151e-01,2.424048101231686125e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.235987755982988157e-01,2.093650875509032172e+00,4.330127018922192983e-01,2.500000000000000555e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.410520681182421354e-01,2.093033059662737116e+00,4.285836503510561113e-01,2.575190374550271333e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.585053606381854552e-01,2.091777685670802356e+00,4.240240480782129229e-01,2.649596321166025059e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.759586531581287749e-01,2.089885135932306515e+00,4.193352839727119696e-01,2.723195175075135976e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
5.934119456780720947e-01,2.087355986936234142e+00,4.145187862775207566e-01,2.795964517353735079e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.108652381980153034e-01,2.084191009085869073e+00,4.095760221444958438e-01,2.867882181755230797e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.283185307179586232e-01,2.080391166464125252e+00,4.045084971874736701e-01,2.938926261462366241e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
6.457718232379019430e-01,2.075957616539874095e+00,3.993177550236463591e-01,3.009075115760241892e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
6.632251157578452627e-01,2.070891709815372739e+00,3.940053768033608961e-01,3.078307376628292014e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.806784082777884715e-01,2.065194989414882887e+00,3.885729807284853954e-01,3.146601955249187510e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
6.981317007977317912e-01,2.058869190614623701e+00,3.830222215594889512e-01,3.213938048432696815e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.155849933176751110e-01,2.051916240314190176e+00,3.773547901113859515e-01,3.280295144952536934e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.330382858376184307e-01,2.044338256449597768e+00,3.715724127386970665e-01,3.345653031794291743e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.504915783575617505e-01,2.036137547348141119e+00,3.656768508095851744e-01,3.409991800312492938e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.679448708775049592e-01,2.027316611025255622e+00,3.596699001693255404e-01,3.473291852294986826e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
7.853981633974482790e-01,2.017878134423594538e+00,3.535533905932737309e-01,3.535533905932737864e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.028514559173915988e-01,2.007824992594562818e+00,3.473291852294985715e-01,3.596699001693255959e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,4.440892098500626162e-16
8.203047484373349185e-01,1.997160247822550305e+00,3.409991800312491828e-01,3.656768508095852854e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
8.377580409572782383e-01,1.985887148692125015e+00,3.345653031794290633e-01,3.715724127386971776e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.552113334772214470e-01,1.974009129098487580e+00,3.280295144952535824e-01,3.773547901113860625e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.726646259971647668e-01,1.961529807201470410e+00,3.213938048432696259e-01,3.830222215594890622e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.901179185171080865e-01,1.948452984323414183e+00,3.146601955249186955e-01,3.885729807284855064e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
9.075712110370514063e-01,1.934782643791245205e+00,3.078307376628290903e-01,3.940053768033610626e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
9.250245035569946150e-01,1.920522949723116657e+00,3.009075115760241337e-01,3.993177550236464701e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
9.424777960769379348e-01,1.905678245759979017e+00,2.938926261462365130e-01,4.045084971874737811e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
9.599310885968812546e-01,1.890253053742463329e+00,2.867882181755230242e-01,4.095760221444959548e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
