phase,scale,tx,ty,contact_cluster_count,dual_eq_residual,dual_norm_residual,duality_gap
0.000000000000000000e+00,9.949671916057379883e-01,2.005443208497717511e-01,3.183240901532667366e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.745329251994329547e-02,1.005043310492615305e+00,2.060692983784813970e-01,3.217755888486582561e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.490658503988659095e-02,1.014991710777457756e+00,2.115315052026668363e-01,3.251290715825763677e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
5.235987755982988989e-02,1.024880730336586776e+00,2.169292774812158209e-01,3.283835168516943126e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
6.981317007977318190e-02,1.034588408677737048e+00,2.222609710004029571e-01,3.315379333204567236e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
8.726646259971647390e-02,1.044278314347109049e+00,2.275249616747329895e-01,3.345913601230496859e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.047197551196597798e-01,1.053733389538026755e+00,2.327196460416530721e-01,3.375428671560898319e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.221730476396030718e-01,1.063212436293097696e+00,2.378434417499830644e-01,3.403915553619430434e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
1.396263401595463638e-01,1.072415199375154060e+00,2.428947880419148886e-01,3.431365570025859957e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.570796326794896558e-01,1.081660030750858592e+00,2.478721462284344812e-01,3.457770359239274449e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.745329251994329478e-01,1.090634854368153661e+00,2.527740001580214835e-01,3.483121878105091551e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
1.919862177193762398e-01,1.099598621205738036e+00,2.575988566784835898e-01,3.507412404305078613e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.094395102393195596e-01,1.108334496811431480e+00,2.623452460917853335e-01,3.530634538709647163e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.268928027592628516e-01,1.117006347436301672e+00,2.670117226017320045e-01,3.552781207631700022e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.443460952792061436e-01,1.125492584552630460e+00,2.715968647543736125e-01,3.573845664981344372e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
2.617993877991494078e-01,1.133861992147666697e+00,2.760992758709930883e-01,3.593821494320814658e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.792526803190927276e-01,1.142088231390870900e+00,2.805175844735485202e-01,3.612702610818984139e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
2.967059728390360474e-01,1.150145006821550409e+00,2.848504447024384767e-01,3.630483263104862246e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.141592653589793116e-01,1.158101232523282675e+00,2.890965367264637931e-01,3.647158035019517630e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,0.000000000000000000e+00
3.316125578789226314e-01,1.165835536751533841e+00,2.932545671448612001e-01,3.662721847265892894e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
3.490658503988658956e-01,1.173512089161376393e+00,2.973232693812855598e-01,3.677169958956007512e-01,3.000000000000000000e+00,3.140184917367550333e-16,2.220446049250313081e-16,2.220446049250313081e-16
