x,y
-2.096272809901978118e-01,-1.790736517087708202e-01
-2.094385478148006186e-01,-1.772104754327031850e-01
-2.092491186285516946e-01,-1.753473697914166851e-01
-2.090589934578858389e-01,-1.734843350449140620e-01
-2.088681723293358827e-01,-1.716213714531894807e-01
-2.086766552695314414e-01,-1.697584792762236172e-01
-2.084844423051996076e-01,-1.678956587739906525e-01
-2.082915334631642301e-01,-1.660329102064536655e-01
-2.080979287703460523e-01,-1.641702338335655209e-01
-2.079036282537642943e-01,-1.623076299152692581e-01
-2.077086319405333781e-01,-1.604450987114975913e-01
-2.075129398578656748e-01,-1.585826404821733260e-01
-2.073165520330714495e-01,-1.567202554872098585e-01
-2.071194684935562524e-01,-1.548579439865073182e-01
-2.069216892668246099e-01,-1.529957062399587842e-01
-2.067232143804773603e-01,-1.511335425074459837e-01
-2.065240438622116537e-01,-1.492714530488402913e-01
-2.063241777398225341e-01,-1.474094381240026452e-01
-2.061236160412024954e-01,-1.455474979927837698e-01
-2.059223587943408429e-01,-1.436856329150248968e-01
-2.057204060273226387e-01,-1.418238431505535191e-01
-2.055177577683319767e-01,-1.399621289591898854e-01
-2.053144140456487077e-01,-1.381004906007426980e-01
-2.051103748876506316e-01,-1.362389283350099178e-01
-2.049056403228112777e-01,-1.343774424217791252e-01
-2.047002103797032346e-01,-1.325160331208269648e-01
-2.044940850869936821e-01,-1.306547006919195897e-01
-2.042872644734489151e-01,-1.287934453948134939e-01
-2.040797485679314849e-01,-1.269322674892510161e-01
-2.038715373994008095e-01,-1.250711672349670289e-01
-2.036626309969130910e-01,-1.232101448916846365e-01
-2.034530293896220088e-01,-1.213492007191158545e-01
-2.032427326067791362e-01,-1.194883349769618186e-01
-2.030317406777306655e-01,-1.176275479249127703e-01
-2.028200536319224312e-01,-1.157668398226491396e-01
-2.026076714988959970e-01,-1.139062109298369097e-01
-2.023945943082892385e-01,-1.120456615061343891e-01
-2.021808220898384523e-01,-1.101851918111876466e-01
-2.019663548733757752e-01,-1.083248021046316345e-01
-2.017511926888311824e-01,-1.064644926460902030e-01
-2.015353355662315993e-01,-1.046042636951759197e-01
-2.013187835357002076e-01,-1.027441155114901666e-01
-2.011015366274575000e-01,-1.008840483546241534e-01
-2.008835948718214748e-01,-9.902406248415440704e-02
-2.006649582992063585e-01,-9.716415815964962732e-02
-2.004456269401238278e-01,-9.530433564066566332e-02
-2.002256008251823149e-01,-9.344459518674733123e-02
-2.000048799850866199e-01,-9.158493705742783153e-02
-1.997834644506399915e-01,-8.972536151222874901e-02
-1.995613542527409079e-01,-8.786586881066148214e-02
-1.993385494223862964e-01,-8.600645921222244139e-02
-1.991150499906694238e-01,-8.414713297639973832e-02
-1.988908559887792582e-01,-8.228789036266864754e-02
-1.986659674480043825e-01,-8.042873163049311935e-02
-1.984403843997274430e-01,-7.856965703932498879e-02
-1.982141068754302016e-01,-7.671066684860461393e-02
-1.979871349066906205e-01,-7.485176131776043185e-02
-1.977594685251824469e-01,-7.299294070621034636e-02
-1.975311077626779599e-01,-7.113420527335682919e-02
-1.973020526510456119e-01,-6.927555527859401152e-02
-1.970723032222508608e-01,-6.741699098130288226e-02
-1.968418595083558376e-01,-6.555851264085256480e-02
-1.966107215415202059e-01,-6.370012051660012276e-02
-1.963788893539993030e-01,-6.184181486789047666e-02
-1.961463629781469431e-01,-5.998359595405780564e-02
-1.959131424464121696e-01,-5.812546403442070408e-02
-1.956792277913424749e-01,-5.626741936828910662e-02
-1.954446190455811916e-01,-5.440946221495934765e-02
-1.952093162418689076e-01,-5.255159283371599321e-02
-1.949733194130420233e-01,-5.069381148383092506e-02
-1.947366285920359985e-01,-4.883611842456417329e-02
-1.944992438118814670e-01,-4.697851391516405517e-02
-1.942611651057058741e-01,-4.512099821486373341e-02
-1.940223925067340871e-01,-4.326357158288685056e-02
-1.937829260482878124e-01,-4.140623427844383753e-02
-1.935427657637850407e-01,-3.954898656073224661e-02
-1.933019116867416842e-01,-3.769182868893783400e-02
-1.930603638507694397e-01,-3.583476092223314424e-02
-1.928181222895768432e-01,-3.397778351977834288e-02
-1.925751870369697416e-01,-3.212089674072224343e-02
-1.923315581268503771e-01,-3.026410084419761670e-02
-1.920872355932188580e-01,-2.840739608932765781e-02
-1.918422194701699945e-01,-2.655078273522221144e-02
-1.915965097918970184e-01,-2.469426104097782737e-02
-1.913501065926906108e-01,-2.283783126567867638e-02
-1.911030099069355170e-01,-2.098149366839582863e-02
-1.908552197691166241e-01,-1.912524850818878019e-02
-1.906067362138123555e-01,-1.726909604410084564e-02
-1.903575592757007495e-01,-1.541303653516534755e-02
-1.901076889895539079e-01,-1.355707024040189723e-02
-1.898571253902435196e-01,-1.170119741881711639e-02
-1.896058685127359478e-01,-9.845418329404331814e-03
-1.893539183920943392e-01,-7.989733231143908432e-03
-1.891012750634804007e-01,-6.134142383003249321e-03
-1.888479385621509854e-01,-4.278646043937378574e-03
-1.885939089234597577e-01,-2.423244472885222045e-03
-1.883391861828573044e-01,-5.679379287753527628e-04
-1.880837703758915236e-01,1.287273329477672812e-03
-1.878276615382060977e-01,3.142389042972676405e-03
-1.875708597055426308e-01,4.997408952821968953e-03
-1.873133649137379564e-01,6.852332800151045289e-03
-1.870551771987273293e-01,8.707160326097862502e-03
-1.867962965965400957e-01,1.056189127181700327e-02
-1.865367231433052997e-01,1.241652537847326432e-02
-1.862764568752470484e-01,1.427106238724595855e-02
-1.860154978286863436e-01,1.612550203932813786e-02
-1.857538460400410263e-01,1.797984407592631562e-02
-1.854915015458246663e-01,1.983408823826074419e-02
-1.852284643826493382e-01,2.168823426756522066e-02
-1.849647345872228454e-01,2.354228190508605989e-02
-1.847003121963486927e-01,2.539623089208678519e-02
-1.844351972469289724e-01,2.725008096984141148e-02
-1.841693897759603127e-01,2.910383187963866414e-02
-1.839028898205378737e-01,3.095748336278120183e-02
-1.836356974178525725e-01,3.281103516058558878e-02
-1.833678126051915824e-01,3.466448701438229474e-02
-1.830992354199394712e-01,3.651783866551447377e-02
-1.828299658995770904e-01,3.837108985534293248e-02
-1.825600040816821867e-01,4.022424032523888582e-02
-1.822893500039281800e-01,4.207728981658870326e-02
-1.820180037040864118e-01,4.393023807079302068e-02
-1.817459652200235087e-01,4.578308482926643497e-02
-1.814732345897044907e-01,4.763582983343792043e-02
-1.811998118511884970e-01,4.948847282475032916e-02
-1.809256970426337263e-01,5.134101354466014122e-02
-1.806508902022935237e-01,5.319345173464085086e-02
-1.803753913685181565e-01,5.504578713617719332e-02
-1.800992005797540374e-01,5.689801949076947474e-02
-1.798223178745445572e-01,5.875014853993232311e-02
-1.795447432915304176e-01,6.060217402519468832e-02
-1.792664768694475219e-01,6.245409568809992540e-02
-1.789875186471291957e-01,6.430591327020496184e-02
-1.787078686635044378e-01,6.615762651308457198e-02
-1.784275269576002243e-01,6.800923515832449362e-02
-1.781464935685381779e-01,6.986073894752642399e-02
-1.778647685355383978e-01,7.171213762230660427e-02
-1.775823518979161852e-01,7.356343092429590280e-02
-1.772992436950835970e-01,7.541461859514020372e-02
-1.770154439665502233e-01,7.726570037649849176e-02
-1.767309527519201340e-01,7.911667601004834793e-02
-1.764457700908954874e-01,8.096754523747851096e-02
-1.761598960232745870e-01,8.281830780049370677e-02
-1.758733305889526866e-01,8.466896344081359382e-02
-1.755860738279195754e-01,8.651951190017315163e-02
-1.752981257802647685e-01,8.836995292032168159e-02
-1.750094864861705957e-01,9.022028624302375066e-02
-1.747201559859191122e-01,9.207051161005780360e-02
-1.744301343198864096e-01,9.392062876322104792e-02
-1.741394215285465008e-01,9.577063744432173786e-02
-1.738480176524691556e-01,9.762053739518494755e-02
-1.735559227323209552e-01,9.947032835765085013e-02
-1.732631368088648205e-01,1.013200100735744957e-01
-1.729696599229599008e-01,1.031695822848266997e-01
-1.726754921155616573e-01,1.050190447332930432e-01
-1.723806334277223906e-01,1.068683971608737626e-01
-1.720850839005912403e-01,1.087176393094873017e-01
-1.717888435754119647e-01,1.105667709210647054e-01
-1.714919124935267991e-01,1.124157917375530058e-01
-1.711942906963737909e-01,1.142647015009151112e-01
-1.708959782254860504e-01,1.161134999531294176e-01
-1.705969751224947206e-01,1.179621868361894199e-01
-1.702972814291272008e-01,1.198107618921036566e-01
-1.699968971872055368e-01,1.216592248628989847e-01
-1.696958224386507785e-01,1.235075754906153622e-01
-1.693940572254775123e-01,1.253558135173086785e-01
-1.690916015897993840e-01,1.272039386850511433e-01
-1.687884555738246861e-01,1.290519507359306206e-01
-1.684846192198579951e-01,1.308998494120502953e-01
-1.681800925703011984e-01,1.327476344555286736e-01
-1.678748756676525788e-01,1.345953056085030797e-01
-1.675689685545049823e-01,1.364428626131236610e-01
-1.672623712735492318e-01,1.382903052115572740e-01
-1.669550838675729065e-01,1.401376331459872060e-01
-1.666471063794577878e-01,1.419848461586121213e-01
-1.663384388521840507e-01,1.438319439916473930e-01
-1.660290813288265444e-01,1.456789263873238260e-01
-1.657190338525585949e-01,1.475257930878878798e-01
-1.654082964666464817e-01,1.493725438356049429e-01
-1.650968692144561267e-01,1.512191783727535044e-01
-1.647847521394480708e-01,1.530656964416292620e-01
-1.541534778078707812e-01,1.530656964416292620e-01
-1.435222034762934640e-01,1.530656964416292620e-01
-1.328909291447162022e-01,1.530656964416292620e-01
-1.222596548131389127e-01,1.530656964416292620e-01
-1.116283804815616093e-01,1.530656964416292620e-01
-1.009971061499843198e-01,1.530656964416292620e-01
-9.036583181840703027e-02,1.530656964416292620e-01
-7.973455748682975464e-02,1.530656964416292620e-01
-6.910328315525243736e-02,1.530656964416292620e-01
-5.847200882367514785e-02,1.530656964416292620e-01
-4.784073449209785833e-02,1.530656964416292620e-01
-3.720946016052059657e-02,1.530656964416292620e-01
-2.657818582894327930e-02,1.530656964416292620e-01
-1.594691149736601754e-02,1.530656964416292620e-01
-5.315637165788700269e-03,1.530656964416292620e-01
5.315637165788561491e-03,1.530656964416292620e-01
1.594691149736585101e-02,1.530656964416292620e-01
2.657818582894316828e-02,1.530656964416292620e-01
3.720946016052043004e-02,1.530656964416292620e-01
4.784073449209771955e-02,1.530656964416292620e-01
5.847200882367500907e-02,1.530656964416292620e-01
6.910328315525229859e-02,1.530656964416292620e-01
7.973455748682964361e-02,1.530656964416292620e-01
9.036583181840693313e-02,1.530656964416292620e-01
1.009971061499841671e-01,1.530656964416292620e-01
1.116283804815615122e-01,1.530656964416292620e-01
1.222596548131388017e-01,1.530656964416292620e-01
1.328909291447160912e-01,1.530656964416292620e-01
1.435222034762933252e-01,1.530656964416292620e-01
1.541534778078706702e-01,1.530656964416292620e-01
1.647847521394479597e-01,1.530656964416292620e-01
1.650968692144560157e-01,1.512191783727535044e-01
1.654082964666463151e-01,1.493725438356049429e-01
1.657190338525584561e-01,1.475257930878878798e-01
1.660290813288264056e-01,1.456789263873238816e-01
1.663384388521839397e-01,1.438319439916473930e-01
1.666471063794577046e-01,1.419848461586121213e-01
1.669550838675727678e-01,1.401376331459872060e-01
1.672623712735491208e-01,1.382903052115572740e-01
1.675689685545048435e-01,1.364428626131236610e-01
1.678748756676524401e-01,1.345953056085030797e-01
1.681800925703011151e-01,1.327476344555286736e-01
1.684846192198578840e-01,1.308998494120502953e-01
1.687884555738245751e-01,1.290519507359306206e-01
1.690916015897992730e-01,1.272039386850511433e-01
1.693940572254773735e-01,1.253558135173086785e-01
1.696958224386506398e-01,1.235075754906153622e-01
1.699968971872054257e-01,1.216592248628989847e-01
1.702972814291271175e-01,1.198107618921036566e-01
1.705969751224946374e-01,1.179621868361894199e-01
1.708959782254859394e-01,1.161134999531294176e-01
1.711942906963736799e-01,1.142647015009151112e-01
1.714919124935266603e-01,1.124157917375530058e-01
1.717888435754118814e-01,1.105667709210647054e-01
1.720850839005911570e-01,1.087176393094873017e-01
1.723806334277222796e-01,1.068683971608737626e-01
1.726754921155615186e-01,1.050190447332919330e-01
1.729696599229597898e-01,1.031695822848266997e-01
1.732631368088647095e-01,1.013200100735745512e-01
1.735559227323208165e-01,9.947032835765085013e-02
1.738480176524690168e-01,9.762053739518500306e-02
1.741394215285463620e-01,9.577063744432173786e-02
1.744301343198862708e-01,9.392062876322104792e-02
1.747201559859189735e-01,9.207051161005780360e-02
1.750094864861704569e-01,9.022028624302375066e-02
1.752981257802646298e-01,8.836995292032173710e-02
1.755860738279194921e-01,8.651951190017315163e-02
1.758733305889525755e-01,8.466896344081359382e-02
1.761598960232745037e-01,8.281830780049370677e-02
1.764457700908953763e-01,8.096754523747851096e-02
1.767309527519199952e-01,7.911667601004834793e-02
1.770154439665500845e-01,7.726570037649849176e-02
1.772992436950834583e-01,7.541461859514020372e-02
1.775823518979160187e-01,7.356343092429590280e-02
1.778647685355382591e-01,7.171213762230660427e-02
1.781464935685380391e-01,6.986073894752642399e-02
1.784275269576000855e-01,6.800923515832452138e-02
1.787078686635043268e-01,6.615762651308457198e-02
1.789875186471291124e-01,6.430591327020498960e-02
1.792664768694473831e-01,6.245409568809992540e-02
1.795447432915303343e-01,6.060217402519468832e-02
1.798223178745444184e-01,5.875014853993232311e-02
1.800992005797538986e-01,5.689801949076950249e-02
1.803753913685180177e-01,5.504578713617722108e-02
1.806508902022934404e-01,5.319345173464085086e-02
1.809256970426336431e-01,5.134101354466014122e-02
1.811998118511883582e-01,4.948847282475035692e-02
1.814732345897043519e-01,4.763582983343792043e-02
1.817459652200233700e-01,4.578308482926643497e-02
1.820180037040863008e-01,4.393023807079304843e-02
1.822893500039280690e-01,4.207728981658870326e-02
1.825600040816820757e-01,4.022424032523888582e-02
1.828299658995769794e-01,3.837108985534293248e-02
1.830992354199393046e-01,3.651783866551447377e-02
1.833678126051914437e-01,3.466448701438229474e-02
1.836356974178524337e-01,3.281103516058558878e-02
1.839028898205377349e-01,3.095748336278120183e-02
1.841693897759601739e-01,2.910383187963866414e-02
1.844351972469288892e-01,2.725008096984143924e-02
1.847003121963486094e-01,2.539623089208681295e-02
1.849647345872227067e-01,2.354228190508605989e-02
1.852284643826491994e-01,2.168823426756522066e-02
1.854915015458245831e-01,1.983408823826074419e-02
1.857538460400408875e-01,1.797984407592631562e-02
1.860154978286862326e-01,1.612550203932816562e-02
1.862764568752468819e-01,1.427106238724595855e-02
1.865367231433051887e-01,1.241652537847326432e-02
1.867962965965399846e-01,1.056189127181700327e-02
1.870551771987271905e-01,8.707160326097862502e-03
1.873133649137378176e-01,6.852332800151073045e-03
1.875708597055425197e-01,4.997408952821968953e-03
1.878276615382059866e-01,3.142389042972676405e-03
1.880837703758913848e-01,1.287273329477672812e-03
1.883391861828571379e-01,-5.679379287753527628e-04
