x,y
-2.091889288668125069e-01,-1.674446825539185613e-01
-2.091794235006143587e-01,-1.673611954823777948e-01
-2.091699181344162106e-01,-1.672777084108370005e-01
-2.091604127682180347e-01,-1.671942213392962340e-01
-2.091509074020198866e-01,-1.671107342677554397e-01
-2.091414020358217385e-01,-1.670272471962146732e-01
-2.091318966696235904e-01,-1.669437601246738789e-01
-2.091223913034254422e-01,-1.668602730531331124e-01
-2.091128859372272664e-01,-1.667767859815923459e-01
-2.091033805710291182e-01,-1.666932989100515516e-01
-2.090938752048309701e-01,-1.666098118385107851e-01
-2.090843698386328220e-01,-1.665263247669699909e-01
-2.090748644724346739e-01,-1.664428376954292244e-01
-2.090653591062365257e-01,-1.663593506238884578e-01
-2.090558537400383499e-01,-1.662758635523476636e-01
-2.090463483738402017e-01,-1.661923764808068971e-01
-2.090368430076420536e-01,-1.661088894092661028e-01
-2.090273376414439055e-01,-1.660254023377253363e-01
-2.090178322752457574e-01,-1.659419152661845420e-01
-2.090083269090475815e-01,-1.658584281946437755e-01
-2.089988215428494334e-01,-1.657749411231030090e-01
-2.089893161766512852e-01,-1.656914540515622147e-01
-2.089798108104531371e-01,-1.656079669800214482e-01
-2.089703054442549890e-01,-1.655244799084806540e-01
-2.089608000780568131e-01,-1.654409928369398874e-01
-2.089512947118586650e-01,-1.653575057653991209e-01
-2.089417893456605169e-01,-1.652740186938583267e-01
-2.089322839794623687e-01,-1.651905316223175602e-01
-2.089227786132642206e-01,-1.651070445507767659e-01
-2.089132732470660447e-01,-1.650235574792359994e-01
-2.089037678808678966e-01,-1.649400704076952051e-01
-2.088942625146697485e-01,-1.648565833361544386e-01
-2.088847571484716004e-01,-1.647730962646136721e-01
-2.088752517822734522e-01,-1.646896091930728778e-01
-2.088657464160752764e-01,-1.646061221215321113e-01
-2.088562410498771282e-01,-1.645226350499913170e-01
-2.088467356836789801e-01,-1.644391479784505505e-01
-2.088372303174808320e-01,-1.643556609069097840e-01
-2.088277249512826839e-01,-1.642721738353689898e-01
-2.088182195850845080e-01,-1.641886867638282232e-01
-2.088087142188863599e-01,-1.641051996922874290e-01
-2.087992088526882117e-01,-1.640217126207466625e-01
-2.087897034864900636e-01,-1.639382255492058682e-01
-2.087801981202919155e-01,-1.638547384776651017e-01
-2.087706927540937396e-01,-1.637712514061243352e-01
-2.087611873878955915e-01,-1.636877643345835409e-01
-2.087516820216974434e-01,-1.636042772630427744e-01
-2.087421766554992952e-01,-1.635207901915019801e-01
-2.087326712893011471e-01,-1.634373031199612136e-01
-2.087231659231029990e-01,-1.633538160484204194e-01
-2.087136605569048231e-01,-1.632703289768796528e-01
-2.087041551907066750e-01,-1.631868419053388863e-01
-2.086946498245085269e-01,-1.631033548337980921e-01
-2.086851444583103787e-01,-1.630198677622573256e-01
-2.086756390921122306e-01,-1.629363806907165313e-01
-2.086661337259140547e-01,-1.628528936191757648e-01
-2.086566283597159066e-01,-1.627694065476349705e-01
-2.086471229935177585e-01,-1.626859194760942040e-01
-2.086376176273196104e-01,-1.626024324045534375e-01
-2.086281122611214622e-01,-1.625189453330126432e-01
-2.086186068949232864e-01,-1.624354582614718767e-01
-2.086091015287251382e-01,-1.623519711899310825e-01
-2.085995961625269901e-01,-1.622684841183903159e-01
-2.085900907963288420e-01,-1.621849970468495217e-01
-2.085805854301306939e-01,-1.621015099753087552e-01
-2.085710800639325180e-01,-1.620180229037679887e-01
-2.085615746977343699e-01,-1.619345358322271944e-01
-2.085520693315362217e-01,-1.618510487606864279e-01
-2.085425639653380736e-01,-1.617675616891456336e-01
-2.085330585991399255e-01,-1.616840746176048671e-01
-2.085235532329417496e-01,-1.616005875460641006e-01
-2.085140478667436015e-01,-1.615171004745233063e-01
-2.085045425005454534e-01,-1.614336134029825398e-01
-2.084950371343473052e-01,-1.613501263314417455e-01
-2.084855317681491571e-01,-1.612666392599009790e-01
-2.084760264019509812e-01,-1.611831521883602125e-01
-2.084665210357528331e-01,-1.610996651168194183e-01
-2.084570156695546850e-01,-1.610161780452786517e-01
-2.084475103033565369e-01,-1.609326909737378575e-01
-2.084380049371583887e-01,-1.608492039021970910e-01
-2.084284995709602128e-01,-1.607657168306563245e-01
-2.084189942047620647e-01,-1.606822297591155302e-01
-2.084094888385639166e-01,-1.605987426875747637e-01
-2.083999834723657685e-01,-1.605152556160339694e-01
-2.083904781061676204e-01,-1.604317685444932029e-01
-2.083809727399694445e-01,-1.603482814729524364e-01
-2.083714673737712963e-01,-1.602647944014116421e-01
-2.083619620075731482e-01,-1.601813073298708756e-01
-2.083524566413750001e-01,-1.600978202583300813e-01
-2.083429512751768520e-01,-1.600143331867893148e-01
-2.083334459089786761e-01,-1.599308461152485206e-01
-2.083239405427805280e-01,-1.598473590437077541e-01
-2.083144351765823798e-01,-1.597638719721669875e-01
-2.083049298103842317e-01,-1.596803849006261933e-01
-2.082954244441860836e-01,-1.595968978290854268e-01
-2.082859190779879077e-01,-1.595134107575446325e-01
-2.082764137117897596e-01,-1.594299236860038660e-01
-2.082669083455916115e-01,-1.593464366144630995e-01
-2.082574029793934633e-01,-1.592629495429223052e-01
-2.082478976131953152e-01,-1.591794624713815387e-01
-2.082383922469971393e-01,-1.590959753998407722e-01
-2.082288868807989912e-01,-1.590124883282999779e-01
-2.082193815146008431e-01,-1.589290012567592114e-01
-2.082098761484026950e-01,-1.588455141852184171e-01
-2.082003707822045468e-01,-1.587620271136776506e-01
-2.081908654160063710e-01,-1.586785400421368841e-01
-2.081813600498082228e-01,-1.585950529705960899e-01
-2.081718546836100747e-01,-1.585115658990553233e-01
-2.081623493174119266e-01,-1.584280788275145568e-01
-2.081528439512137785e-01,-1.583445917559737626e-01
-2.081433385850156026e-01,-1.582611046844329961e-01
-2.081338332188174545e-01,-1.581776176128922295e-01
-2.081243278526193063e-01,-1.580941305413514353e-01
-2.081148224864211582e-01,-1.580106434698106688e-01
-2.081053171202230101e-01,-1.579271563982698745e-01
-2.080958117540248342e-01,-1.578436693267291080e-01
-2.080863063878266861e-01,-1.577601822551883415e-01
-2.080768010216285380e-01,-1.576766951836475472e-01
-2.080672956554303898e-01,-1.575932081121067807e-01
-2.080577902892322417e-01,-1.575097210405660142e-01
-2.080482849230340658e-01,-1.574262339690252199e-01
-2.080387795568359177e-01,-1.573427468974844534e-01
-2.080292741906377696e-01,-1.572592598259436592e-01
-2.080197688244396215e-01,-1.571757727544028926e-01
-2.080102634582414733e-01,-1.570922856828621261e-01
-2.080007580920432975e-01,-1.570087986113213319e-01
-2.079912527258451493e-01,-1.569253115397805654e-01
-2.079817473596470012e-01,-1.568418244682397988e-01
-2.079722419934488531e-01,-1.567583373966990046e-01
-2.079627366272506772e-01,-1.566748503251582381e-01
-2.079532312610525291e-01,-1.565913632536174438e-01
-2.079437258948543810e-01,-1.565078761820766773e-01
-2.079342205286562328e-01,-1.564243891105359108e-01
-2.079247151624580847e-01,-1.563409020389951165e-01
-2.079152097962599088e-01,-1.562574149674543500e-01
-2.079057044300617607e-01,-1.561739278959135835e-01
-2.078961990638636126e-01,-1.560904408243727892e-01
-2.078866936976654645e-01,-1.560069537528320227e-01
-2.078771883314673163e-01,-1.559234666812912562e-01
-2.078676829652691405e-01,-1.558399796097504619e-01
-2.078581775990709923e-01,-1.557564925382096954e-01
-2.078486722328728442e-01,-1.556730054666689012e-01
-2.078391668666746961e-01,-1.555895183951281346e-01
-2.078296615004765202e-01,-1.555060313235873681e-01
-2.078201561342783721e-01,-1.554225442520465739e-01
-2.078106507680802240e-01,-1.553390571805058074e-01
-2.078011454018820758e-01,-1.552555701089650408e-01
-2.077916400356839277e-01,-1.551720830374242466e-01
-2.077821346694857518e-01,-1.550885959658834801e-01
-2.077726293032876037e-01,-1.550051088943426858e-01
-2.077631239370894556e-01,-1.549216218228019193e-01
-2.077536185708913075e-01,-1.548381347512611528e-01
-2.077441132046931316e-01,-1.547546476797203585e-01
-2.077346078384949835e-01,-1.546711606081795920e-01
-2.077251024722968353e-01,-1.545876735366388255e-01
-2.077155971060986872e-01,-1.545041864650980312e-01
-2.077060917399005391e-01,-1.544206993935572647e-01
-2.076965863737023632e-01,-1.543372123220164704e-01
-2.076870810075042151e-01,-1.542537252504757039e-01
-2.076775756413060670e-01,-1.541702381789349374e-01
-2.076680702751079188e-01,-1.540867511073941432e-01
-2.076585649089097430e-01,-1.540032640358533766e-01
-2.076490595427115948e-01,-1.539197769643126101e-01
-2.076395541765134467e-01,-1.538362898927718159e-01
-2.076300488103152986e-01,-1.537528028212310494e-01
-2.076205434441171505e-01,-1.536693157496902551e-01
-2.076110380779189746e-01,-1.535858286781494886e-01
-2.076015327117208265e-01,-1.535023416066087221e-01
-2.075920273455226783e-01,-1.534188545350679278e-01
-2.075825219793245302e-01,-1.533353674635271613e-01
-2.075730166131263821e-01,-1.532518803919863948e-01
-2.075635112469282062e-01,-1.531683933204456005e-01
-2.075540058807300581e-01,-1.530849062489048340e-01
-2.075445005145319100e-01,-1.530014191773640675e-01
-2.075349951483337618e-01,-1.529179321058232732e-01
-2.075254897821355859e-01,-1.528344450342825067e-01
-2.075159844159374378e-01,-1.527509579627417124e-01
-2.075064790497392897e-01,-1.526674708912009459e-01
-2.074969736835411416e-01,-1.525839838196601794e-01
-2.074874683173429935e-01,-1.525004967481193852e-01
-2.074779629511448176e-01,-1.524170096765786186e-01
-2.074684575849466694e-01,-1.523335226050378521e-01
-2.074589522187485213e-01,-1.522500355334970579e-01
-2.074494468525503732e-01,-1.521665484619562914e-01
-2.074399414863521973e-01,-1.520830613904154971e-01
-2.074304361201540492e-01,-1.519995743188747306e-01
-2.074209307539559011e-01,-1.519160872473339641e-01
-2.074114253877577529e-01,-1.518326001757931698e-01
-2.074019200215595771e-01,-1.517491131042524033e-01
-2.073924146553614289e-01,-1.516656260327116090e-01
-2.073829092891632808e-01,-1.515821389611708425e-01
-2.073734039229651327e-01,-1.514986518896300760e-01
-2.073638985567669568e-01,-1.514151648180892817e-01
-2.073543931905688087e-01,-1.513316777465485152e-01
-2.073448878243706606e-01,-1.512481906750077487e-01
-2.073353824581725124e-01,-1.511647036034669545e-01
-2.073258770919743366e-01,-1.510812165319261879e-01
-2.073163717257761884e-01,-1.509977294603854214e-01
-2.073068663595780403e-01,-1.509142423888446272e-01
-2.072973609933798922e-01,-1.508307553173038607e-01
-2.072878556271817163e-01,-1.507472682457630664e-01
-2.072783502609835682e-01,-1.506637811742222999e-01
-2.072688448947854201e-01,-1.505802941026815334e-01
-2.072593395285872719e-01,-1.504968070311407391e-01
-2.072498341623890961e-01,-1.504133199595999726e-01
-2.072403287961909479e-01,-1.503298328880592061e-01
-2.072308234299927998e-01,-1.502463458165184118e-01
-2.072213180637946517e-01,-1.501628587449776453e-01
-2.072118126975964758e-01,-1.500793716734368788e-01
-2.072023073313983277e-01,-1.499958846018960845e-01
-2.071928019652001796e-01,-1.499123975303553180e-01
-2.071832965990020314e-01,-1.498289104588145237e-01
-2.071737912328038833e-01,-1.497454233872737572e-01
-2.071642858666057074e-01,-1.496619363157329907e-01
-2.071547805004075593e-01,-1.495784492441921965e-01
-2.071452751342094112e-01,-1.494949621726514299e-01
-2.071357697680112353e-01,-1.494114751011106357e-01
-2.071262644018130872e-01,-1.493279880295698692e-01
-2.071167590356149391e-01,-1.492445009580291027e-01
-2.071072536694167909e-01,-1.491610138864883084e-01
-2.070977483032186428e-01,-1.490775268149475419e-01
-2.070882429370204669e-01,-1.489940397434067754e-01
-2.070787375708223188e-01,-1.489105526718659811e-01
-2.070692322046241707e-01,-1.488270656003252146e-01
-2.070597268384259948e-01,-1.487435785287844481e-01
-2.070502214722278467e-01,-1.486600914572436538e-01
-2.070407161060296986e-01,-1.485766043857028873e-01
-2.070312107398315504e-01,-1.484931173141620930e-01
-2.070217053736333745e-01,-1.484096302426213265e-01
-2.070122000074352264e-01,-1.483261431710805600e-01
-2.070026946412370783e-01,-1.482426560995397657e-01
-2.069931892750389302e-01,-1.481591690279989992e-01
-2.069836839088407543e-01,-1.480756819564582327e-01
-2.069741785426426062e-01,-1.479921948849174385e-01
-2.069646731764444580e-01,-1.479087078133766719e-01
-2.069551678102462822e-01,-1.478252207418359054e-01
-2.069456624440481340e-01,-1.477417336702951112e-01
-2.069361570778499859e-01,-1.476582465987543447e-01
-2.069266517116518378e-01,-1.475747595272135504e-01
-2.069171463454536619e-01,-1.474912724556727839e-01
-2.069076409792555138e-01,-1.474077853841320174e-01
-2.068981356130573657e-01,-1.473242983125912231e-01
-2.068886302468591898e-01,-1.472408112410504566e-01
-2.068791248806610417e-01,-1.471573241695096623e-01
-2.068696195144628935e-01,-1.470738370979688958e-01
-2.068601141482647454e-01,-1.469903500264281293e-01
-2.068506087820665695e-01,-1.469068629548873350e-01
-2.068411034158684214e-01,-1.468233758833465685e-01
-2.068315980496702733e-01,-1.467398888118058020e-01
-2.068220926834720974e-01,-1.466564017402650077e-01
-2.068125873172739493e-01,-1.465729146687242412e-01
-2.068030819510758012e-01,-1.464894275971834470e-01
-2.067935765848776253e-01,-1.464059405256426805e-01
-2.067840712186794772e-01,-1.463224534541018862e-01
-2.067745658524813290e-01,-1.462389663825611197e-01
-2.067650604862831809e-01,-1.461554793110203254e-01
-2.067555551200850050e-01,-1.460719922394795589e-01
-2.067460497538868569e-01,-1.459885051679387646e-01
-2.067365443876887088e-01,-1.459050180963979981e-01
-2.067270390214905329e-01,-1.458215310248572039e-01
-2.067175336552923848e-01,-1.457380439533164374e-01
-2.067080282890942367e-01,-1.456545568817756431e-01
-2.066985229228960608e-01,-1.455710698102348766e-01
-2.066890175566979126e-01,-1.454875827386940823e-01
-2.066795121904997645e-01,-1.454040956671533158e-01
-2.066700068243015886e-01,-1.453206085956125215e-01
-2.066605014581034405e-01,-1.452371215240717550e-01
-2.066509960919052924e-01,-1.451536344525309608e-01
-2.066414907257071165e-01,-1.450701473809901942e-01
-2.066319853595089684e-01,-1.449866603094494000e-01
-2.066224799933108203e-01,-1.449031732379086335e-01
-2.066129746271126444e-01,-1.448196861663678392e-01
-2.066034692609144963e-01,-1.447361990948270727e-01
-2.065939638947163481e-01,-1.446527120232862784e-01
-2.065844585285181723e-01,-1.445692249517455119e-01
-2.065749531623200241e-01,-1.444857378802047454e-01
-2.065654477961218760e-01,-1.444022508086639511e-01
-2.065559424299237001e-01,-1.443187637371231569e-01
-2.065464370637255520e-01,-1.442352766655823904e-01
-2.065369316975274039e-01,-1.441517895940416238e-01
-2.065274263313292280e-01,-1.440683025225008296e-01
-2.065179209651310799e-01,-1.439848154509600353e-01
-2.065084155989329318e-01,-1.439013283794192688e-01
-2.064989102327347559e-01,-1.438178413078785023e-01
-2.064894048665366078e-01,-1.437343542363377080e-01
-2.064798995003384596e-01,-1.436508671647969138e-01
-2.064703941341402837e-01,-1.435673800932561472e-01
-2.064608887679421356e-01,-1.434838930217153807e-01
-2.064513834017439597e-01,-1.434004059501745865e-01
-2.064418780355458116e-01,-1.433169188786337922e-01
-2.064323726693476635e-01,-1.432334318070930257e-01
-2.064228673031494876e-01,-1.431499447355522592e-01
-2.064133619369513395e-01,-1.430664576640114649e-01
-2.064038565707531914e-01,-1.429829705924706706e-01
-2.063943512045550155e-01,-1.428994835209299041e-01
-2.063848458383568674e-01,-1.428159964493891376e-01
-2.063753404721586915e-01,-1.427325093778483434e-01
-2.063658351059605434e-01,-1.426490223063075491e-01
