x,y
-2.092881666898009363e-01,-1.682927721145308642e-01
-2.092721166504295793e-01,-1.681537348644100427e-01
-2.092560666110582224e-01,-1.680146976142891935e-01
-2.092400165716868654e-01,-1.678756603641683720e-01
-2.092239665323155084e-01,-1.677366231140475228e-01
-2.092079164929441515e-01,-1.675975858639267013e-01
-2.091918664535727945e-01,-1.674585486138058521e-01
-2.091758164142014376e-01,-1.673195113636850306e-01
-2.091597663748300806e-01,-1.671804741135642092e-01
-2.091437163354587236e-01,-1.670414368634433600e-01
-2.091276662960873667e-01,-1.669023996133225385e-01
-2.091116162567160097e-01,-1.667633623632016893e-01
-2.090955662173446528e-01,-1.666243251130808678e-01
-2.090795161779732958e-01,-1.664852878629600463e-01
-2.090634661386019388e-01,-1.663462506128391971e-01
-2.090474160992305819e-01,-1.662072133627183756e-01
-2.090313660598592249e-01,-1.660681761125975264e-01
-2.090153160204878680e-01,-1.659291388624767050e-01
-2.089992659811165110e-01,-1.657901016123558557e-01
-2.089832159417451540e-01,-1.656510643622350343e-01
-2.089671659023737971e-01,-1.655120271121142128e-01
-2.089511158630024401e-01,-1.653729898619933636e-01
-2.089350658236310831e-01,-1.652339526118725421e-01
-2.089190157842597262e-01,-1.650949153617516929e-01
-2.089029657448883692e-01,-1.649558781116308714e-01
-2.088869157055170123e-01,-1.648168408615100222e-01
-2.088708656661456553e-01,-1.646778036113892008e-01
-2.088548156267742983e-01,-1.645387663612683793e-01
-2.088387655874029414e-01,-1.643997291111475301e-01
-2.088227155480315844e-01,-1.642606918610267086e-01
-2.088066655086602275e-01,-1.641216546109058594e-01
-2.087906154692888705e-01,-1.639826173607850379e-01
-2.087745654299175135e-01,-1.638435801106642165e-01
-2.087585153905461566e-01,-1.637045428605433672e-01
-2.087424653511747996e-01,-1.635655056104225458e-01
-2.087264153118034427e-01,-1.634264683603016965e-01
-2.087103652724320857e-01,-1.632874311101808751e-01
-2.086943152330607287e-01,-1.631483938600600259e-01
-2.086782651936893718e-01,-1.630093566099392044e-01
-2.086622151543180148e-01,-1.628703193598183829e-01
-2.086461651149466578e-01,-1.627312821096975337e-01
-2.086301150755753009e-01,-1.625922448595767122e-01
-2.086140650362039439e-01,-1.624532076094558630e-01
-2.085980149968326147e-01,-1.623141703593350416e-01
-2.085819649574612578e-01,-1.621751331092141923e-01
-2.085659149180899008e-01,-1.620360958590933709e-01
-2.085498648787185438e-01,-1.618970586089725494e-01
-2.085338148393471869e-01,-1.617580213588517002e-01
-2.085177647999758299e-01,-1.616189841087308787e-01
-2.085017147606044730e-01,-1.614799468586100295e-01
-2.084856647212331160e-01,-1.613409096084892080e-01
-2.084696146818617590e-01,-1.612018723583683588e-01
-2.084535646424904021e-01,-1.610628351082475374e-01
-2.084375146031190451e-01,-1.609237978581267159e-01
-2.084214645637476881e-01,-1.607847606080058667e-01
-2.084054145243763312e-01,-1.606457233578850452e-01
-2.083893644850049742e-01,-1.605066861077641960e-01
-2.083733144456336173e-01,-1.603676488576433745e-01
-2.083572644062622603e-01,-1.602286116075225531e-01
-2.083412143668909033e-01,-1.600895743574017038e-01
-2.083251643275195464e-01,-1.599505371072808824e-01
-2.083091142881481894e-01,-1.598114998571600331e-01
-2.082930642487768325e-01,-1.596724626070392117e-01
-2.082770142094054755e-01,-1.595334253569183625e-01
-2.082609641700341185e-01,-1.593943881067975410e-01
-2.082449141306627616e-01,-1.592553508566766918e-01
-2.082288640912914046e-01,-1.591163136065558703e-01
-2.082128140519200477e-01,-1.589772763564350488e-01
-2.081967640125486907e-01,-1.588382391063141996e-01
-2.081807139731773337e-01,-1.586992018561933782e-01
-2.081646639338059768e-01,-1.585601646060725289e-01
-2.081486138944346198e-01,-1.584211273559517075e-01
-2.081325638550632628e-01,-1.582820901058308583e-01
-2.081165138156919059e-01,-1.581430528557100368e-01
-2.081004637763205489e-01,-1.580040156055892153e-01
-2.080844137369491920e-01,-1.578649783554683661e-01
-2.080683636975778350e-01,-1.577259411053475446e-01
-2.080523136582064780e-01,-1.575869038552266954e-01
-2.080362636188351211e-01,-1.574478666051058739e-01
-2.080202135794637641e-01,-1.573088293549850247e-01
-2.080041635400924072e-01,-1.571697921048642033e-01
-2.079881135007210502e-01,-1.570307548547433818e-01
-2.079720634613496932e-01,-1.568917176046225326e-01
-2.079560134219783363e-01,-1.567526803545017111e-01
-2.079399633826069793e-01,-1.566136431043808619e-01
-2.079239133432356224e-01,-1.564746058542600404e-01
-2.079078633038642654e-01,-1.563355686041391912e-01
-2.078918132644929084e-01,-1.561965313540183697e-01
-2.078757632251215515e-01,-1.560574941038975483e-01
-2.078597131857501945e-01,-1.559184568537766991e-01
-2.078436631463788375e-01,-1.557794196036558776e-01
-2.078276131070074806e-01,-1.556403823535350284e-01
-2.078115630676361236e-01,-1.555013451034142069e-01
-2.077955130282647667e-01,-1.553623078532933577e-01
-2.077794629888934097e-01,-1.552232706031725362e-01
-2.077634129495220527e-01,-1.550842333530516870e-01
-2.077473629101506958e-01,-1.549451961029308655e-01
-2.077313128707793388e-01,-1.548061588528100441e-01
-2.077152628314079819e-01,-1.546671216026891948e-01
-2.076992127920366249e-01,-1.545280843525683734e-01
-2.076831627526652679e-01,-1.543890471024475242e-01
-2.076671127132939110e-01,-1.542500098523267027e-01
-2.076510626739225540e-01,-1.541109726022058535e-01
-2.076350126345511971e-01,-1.539719353520850320e-01
-2.076189625951798401e-01,-1.538328981019642105e-01
-2.076029125558084831e-01,-1.536938608518433613e-01
-2.075868625164371262e-01,-1.535548236017225399e-01
-2.075708124770657692e-01,-1.534157863516016906e-01
-2.075547624376944122e-01,-1.532767491014808692e-01
-2.075387123983230553e-01,-1.531377118513600200e-01
-2.075226623589516983e-01,-1.529986746012391985e-01
-2.075066123195803414e-01,-1.528596373511183493e-01
-2.074905622802089844e-01,-1.527206001009975278e-01
-2.074745122408376274e-01,-1.525815628508767063e-01
-2.074584622014662705e-01,-1.524425256007558571e-01
-2.074424121620949135e-01,-1.523034883506350357e-01
-2.074263621227235566e-01,-1.521644511005141864e-01
-2.074103120833521996e-01,-1.520254138503933650e-01
-2.073942620439808426e-01,-1.518863766002725435e-01
-2.073782120046094857e-01,-1.517473393501516943e-01
-2.073621619652381287e-01,-1.516083021000308728e-01
-2.073461119258667718e-01,-1.514692648499100236e-01
-2.073300618864954425e-01,-1.513302275997892021e-01
-2.073140118471240856e-01,-1.511911903496683529e-01
-2.072979618077527286e-01,-1.510521530995475314e-01
-2.072819117683813717e-01,-1.509131158494266822e-01
-2.072658617290100147e-01,-1.507740785993058608e-01
-2.072498116896386577e-01,-1.506350413491850393e-01
-2.072337616502673008e-01,-1.504960040990641901e-01
-2.072177116108959438e-01,-1.503569668489433686e-01
-2.072016615715245869e-01,-1.502179295988225194e-01
-2.071856115321532299e-01,-1.500788923487016979e-01
-2.071695614927818729e-01,-1.499398550985808765e-01
-2.071535114534105160e-01,-1.498008178484600272e-01
-2.071374614140391590e-01,-1.496617805983392058e-01
-2.071214113746678021e-01,-1.495227433482183566e-01
-2.071053613352964451e-01,-1.493837060980975351e-01
-2.070893112959250881e-01,-1.492446688479766859e-01
-2.070732612565537312e-01,-1.491056315978558644e-01
-2.070572112171823742e-01,-1.489665943477350152e-01
-2.070411611778110172e-01,-1.488275570976141937e-01
-2.070251111384396603e-01,-1.486885198474933723e-01
-2.070090610990683033e-01,-1.485494825973725230e-01
-2.069930110596969464e-01,-1.484104453472517016e-01
-2.069769610203255894e-01,-1.482714080971308523e-01
-2.069609109809542324e-01,-1.481323708470100309e-01
-2.069448609415828755e-01,-1.479933335968891817e-01
-2.069288109022115185e-01,-1.478542963467683602e-01
-2.069127608628401616e-01,-1.477152590966475387e-01
-2.068967108234688046e-01,-1.475762218465266895e-01
-2.068806607840974476e-01,-1.474371845964058680e-01
-2.068646107447260907e-01,-1.472981473462850188e-01
-2.068485607053547337e-01,-1.471591100961641974e-01
-2.068325106659833768e-01,-1.470200728460433481e-01
-2.068164606266120198e-01,-1.468810355959225267e-01
-2.068004105872406628e-01,-1.467419983458017052e-01
-2.067843605478693059e-01,-1.466029610956808560e-01
-2.067683105084979489e-01,-1.464639238455600345e-01
-2.067522604691265919e-01,-1.463248865954391853e-01
-2.067362104297552350e-01,-1.461858493453183638e-01
-2.067201603903838780e-01,-1.460468120951975424e-01
-2.067041103510125211e-01,-1.459077748450766931e-01
-2.066880603116411641e-01,-1.457687375949558717e-01
-2.066720102722698071e-01,-1.456297003448350502e-01
-2.066559602328984502e-01,-1.454906630947142010e-01
-2.066399101935270932e-01,-1.453516258445933795e-01
-2.066238601541557363e-01,-1.452125885944725303e-01
-2.066078101147843793e-01,-1.450735513443517088e-01
-2.065917600754130223e-01,-1.449345140942308874e-01
-2.065757100360416654e-01,-1.447954768441100382e-01
-2.065596599966703084e-01,-1.446564395939892167e-01
-2.065436099572989515e-01,-1.445174023438683675e-01
-2.065275599179275945e-01,-1.443783650937475460e-01
-2.065115098785562375e-01,-1.442393278436267245e-01
-2.064954598391848806e-01,-1.441002905935058753e-01
-2.064794097998135236e-01,-1.439612533433850539e-01
-2.064633597604421666e-01,-1.438222160932642324e-01
-2.064473097210708097e-01,-1.436831788431433832e-01
-2.064312596816994527e-01,-1.435441415930225617e-01
-2.064152096423280958e-01,-1.434051043429017125e-01
-2.063991596029567388e-01,-1.432660670927808910e-01
-2.063831095635853818e-01,-1.431270298426600696e-01
-2.063670595242140249e-01,-1.429879925925392203e-01
-2.063510094848426679e-01,-1.428489553424183989e-01
-2.063349594454713110e-01,-1.427099180922975497e-01
-2.063189094060999540e-01,-1.425708808421767282e-01
-2.063028593667285970e-01,-1.424318435920559067e-01
-2.062868093273572401e-01,-1.422928063419350575e-01
-2.062707592879858831e-01,-1.421537690918142360e-01
-2.062547092486145262e-01,-1.420147318416933868e-01
-2.062386592092431692e-01,-1.418756945915725654e-01
-2.062226091698718122e-01,-1.417366573414517439e-01
-2.062065591305004553e-01,-1.415976200913308947e-01
-2.061905090911290983e-01,-1.414585828412100732e-01
