m,n,cross_correlation_degree,cross_correlation_regularity,prime_activation_order,fourier_decay_power,arch_tail_remainder_power_K,prime3_entry_lower,prime3_entry_upper,prime3_abs_midpoint
0,0,1,C^0,1,2,1,-0.00030135444750388853431,-0.00030135444750388853431,0.00030135444750388853
0,1,2,C^1,2,3,2,-7.1588191273292900926e-08,-7.1588191273292900926e-08,7.15881912732929e-08
0,2,3,C^2,3,4,3,-1.1337411636542357889e-11,-1.1337411636542357889e-11,1.1337411636542358e-11
0,3,4,C^3,4,5,4,-1.3466281972997562203e-15,-1.3466281972997562203e-15,1.3466281972997562e-15
0,4,5,C^4,5,6,5,-1.2795918926806031441e-19,-1.2795918926806031441e-19,1.2795918926806031e-19
1,1,3,C^2,3,4,3,-1.1337411636542357889e-11,-1.1337411636542357889e-11,1.1337411636542358e-11
1,2,4,C^3,4,5,4,-1.3466281972997562203e-15,-1.3466281972997562203e-15,1.3466281972997562e-15
1,3,5,C^4,5,6,5,-1.2795918926806031441e-19,-1.2795918926806031441e-19,1.2795918926806031e-19
1,4,6,C^5,6,7,6,-1.0132439272505053774e-23,-1.0132439272505053774e-23,1.0132439272505054e-23
2,2,5,C^4,5,6,5,-1.2795918926806031441e-19,-1.2795918926806031441e-19,1.2795918926806031e-19
2,3,6,C^5,6,7,6,-1.0132439272505053774e-23,-1.0132439272505053774e-23,1.0132439272505054e-23
2,4,7,C^6,7,8,7,-6.8771698359407511731e-28,-6.8771698359407511731e-28,6.877169835940751e-28
3,3,7,C^6,7,8,7,-6.8771698359407511731e-28,-6.8771698359407511731e-28,6.877169835940751e-28
3,4,8,C^7,8,9,8,-4.0842615208781188276e-32,-4.0842615208781188276e-32,4.084261520878119e-32
4,4,9,C^8,9,10,9,-2.1560797141674476637e-36,-2.1560797141674476637e-36,2.1560797141674477e-36
