id,kind,status,command,dependency,summary
RH-W-04,PROTOCOL_ONLY,PROTOCOL_ONLY,python verify_protocol_selftest.py,,"{""negative_witness_present"": false}"
RH-W-05,NUMERICAL_MATRIX,VERIFIED,python verify_matrix_certificate.py,,"{""dimension"": 2, ""finite_subspace_positive"": true}"
RH-W-06,NUMERICAL_MATRIX,LEGACY_INCOMPLETE,python verify_w06_partial_audit.py,,"{""dimension"": 5, ""partial_internal_audit"": true}"
RH-W-07,NUMERICAL_MATRIX,VERIFIED,python verify_multiprime_certificate.py,,"{""dimension"": 9, ""active_prime_powers"": [2, 3, 4, 5, 7]}"
RH-W-08,NUMERICAL_MATRIX,VERIFIED,python verify_refined_certificate.py,,"{""dimension"": 13, ""lower_margin"": ""1e-5""}"
RH-W-09,NUMERICAL_MATRIX,VERIFIED,python verify_continuation_certificate.py,,"{""dimension"": 15, ""lower_margin"": ""1e-9""}"
RH-W-10,STRUCTURAL_IDENTITY_AND_MATRIX,VERIFIED,python verify_w10_bundle.py,RH-W-09,"{""activation_order"": 7, ""boundary_regularity"": ""C6_not_C7"", ""post_boundary_dimension"": 15}"
RH-W-11,STRUCTURAL_IDENTITY,VERIFIED,python verify_kernel_sensitivity.py,RH-W-10,"{""activation_orders"": [1, 3, 5, 7, 9, 11]}"
RH-W-12,NUMERICAL_MATRIX,VERIFIED,python verify_mixed_dictionary.py,RH-W-11,"{""dimension"": 10, ""mixed_degrees"": [1, 3], ""cross_cancellation"": true}"
RH-W-13,NUMERICAL_MATRIX,VERIFIED,python verify_cross_regularity.py,RH-W-12,"{""dimension"": 10, ""eigenvalue_bracket"": [""1e-8"", ""5e-8""]}"
RH-W-14,PARAMETER_REGION,SUPERSEDED_RECERTIFIED,python verify_w14_supersession.py,RH-W-13;RH-W-15,"{""dimension"": 10, ""parameter_dimension"": 2, ""original_conclusion_preserved"": true}"
RH-W-15,PARAMETER_REGION,VERIFIED,python verify_interval_taylor_tube.py,RH-W-13,"{""dimension"": 10, ""parameter_dimension"": 2, ""eigenvalue_bracket"": [""1e-8"", ""5e-8""]}"
RH-W-16,PARAMETER_REGION,VERIFIED,python verify_three_parameter_tube.py,RH-W-15,"{""dimension"": 10, ""parameter_dimension"": 3, ""eigenvalue_bracket"": [""1e-8"", ""5e-8""]}"
RH-W-17,CHAMBER_COVER,VERIFIED,python verify_chamber_subdivision.py,RH-W-16,"{""dimension"": 10, ""cells"": 3, ""closed_domain_cover"": true}"
