h,d,ratio,N,max_radius,lambda_min,lambda_max,gram_min
0.15,0.22499999999999998,1.5,13,3.3,1.2020901345911073e-05,2.6500432613200235,0.2963914484250341
0.15,0.22499999999999998,1.5,11,2.85,1.3382205860729047e-05,2.2395794885298432,0.29807203396496956
0.15,0.22499999999999998,1.5,9,2.4,1.532010677324753e-05,1.8212637202854816,0.300848710943489
0.15,0.3,2.0,11,3.6,1.6297077963967093e-05,0.7976268334214369,0.4333686114465404
0.12,0.18,1.5,13,2.64,1.8329182639493322e-05,2.533371946608137,0.2963914484250341
0.12,0.24,2.0,13,3.36,2.164559229904722e-05,1.3941868300047628,0.4329399406897425
0.15,0.3,2.0,9,3.0,2.2326436069984036e-05,0.6465528484295847,0.4340766738272033
0.12,0.3,2.5,11,3.48,2.7532791405343707e-05,1.0913912360280578,0.47283992939153086
0.15,0.375,2.5,9,3.6,3.458117670749645e-05,0.6311188368219568,0.47294037652222426
0.15,0.22499999999999998,1.5,7,1.9499999999999997,3.68361983043163e-05,1.3995162579755114,0.3059258104747812
0.12,0.18,1.5,11,2.28,6.637797489781655e-05,1.9257092690754345,0.29807203396496956
0.15,0.375,2.5,7,2.85,7.177596013095904e-05,0.5147658207500256,0.47312396607971624
0.15,0.44999999999999996,3.0,7,3.3,7.343998933949826e-05,0.9026706337364927,0.47899846050299455
0.12,0.24,2.0,11,2.88,0.00011532298937250049,1.2964237204932378,0.4333686114465404
0.12,0.36,3.0,9,3.36,0.0002825117266546901,1.2023274160450517,0.47898767598562075
0.12,0.3,2.5,9,2.88,0.0003039823545625377,0.8997531263586249,0.47294037652222426
0.15,0.3,2.0,7,2.4,0.00033604198313653044,0.5585035421320222,0.4353708159121496
0.12,0.24,2.0,9,2.4,0.00043590671342796575,1.255136629846485,0.4340766738272033
0.15,0.525,3.5,7,3.7500000000000004,0.00044341461183085594,0.5618390007640031,0.47936221515516003
0.1,0.2,2.0,13,2.8000000000000003,0.0004873770421913003,1.8686826889845127,0.4329399406897425
0.1,0.25,2.5,13,3.4,0.000622788072981369,1.658662600596306,0.472779117309561
0.15,0.6,4.0,5,3.0,0.0006637990317548045,0.41814268687338607,0.47936507936507927
0.15,0.525,3.5,5,2.7,0.0007414716936946292,0.3977193545124555,0.47936239451444174
0.1,0.4,4.0,9,3.6,0.0008468225762384195,1.1679145920379468,0.47936507936507927
0.1,0.2,2.0,11,2.4,0.0009245159033074128,1.480689816336082,0.4333686114465404
0.1,0.30000000000000004,3.0,11,3.4000000000000004,0.0011021183915772663,1.2452757827995593,0.4789817754657822
0.12,0.36,3.0,7,2.64,0.0011745316314115495,0.942842660763181,0.47899846050299455
0.12,0.48,4.0,7,3.36,0.0015582387116840708,0.8169725815494561,0.47936507936507927
0.1,0.2,2.0,9,2.0,0.001580261623601026,1.173756638057524,0.4340766738272033
0.15,0.44999999999999996,3.0,5,2.4,0.0016145101410776107,0.6536357960156907,0.4790214184905831
0.1,0.15000000000000002,1.5,13,2.2,0.001960094768239886,1.9039389914968416,0.2963914484250341
0.1,0.35000000000000003,3.5,9,3.2,0.002231320500919418,1.3778181096772928,0.47936213090111635
0.12,0.24,2.0,7,1.92,0.0023944287707317905,1.1291074859015962,0.4353708159121496
0.1,0.30000000000000004,3.0,9,2.8000000000000003,0.0025387776036179515,1.0241495876459155,0.47898767598562075
0.08,0.2,2.5,13,2.72,0.0026004273065446106,1.8189416406045569,0.472779117309561
0.12,0.18,1.5,9,1.92,0.002640497672801107,1.8053135777496565,0.300848710943489
0.12,0.18,1.5,7,1.56,0.003255927883884361,1.405838148611511,0.3059258104747812
0.15,0.3,2.0,5,1.7999999999999998,0.003278445055283883,0.4019199918648315,0.43812577442295264
0.08,0.28,3.5,13,3.68,0.0035555838410656244,1.8757347379203135,0.4793620568950511
0.08,0.12,1.5,13,1.76,0.003916656969769742,1.983683037742586,0.2963914484250341
0.08,0.16,2.0,13,2.2399999999999998,0.003955917028527799,2.400948641190509,0.4329399406897425
0.1,0.25,2.5,11,2.9,0.004108393795780924,1.4487075462714185,0.47283992939153086
0.12,0.36,3.0,5,1.92,0.004190955715470539,0.6327763653225558,0.4790214184905831
0.12,0.42,3.5,7,3.0,0.004349704858437211,0.855645961302623,0.47936221515516003
0.1,0.15000000000000002,1.5,11,1.9000000000000004,0.004585958344856333,1.787118543432674,0.29807203396496956
0.15,0.22499999999999998,1.5,5,1.5,0.004990974713645137,0.9711174622889389,0.31674154879056965
0.12,0.48,4.0,5,2.4,0.0051053978760070865,0.6378448953361819,0.47936507936507927
0.08,0.12,1.5,11,1.52,0.0051762555934657005,1.8614275473637432,0.29807203396496956
0.1,0.15000000000000002,1.5,9,1.6,0.005241344532971365,1.6765847492451875,0.300848710943489
0.12,0.3,2.5,7,2.28,0.005253464251271059,0.7831125468420241,0.47312396607971624
0.06,0.09,1.5,13,1.32,0.005430231985511172,2.0248644374528597,0.2963914484250341
