support_radius,prime,exponent,m_log_p,coefficient
0.4,2,1,0.6931471805599453,-0.9802581434685472
0.55,2,1,0.6931471805599453,-0.9802581434685472
0.55,3,1,1.0986122886681098,-1.268568201195128
0.7,2,1,0.6931471805599453,-0.9802581434685472
0.7,3,1,1.0986122886681098,-1.268568201195128
0.7,2,2,1.3862943611198906,-0.6931471805599453
1.0,2,1,0.6931471805599453,-0.9802581434685472
1.0,3,1,1.0986122886681098,-1.268568201195128
1.0,2,2,1.3862943611198906,-0.6931471805599453
1.0,5,1,1.6094379124341003,-1.4395250311072008
1.0,7,1,1.9459101490553132,-1.4709698080219966
