t,psi
-10.0,0.0
-9.996,-2.4574350836279157e-07
-9.992,-0.0028872568035209047
-9.988,-0.06547965585848146
-9.984,-0.31124228379128976
-9.98,-0.7917922292754387
-9.976,-1.4735312840179722
-9.972,-2.2935346934765444
-9.968,-3.1924866850890665
-9.964,-4.124631333417248
-9.96,-5.05783914698192
-9.956,-5.9708343810248055
-9.952,-6.850227318327195
-9.948,-7.688101218455796
-9.944,-8.48023465527656
-9.94,-9.224849583664469
-9.936,-9.921749576359863
-9.932,-10.571734109278754
-9.928,-11.176203711920872
-9.924,-11.73689560627245
-9.92,-12.255708072818484
-9.916,-12.734584985707905
-9.912,-13.175441078636705
-9.908,-13.580114724161788
-9.904,-13.950339231979115
-9.9,-14.287726535521905
-9.896,-14.593759080997602
-9.892,-14.869787056928743
-9.888,-15.117029006189355
-9.884,-15.336574481468084
-9.88,-15.529387829910691
-9.876,-15.696312484776817
-9.872,-15.838075342870894
-9.868,-15.955290944618277
-9.864,-16.048465268342017
-9.86,-16.117999014919867
-9.856,-16.164190302818557
-9.852,-16.187236723003544
-9.848,-16.187236723003547
-9.844,-16.164190302818557
-9.84,-16.117999014919867
-9.836,-16.048465268342056
-9.832,-15.95529094461832
-9.828,-15.838075342870894
-9.824,-15.696312484776817
-9.82,-15.52938782991077
-9.816,-15.336574481468176
-9.812,-15.117029006189355
-9.808,-14.869787056928743
-9.804,-14.593759080997728
-9.8,-14.287726535522049
-9.796,-13.950339231979115
-9.792,-13.580114724161788
-9.788,-13.175441078636897
-9.784,-12.734584985708103
-9.78,-12.255708072818484
-9.776,-11.73689560627245
-9.772,-11.17620371192113
-9.768,-10.571734109279031
-9.764,-9.921749576359863
-9.76,-9.224849583664469
-9.756,-8.480234655276904
-9.752,-7.688101218456158
-9.748,-6.850227318327195
-9.744,-5.970834388437699
-9.74,-5.058768193776775
-9.736,-4.156155714489259
-9.732,-3.3643328716543053
-9.728,-2.7588927681002784
-9.724,-2.3691914962253606
-9.72,-2.2142696786110307
-9.716,-2.317235045880118
-9.712,-2.6803813964160454
-9.708,-3.2298841043156283
-9.704,-3.8274644970183815
-9.7,-4.4069115991745775
-9.696,-4.959727840700776
-9.692,-5.4828634351001835
-9.688,-5.974967347087765
-9.684,-6.4357915583409655
-9.68,-6.865785755849315
-9.676,-7.26582382035773
-9.672,-7.637020525305087
-9.668,-7.980609608957362
-9.664,-8.29786347802314
-9.66,-8.590041100083534
-9.656,-8.858354944362638
-9.652,-9.103950751813722
-9.648,-9.327895896662291
-9.644,-9.53117344655579
-9.64,-9.714679943747718
-9.636,-9.879225554403252
-9.632,-10.02553566065722
-9.628,-10.154253263428267
-9.624,-10.265941765654228
-9.62,-10.36108784434548
-9.616,-10.440104215227962
-9.612,-10.503332159170014
-9.608,-10.551043724268288
-9.604,-10.583443547798765
-9.6,-10.600670262675509
-9.596,-10.602797466766589
-9.592,-10.58983424267637
-9.588,-10.561725222134863
-9.584,-10.518350194304782
-9.58,-10.459523262323346
-9.576,-10.384991558415113
-9.572,-10.294433536247212
-9.568,-10.187456871449118
-9.564,-10.063596019481619
-9.56,-9.922309507194692
-9.556,-9.762977074497426
-9.552,-9.584896841346195
-9.548,-9.387282761038325
-9.544,-9.169262745633297
-9.54,-8.929878030786977
-9.536,-8.66808461118724
-9.532,-8.382757962146634
-9.528,-8.072702824057652
-9.524,-7.736670647950486
-9.52,-7.373388506695338
-9.516,-6.9816050522182715
-9.512,-6.560161717428222
-9.508,-6.108101220141035
-9.504,-5.6248310885332105
-9.5,-5.11036814521202
-9.496,-4.565701531161981
-9.492,-3.993327538042128
-9.488,-3.399875308655524
-9.484,-2.8900471748851224
-9.48,-2.8265954568041813
-9.475999999999999,-3.46963211329008
-9.472,-4.802490472779035
-9.468,-6.686206330530044
-9.464,-8.977688859544939
-9.46,-11.555308289039182
-9.456,-14.288421919238587
-9.452,-17.02620952633326
-9.448,-19.676736402341028
-9.443999999999999,-22.208938186052595
-9.44,-24.607572614250376
-9.436,-26.865594103849396
-9.432,-28.981295649731813
-9.428,-30.95636164939949
-9.424,-32.794552537333
-9.42,-34.50082240843986
-9.416,-36.080731396992675
-9.412,-37.54005806017195
-9.408,-38.884547218077124
-9.404,-40.11974935816091
-9.4,-41.25092174557193
-9.396,-42.28297089772364
-9.392,-43.22042254073243
-9.388,-44.06740955926825
-9.384,-44.82767144885089
-9.38,-45.50456083043183
-9.376,-46.101053993887334
-9.372,-46.61976340386505
-9.368,-47.0629507665161
-9.364,-47.43253971296356
-9.36,-47.73012746919739
-9.356,-47.95699509658136
-9.352,-48.114116032900796
-9.348,-48.20216276218229
-9.344,-48.221511507465365
-9.34,-48.17224488514827
-9.336,-48.054152490578204
-9.332,-47.866729408601934
-9.328,-47.60917266534616
-9.324,-47.28037566388345
-9.32,-46.87892068245776
-9.316,-46.40306956663407
-9.312,-45.85075282523877
-9.308,-45.21955745677875
-9.304,-44.506714005649144
-9.3,-43.709083600808455
-9.296,-42.82314609953792
-9.292,-41.84499099741352
-9.288,-40.77031354846378
-9.284,-39.59441967782982
-9.28,-38.31224492675055
-9.276,-36.91839508865321
-9.272,-35.407219735070846
-9.268,-33.77293502589039
-9.264,-32.00981984481615
-9.26,-30.112520573571125
-9.256,-28.07651643479559
-9.252,-25.898821739689026
-9.248,-23.579036872953566
-9.244,-21.120910374138663
-9.24,-18.53464320603503
-9.236,-15.839691216345502
-9.232,-13.016121860588669
-9.228,-9.85836868261974
-9.224,-6.227444183899685
-9.22,-2.2574724786988862
-9.216,1.7502446316181557
-9.212,5.454305598495427
-9.208,8.590529025532668
-9.204,11.13653637415703
-9.2,13.374340259532032
-9.196,15.516102418274906
-9.192,17.56517103339247
-9.188,19.508176871314983
-9.184,21.338688999952264
-9.18,23.054839693057524
-9.176,24.65767186467718
-9.172,26.150021506139588
-9.168,27.535767282672644
-9.164,28.819330240529048
-9.16,30.005343282285065
-9.156,31.098435648087786
-9.152,32.10309516191008
-9.148,33.02358291247664
-9.144,33.86388311621919
-9.14,34.62767639086765
-9.136,35.3183283955371
-9.132,35.9388883347757
-9.128,36.49209356228386
-9.124,36.98037771195938
-9.12,37.40588060294793
-9.116,37.770458728739065
-9.112,38.07569552779844
-9.108,38.32291089920078
-9.104,38.513169608656426
-9.1,38.647288354039794
-9.096,38.72584134307114
-9.092,38.749164291863806
-9.088,38.71735679076678
-9.084,38.63028301006144
-9.08,38.48757073790831
-9.076,38.28860876097544
-9.072,38.03254261867925
-9.068,37.71826878950963
-9.064,37.344427407958655
-9.06,36.90939367019958
-9.056,36.41126817544331
-9.052,35.84786658124275
-9.048,35.21670914394134
-9.044,34.51501099735048
-9.04,33.73967443317655
