iteration,h,d,dimension,lambda_min_exploratory,lambda_max_exploratory,gram_min_exploratory,step_h,step_d,improved,max_radius,nearest_boundary_n,nearest_boundary_lag,nearest_boundary_distance,status
0,0.16499999999999998,0.24,15,1.4197930197876772e-06,1.4397422484093751,0.2759661849674611,0.015,0.015,True,4.02,27,11,0.004163133995670476,NUMERICAL_CANDIDATE_ONLY
1,0.18,0.22499999999999998,15,4.368094832358771e-07,2.8751363820531,0.17777255612482326,0.015,0.015,True,3.869999999999999,9,13,0.007775422663780285,NUMERICAL_CANDIDATE_ONLY
2,0.195,0.20999999999999996,15,2.2902909464176855e-08,2.5036296639570486,0.0922908504060124,0.015,0.015,True,3.7199999999999998,2,7,0.0031471805599455616,NUMERICAL_CANDIDATE_ONLY
3,0.21000000000000002,0.22499999999999998,15,1.0422231957501288e-08,2.625682710372273,0.08979244187484399,0.015,0.015,True,3.9899999999999993,43,13,0.0037998843064375176,NUMERICAL_CANDIDATE_ONLY
4,0.21000000000000002,0.22499999999999998,15,1.0422231957501288e-08,2.625682710372273,0.08979244187484399,0.0075,0.0075,False,3.9899999999999993,43,13,0.0037998843064375176,NUMERICAL_CANDIDATE_ONLY
5,0.21000000000000002,0.22499999999999998,15,1.0422231957501288e-08,2.625682710372273,0.08979244187484399,0.00375,0.00375,False,3.9899999999999993,43,13,0.0037998843064375176,NUMERICAL_CANDIDATE_ONLY
6,0.21375000000000002,0.22499999999999998,15,1.9283019105241133e-09,2.588782046509251,0.08142194514053551,0.00375,0.00375,True,4.005,9,6,0.007775422663780396,NUMERICAL_CANDIDATE_ONLY
7,0.21750000000000003,0.22874999999999998,15,1.4600337535819161e-09,2.093848385070925,0.0810251662337533,0.00375,0.00375,True,4.0725,3,1,0.00013771133189033335,NUMERICAL_CANDIDATE_ONLY
8,0.21750000000000003,0.22874999999999998,15,1.4600337535819161e-09,2.093848385070925,0.0810251662337533,0.001875,0.001875,False,4.0725,3,1,0.00013771133189033335,NUMERICAL_CANDIDATE_ONLY
9,0.21750000000000003,0.22874999999999998,15,1.4600337535819161e-09,2.093848385070925,0.0810251662337533,0.0009375,0.0009375,False,4.0725,3,1,0.00013771133189033335,NUMERICAL_CANDIDATE_ONLY
10,0.21750000000000003,0.22874999999999998,15,1.4600337535819161e-09,2.093848385070925,0.0810251662337533,0.00046875,0.00046875,False,4.0725,3,1,0.00013771133189033335,NUMERICAL_CANDIDATE_ONLY
11,0.21750000000000003,0.22874999999999998,15,1.4600337535819161e-09,2.093848385070925,0.0810251662337533,0.000234375,0.000234375,False,4.0725,3,1,0.00013771133189033335,NUMERICAL_CANDIDATE_ONLY
12,0.21750000000000003,0.22851562499999997,15,1.3197955822649145e-09,2.124742353053739,0.08055490503931716,0.000234375,0.000234375,True,4.069218749999999,3,1,9.666366810967553e-05,NUMERICAL_CANDIDATE_ONLY
13,0.21750000000000003,0.22851562499999997,15,1.3197955822649145e-09,2.124742353053739,0.08055490503931716,0.0001171875,0.0001171875,False,4.069218749999999,3,1,9.666366810967553e-05,NUMERICAL_CANDIDATE_ONLY
