mu=-8.0e-04 lambda1=9.8478207699587145e-10 gap12=4.8234109526145902e-08 S1=1.037702144
mu=-4.0e-04 lambda1=1.1650350117385494e-09 gap12=5.3226893457074628e-08 S1=1.039325188
mu=-2.0e-04 lambda1=1.2648292237826886e-09 gap12=5.6060266931848109e-08 S1=1.040109136
mu=-1.0e-04 lambda1=1.3185488858946453e-09 gap12=5.7552831962421567e-08 S1=1.040492067
mu=-5.0e-05 lambda1=1.3489079910822051e-09 gap12=5.8314125519488104e-08 S1=1.040680969
mu=-1.0e-05 lambda1=1.3699541414048910e-09 gap12=5.8934499868464132e-08 S1=1.040830839
mu=+0.0e+00 lambda1=1.3750625532539230e-09 gap12=5.9090831018398931e-08 S1=1.040868122
mu=+1.0e-05 lambda1=1.3803342445230455e-09 gap12=5.9247491256237785e-08 S1=1.040905332
mu=+5.0e-05 lambda1=1.4039972928091275e-09 gap12=5.9875553668135518e-08 S1=1.041053385
mu=+1.0e-04 lambda1=1.4381746386493793e-09 gap12=6.0666146759540660e-08 S1=1.041236682
mu=+2.0e-04 lambda1=1.4997894088480047e-09 gap12=6.2280805088309995e-08 S1=1.041597244
mu=+4.0e-04 lambda1=1.6440102903312609e-09 gap12=6.5577809673839103e-08 S1=1.042292560
mu=+8.0e-04 lambda1=1.9995725432518357e-09 gap12=7.2218902790686630e-08 S1=1.043577963
