stage,h,d,sigma,exploratory_lambda_min,note
baseline,0.150000000,0.225000000,0.000000000,9.738409714864822023e-04,RH-W-12 centered dictionary
mismatch_candidate_coherent,0.179195000,0.178232000,0.011469000,8.761993546264508342e-08,same rounded parameters used for both M and G
sigma_scan,0.179700000,0.178600000,-0.030000000,1.987419559198120192e-07,relative channel shift scan
sigma_scan,0.179700000,0.178600000,-0.020000000,1.344832208059699856e-07,relative channel shift scan
sigma_scan,0.179700000,0.178600000,-0.010000000,6.853259882248494632e-08,relative channel shift scan
sigma_scan,0.179700000,0.178600000,0.000000000,3.995881685102565038e-08,relative channel shift scan
sigma_scan,0.179700000,0.178600000,0.010000000,6.853259875570849512e-08,relative channel shift scan
sigma_scan,0.179700000,0.178600000,0.020000000,1.344832203596259211e-07,relative channel shift scan
sigma_scan,0.179700000,0.178600000,0.030000000,1.987419556735384868e-07,relative channel shift scan
hd_local_grid,0.177700000,0.174700000,0.000000000,2.444826874170768882e-07,centered local continuation
hd_local_grid,0.177700000,0.176600000,0.000000000,1.643644550962821935e-07,centered local continuation
hd_local_grid,0.177700000,0.177700000,0.000000000,8.417677788525480444e-08,centered local continuation
hd_local_grid,0.177700000,0.178800000,0.000000000,5.344002025085652378e-08,centered local continuation
hd_local_grid,0.177700000,0.180700000,0.000000000,3.974707526314643325e-07,centered local continuation
hd_local_grid,0.178700000,0.175700000,0.000000000,1.985701491937340856e-07,centered local continuation
hd_local_grid,0.178700000,0.177600000,0.000000000,8.211085305128944240e-08,centered local continuation
hd_local_grid,0.178700000,0.178700000,0.000000000,4.297423426408322731e-08,centered local continuation
hd_local_grid,0.178700000,0.179800000,0.000000000,1.417283602249970367e-07,centered local continuation
hd_local_grid,0.178700000,0.181700000,0.000000000,7.084990792027187201e-07,centered local continuation
hd_local_grid,0.179700000,0.176700000,0.000000000,1.365209979410826660e-07,centered local continuation
hd_local_grid,0.179700000,0.178600000,0.000000000,3.995881685102565038e-08,centered local continuation
hd_local_grid,0.179700000,0.179700000,0.000000000,1.141522128742062441e-07,centered local continuation
hd_local_grid,0.179700000,0.180800000,0.000000000,3.565815211637329436e-07,centered local continuation
hd_local_grid,0.179700000,0.182700000,0.000000000,1.004728398653876808e-06,centered local continuation
hd_local_grid,0.180700000,0.177700000,0.000000000,7.319016183908007281e-08,centered local continuation
hd_local_grid,0.180700000,0.179600000,0.000000000,9.551726378746085080e-08,centered local continuation
hd_local_grid,0.180700000,0.180700000,0.000000000,3.025424504662083649e-07,centered local continuation
hd_local_grid,0.180700000,0.181800000,0.000000000,6.183897826556939986e-07,centered local continuation
hd_local_grid,0.180700000,0.183700000,0.000000000,1.238562247294215246e-06,centered local continuation
hd_local_grid,0.181700000,0.178700000,0.000000000,4.716310296426995985e-08,centered local continuation
hd_local_grid,0.181700000,0.180600000,0.000000000,2.588062344996960990e-07,centered local continuation
hd_local_grid,0.181700000,0.181700000,0.000000000,5.357179121338418778e-07,centered local continuation
hd_local_grid,0.181700000,0.182800000,0.000000000,8.491611898376031282e-07,centered local continuation
hd_local_grid,0.181700000,0.184700000,0.000000000,1.405540266084909849e-06,centered local continuation
