basis_index,coefficient
0,0.18441214179030274
1,-0.30587166700731983
2,-0.31145822046508953
3,-0.39575568782637821
4,-0.082113782927084336
5,0.57611073453932171
6,0.69199048509279137
7,0.7026599360991429
8,-0.012374509025688069
9,-0.21437827196738996
10,-0.40528065210798064
11,-0.25473202750963786
12,-0.60336236397084519
13,-0.14211233563312109
14,-0.019257331887012591
15,-0.042187562803133349
16,0.69010327151509665
17,0.43887379766083562
18,0.28001227464471756
19,-0.079058728742243983
20,-0.45841733068511764
21,-0.57396654818043824
22,0.21379281337705369
23,0.21457816101160976
