q,dimension,positive_arithmetic_dimension,negative_arithmetic_dimension,max_arithmetic_eigenvalue,arithmetic_floor,target_grid_max,arithmetic_value,axis_prefix_mass,derivative_energy,feasible
0,22,12,10,5.893818749919208,0.001,-1.953263445304263e-05,0.3814824089285419,0.1916860152111991,453.5452113496157,True
1,21,11,10,4.839517314317612,0.001,-1.9207112321597557e-05,0.2771403050732461,0.13951119017514058,451.81801067516193,True
2,20,10,10,4.2433509988697296,0.001,-6.303612480212709e-07,0.2273601737100161,0.11458878961358857,436.164270472963,True
3,19,9,10,0.6645133792071946,0.001,-6.135690626625525e-07,0.12175287330764964,0.06177340010047775,430.5201044094243,True
4,18,8,10,0.4211189861391592,0.001,-5.942731430221037e-07,0.084461312689356,0.043210913778715054,470.4733736351268,True
5,17,7,10,0.0748157891986601,0.001,1.0375268780739521e-10,0.005785642949126222,0.003032228502871077,67.427205509216,True
6,16,6,10,0.014647689229708051,0.0007323844614854026,-1.1469526200788747e-11,0.0010557758250159467,0.0006122291586350304,40.87230703638929,True
8,14,4,10,0.0029030258791664034,0.00014515129395832016,-1.989046945323511e-11,0.0005640690509722996,0.00036363972544065993,39.32418190458582,True
10,12,2,10,0.0020316840748325895,0.00010158420374162948,-5.34626161856923e-10,0.0002970928482058785,0.0003778598852492945,110.48266570490954,True
12,10,1,9,0.0011935555222352785,5.9677776111763925e-05,-1.5359900471933795e-07,5.967777471041953e-05,0.0004668355334303892,209.86030920686716,True
15,7,0,7,-0.0001426028816961334,,,,,,False
