x,y,block
20.0,-0.2,-2.636778866044856e-05
20.0025,-0.2,-2.5415625778656927e-05
20.005,-0.2,-2.448804903694347e-05
20.0075,-0.2,-2.3584753720818502e-05
20.01,-0.2,-2.2705428876283642e-05
20.0125,-0.2,-2.184975768842298e-05
20.015,-0.2,-2.1017417853636538e-05
20.0175,-0.2,-2.0208081945525696e-05
20.02,-0.2,-1.942141777436151e-05
20.0225,-0.2,-1.8657088740154417e-05
20.025,-0.2,-1.7914754179279535e-05
20.0275,-0.2,-1.7194069704671876e-05
20.03,-0.2,-1.649468753954408e-05
20.0325,-0.2,-1.5816256844655694e-05
20.035,-0.2,-1.5158424039064486e-05
20.0375,-0.2,-1.452083311445232e-05
20.04,-0.2,-1.3903125942907012e-05
20.0425,-0.2,-1.330494257823471e-05
20.045,-0.2,-1.2725921550768853e-05
20.0475,-0.2,-1.2165700155725159e-05
20.05,-0.2,-1.1623914735000421e-05
20.0525,-0.2,-1.1100200952551676e-05
20.055,-0.2,-1.0594194063263965e-05
20.0575,-0.2,-1.0105529175379443e-05
20.06,-0.2,-9.63384150644373e-06
20.0625,-0.2,-9.178766632837339e-06
20.065,-0.2,-8.739940732866633e-06
20.0675,-0.2,-8.317000823456175e-06
20.07,-0.2,-7.909584990443195e-06
20.0725,-0.2,-7.517332612514669e-06
20.075,-0.2,-7.139884578792708e-06
20.0775,-0.2,-6.776883500096958e-06
20.08,-0.2,-6.427973913923357e-06
20.0825,-0.2,-6.092802483143136e-06
20.085,-0.2,-5.7710181884728085e-06
20.0875,-0.2,-5.462272514749759e-06
20.09,-0.2,-5.166219631001653e-06
20.0925,-0.2,-4.882516564422238e-06
20.095,-0.2,-4.610823368220609e-06
20.0975,-0.2,-4.350803283408202e-06
20.1,-0.2,-4.1021228945751865e-06
20.1025,-0.2,-3.864452279679009e-06
20.105,-0.2,-3.637465153886951e-06
20.1075,-0.2,-3.420839007545455e-06
20.11,-0.2,-3.2142552382653635e-06
20.1125,-0.2,-3.017399277260682e-06
20.115,-0.2,-2.829960709872068e-06
20.1175,-0.2,-2.6516333904347557e-06
20.12,-0.2,-2.4821155514774506e-06
20.1225,-0.2,-2.3211099073223504e-06
20.125,-0.2,-2.168323752145569e-06
20.1275,-0.2,-2.0234690525559723e-06
20.13,-0.2,-1.8862625347225097e-06
20.1325,-0.2,-1.7564257661591752e-06
20.135,-0.2,-1.6336852321644111e-06
20.1375,-0.2,-1.5177724070301375e-06
20.14,-0.2,-1.4084238200461603e-06
20.1425,-0.2,-1.3053811163847312e-06
20.145,-0.2,-1.2083911129146409e-06
20.1475,-0.2,-1.1172058490171444e-06
20.15,-0.2,-1.031582632468802e-06
20.1525,-0.2,-9.512840804574386e-07
20.155,-0.2,-8.760781557990708e-07
20.1575,-0.2,-8.057381984257082e-07
20.16,-0.2,-7.400429522149785e-07
20.1625,-0.2,-6.787765872316206e-07
20.165,-0.2,-6.217287174475222e-07
20.1675,-0.2,-5.686944140266403e-07
20.17,-0.2,-5.194742142273843e-07
20.1725,-0.2,-4.738741260253487e-07
20.175,-0.2,-4.3170562849792293e-07
20.1775,-0.2,-3.927856680759103e-07
20.18,-0.2,-3.569366507194477e-07
20.1825,-0.2,-3.2398643010559044e-07
20.185,-0.2,-2.9376829190400106e-07
20.1875,-0.2,-2.6612093421052507e-07
20.19,-0.2,-2.4088844423200963e-07
20.1925,-0.2,-2.1792027129019554e-07
20.195,-0.2,-1.9707119623136552e-07
20.1975,-0.2,-1.7820129731837254e-07
20.2,-0.2,-1.6117591268751071e-07
20.2025,-0.2,-1.4586559945577879e-07
20.205,-0.2,-1.3214608955105597e-07
20.2075,-0.2,-1.198982423593597e-07
20.21,-0.2,-1.0900799426088172e-07
20.2125,-0.2,-9.936630514513082e-08
20.215,-0.2,-9.086910198547166e-08
20.2175,-0.2,-8.341721955776673e-08
20.22,-0.2,-7.69163383852757e-08
20.2225,-0.2,-7.12769199944638e-08
20.225,-0.2,-6.641413956770957e-08
20.2275,-0.2,-6.22478160749222e-08
20.23,-0.2,-5.8702339968459664e-08
