patch_id,tail_only_optimal_single_point_alpha,hybrid_optimal_single_point_alpha,tail_only_alpha_2_min_eigenvalue,primary_alpha_2_min_eigenvalue,stress_rho_1e_6_alpha_2_min_eigenvalue,axis_only_alpha_2_min_eigenvalue,dual_lower_bound,finite_floating_dual_pass
X0_Y0,3.2218994079433774,3.6819553167669916,0.031041470858530953,3.1042101910186086e-05,1.6148647147402253e-08,-2.1563520297408085e-07,2.0,True
X1_Y0,3.0371512579813302,3.4446340822454036,0.03104147394012619,3.104229438674912e-05,3.092425800291097e-08,-1.5055832103648633e-07,2.0,True
X2_Y0,3.0128899398709117,3.1226737819022627,0.031041478370752832,3.104242267483654e-05,3.1022219293714516e-08,-1.1127262617670358e-06,2.0,True
X0_Y1,4.561870969320457,5.255283742140585,0.031041476350190958,3.1042235931990984e-05,3.104371133926076e-08,-6.047988707567178e-09,2.0,True
X1_Y1,4.304072829110326,4.9205964423713455,0.031041477136379836,3.104234611180927e-05,3.104373372658818e-08,-2.7198772097623885e-10,2.0,True
X2_Y1,4.270687759277167,4.466983467910441,0.031041478719565186,3.10424173999203e-05,3.1044410155275434e-08,-1.2573330771100384e-10,2.0,True
x0_Y2,6.472065548741606,7.32432667871372,0.031041478843735974,3.104227225668702e-05,3.104444335892e-08,-1.364217714422898e-13,2.0,True
x1_Y2,6.269426036190538,7.320474490438703,0.0310414781663264,3.104230121235913e-05,3.104428100859862e-08,-5.985481204732355e-14,2.0,True
x2_Y2,6.0709699011179765,7.070699777775239,0.03104147809958918,3.104234308480843e-05,3.1044253302281026e-08,-1.1121063289339747e-15,2.0,True
x3_Y2,5.93963485130312,6.698910591411161,0.031041478413156697,3.1042384328349065e-05,3.104435951425865e-08,-6.076787601703308e-16,2.0,True
x4_Y2,5.920488153574008,6.35652248857202,0.031041478785395902,3.1042410397169256e-05,3.104454472795166e-08,-1.849611386727212e-15,2.0,True
x5_Y2,6.039412364630682,6.160416553448276,0.031041478936867022,3.104240997422213e-05,3.104472768526038e-08,-7.251538795572884e-14,2.0,True
x0_Y3,8.706214521390356,9.891210694418081,0.03104147983515335,3.104230143762073e-05,3.104457512098855e-08,-2.922756923710749e-16,2.0,True
x1_Y3,8.435656949283599,9.886020547724652,0.03104147905194143,3.10423235329548e-05,3.104446355766066e-08,-4.606704394797758e-17,2.0,True
x2_Y3,8.170485806980054,9.550636501878639,0.031041478754022276,3.104235623795093e-05,3.1044438978353736e-08,-8.114302334813115e-17,2.0,True
x3_Y3,7.995000072071326,9.051550381327932,0.031041478786198,3.104238850238401e-05,3.104450643194601e-08,-3.379930111359728e-17,2.0,True
x4_Y3,7.969638366942507,8.592049326418575,0.031041478929958375,3.104240872691809e-05,3.104463039292086e-08,-1.4429022245659873e-16,2.0,True
x5_Y3,8.129163903588394,8.32904774407948,0.03104147899818775,3.104240838364262e-05,3.104475383148371e-08,-2.4418929376488183e-17,2.0,True
