basis_index,coefficient
0.000000000000000000e+00,-3.034919362686945912e-02
1.000000000000000000e+00,-8.258259062644582316e-02
2.000000000000000000e+00,-1.198112395081693399e-01
3.000000000000000000e+00,-3.225546842662731228e-02
4.000000000000000000e+00,1.340936449699365873e-01
5.000000000000000000e+00,1.783424899419480680e-01
6.000000000000000000e+00,-9.017410655616436149e-03
7.000000000000000000e+00,-2.657137355458761285e-01
8.000000000000000000e+00,-3.057121533130115476e-01
9.000000000000000000e+00,-4.928063023563911821e-02
1.000000000000000000e+01,2.583515277799957044e-01
1.100000000000000000e+01,3.055668238108231738e-01
1.200000000000000000e+01,5.890923063716568125e-02
1.300000000000000000e+01,-2.034529797010241337e-01
1.400000000000000000e+01,-2.174848060394057592e-01
1.500000000000000000e+01,-1.814536382592219291e-02
1.600000000000000000e+01,1.424094494832917335e-01
1.700000000000000000e+01,1.332460216793771302e-01
1.800000000000000000e+01,8.527732327541852342e-02
1.900000000000000000e+01,1.589217726702202849e-01
2.000000000000000000e+01,2.630367657739240972e-01
2.100000000000000000e+01,1.501892350242095275e-01
2.200000000000000000e+01,-1.883732059565298433e-01
2.300000000000000000e+01,-3.550545781809782420e-01
