t,psi
-3.000000000000000000e+00,0.000000000000000000e+00
-2.997500000000000053e+00,-5.825578334492777847e-11
-2.995000000000000107e+00,-9.455960131631736736e-06
-2.992500000000000160e+00,-5.148625013077532753e-04
-2.990000000000000213e+00,-3.793691475666834557e-03
-2.987499999999999822e+00,-1.255944347414708444e-02
-2.984999999999999876e+00,-2.786976606719405308e-02
-2.982499999999999929e+00,-4.920399229884243886e-02
-2.979999999999999982e+00,-7.530012852804371382e-02
-2.977500000000000036e+00,-1.047608757071346458e-01
-2.975000000000000089e+00,-1.363383068088107886e-01
-2.972500000000000142e+00,-1.690235393666311148e-01
-2.970000000000000195e+00,-2.020458857326170310e-01
-2.967499999999999805e+00,-2.348386404108027403e-01
-2.964999999999999858e+00,-2.669978145862234586e-01
-2.962499999999999911e+00,-2.982442608713545273e-01
-2.959999999999999964e+00,-3.283923604648609773e-01
-2.957500000000000018e+00,-3.573254317844450911e-01
-2.955000000000000071e+00,-3.849769542424982816e-01
-2.952500000000000124e+00,-4.113164657996051243e-01
-2.950000000000000178e+00,-4.363390770386002537e-01
-2.947499999999999787e+00,-4.600577253743925454e-01
-2.944999999999999840e+00,-4.824974805840727132e-01
-2.942499999999999893e+00,-5.036913754718799208e-01
-2.939999999999999947e+00,-5.236773660665267061e-01
-2.937500000000000000e+00,-5.424961265544473443e-01
-2.935000000000000053e+00,-5.601894603010253437e-01
-2.932500000000000107e+00,-5.767991651375480311e-01
-2.930000000000000160e+00,-5.923662332171066858e-01
-2.927500000000000213e+00,-6.069302968698927492e-01
-2.924999999999999822e+00,-6.205292548635243932e-01
-2.922499999999999876e+00,-6.331990304364717437e-01
-2.919999999999999929e+00,-6.449734250095652266e-01
-2.917499999999999982e+00,-6.558840407609893841e-01
-2.915000000000000036e+00,-6.659602521325246327e-01
-2.912500000000000089e+00,-6.752292114479423457e-01
-2.910000000000000142e+00,-6.837158776298082330e-01
-2.907500000000000195e+00,-6.914430598371886783e-01
-2.904999999999999805e+00,-6.984314699630109757e-01
-2.902499999999999858e+00,-7.046997795098828288e-01
-2.899999999999999911e+00,-7.102646775429669601e-01
-2.897499999999999964e+00,-7.151409272987271359e-01
-2.895000000000000018e+00,-7.193414196841891872e-01
-2.892500000000000071e+00,-7.228772223886731352e-01
-2.890000000000000124e+00,-7.257576236908317435e-01
-2.887500000000000178e+00,-7.279901703098957677e-01
-2.884999999999999787e+00,-7.295806988452667730e-01
-2.882499999999999840e+00,-7.305333604913271106e-01
-2.879999999999999893e+00,-7.308506388188018565e-01
-2.877499999999999947e+00,-7.305333604913271106e-01
-2.875000000000000000e+00,-7.295806988452667730e-01
-2.872500000000000053e+00,-7.279901703130403634e-01
-2.870000000000000107e+00,-7.257605320244659985e-01
-2.867500000000000160e+00,-7.230924053373466442e-01
-2.865000000000000213e+00,-7.211033432823600320e-01
-2.862499999999999822e+00,-7.212631333007788470e-01
-2.859999999999999876e+00,-7.242098018159490724e-01
-2.857499999999999929e+00,-7.297095084840117263e-01
-2.854999999999999982e+00,-7.370965802386376664e-01
-2.852500000000000036e+00,-7.456112144020032861e-01
-2.850000000000000089e+00,-7.545628489993769783e-01
-2.847500000000000142e+00,-7.633840817074265539e-01
-2.845000000000000195e+00,-7.716328238353099556e-01
-2.842499999999999805e+00,-7.789749112152757338e-01
-2.839999999999999858e+00,-7.851621915919838601e-01
-2.837499999999999911e+00,-7.900121429540177820e-01
-2.834999999999999964e+00,-7.933909353778130225e-01
-2.832500000000000018e+00,-7.952001176515749448e-01
-2.830000000000000071e+00,-7.953664886529218103e-01
-2.827500000000000124e+00,-7.938345694710643441e-01
-2.825000000000000178e+00,-7.905611351893639949e-01
-2.822499999999999787e+00,-7.855113685737021845e-01
-2.819999999999999840e+00,-7.786563106026105352e-01
-2.817499999999999893e+00,-7.699713874339014774e-01
-2.814999999999999947e+00,-7.594358871281741141e-01
-2.812500000000000000e+00,-7.470333453333353191e-01
-2.810000000000000053e+00,-7.327528826820375318e-01
-2.807500000000000107e+00,-7.165916244155264847e-01
-2.805000000000000160e+00,-6.985584318387392244e-01
-2.802500000000000213e+00,-6.786792929732851087e-01
-2.799999999999999822e+00,-6.570048628736656626e-01
-2.797499999999999876e+00,-6.336208159417371366e-01
-2.794999999999999929e+00,-6.086618669718708574e-01
-2.792499999999999982e+00,-5.823305035857626599e-01
-2.790000000000000036e+00,-5.549215605706407928e-01
-2.787500000000000089e+00,-5.268535343845933694e-01
-2.785000000000000142e+00,-4.987064727710697754e-01
-2.782500000000000195e+00,-4.712632628349745501e-01
-2.779999999999999805e+00,-4.455438712575064963e-01
-2.777499999999999858e+00,-4.228062240891978241e-01
-2.774999999999999911e+00,-4.044565649632172466e-01
-2.772499999999999964e+00,-3.917648078055341321e-01
-2.770000000000000018e+00,-3.852585441139038669e-01
-2.767500000000000071e+00,-3.838860813967246433e-01
-2.765000000000000124e+00,-3.849389281808483498e-01
-2.762500000000000178e+00,-3.861436961966359660e-01
-2.759999999999999787e+00,-3.870170655626171130e-01
-2.757499999999999840e+00,-3.875518602253002487e-01
-2.754999999999999893e+00,-3.877494744329652021e-01
-2.752499999999999947e+00,-3.876104230803073536e-01
-2.750000000000000000e+00,-3.871343438795278868e-01
-2.747500000000000053e+00,-3.863199957910906090e-01
-2.745000000000000107e+00,-3.851639774705227226e-01
-2.742500000000000160e+00,-3.835339195621048081e-01
-2.740000000000000213e+00,-3.805993143020865999e-01
-2.737499999999999822e+00,-3.751528640908367018e-01
-2.734999999999999876e+00,-3.666007531574063116e-01
-2.732499999999999929e+00,-3.550653847292148391e-01
-2.729999999999999982e+00,-3.410410787136183286e-01
-2.727500000000000036e+00,-3.251120262902322255e-01
-2.725000000000000089e+00,-3.078116319005254620e-01
-2.722500000000000142e+00,-2.895739920802579137e-01
-2.719999999999999751e+00,-2.707297914105723513e-01
-2.717499999999999805e+00,-2.515193607983255419e-01
-2.714999999999999858e+00,-2.321100363158435931e-01
-2.712499999999999911e+00,-2.126125660739459078e-01
-2.709999999999999964e+00,-1.930948605141389884e-01
-2.707500000000000018e+00,-1.735928812471536076e-01
-2.705000000000000071e+00,-1.541190153025741305e-01
-2.702500000000000124e+00,-1.346684242946091237e-01
-2.700000000000000178e+00,-1.152238403964915836e-01
-2.697499999999999787e+00,-9.575921264624297213e-02
-2.694999999999999840e+00,-7.624253332707249531e-02
-2.692499999999999893e+00,-5.663811190717462501e-02
-2.689999999999999947e+00,-3.690851830709822312e-02
-2.687500000000000000e+00,-1.701638865724639307e-02
-2.685000000000000053e+00,3.073725378622432693e-03
-2.682500000000000107e+00,2.339327856586248186e-02
-2.680000000000000160e+00,4.396721957631186117e-02
-2.677500000000000213e+00,6.481079986025613249e-02
-2.674999999999999822e+00,8.592540221678234003e-02
-2.672499999999999876e+00,1.072930100843299123e-01
-2.669999999999999929e+00,1.288688454035741004e-01
-2.667499999999999982e+00,1.505716095054938919e-01
-2.665000000000000036e+00,1.722707121839496813e-01
-2.662500000000000089e+00,1.937699786370582489e-01
-2.660000000000000142e+00,2.147878353308318167e-01
-2.657499999999999751e+00,2.349354491439879511e-01
-2.654999999999999805e+00,2.536978833479383022e-01
-2.652499999999999858e+00,2.704312314904779302e-01
-2.649999999999999911e+00,2.844042371527562008e-01
-2.647499999999999964e+00,2.949375288799269690e-01
-2.645000000000000018e+00,3.017088197791071291e-01
-2.642500000000000071e+00,3.051971841701794363e-01
-2.640000000000000124e+00,3.067974199802538382e-01
-2.637500000000000178e+00,3.077975260165045635e-01
-2.634999999999999787e+00,3.085174094392463817e-01
-2.632499999999999840e+00,3.089672183534530880e-01
-2.629999999999999893e+00,3.091481257982301445e-01
-2.627499999999999947e+00,3.090606031527657893e-01
-2.625000000000000000e+00,3.087044223876415083e-01
-2.622500000000000053e+00,3.080786550771210108e-01
-2.620000000000000107e+00,3.071828271768541896e-01
-2.617500000000000160e+00,3.061892882814052919e-01
-2.615000000000000213e+00,3.064145106041341604e-01
-2.612499999999999822e+00,3.099857330108515274e-01
-2.609999999999999876e+00,3.180514209778235180e-01
-2.607499999999999929e+00,3.304674764983796531e-01
-2.604999999999999982e+00,3.463818629807970950e-01
-2.602500000000000036e+00,3.647501442926732174e-01
-2.600000000000000089e+00,3.846006097926122913e-01
-2.597500000000000142e+00,4.051293692929195944e-01
-2.594999999999999751e+00,4.257118628144191397e-01
-2.592499999999999805e+00,4.458813705173243491e-01
-2.589999999999999858e+00,4.652987093041136557e-01
-2.587499999999999911e+00,4.837231346291410716e-01
-2.584999999999999964e+00,5.009878032991877950e-01
-2.582500000000000018e+00,5.169803134815498247e-01
-2.580000000000000071e+00,5.316277799900045453e-01
-2.577500000000000124e+00,5.448856196591638223e-01
-2.575000000000000178e+00,5.567292468395723670e-01
-2.572499999999999787e+00,5.671480071715648830e-01
-2.569999999999999840e+00,5.761408239034544465e-01
-2.567499999999999893e+00,5.837131641007478056e-01
-2.564999999999999947e+00,5.898750442461143662e-01
-2.562500000000000000e+00,5.946398873257233708e-01
-2.560000000000000053e+00,5.980241211917476374e-01
-2.557500000000000107e+00,6.000474762931278239e-01
-2.555000000000000160e+00,6.007340052569316580e-01
-2.552500000000000213e+00,6.001139124215951748e-01
-2.549999999999999822e+00,5.982263527685975912e-01
-2.547499999999999876e+00,5.951234397851034030e-01
-2.544999999999999929e+00,5.908757898923802099e-01
-2.542499999999999982e+00,5.855800172811144177e-01
-2.540000000000000036e+00,5.793686457973002968e-01
-2.537500000000000089e+00,5.724228435423466266e-01
-2.535000000000000142e+00,5.649880236358122421e-01
-2.532499999999999751e+00,5.573912773941068766e-01
-2.529999999999999805e+00,5.500569486212701920e-01
-2.527499999999999858e+00,5.435107575558155713e-01
-2.524999999999999911e+00,5.383511277124408689e-01
-2.522499999999999964e+00,5.351472096056958394e-01
-2.520000000000000018e+00,5.342086172227457075e-01
-2.517500000000000071e+00,5.352337343494398825e-01
-2.515000000000000124e+00,5.371667069677485973e-01
-2.512500000000000178e+00,5.389349516952950392e-01
-2.509999999999999787e+00,5.402370000254158589e-01
-2.507499999999999840e+00,5.410658125505758420e-01
-2.504999999999999893e+00,5.414235496322609142e-01
-2.502499999999999947e+00,5.413111434370393438e-01
-2.500000000000000000e+00,5.407283011086332358e-01
-2.497500000000000053e+00,5.396735034992892199e-01
-2.495000000000000107e+00,5.381443373238020689e-01
-2.492499999999999716e+00,5.362165772119860119e-01
-2.490000000000000213e+00,5.346034804898588400e-01
-2.487499999999999822e+00,5.345913351362515664e-01
-2.484999999999999876e+00,5.369424821565736972e-01
-2.482499999999999929e+00,5.416197361888605011e-01
-2.479999999999999982e+00,5.481239804431277118e-01
-2.477500000000000036e+00,5.558181306637336450e-01
-2.475000000000000089e+00,5.640991326240847314e-01
-2.472500000000000142e+00,5.724619512450287440e-01
-2.469999999999999751e+00,5.805093804030864169e-01
-2.467500000000000249e+00,5.879400155092973090e-01
-2.464999999999999858e+00,5.945300611280287528e-01
-2.462499999999999911e+00,6.001155532368486201e-01
-2.459999999999999964e+00,6.045772613810982410e-01
-2.457500000000000018e+00,6.078286816510752866e-01
-2.455000000000000071e+00,6.098068308723342268e-01
-2.452500000000000124e+00,6.104653572489320279e-01
-2.450000000000000178e+00,6.097694912617490637e-01
-2.447499999999999787e+00,6.076924395147315083e-01
-2.444999999999999840e+00,6.042129182190684178e-01
-2.442499999999999893e+00,5.993136120142934509e-01
-2.439999999999999947e+00,5.929804229995139231e-01
-2.437500000000000000e+00,5.852024456779759687e-01
-2.435000000000000053e+00,5.759726700068650285e-01
-2.432500000000000107e+00,5.652894818873305249e-01
-2.429999999999999716e+00,5.531591036780048043e-01
-2.427500000000000213e+00,5.395992023199573939e-01
-2.424999999999999822e+00,5.246439947748069432e-01
-2.422499999999999876e+00,5.083513033005331305e-01
-2.419999999999999929e+00,4.908121546902125543e-01
-2.417499999999999982e+00,4.721636615319524388e-01
-2.415000000000000036e+00,4.526060184899128869e-01
-2.412500000000000089e+00,4.324243616221014608e-01
-2.410000000000000142e+00,4.120156676757236180e-01
-2.407499999999999751e+00,3.919191350691393350e-01
-2.405000000000000249e+00,3.728441635071720883e-01
-2.402499999999999858e+00,3.556803697851999013e-01
-2.399999999999999911e+00,3.414545763069537498e-01
-2.397499999999999964e+00,3.311670913164837526e-01
-2.395000000000000018e+00,3.254109761861022632e-01
-2.392500000000000071e+00,3.237643462730848132e-01
-2.390000000000000124e+00,3.244603313715943571e-01
-2.387500000000000178e+00,3.255321940127949287e-01
-2.384999999999999787e+00,3.263438099011292115e-01
-2.382499999999999840e+00,3.268693626490878357e-01
-2.379999999999999893e+00,3.271102166346185891e-01
-2.377499999999999947e+00,3.270669994836565841e-01
-2.375000000000000000e+00,3.267395986019646092e-01
-2.372500000000000053e+00,3.261271606873550333e-01
-2.370000000000000107e+00,3.252281691575588107e-01
-2.367499999999999716e+00,3.240719380733440569e-01
-2.365000000000000213e+00,3.229987726983835072e-01
-2.362499999999999822e+00,3.226958892191982287e-01
-2.359999999999999876e+00,3.236105314408331823e-01
-2.357499999999999929e+00,3.257537597132613705e-01
-2.354999999999999982e+00,3.288705483745278380e-01
-2.352500000000000036e+00,3.326199213492703755e-01
-2.350000000000000089e+00,3.366738251413093352e-01
-2.347500000000000142e+00,3.407552083536516396e-01
-2.344999999999999751e+00,3.446449586127349196e-01
-2.342500000000000249e+00,3.481760340402769716e-01
-2.339999999999999858e+00,3.512237983028870247e-01
-2.337499999999999911e+00,3.536963902505588786e-01
-2.334999999999999964e+00,3.555264792250040773e-01
-2.332500000000000018e+00,3.566646819265488766e-01
-2.330000000000000071e+00,3.570745046713086901e-01
-2.327500000000000124e+00,3.567285550682560147e-01
-2.325000000000000178e+00,3.556057662540796360e-01
-2.322499999999999787e+00,3.536894178646263209e-01
-2.319999999999999840e+00,3.509657888229207878e-01
-2.317499999999999893e+00,3.474233259599932011e-01
-2.314999999999999947e+00,3.430522564614320591e-01
-2.312500000000000000e+00,3.378446118578054547e-01
-2.310000000000000053e+00,3.317946689546927841e-01
-2.307500000000000107e+00,3.248998515480440719e-01
-2.304999999999999716e+00,3.171621791178569905e-01
-2.302500000000000213e+00,3.085903982249195709e-01
-2.299999999999999822e+00,2.992029922269874853e-01
-2.297499999999999876e+00,2.890323374380300847e-01
-2.294999999999999929e+00,2.781303581985429263e-01
-2.292499999999999982e+00,2.665761206440603326e-01
-2.290000000000000036e+00,2.544858668285812642e-01
-2.287500000000000089e+00,2.420259540256647079e-01
-2.285000000000000142e+00,2.294288562598806591e-01
-2.282499999999999751e+00,2.170114233582291774e-01
-2.280000000000000249e+00,2.051921677177914738e-01
-2.277499999999999858e+00,1.944988758241767979e-01
-2.274999999999999911e+00,1.855466962155971067e-01
-2.272499999999999964e+00,1.789477691576863982e-01
-2.270000000000000018e+00,1.750946381756467440e-01
-2.267500000000000071e+00,1.738001285204625879e-01
-2.265000000000000124e+00,1.740565540239732145e-01
-2.262500000000000178e+00,1.746352202573416279e-01
-2.259999999999999787e+00,1.750841195595621291e-01
-2.257499999999999840e+00,1.753794441132771331e-01
-2.254999999999999893e+00,1.755219513981910173e-01
-2.252499999999999947e+00,1.755120127814424613e-01
-2.250000000000000000e+00,1.753496023699577799e-01
-2.247500000000000053e+00,1.750342968982740166e-01
-2.245000000000000107e+00,1.745653253397982108e-01
-2.242499999999999716e+00,1.739772195620131467e-01
-2.240000000000000213e+00,1.737404554367445730e-01
-2.237499999999999822e+00,1.749200542398462177e-01
-2.234999999999999876e+00,1.782780673362504287e-01
-2.232499999999999929e+00,1.838891515829338408e-01
-2.229999999999999982e+00,1.913845321564839053e-01
-2.227500000000000036e+00,2.002424913388728689e-01
-2.225000000000000089e+00,2.099534978803224428e-01
