index,t,base_value
0,-3.00,0.000000000000000000e+00
1,-2.99,-3.793691475666834557e-03
2,-2.98,-7.530012852804125745e-02
3,-2.97,-2.020458857326199453e-01
4,-2.96,-3.283923604648609773e-01
5,-2.95,-4.363390770386002537e-01
6,-2.94,-5.236773660665250407e-01
7,-2.93,-5.923662332171080180e-01
8,-2.92,-6.449734250095652266e-01
9,-2.91,-6.837158776298081220e-01
10,-2.90,-7.102646775429666270e-01
11,-2.89,-7.257576236908319656e-01
12,-2.88,-7.308506388188017455e-01
13,-2.87,-7.257605320244661096e-01
14,-2.86,-7.242098018159486283e-01
15,-2.85,-7.545628489993763122e-01
16,-2.84,-7.851621915919838601e-01
17,-2.83,-7.953664886529218103e-01
18,-2.82,-7.786563106026112013e-01
19,-2.81,-7.327528826820388641e-01
20,-2.80,-6.570048628736656626e-01
21,-2.79,-5.549215605706407928e-01
22,-2.78,-4.455438712575087168e-01
23,-2.77,-3.852585441139042000e-01
24,-2.76,-3.870170655626171130e-01
25,-2.75,-3.871343438795279424e-01
26,-2.74,-3.805993143020865443e-01
27,-2.73,-3.410410787136196609e-01
28,-2.72,-2.707297914105723513e-01
29,-2.71,-1.930948605141389607e-01
30,-2.70,-1.152238403964915836e-01
31,-2.69,-3.690851830709995784e-02
32,-2.68,4.396721957631369998e-02
33,-2.67,1.288688454035741004e-01
34,-2.66,2.147878353308317889e-01
35,-2.65,2.844042371527550905e-01
36,-2.64,3.067974199802539492e-01
37,-2.63,3.091481257982301445e-01
38,-2.62,3.071828271768541341e-01
39,-2.61,3.180514209778225743e-01
40,-2.60,3.846006097926104594e-01
41,-2.59,4.652987093041136557e-01
42,-2.58,5.316277799900044343e-01
43,-2.57,5.761408239034537804e-01
44,-2.56,5.980241211917474153e-01
45,-2.55,5.982263527685975912e-01
46,-2.54,5.793686457973001858e-01
47,-2.53,5.500569486212708581e-01
48,-2.52,5.342086172227457075e-01
49,-2.51,5.402370000254159699e-01
50,-2.50,5.407283011086332358e-01
51,-2.49,5.346034804898588400e-01
52,-2.48,5.481239804431270457e-01
53,-2.47,5.805093804030864169e-01
54,-2.46,6.045772613810982410e-01
55,-2.45,6.097694912617490637e-01
56,-2.44,5.929804229995145892e-01
57,-2.43,5.531591036780048043e-01
58,-2.42,4.908121546902125543e-01
59,-2.41,4.120156676757236180e-01
60,-2.40,3.414545763069548601e-01
61,-2.39,3.244603313715944681e-01
62,-2.38,3.271102166346185336e-01
63,-2.37,3.252281691575588107e-01
64,-2.36,3.236105314408330713e-01
65,-2.35,3.366738251413089467e-01
66,-2.34,3.512237983028870247e-01
67,-2.33,3.570745046713086901e-01
68,-2.32,3.509657888229210654e-01
69,-2.31,3.317946689546933392e-01
70,-2.30,2.992029922269874853e-01
71,-2.29,2.544858668285812642e-01
72,-2.28,2.051921677177914738e-01
73,-2.27,1.750946381756469938e-01
74,-2.26,1.750841195595621291e-01
75,-2.25,1.753496023699577522e-01
76,-2.24,1.737404554367445730e-01
77,-2.23,1.913845321564831559e-01
78,-2.22,2.302998634087504715e-01
79,-2.21,2.677810345720293417e-01
80,-2.20,2.952254822472024087e-01
81,-2.19,3.108058293286810048e-01
82,-2.18,3.145585150541717612e-01
83,-2.17,3.072041731575754775e-01
84,-2.16,2.910999686972796097e-01
85,-2.15,2.742530229099437999e-01
86,-2.14,2.718505014854667445e-01
87,-2.13,2.742435665482986784e-01
88,-2.12,2.728319829888176118e-01
89,-2.11,2.746659904611217229e-01
90,-2.10,3.050333523158872406e-01
91,-2.09,3.435003162408054034e-01
92,-2.08,3.729250981354291783e-01
93,-2.07,3.883733487132968731e-01
94,-2.06,3.888758628622235314e-01
95,-2.05,3.745784138079816805e-01
96,-2.04,3.469571828875475106e-01
97,-2.03,3.123650982474905358e-01
98,-2.02,2.903691793434426405e-01
99,-2.01,2.922710176960384709e-01
100,-2.00,2.928917494121805465e-01
101,-1.99,2.893616918774771785e-01
102,-1.98,2.788013054893199172e-01
103,-1.97,2.602605779886385529e-01
104,-1.96,2.363086537700467560e-01
105,-1.95,2.073762077979315055e-01
106,-1.94,1.726997743881359126e-01
107,-1.93,1.311791684274573044e-01
108,-1.92,8.222018888483201282e-02
109,-1.91,2.798850772223493086e-02
110,-1.90,-1.997618870068932490e-02
111,-1.89,-3.692931233241558697e-02
112,-1.88,-3.734289264577571321e-02
113,-1.87,-3.717331502700316204e-02
114,-1.86,-4.586622213368916207e-02
115,-1.85,-1.035090350419038685e-01
116,-1.84,-1.815245160409920677e-01
117,-1.83,-2.534220634245537007e-01
118,-1.82,-3.122956345267089429e-01
119,-1.81,-3.578635976685589082e-01
120,-1.80,-3.914470960333799043e-01
121,-1.79,-4.146334353276110996e-01
122,-1.78,-4.293860594482790116e-01
123,-1.77,-4.391167308268468794e-01
124,-1.76,-4.461675774776862058e-01
125,-1.75,-4.473865226777390403e-01
126,-1.74,-4.427656447588301791e-01
127,-1.73,-4.608663357933736604e-01
128,-1.72,-5.117301661478890207e-01
129,-1.71,-5.594097628745982043e-01
130,-1.70,-5.887605125587431765e-01
131,-1.69,-5.959294582776732963e-01
132,-1.68,-5.802224470612615814e-01
133,-1.67,-5.423232531810064927e-01
134,-1.66,-4.867278973626084637e-01
135,-1.65,-4.312654711423671849e-01
136,-1.64,-4.146276928896293623e-01
137,-1.63,-4.186537560841338546e-01
138,-1.62,-4.170061790307310612e-01
139,-1.61,-4.072753331996333825e-01
140,-1.60,-3.780532905814930622e-01
141,-1.59,-3.358478707514556127e-01
142,-1.58,-2.872358496913071102e-01
143,-1.57,-2.329938872966783314e-01
144,-1.56,-1.717506698332230131e-01
145,-1.55,-1.018319612964145582e-01
146,-1.54,-2.323525616941343047e-02
147,-1.53,5.702914719427162882e-02
148,-1.52,1.123550314418446938e-01
149,-1.51,1.207988900291772916e-01
150,-1.50,1.212024851105880235e-01
151,-1.49,1.203076207454001900e-01
152,-1.48,1.583317913344677308e-01
153,-1.47,2.561989238506414690e-01
154,-1.46,3.604938920312000250e-01
155,-1.45,4.486089414551262533e-01
156,-1.44,5.161371250606396899e-01
157,-1.43,5.638604207501087817e-01
158,-1.42,5.937471545571054721e-01
159,-1.41,6.085885803430262087e-01
160,-1.40,6.142480755015796712e-01
161,-1.39,6.220775214112452822e-01
162,-1.38,6.286868460620393950e-01
163,-1.37,6.265933665605866176e-01
164,-1.36,6.236724723698637840e-01
165,-1.35,6.686707210799858192e-01
166,-1.34,7.326445273598710672e-01
167,-1.33,7.801718362958828257e-01
168,-1.32,8.001225835230463268e-01
169,-1.31,7.897992244917468874e-01
170,-1.30,7.488632898273408500e-01
171,-1.29,6.795695225941449369e-01
172,-1.28,5.937282528295924067e-01
173,-1.27,5.311937648817059987e-01
174,-1.26,5.295286588533392180e-01
175,-1.25,5.316208081794203677e-01
176,-1.24,5.262556160760620827e-01
177,-1.23,5.072012379787196323e-01
178,-1.22,4.696938297411806240e-01
179,-1.21,4.214292499321921626e-01
180,-1.20,3.649109274886120913e-01
181,-1.19,2.991655475179747503e-01
182,-1.18,2.221494754691622775e-01
183,-1.17,1.324082620679440381e-01
184,-1.16,3.266879907832748176e-02
185,-1.15,-5.952466461145702881e-02
186,-1.14,-9.971187175209721143e-02
187,-1.13,-1.013748509516350788e-01
188,-1.12,-1.010986459662159553e-01
189,-1.11,-1.073240066071290411e-01
190,-1.10,-1.784331870897484240e-01
191,-1.09,-2.850021954432421789e-01
192,-1.08,-3.848621783424632792e-01
193,-1.07,-4.658690405903316289e-01
194,-1.06,-5.268242636913518240e-01
195,-1.05,-5.693027492757030128e-01
196,-1.04,-5.955273404478409471e-01
197,-1.03,-6.088691655633798883e-01
198,-1.02,-6.166688738772022615e-01
199,-1.01,-6.262940501075888733e-01
200,-1.00,-6.291511281447957904e-01
201,-0.99,-6.233483818656218034e-01
202,-0.98,-6.383815638697565298e-01
203,-0.97,-7.005490710217092687e-01
204,-0.96,-7.625079300913850666e-01
205,-0.95,-8.010362985469771102e-01
206,-0.94,-8.098911005153817122e-01
207,-0.93,-7.877245232876035619e-01
208,-0.92,-7.350437757894611179e-01
209,-0.91,-6.568631122579882131e-01
210,-0.90,-5.744337427743571034e-01
211,-0.89,-5.409315379847815519e-01
212,-0.88,-5.464901460489672846e-01
213,-0.87,-5.453319578552322522e-01
214,-0.86,-5.366751912750357123e-01
215,-0.85,-5.218640521619641870e-01
216,-0.84,-4.994381331451671069e-01
217,-0.83,-4.670055350463444555e-01
218,-0.82,-4.226703042229219554e-01
219,-0.81,-3.645323845073029645e-01
220,-0.80,-2.908672737261224772e-01
221,-0.79,-2.017623972814387989e-01
222,-0.78,-1.049740240824247606e-01
223,-0.77,-3.140694141023181452e-02
224,-0.76,-1.846391191268337284e-02
225,-0.75,-1.855940483669713675e-02
226,-0.74,-1.835570866254288697e-02
227,-0.73,3.520147352946020555e-04
228,-0.72,5.832277934409996201e-02
229,-0.71,1.247712469264912055e-01
230,-0.70,1.843645795149534417e-01
231,-0.69,2.340219872286662672e-01
232,-0.68,2.743195548408292606e-01
233,-0.67,3.065681505219723380e-01
234,-0.66,3.318887017797118033e-01
235,-0.65,3.506784347643493449e-01
236,-0.64,3.620959900666343989e-01
237,-0.63,3.667127847808883123e-01
238,-0.62,3.661575742791488564e-01
239,-0.61,3.627594590692354570e-01
240,-0.60,3.815284427343412776e-01
241,-0.59,4.129925232456951867e-01
242,-0.58,4.366564008232304839e-01
243,-0.57,4.455486118697176146e-01
244,-0.56,4.378326800166760790e-01
245,-0.55,4.130886677032295506e-01
246,-0.54,3.721951562203844044e-01
247,-0.53,3.207572496338159107e-01
248,-0.52,2.791707560709148495e-01
249,-0.51,2.744183254364153668e-01
250,-0.50,2.760062420550949414e-01
251,-0.49,2.737433296509078628e-01
252,-0.48,2.645560339921363413e-01
253,-0.47,2.439834771101914435e-01
254,-0.46,2.170731702731432400e-01
255,-0.45,1.861084496222284446e-01
256,-0.44,1.508565983204202265e-01
257,-0.43,1.102673329436155147e-01
258,-0.42,6.343282045752401954e-02
259,-0.41,1.124240837913306063e-02
260,-0.40,-3.876476701704391348e-02
261,-0.39,-6.462933163886303012e-02
262,-0.38,-6.630801056451547659e-02
263,-0.37,-6.624776367647663977e-02
264,-0.36,-6.689891414545694193e-02
265,-0.35,-9.036058190986240302e-02
266,-0.34,-1.303823210343303951e-01
267,-0.33,-1.686013553183350333e-01
