s,x,y,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.045120808378746879e+00
1.669449081803005058e-03,1.669420748752923180e-03,8.423895294648869604e-06,6.044966892886268539e+00
3.338898163606010116e-03,3.338671479746926300e-03,3.369452164726933883e-05,6.044505210828093666e+00
5.008347245409014957e-03,5.007582225398896601e-03,7.580785458412980793e-05,6.043735970849480665e+00
6.677796327212020232e-03,6.675983122147951393e-03,1.347574707038758036e-04,6.042659515277114757e+00
8.347245409015024639e-03,8.343704464366113668e-03,2.105344425287830276e-04,6.041276321705070451e+00
1.001669449081802991e-02,1.001057675202975637e-02,3.031271920665135045e-04,6.039587005198531422e+00
1.168614357262103519e-02,1.167643074310274059e-02,4.125215792536125270e-04,6.037592316074721133e+00
1.335559265442404046e-02,1.334109750605893228e-02,5.387009376496430715e-04,6.035293138517765499e+00
1.502504173622704574e-02,1.500440847224038601e-02,6.816460947773273155e-04,6.032690489346033580e+00
1.669449081803004928e-02,1.666619548251492208e-02,8.413353073634068828e-04,6.029785518201222771e+00
1.836393989983305455e-02,1.832629083932984723e-02,1.017744316668956579e-03,6.026579505423620198e+00
2.003338898163605983e-02,1.998452735732918553e-02,1.210846370900814199e-03,6.023073860406458202e+00
2.170283806343906510e-02,2.164073841390080563e-02,1.420612249074119969e-03,6.019270119805712582e+00
2.337228714524207038e-02,2.329475799464010913e-02,1.647010233968795043e-03,6.015169946556577329e+00
2.504173622704507565e-02,2.494642074330945605e-02,1.890006153065139187e-03,6.010775127542382634e+00
2.671118530884808093e-02,2.659556200993053870e-02,2.149563400021407659e-03,6.006087571508688328e+00
2.838063439065108620e-02,2.824201789919664196e-02,2.425642964389766384e-03,6.001109306724093706e+00
3.005008347245409148e-02,2.988562531501484654e-02,2.718203433147649457e-03,5.995842479048723916e+00
3.171953255425709328e-02,3.152622200619598775e-02,3.027201013806932791e-03,5.990289349514958950e+00
3.338898163606009856e-02,3.316364661235399885e-02,3.352589565268628349e-03,5.984452291676933378e+00
3.505843071786310383e-02,3.479773870822332887e-02,3.694320621991758515e-03,5.978333788993289488e+00
3.672787979966610911e-02,3.642833884763141405e-02,4.052343422330760558e-03,5.971936432052562083e+00
3.839732888146911438e-02,3.805528860592856388e-02,4.426604932756217532e-03,5.965262915794581566e+00
4.006677796327211966e-02,3.967843062074526139e-02,4.817049868920050826e-03,5.958316036714622399e+00
4.173622704507512493e-02,4.129760863378457991e-02,5.223620730430671676e-03,5.951098689755050408e+00
4.340567612687813021e-02,4.291266753085488939e-02,5.646257830536980347e-03,5.943613865226068604e+00
4.507512520868113548e-02,4.452345338094439858e-02,6.084899326686250484e-03,5.935864645653954774e+00
4.674457429048414076e-02,4.612981347432679180e-02,6.539481252013168780e-03,5.927854202561237074e+00
4.841402337228714603e-02,4.773159635967588049e-02,7.009937547718059214e-03,5.919585793185007994e+00
5.008347245409015130e-02,4.932865188016904295e-02,7.496200096297206926e-03,5.911062757139580626e+00
5.175292153589315658e-02,5.092083120863287460e-02,7.998198755912408822e-03,5.902288513023936645e+00
5.342237061769616185e-02,5.250798688138898912e-02,8.515861394371238360e-03,5.893266555006273499e+00
5.509181969949916713e-02,5.408997283124993699e-02,9.049113924904391912e-03,5.884000449352714490e+00
5.676126878130217240e-02,5.566664441948226960e-02,9.597880342772461063e-03,5.874493830922767224e+00
5.843071786310517768e-02,5.723785846659153187e-02,1.016208276210988151e-02,5.864750399647195245e+00
6.010016694490818295e-02,5.880347328200292989e-02,1.074164145337561625e-02,5.854773916987107363e+00
6.176961602671118823e-02,6.036334869262794528e-02,1.133647488136978361e-02,5.844568202380239441e+00
6.343906510851418656e-02,6.191734607029836940e-02,1.194649974373844861e-02,5.834137129680833311e+00
6.510851419031719878e-02,6.346532835788967764e-02,1.257163100934363849e-02,5.823484623608822908e+00
6.677796327212019711e-02,6.500716009466459000e-02,1.321178195837526166e-02,5.812614656181012585e+00
