s,x,y,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.669449081803005058e-03,1.669441428173581900e-03,4.377893947106839025e-06,3.141592653589793116e+00
3.338898163606010116e-03,3.338836934823260875e-03,1.751145536517048290e-05,3.141592653589793116e+00
5.008347245409014957e-03,5.008140599688304558e-03,3.940032298777756438e-05,3.141592653589793116e+00
6.677796327212020232e-03,6.677306505034277459e-03,7.004389471525326785e-05,3.141592653589793116e+00
8.347245409015024639e-03,8.346288736916118722e-03,1.094413276311648989e-04,3.141592653589793116e+00
1.001669449081802991e-02,1.001504138644109497e-02,1.575915380257166193e-04,3.141592653589793116e+00
1.168614357262103519e-02,1.168351855103161481e-02,2.144932014252932820e-04,3.141592653589793116e+00
1.335559265442404046e-02,1.335167433568789329e-02,2.801447526290720409e-04,3.141592653589793116e+00
1.502504173622704574e-02,1.501946285425037261e-02,3.545443857520660718e-04,3.141592653589793116e+00
1.669449081803004928e-02,1.668683823066192951e-02,4.376900542746703891e-04,3.141592653589793116e+00
1.836393989983305455e-02,1.835375460022979632e-02,5.295794710991342776e-04,3.141592653589793116e+00
2.003338898163605983e-02,2.002016611088715953e-02,6.302101086122892729e-04,3.141592653589793116e+00
2.170283806343906510e-02,2.168602692445441640e-02,7.395791987553087350e-04,3.141592653589793116e+00
2.337228714524207038e-02,2.335129121790005188e-02,8.576837330995116864e-04,3.141592653589793116e+00
2.504173622704507565e-02,2.501591318460110944e-02,9.845204629295516933e-04,3.141592653589793116e+00
2.671118530884808093e-02,2.667984703560317972e-02,1.120085899332295314e-03,3.141592653589793116e+00
2.838063439065108620e-02,2.834304700087994858e-02,1.264376313293229248e-03,3.141592653589793116e+00
3.005008347245409148e-02,3.000546733059217264e-02,1.417387735798802300e-03,3.141592653589793116e+00
3.171953255425709328e-02,3.166706229634613096e-02,1.579115957945554987e-03,3.141592653589793116e+00
3.338898163606009856e-02,3.332778619245150425e-02,1.749556531056067378e-03,3.141592653589793116e+00
3.505843071786310383e-02,3.498759333717858105e-02,1.928704766801234323e-03,3.141592653589793116e+00
3.672787979966610911e-02,3.664643807401483933e-02,2.116555737329218947e-03,3.141592653589793116e+00
3.839732888146911438e-02,3.830427477292082383e-02,2.313104275401050344e-03,3.141592653589793116e+00
4.006677796327211966e-02,3.996105783158530184e-02,2.518344974532724535e-03,3.141592653589793116e+00
4.173622704507512493e-02,4.161674167667963470e-02,2.732272189143876342e-03,3.141592653589793116e+00
4.340567612687813021e-02,4.327128076511140703e-02,2.954880034713238800e-03,3.141592653589793116e+00
4.507512520868113548e-02,4.492462958527713296e-02,3.186162387940285126e-03,3.141592653589793116e+00
4.674457429048414076e-02,4.657674265831421995e-02,3.426112886913800035e-03,3.141592653589793116e+00
4.841402337228714603e-02,4.822757453935186400e-02,3.674724931286913777e-03,3.141592653589793116e+00
5.008347245409015130e-02,4.987707981876118163e-02,3.931991682458571558e-03,3.141592653589793116e+00
5.175292153589315658e-02,5.152521312340432175e-02,4.197906063761611822e-03,3.141592653589793116e+00
5.342237061769616185e-02,5.317192911788243270e-02,4.472460760657518894e-03,3.141592653589793116e+00
5.509181969949916713e-02,5.481718250578284518e-02,4.755648220937648725e-03,3.141592653589793116e+00
5.676126878130217240e-02,5.646092803092493673e-02,5.047460654930777287e-03,3.141592653589793116e+00
5.843071786310517768e-02,5.810312047860507340e-02,5.347890035717646831e-03,3.141592653589793116e+00
6.010016694490818295e-02,5.974371467684030934e-02,5.656928099351518635e-03,3.141592653589793116e+00
6.176961602671118823e-02,6.138266549761089985e-02,5.974566345085617798e-03,3.141592653589793116e+00
6.343906510851418656e-02,6.301992785810173192e-02,6.300796035606975702e-03,3.141592653589793116e+00
6.510851419031719878e-02,6.465545672194233928e-02,6.635608197276670131e-03,3.141592653589793116e+00
6.677796327212019711e-02,6.628920710044573783e-02,6.978993620376737136e-03,3.141592653589793116e+00
6.844741235392320933e-02,6.792113405384600511e-02,7.330942859363557759e-03,3.141592653589793116e+00
7.011686143572620766e-02,6.955119269253433323e-02,7.691446233127535725e-03,3.141592653589793116e+00
7.178631051752921988e-02,7.117933817829390220e-02,8.060493825259480716e-03,3.141592653589793116e+00
7.345575959933221821e-02,7.280552572553322666e-02,8.438075484323364142e-03,3.141592653589793116e+00
7.512520868113523043e-02,7.442971060251801774e-02,8.824180824135672077e-03,3.141592653589793116e+00
7.679465776293822876e-02,7.605184813260171262e-02,9.218799224050812369e-03,3.141592653589793116e+00
7.846410684474124098e-02,7.767189369545438038e-02,9.621919829253620243e-03,3.141592653589793116e+00
8.013355592654423931e-02,7.928980272829004583e-02,1.003353155105757982e-02,3.141592653589793116e+00
8.180300500834725153e-02,8.090553072709254223e-02,1.045362306721013199e-02,3.141592653589793116e+00
8.347245409015024986e-02,8.251903324783962934e-02,1.088218282220404509e-02,3.141592653589793116e+00
8.514190317195326208e-02,8.413026590772562652e-02,1.131919902759508448e-02,3.141592653589793116e+00
8.681135225375626041e-02,8.573918438638210293e-02,1.176465966232656535e-02,3.141592653589793116e+00
8.848080133555927262e-02,8.734574442709716613e-02,1.221855247305982280e-02,3.141592653589793116e+00
9.015025041736227096e-02,8.894990183803265504e-02,1.268086497451133624e-02,3.141592653589793116e+00
9.181969949916528317e-02,9.055161249343994523e-02,1.315158444979613525e-02,3.141592653589793116e+00
9.348914858096828151e-02,9.215083233487354752e-02,1.363069795077762221e-02,3.141592653589793116e+00
9.515859766277129372e-02,9.374751737240309690e-02,1.411819229842379078e-02,3.141592653589793116e+00
9.682804674457429206e-02,9.534162368582335678e-02,1.461405408316959927e-02,3.141592653589793116e+00
9.849749582637730427e-02,9.693310742586240536e-02,1.511826966528602260e-02,3.141592653589793116e+00
1.001669449081803026e-01,9.852192481538774027e-02,1.563082517525500245e-02,3.141592653589793116e+00
1.018363939899833148e-01,1.001080321506104681e-01,1.615170651415122338e-02,3.141592653589793116e+00
1.035058430717863132e-01,1.016913858022874956e-01,1.668089935402973858e-02,3.141592653589793116e+00
1.051752921535893254e-01,1.032719422169216111e-01,1.721838913832017190e-02,3.141592653589793116e+00
1.068447412353923237e-01,1.048496579179595684e-01,1.776416108222708679e-02,3.141592653589793116e+00
1.085141903171953220e-01,1.064244895069879487e-01,1.831820017313673041e-02,3.141592653589793116e+00
1.101836393989983343e-01,1.079963936649269707e-01,1.888049117102995333e-02,3.141592653589793116e+00
1.118530884808013326e-01,1.095653271532219808e-01,1.945101860890136730e-02,3.141592653589793116e+00
1.135225375626043448e-01,1.111312468150329330e-01,2.002976679318493533e-02,3.141592653589793116e+00
1.151919866444073431e-01,1.126941095764214668e-01,2.061671980418550848e-02,3.141592653589793116e+00
1.168614357262103554e-01,1.142538724475357786e-01,2.121186149651678107e-02,3.141592653589793116e+00
1.185308848080133537e-01,1.158104925237930238e-01,2.181517549954547705e-02,3.141592653589793116e+00
1.202003338898163659e-01,1.173639269870596913e-01,2.242664521784158357e-02,3.141592653589793116e+00
1.218697829716193642e-01,1.189141331068292035e-01,2.304625383163476718e-02,3.141592653589793116e+00
1.235392320534223765e-01,1.204610682413975453e-01,2.367398429727729167e-02,3.141592653589793116e+00
1.252086811352253748e-01,1.220046898390359236e-01,2.430981934771251490e-02,3.141592653589793116e+00
1.268781302170283731e-01,1.235449554391615246e-01,2.495374149295011973e-02,3.141592653589793116e+00
1.285475792988313992e-01,1.250818226735052885e-01,2.560573302054709732e-02,3.141592653589793116e+00
1.302170283806343976e-01,1.266152492672774355e-01,2.626577599609490957e-02,3.141592653589793116e+00
1.318864774624373959e-01,1.281451930403302852e-01,2.693385226371297625e-02,3.141592653589793116e+00
1.335559265442403942e-01,1.296716119083184959e-01,2.760994344654795277e-02,3.141592653589793116e+00
1.352253756260434203e-01,1.311944638838568045e-01,2.829403094727923201e-02,3.141592653589793116e+00
1.368948247078464187e-01,1.327137070776747696e-01,2.898609594863060801e-02,3.141592653589793116e+00
1.385642737896494170e-01,1.342292996997691557e-01,2.968611941388773698e-02,3.141592653589793116e+00
1.402337228714524153e-01,1.357412000605535407e-01,3.039408208742198914e-02,3.141592653589793116e+00
1.419031719532554414e-01,1.372493665720048717e-01,3.110996449521986548e-02,3.141592653589793116e+00
1.435726210350584398e-01,1.387537577488074936e-01,3.183374694541880878e-02,3.141592653589793116e+00
1.452420701168614381e-01,1.402543322094944589e-01,3.256540952884896117e-02,3.141592653589793116e+00
1.469115191986644364e-01,1.417510486775856171e-01,3.330493211958054228e-02,3.141592653589793116e+00
1.485809682804674625e-01,1.432438659827231231e-01,3.405229437547776378e-02,3.141592653589793116e+00
1.502504173622704609e-01,1.447327430618037258e-01,3.480747573875816320e-02,3.141592653589793116e+00
1.519198664440734592e-01,1.462176389601086146e-01,3.557045543655815850e-02,3.141592653589793116e+00
1.535893155258764575e-01,1.476985128324297125e-01,3.634121248150442435e-02,3.141592653589793116e+00
1.552587646076794836e-01,1.491753239441933332e-01,3.711972567229135378e-02,3.141592653589793116e+00
1.569282136894824820e-01,1.506480316725805346e-01,3.790597359426395307e-02,3.141592653589793116e+00
1.585976627712854803e-01,1.521165955076447529e-01,3.869993462000715506e-02,3.141592653589793116e+00
1.602671118530884786e-01,1.535809750534258555e-01,3.950158690994060029e-02,3.141592653589793116e+00
1.619365609348914770e-01,1.550411300290615857e-01,4.031090841291939952e-02,3.141592653589793116e+00
1.636060100166945031e-01,1.564970202698953705e-01,4.112787686684071797e-02,3.141592653589793116e+00
