s,x,y,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.836350408244986632e+00
1.669449081803005058e-03,1.669430920852665347e-03,6.739501756928361274e-06,4.836272059967954284e+00
3.338898163606010116e-03,3.338753016246626733e-03,2.695756383701979097e-05,4.836036201801901413e+00
5.008347245409014957e-03,5.007857478713542872e-03,6.065192726207862953e-05,4.835642925948326010e+00
6.677796327212020232e-03,6.676635549009891576e-03,1.078195725138739067e-04,4.835092366922169482e+00
8.347245409015024639e-03,8.344978525003815886e-03,1.684556999313025318e-04,4.834384714072819555e+00
1.001669449081802991e-02,1.001277779538099245e-02,2.425545061816288613e-04,4.833520203166568052e+00
1.168614357262103519e-02,1.167992485117805811e-02,3.301087121745736722e-04,4.832499122653367785e+00
1.335559265442404046e-02,1.334631131072006732e-02,4.311097560745958844e-04,4.831321812262218351e+00
1.502504173622704574e-02,1.501182894387092723e-02,5.455478507337275639e-04,4.829988663303467433e+00
1.669449081803004928e-02,1.667636968376668208e-02,6.734117763722227571e-04,4.828500122196395239e+00
1.836393989983305455e-02,1.833982565979231857e-02,8.146891494975080743e-04,4.826856688605579038e+00
2.003338898163605983e-02,2.000208920661756054e-02,9.693661923447526897e-04,4.825058919583792516e+00
2.170283806343906510e-02,2.166305289183997201e-02,1.137427877407893619e-03,4.823107429556316994e+00
2.337228714524207038e-02,2.332260953643560883e-02,1.318857920495548810e-03,4.821002892312516330e+00
2.504173622704507565e-02,2.498065222808856442e-02,1.513638692907118494e-03,4.818746044210177715e+00
2.671118530884808093e-02,2.663707435233803045e-02,1.721751377079062733e-03,4.816337684860712898e+00
2.838063439065108620e-02,2.829176960143379646e-02,1.943175830568354004e-03,4.813778681552821403e+00
3.005008347245409148e-02,2.994463199988742566e-02,2.177890670795654300e-03,4.811069971504418064e+00
3.171953255425709328e-02,3.159555592607243835e-02,2.425873300012357237e-03,4.808212565249694315e+00
3.338898163606009856e-02,3.324443612277736687e-02,2.687099826364067971e-03,4.805207551723726489e+00
3.505843071786310383e-02,3.489116772654422827e-02,2.961545176580097655e-03,4.802056101670991950e+00
3.672787979966610911e-02,3.653564627956591010e-02,3.249183038164153801e-03,4.798759473642019380e+00
