s,x,y,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.810879458381122298e+00
1.669449081803005058e-03,1.669430953966234525e-03,6.733751909334705650e-06,4.875388497670466670e+00
3.338898163606010116e-03,3.338751672527592255e-03,2.705554485259241659e-05,4.942441979082911274e+00
5.008347245409014957e-03,5.007847746489712225e-03,6.115096192315112715e-05,5.012170799552252198e+00
6.677796327212020232e-03,6.676599939911656394e-03,1.092119381620623269e-04,5.084714049244150935e+00
8.347245409015024639e-03,8.344883870636041548e-03,1.714371913586551640e-04,5.160219596594139091e+00
1.001669449081802991e-02,1.001256966281116600e-02,2.480324590501325143e-04,5.238844715883514525e+00
1.168614357262103519e-02,1.167952157662318670e-02,3.392109372383203189e-04,5.320756763580144266e+00
1.335559265442404046e-02,1.334559760037287192e-02,4.451934938833631661e-04,5.406133900741609821e+00
1.502504173622704574e-02,1.501064901749722333e-02,5.662091370684660873e-04,5.495165871504370081e+00
1.669449081803004928e-02,1.667451993359179291e-02,7.024953685027326977e-04,5.588054835072161275e+00
1.836393989983305455e-02,1.833704676430004607e-02,8.542985746018346175e-04,5.685016255762894488e+00
2.003338898163605983e-02,1.999805768221137384e-02,1.021874466609664625e-03,5.786279854629254871e+00
2.170283806343906510e-02,2.165737201493588698e-02,1.205488508738257686e-03,5.892090622692138346e+00
2.337228714524207038e-02,2.331479959550832037e-02,1.405416410377794507e-03,6.002709900448975233e+00
2.504173622704507565e-02,2.497014005090449767e-02,1.621944569715803993e-03,6.118416518830189332e+00
2.671118530884808093e-02,2.662318203724048371e-02,1.855370625940326980e-03,6.239508009491362195e+00
2.838063439065108620e-02,2.827370240051248901e-02,2.106003953140019556e-03,6.366301873191272165e+00
3.005008347245409148e-02,2.992146526686190536e-02,2.374166210378327643e-03,6.499136908520534384e+00
3.171953255425709328e-02,3.156622105579660886e-02,2.660191932771323840e-03,6.638374595197207739e+00
3.338898163606009856e-02,3.320770539861089832e-02,2.964429089181831820e-03,6.784400514905714275e+00
3.505843071786310383e-02,3.484563796546433223e-02,3.287239696078909749e-03,6.937625803524940515e+00
3.672787979966610911e-02,3.647972118567772287e-02,3.629000433472675136e-03,7.098488610683112654e+00
3.839732888146911438e-02,3.810963885180213701e-02,3.990103266644651724e-03,7.267455539985105517e+00
4.006677796327211966e-02,3.973505460089810093e-02,4.370956089525062337e-03,7.445023037700294388e+00
4.173622704507512493e-02,4.135561025208991243e-02,4.771983337264583923e-03,7.631718675459265633e+00
4.340567612687813021e-02,4.297092400322606587e-02,5.193626632932065064e-03,7.828102279260320984e+00
4.507512520868113548e-02,4.458058845650795382e-02,5.636345379180652225e-03,8.034766812843903594e+00
4.674457429048414076e-02,4.618416847462952085e-02,6.100617350733457921e-03,8.252338930216563284e+00
