x,y
0.000000000000000000e+00,0.000000000000000000e+00
4.183654357054661203e-03,5.291073956868888953e-05
8.364633197429922895e-03,2.115924972522010335e-04
1.254026612904132754e-02,4.758930414554221220e-04
1.670789298663820366e-02,8.455595120328233266e-04
2.086486887304133536e-02,1.320239135887905056e-03
2.500856911454149914e-02,1.899480444096052082e-03
2.913639410420532788e-02,2.582734826292078754e-03
3.324577400320109788e-02,3.369358373939297310e-03
3.733417328268958529e-02,4.258614064160740065e-03
4.139909508069328226e-02,5.249674221756763307e-03
4.543808535263015730e-02,6.341623240218810346e-03
4.944873679807957473e-02,7.533460549101733336e-03
5.342869254469410911e-02,8.824103791589960055e-03
5.737564958536807425e-02,1.021239223385608796e-02
6.128736195054769464e-02,1.169709033979278619e-02
6.516164360418182089e-02,1.327689148113577432e-02
6.899637104622728667e-02,1.495042173171954973e-02
7.278948568288136356e-02,1.671624392747572685e-02
7.653899583752631075e-02,1.857286155672368058e-02
8.024297856176516863e-02,2.051872296002589177e-02
8.389958109518071139e-02,2.255222534736084014e-02
8.750702209390036346e-02,2.467171894944541685e-02
9.106359258029490811e-02,2.687551112067493655e-02
9.456765662987762222e-02,2.916187040186830198e-02
9.801765181102457813e-02,3.152903053818012502e-02
1.014120893894329689e-01,3.397519443474567719e-02
1.047495542993709255e-01,3.649853801656725155e-02
1.080287048945365175e-01,3.909721398390408886e-02
1.112482725380691539e-01,4.176935552014817560e-02
1.144070609416141110e-01,4.451307977852889119e-02
1.175039453852229632e-01,4.732649132532083108e-02
1.205378717616401585e-01,5.020768541729886403e-02
1.235078554693626596e-01,5.315475112889968268e-02
1.264129801810279230e-01,5.616577434104039201e-02
1.292523965026573796e-01,5.923884058726060914e-02
1.320253205298391186e-01,6.237203774525425931e-02
1.347310322774708524e-01,6.556345854098276360e-02
1.373688741162109317e-01,6.881120298020602932e-02
1.399382490471422769e-01,7.211338053532076464e-02
1.424386189866892749e-01,7.546811224310887023e-02
1.448695029905792409e-01,7.887353263658899993e-02
1.472304754440526831e-01,8.232779153161436103e-02
1.495211642335811109e-01,8.582905567589260709e-02
1.517412488689078021e-01,8.937551023982323595e-02
1.538904586914982275e-01,9.296536023348415945e-02
1.559685709493341121e-01,9.659683171320891659e-02
1.579754090013849588e-01,1.002681729406479233e-01
1.599108404715243736e-01,1.039776553857155450e-01
1.617747754245764391e-01,1.077235746222597740e-01
1.635671645786523909e-01,1.115042511247187201e-01
1.652879975622753572e-01,1.153180309703396161e-01
1.669373011570907117e-01,1.191632864271693071e-01
1.685151376165384962e-01,1.230384164704304700e-01
1.700216029892334113e-01,1.269418472023958466e-01
1.714568255309971978e-01,1.308720322101381284e-01
1.728209641059143542e-01,1.348274528314575282e-01
1.741142066445582337e-01,1.388066183584640567e-01
1.753367686664661640e-01,1.428080661828255715e-01
1.764888918671251028e-01,1.468303618846053260e-01
1.775708426195445333e-01,1.508720992372554193e-01
1.785829107678823247e-01,1.549319002171453408e-01
1.795254081845888694e-01,1.590084149053580809e-01
1.803986675844569398e-01,1.631003213921218553e-01
1.812030412971324111e-01,1.672063256236785700e-01
1.819389000977032489e-01,1.713251612168024685e-01
1.826066321142090776e-01,1.754555892450745114e-01
1.832066416331303293e-01,1.795963979798059218e-01
1.837393482622965424e-01,1.837464026406614159e-01
1.842051856967533707e-01,1.879044450762300256e-01
1.846046010171915608e-01,1.920693934717592477e-01
1.849380536041082268e-01,1.962401419999547647e-01
1.852060143245628232e-01,2.004156104771165625e-01
1.854089647548982089e-01,2.045947440014486141e-01
1.855473961692352125e-01,2.087765125713907655e-01
1.856218089676911209e-01,2.129599107103833655e-01
1.856327124067590206e-01,2.171439570702860256e-01
1.855806226381564172e-01,2.213276940232449808e-01
1.854660635464129848e-01,2.255101872624767356e-01
1.852895648971734366e-01,2.296905253961954996e-01
1.850516625748127586e-01,2.338678195256198022e-01
1.847528976410000578e-01,2.380412028345558761e-01
1.843938158984874398e-01,2.422098301706246126e-01
1.839749673514805006e-01,2.463728776298854395e-01
1.834969056182650382e-01,2.505295421497371056e-01
1.829601877394411158e-01,2.546790410763565826e-01
1.823653734296942497e-01,2.588206117759566105e-01
1.817130249395366437e-01,2.629535112037346134e-01
1.810037064856191147e-01,2.670770155133337376e-01
1.802379839345458479e-01,2.711904196509850595e-01
1.794164244718076950e-01,2.752930369556552126e-01
1.785395962673450299e-01,2.793841987659884674e-01
1.776080681470862122e-01,2.834632540342535978e-01
1.766224092763683529e-01,2.875295689473088556e-01
1.755831889682940850e-01,2.915825265359209273e-01
1.744909763094189548e-01,2.956215263204207133e-01
1.733463400232360396e-01,2.996459839266744640e-01
1.721498481236226064e-01,3.036553307461336559e-01
1.709020677933048571e-01,3.076490135647733104e-01
1.696035651342047701e-01,3.116264942233141766e-01
1.682549049757146031e-01,3.155872492759639880e-01
1.668566506946202732e-01,3.195307696554903210e-01
1.654093640417644839e-01,3.234565603457404404e-01
1.639136050147488310e-01,3.273641400516858480e-01
1.623699316542860094e-01,3.312530408970373874e-01
1.607788999326079937e-01,3.351228081087760935e-01
1.591410636381677124e-01,3.389729997099837355e-01
1.574569742366065672e-01,3.428031862278331232e-01
1.557271807346532755e-01,3.466129504106145731e-01
1.539522296211087993e-01,3.504018869302282790e-01
1.521326647396583076e-01,3.541696021129913108e-01
1.502690272010042960e-01,3.579157136673697392e-01
1.483618552991825823e-01,3.616398504184422102e-01
1.464116844304834963e-01,3.653416520496723940e-01
1.444190470330790343e-01,3.690207688451436763e-01
1.423844725177184911e-01,3.726768614424863513e-01
1.403084871726487659e-01,3.763096006045488218e-01
1.381916141772743523e-01,3.799186669553867302e-01
1.360343734663613524e-01,3.835037507837754100e-01
1.338372817603567522e-01,3.870645517859950258e-01
1.316008524782411870e-01,3.906007788643775513e-01
1.293255957006952395e-01,3.941121499125932459e-01
1.270120181543376303e-01,3.975983915974215521e-01
1.246606231713818097e-01,4.010592391583410743e-01
1.222719106608922968e-01,4.044944362085917677e-01
1.198463770860055955e-01,4.079037345397124592e-01
1.173845154516135192e-01,4.112868939265090784e-01
1.148868152711308016e-01,4.146436819495664672e-01
1.123537625488425784e-01,4.179738738161574707e-01
