x,y
0.000000000000000000e+00,0.000000000000000000e+00
4.183814756042516028e-03,4.233220764695961821e-05
8.365916701159971380e-03,1.693024029796203487e-04
1.254459513017894094e-02,3.808329961781458891e-04
1.671814353088457369e-02,6.767943826075191113e-04
2.088486165449333215e-02,1.057005444767821498e-03
2.504305757034338067e-02,1.521234083973805771e-03
2.919104969486232062e-02,2.069197852715598269e-03
3.332716875975144655e-02,2.700564464768623676e-03
3.744975972503386541e-02,3.414952497115186433e-03
4.155718366813447584e-02,4.211932534731076087e-03
4.564781956767764715e-02,5.091028092267569499e-03
4.972006599201887755e-02,6.051716666105029160e-03
5.377234274691924248e-02,7.093431305752194264e-03
5.780309233079072156e-02,8.215561842414570090e-03
6.181078131767525630e-02,9.417456699514173413e-03
6.579390153024050614e-02,1.069842462986585196e-02
6.975097105038992329e-02,1.205773685227111598e-02
7.368053495366323757e-02,1.349462926825578148e-02
7.758116581259938416e-02,1.500830521370524751e-02
8.145146377594837672e-02,1.659793826790788643e-02
8.529005627846383830e-02,1.826267570541054500e-02
8.909559721142987221e-02,2.000164235051401715e-02
9.286676543008727525e-02,2.181394491523268309e-02
9.660226250664576131e-02,2.369867705750790948e-02
1.003008095338688288e-01,2.565492515532005746e-02
1.039611427852662612e-01,2.768177491227737444e-02
1.075820080036308385e-01,2.977831891318642038e-02
1.111621530473533015e-01,3.194366524371766020e-02
1.147003185787070084e-01,3.417694729158864131e-02
1.181952264256909690e-01,3.647733484855193720e-02
1.216455651865770982e-01,3.884404663318574702e-02
1.250499725614728497e-01,4.127636434355178019e-02
1.284070138331977196e-01,4.377364839539316793e-02
1.317151557640771908e-01,4.633535544028487968e-02
1.349727350146909532e-01,4.896105777150969174e-02
1.381779200067387581e-01,5.165046475919959912e-02
1.413286648874539919e-01,5.440344644982571948e-02
1.444226538648613611e-01,5.722005942637880399e-02
1.474572336286260055e-01,6.010057497612016769e-02
1.504293309994216010e-01,6.304550960597407605e-02
1.533353519780687735e-01,6.605565773744730140e-02
1.561710571446750240e-01,6.913212612496422160e-02
1.589314069104593163e-01,7.227636901239789524e-02
1.616103675545545737e-01,7.549022195978383198e-02
1.642006671521818173e-01,7.877593063398562190e-02
1.666934863260497446e-01,8.213616759829973912e-02
1.690780659632529215e-01,8.557402490118523608e-02
1.713412111827272433e-01,8.909296113068454481e-02
1.734666710820095270e-01,9.269666646429175483e-02
1.754343844041381661e-01,9.638878499805043909e-02
1.772196129743309478e-01,1.001723972492400971e-01
1.787920640676885498e-01,1.040491187012659580e-01
1.801152734548681911e-01,1.080176313744950073e-01
1.811468225852948810e-01,1.120714978561093700e-01
1.818403821992244929e-01,1.161963591204883267e-01
1.821508204228561023e-01,1.203672924385856408e-01
1.820429057826582764e-01,1.245481542403404918e-01
1.815016968235782235e-01,1.286951951799428784e-01
1.805395206562334376e-01,1.327653813345529565e-01
1.791945583784153029e-01,1.367259245989185246e-01
1.775212490988528902e-01,1.405597053997348356e-01
1.755781608179231568e-01,1.442644195336005020e-01
1.734189288125837225e-01,1.478477450677009586e-01
1.710880567168547584e-01,1.513220678841289690e-01
1.686204332092227365e-01,1.547007694663163069e-01
1.660427496242515011e-01,1.579963618669185388e-01
1.633755239366007639e-01,1.612199756207649548e-01
1.606350908457997717e-01,1.643816343592411355e-01
1.578353499926108960e-01,1.674909309193383100e-01
1.549892793608597663e-01,1.705579050211541992e-01
1.521103021318308823e-01,1.735940339664239496e-01
1.492136016287054223e-01,1.766132732605450451e-01
1.463174322682671002e-01,1.796330210963156260e-01
1.434443656900736552e-01,1.826747273167143581e-01
1.406222113806890883e-01,1.857636527369060930e-01
1.378840505519044468e-01,1.889271402891809226e-01
1.352665418070078118e-01,1.921909853822978131e-01
1.328058002029647300e-01,1.955744185175155303e-01
1.305312444237257119e-01,1.990856131425789433e-01
1.284595994070440172e-01,2.027202082997616728e-01
1.265920163590847636e-01,2.064638259388797692e-01
1.249156210529967920e-01,2.102969880582850892e-01
1.234081081453678314e-01,2.141997781457876393e-01
1.220428566292795780e-01,2.181546790610160991e-01
1.207928472378151236e-01,2.221475746175377852e-01
1.196329604789040796e-01,2.261676245478631553e-01
1.185409854992047068e-01,2.302066821124759410e-01
1.174978359308419679e-01,2.342586432718570810e-01
1.164873638377378479e-01,2.383188874706219929e-01
1.154960131291438014e-01,2.423838478472805369e-01
1.145124397880057099e-01,2.464506988473361693e-01
1.135271569001443243e-01,2.505171357141552368e-01
1.125322262163278159e-01,2.545812213303918492e-01
1.115209991114906179e-01,2.586412806003213771e-01
1.104879034434666646e-01,2.626958280635152687e-01
1.094282690415515069e-01,2.667435183252107045e-01
1.083381854308159420e-01,2.707831123158319642e-01
1.072143852052162699e-01,2.748134543034800870e-01
1.060541481811248660e-01,2.788334563867451710e-01
1.048552219033413585e-01,2.828420880097294310e-01
1.036157552812722177e-01,2.868383689046007379e-01
1.023342427145505218e-01,2.908213643328484976e-01
1.010094766631283864e-01,2.947901818158202847e-01
9.964050711254557324e-02,2.987439687968366231e-01
9.822660669251141730e-02,3.026819108892106480e-01
9.676724048009253953e-02,3.066032304507526063e-01
9.526203978139001494e-02,3.105071852947824396e-01
9.371077929007555485e-02,3.143930674522950608e-01
9.211335710837353918e-02,3.182602019442772323e-01
9.046977728073307690e-02,3.221079455141621639e-01
8.878013457378590434e-02,3.259356852923306347e-01
8.704460112512706071e-02,3.297428374510937843e-01
8.526341481807213352e-02,3.335288458203690687e-01
8.343686915639433876e-02,3.372931804950898282e-01
8.156530447761792257e-02,3.410353364463078463e-01
7.964910034393228588e-02,3.447548321555297668e-01
7.768866891269730901e-02,3.484512083127624948e-01
7.568444933703481758e-02,3.521240265157781768e-01
7.363690283746648912e-02,3.557728680866950599e-01
7.154650859818052766e-02,3.593973329029022667e-01
6.941376014412140028e-02,3.629970383575556458e-01
6.723916238905497389e-02,3.665716183322275112e-01
6.502322904280451177e-02,3.701207222880333880e-01
6.276648044955651651e-02,3.736440144139545616e-01
6.046944176933135434e-02,3.771411728432906285e-01
5.813264144795874527e-02,3.806118889370675995e-01
5.575660993290096346e-02,3.840558666300958879e-01
5.334187859785382430e-02,3.874728218350408371e-01
5.088897884823575385e-02,3.908624818974226200e-01
4.839844140435860947e-02,3.942245850823796749e-01
4.587079563120276954e-02,3.975588801483451729e-01
4.330656907240444664e-02,4.008651259047642523e-01
4.070628700660168520e-02,4.041430908404752831e-01
3.807047211355350097e-02,4.073925527615758213e-01
3.539964415231223321e-02,4.106132984868592350e-01
3.269431977267493739e-02,4.138051235150765339e-01
2.995501228971652122e-02,4.169678317628189301e-01
2.718223152863474129e-02,4.201012352990841636e-01
2.437648369837928236e-02,4.232051540957996183e-01
2.153827128779340142e-02,4.262794157933683659e-01
1.866809298033804063e-02,4.293238554796290907e-01
1.576644358430083145e-02,4.323383154807629580e-01
1.283381397579700170e-02,4.353226451630102245e-01
9.870691052484838537e-03,4.382767007441455420e-01
6.877557701417378461e-03,4.412003451093012840e-01
3.854892796026218420e-03,4.440934476145479426e-01
8.031711280574989429e-04,4.469558839604806377e-01
-2.277136550739110917e-03,4.497875359795950323e-01
-5.385563585170347403e-03,4.525882915221978720e-01
-8.521647372365940415e-03,4.553580442571604769e-01
-1.168492941429596400e-02,4.580966935742069035e-01
-1.487495526995943895e-02,4.608041443950403049e-01
-1.809127456849457874e-02,4.634803070512272805e-01
-2.133344100312794395e-02,4.661250971502641227e-01
-2.460101231825625318e-02,4.687384354402738817e-01
-2.789355029550767695e-02,4.713202476788722062e-01
-3.121062073897283573e-02,4.738704645062168930e-01
-3.455179345962648696e-02,4.763890213221121939e-01
-3.791664225883964456e-02,4.788758581668980940e-01
-4.130474491132486020e-02,4.813309196064450290e-01
-4.471568314732145277e-02,4.837541546209355725e-01
-4.814904263175823901e-02,4.861455164940979290e-01
-5.160441292486482590e-02,4.885049626792040134e-01
-5.508138749301442344e-02,4.908324547408207672e-01
-5.857956366065782128e-02,4.931279582169504350e-01
-6.209854258965271517e-02,4.953914425223829854e-01
-6.563792926388767324e-02,4.976228808653410107e-01
-6.919733245929170218e-02,4.998222501450977906e-01
-7.277636470579225414e-02,5.019895308377216869e-01
-7.637464228896759244e-02,5.041247069526582081e-01
-7.999178519791907971e-02,5.062277659012759390e-01
-8.362741710518964422e-02,5.082986984217033877e-01
-8.728116534306223917e-02,5.103374985015208809e-01
-9.095266087437300917e-02,5.123441632933826151e-01
-9.464153826352096621e-02,5.143186930332687146e-01
-9.834743564766050550e-02,5.162610909613603027e-01
-1.020699947080628417e-01,5.181713632455516860e-01
-1.058088606416307531e-01,5.200495189076099756e-01
-1.095636821325648158e-01,5.218955697520153425e-01
-1.133341113241669029e-01,5.237095302975187661e-01
-1.171198037886688748e-01,5.254914177062591785e-01
-1.209204184875435212e-01,5.272412516901453516e-01
-1.247356177631655377e-01,5.289590544965998564e-01
-1.285650672991622556e-01,5.306448508210938053e-01
-1.324084360746949074e-01,5.322986676996653843e-01
-1.362653963722199324e-01,5.339205345483968301e-01
-1.401356237025042084e-01,5.355104829784224085e-01
-1.440187968215191350e-01,5.370685468686420272e-01
-1.479145976604964441e-01,5.385947621916975514e-01
-1.518227113204343171e-01,5.400891670275277390e-01
-1.557428260441940382e-01,5.415518015164810794e-01
-1.596746331696712873e-01,5.429827077493843968e-01
-1.636178271136307649e-01,5.443819297564844728e-01
-1.675721053421120599e-01,5.457495134559979810e-01
-1.715371683416092585e-01,5.470855066060164029e-01
-1.755127195865178458e-01,5.483899587425223876e-01
-1.794984655124787221e-01,5.496629211389751912e-01
-1.834941154887289594e-01,5.509044467635686448e-01
-1.874993817898571724e-01,5.521145902348784107e-01
-1.915139795676974455e-01,5.532934077784389393e-01
-1.955376268211230228e-01,5.544409571737171083e-01
-1.995700443711841410e-01,5.555572977246829858e-01
-2.036109558344457449e-01,5.566424902241530193e-01
-2.076600875960880610e-01,5.576965969178954152e-01
-2.117171687786315037e-01,5.587196814457191518e-01
-2.157819312107392695e-01,5.597118087777425144e-01
-2.198541094202943469e-01,5.606730452857765501e-01
-2.239334405847261122e-01,5.616034585819815739e-01
-2.280196645163262703e-01,5.625031175452811505e-01
-2.321125236405622017e-01,5.633720923181454454e-01
-2.362117629548720343e-01,5.642104541757352321e-01
