x,y
0.000000000000000000e+00,0.000000000000000000e+00
2.785430546952301356e-03,1.880255330681438153e-05
5.570340759708685731e-03,7.577977949744515518e-05
8.354176378044635143e-03,1.718239083716212334e-04
1.113634231056691640e-02,3.078801174120853845e-04
1.391619791431908913e-02,4.849509290221471858e-04
1.669305162453732158e-02,7.041008294290620377e-04
1.946615482549524795e-02,9.664611819918160962e-04
2.223469485426549444e-02,1.273235683060044456e-03
2.499778698664635590e-02,1.625706164775120397e-03
2.775446524791978439e-02,2.025238882525196536e-03
3.050367185492511637e-02,2.473291247918221834e-03
3.324424506077149760e-02,2.971418964691923976e-03
3.597490515526598209e-02,3.521283629274288111e-03
3.869423830192722513e-02,4.124660593694290389e-03
4.140067788351151079e-02,4.783447096428454330e-03
4.409248295193767680e-02,5.499670402709868830e-03
4.676771333606395686e-02,6.275495674308705953e-03
4.942420094832934707e-02,7.113233259922000645e-03
5.205951674088846182e-02,8.015344697558086581e-03
5.467093282701039614e-02,8.984446748896795371e-03
5.725537926806355954e-02,1.002331227553379840e-02
5.980939517448648213e-02,1.113486647946183676e-02
6.232907402727984325e-02,1.232217653552582226e-02
6.481000350339187477e-02,1.358843191379864937e-02
6.724720086804779340e-02,1.493691210185097741e-02
6.963504603162014306e-02,1.637093750756325045e-02
7.196721606395521664e-02,1.789379866162746358e-02
7.423662715450596306e-02,1.950865816972992620e-02
7.643539308813342148e-02,2.121841998672283069e-02
7.855481286931760565e-02,2.302556157530721848e-02
8.058540401472553960e-02,2.493192738573259820e-02
8.251700120611200895e-02,2.693848742208049610e-02
8.433894083272813758e-02,2.904507296133771593e-02
8.604034828610729324e-02,3.125011255251503722e-02
8.761053444404787172e-02,3.355040352493064704e-02
8.903948909601558381e-02,3.594096346253006224e-02
9.031843436052279517e-02,3.841500756509628328e-02
9.144037579327904397e-02,4.096408625801485626e-02
9.240057298438032751e-02,4.357839197645601431e-02
9.319685372363926967e-02,4.624720953404675566e-02
9.382972018078845899e-02,4.895945216802297800e-02
9.430223589032912801e-02,5.170420727471714689e-02
9.461972498273320265e-02,5.447121868300540404e-02
9.478934571198119330e-02,5.725125362429008685e-02
9.481961126382035254e-02,6.003633271435887542e-02
9.471992274556258196e-02,6.281982915925329869e-02
9.450015972631960193e-02,6.559646191795617809e-02
9.417035208482457675e-02,6.836221494495972606e-02
9.374043753271672774e-02,7.111421332630002423e-02
9.322009742169604096e-02,7.385058090712226520e-02
9.261865660558868396e-02,7.657029632336123659e-02
9.194503146546359473e-02,7.927305731355974161e-02
9.120771097819931061e-02,8.195915777985897377e-02
9.041475801428212888e-02,8.462937842260297161e-02
8.957382069277444736e-02,8.728488966356191814e-02
8.869214616885062741e-02,8.992716462770376784e-02
8.777659150328696869e-02,9.255789982806766902e-02
8.683362819220928619e-02,9.517894160729875597e-02
8.586933861433843074e-02,9.779221711685850971e-02
8.488940411157189225e-02,1.003996694809358020e-01
8.389908572029551592e-02,1.030031976487422868e-01
8.290319965246757683e-02,1.056046021306430993e-01
8.190609051733718782e-02,1.082055382509145014e-01
8.091160579060875657e-02,1.108074786205389406e-01
7.992307515552467267e-02,1.134116862335265569e-01
7.894329801588391426e-02,1.160191989725497530e-01
7.797454168968417920e-02,1.186308254714103505e-01
7.701855171054179661e-02,1.212471514096948866e-01
7.607657439440611291e-02,1.238685545477699185e-01
7.514939063597989022e-02,1.264952262977203923e-01
7.423735890230687140e-02,1.291271974123137656e-01
7.334046477279788923e-02,1.317643654680690501e-01
7.245837411310056264e-02,1.344065221414012246e-01
7.159048709258063192e-02,1.370533787453420138e-01
7.073599062435535767e-02,1.397045890028454085e-01
6.989390734619931045e-02,1.423597685107661770e-01
6.906313984842223086e-02,1.450185107384812377e-01
6.824250941413760596e-02,1.476803996951667475e-01
6.743078901734396446e-02,1.503450195848179127e-01
6.662673068357523321e-02,1.530119618616116450e-01
6.582908758537853178e-02,1.556808301330818989e-01
6.503663139805852811e-02,1.583512433407421316e-01
6.424816551519657581e-02,1.610228376050756305e-01
6.346253474243461479e-02,1.636952670677233324e-01
6.267863206653900843e-02,1.663682040063154399e-01
6.189540304548965532e-02,1.690413384416876164e-01
6.111184828931416624e-02,1.717143774044905535e-01
6.032702446530611301e-02,1.743870439958388474e-01
5.954004415928147720e-02,1.770590763321489847e-01
5.875007488758529628e-02,1.797302264444601838e-01
5.795633749423372005e-02,1.824002591799412654e-01
5.715810412224272413e-02,1.850689511381448382e-01
5.635469589685131175e-02,1.877360896590876682e-01
5.554548044350039737e-02,1.904014718772987225e-01
5.472986933295079237e-02,1.930649038495132475e-01
5.390731550014266071e-02,1.957261997505493345e-01
5.307731070756166458e-02,1.983851811440167368e-01
5.223938307351713717e-02,2.010416763196501422e-01
5.139309469340799102e-02,2.036955196943915358e-01
5.053803937111799732e-02,2.063465512731554874e-01
4.967384046957335625e-02,2.089946161644005707e-01
4.880014888159071168e-02,2.116395641435878938e-01
4.791664112562528388e-02,2.142812492612992670e-01
4.702301756931586557e-02,2.169195294951455077e-01
4.611900076448384456e-02,2.195542664324962312e-01
4.520433390135424057e-02,2.221853249879024439e-01
4.427877937433878641e-02,2.248125731517195414e-01
4.334211744665857069e-02,2.274358817600756755e-01
4.239414501737722579e-02,2.300551242929219364e-01
4.143467447455888297e-02,2.326701766861054288e-01
4.046353263943302386e-02,2.352809171691878920e-01
3.948055978561065132e-02,2.378872261134244437e-01
3.848560873489167977e-02,2.404889858992539098e-01
3.747854401930366536e-02,2.430860807923831690e-01
3.645924110810107310e-02,2.456783968364128490e-01
3.542758569157630072e-02,2.482658217489976671e-01
3.438347302058970129e-02,2.508482448381182950e-01
3.332680729407248160e-02,2.534255569149872489e-01
3.225750109349578842e-02,2.559976502227201967e-01
3.117547485955950853e-02,2.585644183664640439e-01
3.008065640673983701e-02,2.611257562581530411e-01
2.897298047542190905e-02,2.636815600541870808e-01
2.785238831558500827e-02,2.662317271090626214e-01
2.671882730123231395e-02,2.687761559294687963e-01
2.557225057337212185e-02,2.713147461312886977e-01
2.441261670852335613e-02,2.738473984017567586e-01
2.323988941070908448e-02,2.763740144655053577e-01
2.205403722469223560e-02,2.788944970548472013e-01
2.085503327145239033e-02,2.814087498784679786e-01
1.964285500096405943e-02,2.839166775959802158e-01
1.841748396184859915e-02,2.864181857951669796e-01
1.717890558528280959e-02,2.889131809737474632e-01
1.592710899014056214e-02,2.914015705120474031e-01
1.466208679240125871e-02,2.938832626632081335e-01
1.338383493287053846e-02,2.963581665349001026e-01
1.209235251604819789e-02,2.988261920735652000e-01
1.078764165786651533e-02,3.012872500527860598e-01
9.469707345216744898e-03,3.037412520600763499e-01
8.138557299913889986e-03,3.061881104913592444e-01
6.794201858833216930e-03,3.086277385356978042e-01
5.436653854143350291e-03,3.110600501717565858e-01
4.065928507771245093e-03,3.134849601556770615e-01
2.682043324665026474e-03,3.159023840202605515e-01
1.285017998630280526e-03,3.183122380664748508e-01
-1.251256779035849029e-04,3.207144393581635722e-01
-1.548363899416600091e-03,3.231089057182062740e-01
-2.984670927289381163e-03,3.254955557245283737e-01
-4.434019167818190749e-03,3.278743087098358044e-01
-5.896379242869858109e-03,3.302450847580081228e-01
-7.371720052343794238e-03,3.326078046959697332e-01
-8.860008848560278413e-03,3.349623901046963614e-01
-1.036121128661021511e-02,3.373087633058418633e-01
-1.187529148619456167e-02,3.396468473663258325e-01
-1.340221208776468283e-02,3.419765660998592138e-01
-1.494193430191745331e-02,3.442978440640458992e-01
-1.649441795831524393e-02,3.466106065602204134e-01
-1.805962155372187877e-02,3.489147796352490283e-01
-1.963750229587339635e-02,3.512102900812446027e-01
-2.122801614532382822e-02,3.534970654355107933e-01
-2.283111785875463484e-02,3.557750339845628385e-01
-2.444676102827290920e-02,3.580441247656943049e-01
-2.607489811077419103e-02,3.603042675590864552e-01
-2.771548047638057455e-02,3.625553929039192491e-01
-2.936845842987679395e-02,3.647974320849404761e-01
-3.103378125620174371e-02,3.670303171485567728e-01
-3.271139723897164425e-02,3.692539808891504016e-01
-3.440125370180353859e-02,3.714683568632511923e-01
-3.610329703434433934e-02,3.736733793872678011e-01
-3.781747271754337669e-02,3.758689835355072395e-01
-3.954372535424473256e-02,3.780551051455063316e-01
-4.128199869532903077e-02,3.802316808192148234e-01
-4.303223566521246352e-02,3.823986479243799974e-01
-4.479437838677667594e-02,3.845559445961460598e-01
-4.656836820576015779e-02,3.867035097388418774e-01
-4.835414571464399791e-02,3.888412830279425192e-01
-5.015165077388471920e-02,3.909692049095735977e-01
-5.196082253345465224e-02,3.930872166010006552e-01
-5.378159946058191920e-02,3.951952600991965880e-01
-5.561391935566144945e-02,3.972932781758116150e-01
-5.745771936887458103e-02,3.993812143733673214e-01
-5.931293603433158285e-02,4.014590130232703058e-01
-6.117950527043515552e-02,4.035266192231702909e-01
-6.305736242003842640e-02,4.055839788632999987e-01
-6.494644225017738581e-02,4.076310386036753886e-01
-6.684667898302996958e-02,4.096677458899974367e-01
-6.875800631256563655e-02,4.116940489523736590e-01
-7.068035741524408833e-02,4.137098967967687280e-01
-7.261366497355659089e-02,4.157152392127933527e-01
-7.455786119339721796e-02,4.177100267741288286e-01
-7.651287781930450616e-02,4.196942108364726809e-01
-7.847864614954724871e-02,4.216677435354486136e-01
-8.045509705405257117e-02,4.236305777883831447e-01
-8.244216099025158950e-02,4.255826672936340871e-01
-8.443976801872826732e-02,4.275239665298533054e-01
-8.644784781870071266e-02,4.294544307552092266e-01
-8.846632970333316581e-02,4.313740160065626106e-01
-9.049514263452729246e-02,4.332826790981145759e-01
-9.253421523595622977e-02,4.351803776178063132e-01
-9.458347581061921083e-02,4.370670699299873951e-01
-9.664285235495845283e-02,4.389427151736601806e-01
-9.871227257279814593e-02,4.408072732606141408e-01
-1.007916638830701900e-01,4.426607048649467968e-01
-1.028809534426789463e-01,4.445029714337987437e-01
-1.049800681589209000e-01,4.463340351839081843e-01
-1.070889346912305418e-01,4.481538590828251789e-01
-1.092074794832582352e-01,4.499624068735867954e-01
-1.113356287562159014e-01,4.517596430440555255e-01
-1.134733085392214957e-01,4.535455328497209893e-01
-1.156204446650008905e-01,4.553200422862414554e-01
-1.177769628002944269e-01,4.570831381131126303e-01
-1.199427884383055809e-01,4.588347878211914699e-01
-1.221178469294734864e-01,4.605749596575895444e-01
-1.243020634809565150e-01,4.623036226037841590e-01
-1.264953631694563652e-01,4.640207463737232585e-01
-1.286976709594677692e-01,4.657263014207320140e-01
-1.309089117101747690e-01,4.674202589270836650e-01
-1.331290101838563666e-01,4.691025907957819818e-01
-1.353578910603256413e-01,4.707732696520580129e-01
-1.375954789474447548e-01,4.724322688389234193e-01
-1.398416983916727918e-01,4.740795624129320318e-01
-1.420964738883759015e-01,4.757151251397241376e-01
-1.443597298908292081e-01,4.773389324875352835e-01
-1.466313908212140416e-01,4.789509606241785789e-01
-1.489113810805562932e-01,4.805511864124896726e-01
-1.511996250584237145e-01,4.821395874055572350e-01
-1.534960471424823281e-01,4.837161418419099190e-01
-1.558005717279114244e-01,4.852808286406629090e-01
-1.581131232263144060e-01,4.868336273959777416e-01
-1.604336260742521558e-01,4.883745183710225257e-01
-1.627620047434616690e-01,4.899034824952038236e-01
-1.650981837492657422e-01,4.914205013584239112e-01
-1.674420876592382645e-01,4.929255572060278201e-01
-1.697936411016900127e-01,4.944186329336692221e-01
-1.721527687701110976e-01,4.958997120746417853e-01
-1.745193954357182053e-01,4.973687788027824075e-01
-1.768934459570849771e-01,4.988258179304899120e-01
-1.792748452832758077e-01,5.002708148942669464e-01
-1.816635184585337348e-01,5.017037557430306105e-01
-1.840593906419473458e-01,5.031246271569694839e-01
-1.864623871012820178e-01,5.045334164149256617e-01
-1.888724332260844907e-01,5.059301114004982614e-01
-1.912894545391150836e-01,5.073147006058341679e-01
-1.937133766895064724e-01,5.086871730970744521e-01
-1.961441254785296628e-01,5.100475185490179753e-01
-1.985816268446456423e-01,5.113957271933359250e-01
-2.010258068915094787e-01,5.127317898595835644e-01
-2.034765918737448387e-01,5.140556979245622937e-01
-2.059339082195780213e-01,5.153674433430739388e-01
-2.083976825270658639e-01,5.166670186205134518e-01
-2.108678415691485064e-01,5.179544168049169395e-01
-2.133443123102150007e-01,5.192296315066328161e-01
-2.158270218968516008e-01,5.204926568580016122e-01
-2.183158976704935861e-01,5.217434875242795700e-01
-2.208108671773347520e-01,5.229821187094974011e-01
-2.233118581637410782e-01,5.242085461271394076e-01
-2.258187985848194024e-01,5.254227660028542024e-01
-2.283316166104689404e-01,5.266247750717426568e-01
-2.308502406316028099e-01,5.278145705767508522e-01
-2.333745992601505004e-01,5.289921502512380247e-01
-2.359046213347618659e-01,5.301575123163493330e-01
-2.384402359257713766e-01,5.313106554770370415e-01
-2.409813723391398266e-01,5.324515789157925338e-01
-2.435279601202776922e-01,5.335802822864170736e-01
-2.460799290577608545e-01,5.346967657078344205e-01
-2.486372091869315237e-01,5.358010297579476333e-01
-2.511997307933884760e-01,5.368930754675441674e-01
-2.537674244163697357e-01,5.379729043142515987e-01
-2.563402208520263459e-01,5.390405182165469711e-01
-2.589180511565881693e-01,5.400959195278222102e-01
-2.615008466494239681e-01,5.411391110305112662e-01
-2.640885389159992602e-01,5.421700959302810929e-01
-2.666810598107271502e-01,5.431888778502880211e-01
-2.692783414597217928e-01,5.441954608255085146e-01
-2.718803162634474413e-01,5.451898492971433141e-01
-2.744869168992696840e-01,5.461720481071022926e-01
-2.770980763239095368e-01,5.471420624925742437e-01
-2.797137277740722738e-01,5.480998980746034643e-01
-2.823338047697113717e-01,5.490455608559089429e-01
-2.849582411183216313e-01,5.499790572232100549e-01
-2.875869709155438603e-01,5.509003939371349690e-01
-2.902199285454092892e-01,5.518095781206981965e-01
-2.928570486803348527e-01,5.527066172465665561e-01
-2.954982662903572477e-01,5.535915191599749541e-01
-2.981435166402857662e-01,5.544642920572226963e-01
-3.007927352851972880e-01,5.553249444560730552e-01
-3.034458580837497421e-01,5.561734852371106319e-01
-3.061028211930732490e-01,5.570099236136871745e-01
-3.087635610647638251e-01,5.578342691040617529e-01
-3.114280144605373057e-01,5.586465315867881198e-01
-3.140961184359229441e-01,5.594467212221280183e-01
-3.167678103568126180e-01,5.602348485132979672e-01
-3.194430278892793074e-01,5.610109242532829166e-01
-3.221217090067859945e-01,5.617749595475683977e-01
-3.248037919880891744e-01,5.625269657963797298e-01
-3.274892154196518135e-01,5.632669546974957697e-01
-3.301779181933122698e-01,5.639949382270657008e-01
-3.328698395133795063e-01,5.647109286665922268e-01
-3.355649188860231891e-01,5.654149385429159125e-01
-3.382630961351751897e-01,5.661069807014078581e-01
-3.409643113859021080e-01,5.667870682142437389e-01
-3.436685050781083106e-01,5.674552144447975177e-01
-3.463756179621843012e-01,5.681114330198151485e-01
-3.490855910940733886e-01,5.687557377956569127e-01
-3.517983658453150975e-01,5.693881429089377999e-01
-3.545138838971753636e-01,5.700086627394008731e-01
-3.572320872385555401e-01,5.706173118919447562e-01
-3.599529181704355651e-01,5.712141052181862744e-01
-3.626763193075511760e-01,5.717990578242736488e-01
-3.654022335718096204e-01,5.723721850263395750e-01
-3.681306041953776309e-01,5.729335023657385895e-01
-3.708613747209521527e-01,5.734830256080627464e-01
-3.735944890024178178e-01,5.740207707457447572e-01
-3.763298912034370725e-01,5.745467539869862916e-01
-3.790675257956476196e-01,5.750609917410343108e-01
-3.818073375598035613e-01,5.755635006246352381e-01
-3.845492715853227050e-01,5.760542974580359354e-01
-3.872932732697960123e-01,5.765333992609943392e-01
-3.900392883184642945e-01,5.770008232488547106e-01
-3.927872627436649333e-01,5.774565868286900550e-01
-3.955371428642473486e-01,5.779007075955094885e-01
-3.982888753049612096e-01,5.783332033285376594e-01
-4.010424069958151705e-01,5.787540919875669987e-01
-4.037976851714095705e-01,5.791633917093845785e-01
-4.065546573702417676e-01,5.795611208042866780e-01
-4.093132714339870470e-01,5.799472977526738404e-01
-4.120734755067549937e-01,5.803219412017470713e-01
-4.148352180343208850e-01,5.806850699623073986e-01
-4.175984477633357117e-01,5.810367030056732274e-01
-4.203631137405139384e-01,5.813768594607315876e-01
-4.231291653117982832e-01,5.817055586111451460e-01
-4.258965521215068994e-01,5.820228198927371865e-01
-4.286652241114580209e-01,5.823286628910979701e-01
-4.314351315200466996e-01,5.826231073390302218e-01
-4.342062248797874946e-01,5.829061730923107421e-01
-4.369784550181952665e-01,5.831778801503659793e-01
-4.397517730573011208e-01,5.834382486625792064e-01
-4.425261304119504358e-01,5.836872989174407556e-01
-4.453014787884699288e-01,5.839250513360165762e-01
-4.480777701806525348e-01,5.841515264152337128e-01
-4.508549568741754832e-01,5.843667448165682510e-01
-4.536329914443202327e-01,5.845707273508655710e-01
-4.564118267521976580e-01,5.847634949259630233e-01
-4.591914159421112696e-01,5.849450685007209216e-01
-4.619717124481708681e-01,5.851154692514387579e-01
-4.647526699872790990e-01,5.852747184521724932e-01
-4.675342425545144232e-01,5.854228373657514028e-01
-4.703163844329197874e-01,5.855598475315739737e-01
-4.730990501822555649e-01,5.856857705003943870e-01
-4.758821946401786129e-01,5.858006278701528569e-01
-4.786657729278928075e-01,5.859044415427046015e-01
-4.814497404353275667e-01,5.859972332062967082e-01
-4.842340528363264229e-01,5.860790249947070985e-01
-4.870186660718224814e-01,5.861498387981567415e-01
-4.898035363615060311e-01,5.862096968935534003e-01
-4.925886201927638930e-01,5.862586213953238090e-01
-4.953738743267677713e-01,5.862966347394857891e-01
-4.981592557910859975e-01,5.863237591498291490e-01
