x,y
-2.183435052227102047e-10,7.188904782650508141e-01
0.000000000000000000e+00,0.000000000000000000e+00
4.183979928400104187e-03,2.749905830659562088e-05
8.367236941722802288e-03,1.099914818928921244e-04
1.254904824979717268e-02,2.474630175794256121e-04
1.672869131224367228e-02,4.398899128034267601e-04
2.090544396331587076e-02,6.872389197228672645e-04
2.507858453667748122e-02,9.894673009610010801e-04
2.924739199009306415e-02,1.346522836990587252e-03
3.341114603001091310e-02,1.758343835156629502e-03
3.756912723601659593e-02,2.224859140335544438e-03
1.368199111052423589e-01,1.464676922039016838e-02
1.409690874541443262e-01,1.518572277306538473e-02
1.451068315545269161e-01,1.580636319910347712e-02
1.492313306092206415e-01,1.650964766509623732e-02
1.533406389620564081e-01,1.729683335686119788e-02
1.574326351625446874e-01,1.816953678308413922e-02
1.615049676571551351e-01,1.912980279255378432e-02
1.655549857538048952e-01,2.018018516034118456e-02
1.695796513143795758e-01,2.132384099005232847e-02
1.735754251192508368e-01,2.256464148366415720e-02
1.775381190901501594e-01,2.390730204874787213e-02
1.814627031451984396e-01,2.535753426879174682e-02
1.853430501981269407e-01,2.692222166209929518e-02
1.891715977016738826e-01,2.860961814611001977e-02
1.929388969300847856e-01,3.042956182527346148e-02
1.966330135015445790e-01,3.239368368284550187e-02
2.002387390354245511e-01,3.451556453711908390e-02
2.037365818878639212e-01,3.681074603208280699e-02
2.071015480068889858e-01,3.929641991966588421e-02
2.103018481456315480e-01,4.199049767315857912e-02
2.132979419498252927e-01,4.490963264360998963e-02
2.160428181672364167e-01,4.806576317632546558e-02
2.184849722002190353e-01,5.146119250321368188e-02
2.205754860662986205e-01,5.508348497493249785e-02
2.804154823831033760e-01,1.676833915615323078e-01
2.823711460162625642e-01,1.713822865307632060e-01
2.842780210886798886e-01,1.751065678973701967e-01
2.861357781272785838e-01,1.788555921737652876e-01
2.879440961456780079e-01,1.826287115972390351e-01
2.897026626996546672e-01,1.864252742418817943e-01
2.914111739411265334e-01,1.902446241312251707e-01
2.930693346706524927e-01,1.940861013515820244e-01
2.946768583884374348e-01,1.979490421660679567e-01
2.962334673438342114e-01,2.018327791292828521e-01
2.977388925833338029e-01,2.057366412026327696e-01
2.991928739970355355e-01,2.096599538702738075e-01
3.005951603635893532e-01,2.136020392556555458e-01
3.019455093936022627e-01,2.175622162386458835e-01
3.032436877715014023e-01,2.215398005732159281e-01
3.044894711958469058e-01,2.255341050056657581e-01
3.056826444180868463e-01,2.295444393933686877e-01
3.068230012797485418e-01,2.335701108240152146e-01
3.079103447480585065e-01,2.376104237353361681e-01
3.089444869499866075e-01,2.416646800352823810e-01
3.099252492047067098e-01,2.457321792226429269e-01
3.108524620544695916e-01,2.498122185080784707e-01
3.117259652938823011e-01,2.539040929355503851e-01
3.125456079975882928e-01,2.580070955041243175e-01
3.133112485463450114e-01,2.621205172901270863e-01
3.140227546514928192e-01,2.662436475696355886e-01
3.146800033778121564e-01,2.703757739412769867e-01
3.152828811647645502e-01,2.745161824493184133e-01
3.158312838461136418e-01,2.786641577070257392e-01
3.163251166679232895e-01,2.828189830202688659e-01
3.167642943049294169e-01,2.869799405113538926e-01
3.171487408752823867e-01,2.911463112430586753e-01
3.174783899536582910e-01,2.953173753428525172e-01
3.177531845827358814e-01,2.994924121272764528e-01
3.179730772830375862e-01,3.036707002264645294e-01
3.181380300611336143e-01,3.078515177087831622e-01
3.182480144162058711e-01,3.120341422055676328e-01
3.183030113449728526e-01,3.162178510359344163e-01
3.183030113449728526e-01,3.204019213316468551e-01
3.182480144162058711e-01,3.245856301620135831e-01
3.181380300611336143e-01,3.287682546587981647e-01
3.179730772830376417e-01,3.329490721411167975e-01
3.177531845827358814e-01,3.371273602403048186e-01
3.174783899536583465e-01,3.413023970247286987e-01
3.171487408752823867e-01,3.454734611245224851e-01
3.167642943049294169e-01,3.496398318562274343e-01
3.163251166679233450e-01,3.538007893473124055e-01
3.158312838461136418e-01,3.579556146605554767e-01
3.152828811647646057e-01,3.621035899182628026e-01
3.146800033778122119e-01,3.662439984263042292e-01
3.140227546514928192e-01,3.703761247979457383e-01
3.133112485463450114e-01,3.744992550774542406e-01
3.125456079975883483e-01,3.786126768634568984e-01
3.117259652938823011e-01,3.827156794320308864e-01
3.108524620544696471e-01,3.868075538595027174e-01
3.099252492047067098e-01,3.908875931449383168e-01
3.089444869499866630e-01,3.949550923322989182e-01
3.079103447480585620e-01,3.990093486322451310e-01
3.068230012797485973e-01,4.030496615435660290e-01
3.056826444180869573e-01,4.070753329742125559e-01
3.044894711958469058e-01,4.110856673619154855e-01
3.032436877715014023e-01,4.150799717943652878e-01
3.019455093936023182e-01,4.190575561289354156e-01
3.005951603635894087e-01,4.230177331119257533e-01
2.991928739970355910e-01,4.269598184973074084e-01
2.977388925833338584e-01,4.308831311649485296e-01
2.962334673438342669e-01,4.347869932382984470e-01
2.946768583884374904e-01,4.386707302015132037e-01
2.930693346706525482e-01,4.425336710159992193e-01
2.914111739411265889e-01,4.463751482363560452e-01
2.897026626996547227e-01,4.501944981256995049e-01
2.879440961456780634e-01,4.539910607703422918e-01
2.861357781272786394e-01,4.577641801938159283e-01
2.842780210886799441e-01,4.615132044702111025e-01
2.823711460162625642e-01,4.652374858368180655e-01
2.804154823831033760e-01,4.689363808060490468e-01
2.784113680920487499e-01,4.726092502766200409e-01
2.763591494173309737e-01,4.762554596439770860e-01
2.742591809447385565e-01,4.798743789099431667e-01
2.721118255103502359e-01,4.834653827915708080e-01
2.699174541378436265e-01,4.870278508291800423e-01
2.676764459743892210e-01,4.905611674935611566e-01
2.653891882251402934e-01,4.940647222923280069e-01
2.630560760863312475e-01,4.975379098754000307e-01
2.606775126769951267e-01,5.009801301395943041e-01
2.582539089693115519e-01,5.043907883323140995e-01
2.557856837175987996e-01,5.077692951543094635e-01
2.532732633859601790e-01,5.111150668614992121e-01
2.507170820745992512e-01,5.144275253658296965e-01
2.481175814448151329e-01,5.177060983351586820e-01
2.454752106426913438e-01,5.209502192921432462e-01
2.427904262214921338e-01,5.241593277121172623e-01
2.400636920627777504e-01,5.273328691199395957e-01
2.372954792962545523e-01,5.304702951857970250e-01
2.344862662183726798e-01,5.335710638199455680e-01
2.316365382096844949e-01,5.366346392663744469e-01
2.287467876509805820e-01,5.396604921953735978e-01
2.258175138382145508e-01,5.426480997949932883e-01
2.228492228962343780e-01,5.455969458613759704e-01
2.198424276913331088e-01,5.485065208879469356e-01
2.167976477426349358e-01,5.513763221534475623e-01
2.137154091323320848e-01,5.542058538087962782e-01
2.105962444147869705e-01,5.569946269627626956e-01
2.074406925245168287e-01,5.597421597664388182e-01
2.042492986830760082e-01,5.624479774964930012e-01
2.010226143048508829e-01,5.651116126371948933e-01
1.977611969017865623e-01,5.677326049611919334e-01
6.164504540067636262e-02,6.757085164523947141e-01
5.836707427693669376e-02,6.783088097755809454e-01
5.507061575284415839e-02,6.808856259882389850e-01
5.175590453258645945e-02,6.834389200673509634e-01
4.842317382576270118e-02,6.859686488454238562e-01
4.507265535496542130e-02,6.884747709800672633e-01
4.170457936460474080e-02,6.909572469262164063e-01
3.831917463174572963e-02,6.934160389122620005e-01
3.491666845731481589e-02,6.958511108804228407e-01
3.149728665489489460e-02,6.982624284253022839e-01
2.806125362268633433e-02,7.006499588828839498e-01
2.460879234977838420e-02,7.030136712965268098e-01
2.114012434161805995e-02,7.053535362432248323e-01
1.765546959301464783e-02,7.076695257518136328e-01
1.415504691050864516e-02,7.099616138194845272e-01
1.063907341136206657e-02,7.122297755072988235e-01
7.107764965924308342e-03,7.144739876645006538e-01
3.561336158467418890e-03,7.166942288107137626e-01
