s,x,y,kappa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.295483530565726227e+01
1.785714285714285713e-04,1.785712655509077962e-04,2.080008199379544856e-07,1.300167193479427041e+01
3.571428571428571425e-04,3.571415675328976319e-04,8.297573438834800703e-07,1.304869785259723614e+01
5.357142857142857409e-04,5.357099397558139553e-04,1.866895921875124578e-06,1.309591320929100000e+01
7.142857142857142851e-04,7.142754043515122352e-04,3.321039327939928836e-06,1.314331813355059353e+01
8.928571428571428293e-04,8.928369493545536707e-04,5.195716656188743862e-06,1.319091359447001466e+01
1.071428571428571482e-03,1.071393580371967410e-03,7.491074537859656713e-06,1.323869900636439567e+01
1.250000000000000026e-03,1.249944291549556644e-03,1.020810243582815362e-05,1.328667414970530913e+01
1.428571428571428570e-03,1.428488059548427714e-03,1.334840804937250290e-05,1.333483906379373707e+01
1.607142857142857114e-03,1.607023849327445138e-03,1.691359507522910226e-05,1.338319376447355502e+01
1.785714285714285659e-03,1.785550614139962090e-03,2.090526311899468839e-05,1.343173824373966774e+01
1.964285714285714420e-03,1.964067271702897490e-03,2.532592423692100380e-05,1.348047287399659488e+01
2.142857142857142964e-03,2.142572760727609518e-03,3.017662024397066239e-05,1.352939735178939529e+01
2.321428571428571508e-03,2.321066013537638559e-03,3.545839061302780192e-05,1.357851135345528704e+01
2.500000000000000052e-03,2.499545937858044849e-03,4.117281783871893914e-05,1.362781477262389274e+01
2.678571428571428596e-03,2.678011429704613578e-03,4.732147988346510154e-05,1.367730747715264883e+01
2.857142857142857140e-03,2.856461373384916978e-03,5.390595008598986166e-05,1.372698930873338341e+01
3.035714285714285685e-03,3.034894641500147927e-03,6.092779706935454420e-05,1.377686008249894734e+01
3.214285714285714229e-03,3.213310094947721164e-03,6.838858464852728698e-05,1.382691958663008158e+01
3.392857142857142773e-03,3.391706582924671615e-03,7.628987173749307799e-05,1.387716758196261324e+01
3.571428571428571317e-03,3.570082942931825532e-03,8.463321225591146995e-05,1.392760380159509914e+01
3.749999999999999861e-03,3.748438000778791732e-03,9.342015503532967717e-05,1.397822795049707345e+01
3.928571428571428839e-03,3.926770570589746892e-03,1.026522437249580274e-04,1.402903970511800402e+01
4.107142857142856950e-03,4.105079454810056129e-03,1.123310166970159274e-04,1.408003871299713516e+01
4.285714285714285927e-03,4.283363444213703249e-03,1.224580069516551927e-04,1.413122459237426476e+01
4.464285714285714038e-03,4.461621317911566680e-03,1.330347420214692802e-04,1.418259693180168846e+01
4.642857142857143016e-03,4.639851843360546721e-03,1.440627438755969479e-04,1.423415528975738731e+01
4.821428571428571126e-03,4.818053773537008845e-03,1.555435719924616264e-04,1.428589921184326705e+01
5.000000000000000104e-03,4.996225750861001819e-03,1.674802237984862423e-04,1.433782879688211764e+01
5.178571428571428215e-03,5.174366592086410838e-03,1.798728504142771130e-04,1.438994295470400253e+01
5.357142857142857192e-03,5.352475016832982692e-03,1.927229502790699675e-04,1.444224111798969012e+01
5.535714285714285303e-03,5.530549733124695555e-03,2.060320157728251663e-04,1.449472268739062919e+01
5.714285714285714281e-03,5.708589437404216170e-03,2.198015331180108018e-04,1.454738703115275733e+01
5.892857142857143259e-03,5.886592806408528014e-03,2.340330824461602508e-04,1.460023352395420204e+01
6.071428571428571369e-03,6.064558307872914070e-03,2.487305816471869157e-04,1.465326241751723479e+01
6.250000000000000347e-03,6.242484788818796274e-03,2.638931279428477386e-04,1.470647204479013581e+01
6.428571428571428457e-03,6.420370898195783271e-03,2.795221815625038397e-04,1.475986163874655865e+01
6.607142857142857435e-03,6.598215273458427933e-03,2.956191960710675883e-04,1.481343039806630379e+01
