x,y
5.559004544580485943e-03,6.424976069457518646e-01
5.848476048823607505e-03,6.433422317511154898e-01
6.147873856858772183e-03,6.441833889478917330e-01
6.457339461473740605e-03,6.450208942692997605e-01
6.777008373242903762e-03,6.458545581925519974e-01
7.107018902845868916e-03,6.466841824644343761e-01
7.447509370144734901e-03,6.475095607030411093e-01
7.798614129585096713e-03,6.483304797223830018e-01
8.160467037942591151e-03,6.491467178341814304e-01
8.533202477245618173e-03,6.499580439377001806e-01
8.916947951790248766e-03,6.507642205427979221e-01
9.311832894825145326e-03,6.515649993685479480e-01
9.717979530856259845e-03,6.523601253162081282e-01
1.013550836276707473e-02,6.531493334973623721e-01
1.056453658968709367e-02,6.539323495594733249e-01
1.100517376876226569e-02,6.547088917214979320e-01
1.145752730081267892e-02,6.554786674026458204e-01
1.192169567402776541e-02,6.562413767063488557e-01
1.239777133373063528e-02,6.569967105256773188e-01
1.288584222310636476e-02,6.577443491093252215e-01
1.338598429240923926e-02,6.584839665484470972e-01
1.389826593730355414e-02,6.592152277646524672e-01
1.442274771419838585e-02,6.599377882832117015e-01
1.495947732504136589e-02,6.606512975883290784e-01
1.550849228005696419e-02,6.613553971201023840e-01
1.606981941951909562e-02,6.620497203633108896e-01
1.664347039817901108e-02,6.627338963790795345e-01
1.722944514715855913e-02,6.634075470393019369e-01
1.782772939787227381e-02,6.640702890083062249e-01
1.843829219930614299e-02,6.647217361502315569e-01
1.906108967033413176e-02,6.653614962372512709e-01
1.969605806645824408e-02,6.659891777944695335e-01
2.034311924553892925e-02,6.666043852300778116e-01
2.100217594531888360e-02,6.672067239935470795e-01
2.167311303204037809e-02,6.677957999875105966e-01
2.235579745291943476e-02,6.683712202450665663e-01
2.305007546374582966e-02,6.689325970803329247e-01
2.375577678362721101e-02,6.694795440444616386e-01
2.447270851060506097e-02,6.700116846944464966e-01
2.520066024751049100e-02,6.705286474854784684e-01
2.593940185578932217e-02,6.710300700801076212e-01
2.668868471090272282e-02,6.715155991908435817e-01
2.744823914650515451e-02,6.719848964700019245e-01
2.821777922890448403e-02,6.724376332035013615e-01
2.899699990066251926e-02,6.728734970367369339e-01
2.978557975588219664e-02,6.732921898042047992e-01
3.058318018187217158e-02,6.736934317554305052e-01
3.138944728991848593e-02,6.740769610010894919e-01
3.220401418316598541e-02,6.744425316843896123e-01
3.302649837769273261e-02,6.747899230270533177e-01
3.385650704089916002e-02,6.751189314266939911e-01
3.469363588917031421e-02,6.754293765414580708e-01
3.553747212804452688e-02,6.757210977886680681e-01
3.638759381246993441e-02,6.759939604836228133e-01
3.724357342028143669e-02,6.762478501044124624e-01
3.810497802882505114e-02,6.764826761433446745e-01
3.897137097294107316e-02,6.766983718483982058e-01
3.984231441388769862e-02,6.768948893275387180e-01
4.071736844247841880e-02,6.770722090734350163e-01
4.159609478089294765e-02,6.772303298420433437e-01
4.247805703914329933e-02,6.773692725403872572e-01
4.336282207494470547e-02,6.774890794523692472e-01
4.424996125797214103e-02,6.775898133906367304e-01
4.513905163533864923e-02,6.776715567864108891e-01
4.602967700459064532e-02,6.777344105937961327e-01
4.692142894871595415e-02,6.777784911069228979e-01
4.781390732841444419e-02,6.778039360796542789e-01
4.870672152702671537e-02,6.778108949394781035e-01
4.959949084529016727e-02,6.777995334111294179e-01
5.049184520857236125e-02,6.777700313491676898e-01
5.138342553936288415e-02,6.777225788475647050e-01
5.227388444187203859e-02,6.776573812638749805e-01
5.316288604936018208e-02,6.775746498600562218e-01
5.405010687291991744e-02,6.774746093390709989e-01
5.493523558037059079e-02,6.773574912886614063e-01
5.581797302875070310e-02,6.772235336976879516e-01
5.669803259365187309e-02,6.770729821803711523e-01
5.757514012205214304e-02,6.769060883990379862e-01
5.844903368266429755e-02,6.767231082070017667e-01
5.931946357221826172e-02,6.765243015931933224e-01
6.018619191747603958e-02,6.763099309251330293e-01
6.104899294240675317e-02,6.760802621929349332e-01
6.190765276700908176e-02,6.758355640613612492e-01
6.276196780719837942e-02,6.755761026917702639e-01
6.361174692969180644e-02,6.753021495329790680e-01
6.445680899843284073e-02,6.750139733820796906e-01
6.529698343192527621e-02,6.747118429333714973e-01
6.613210993552699757e-02,6.743960263933819199e-01
6.696203821316702720e-02,6.740667910880729918e-01
6.778662726944814643e-02,6.737244021519369630e-01
6.860574521360209010e-02,6.733691226303811783e-01
6.941926914520851755e-02,6.730012136871431627e-01
7.022708482938101737e-02,6.726209342890552279e-01
7.102908598563631437e-02,6.722285401488127254e-01
7.182517440368925421e-02,6.718242844640318623e-01
7.261525849681203792e-02,6.714084155588743164e-01
7.339925564636931576e-02,6.709811818157952468e-01
7.417708833093056287e-02,6.705428247761188176e-01
7.494868668862288141e-02,6.700935844004283215e-01
7.571398681096402905e-02,6.696336963544937682e-01
7.647293068853978915e-02,6.691633923906068482e-01
7.722546699030910511e-02,6.686829019372302341e-01
7.797154809702273870e-02,6.681924477918950167e-01
7.871113324343544104e-02,6.676922514244452156e-01
7.944418608063125165e-02,6.671825295019255808e-01
8.017067456726069408e-02,6.666634941703297734e-01
8.089057177913462626e-02,6.661353545253465569e-01
8.160385484921481303e-02,6.655983154037756755e-01
8.231050511988569074e-02,6.650525779021804196e-01
8.301050753194294529e-02,6.644983388643284083e-01
8.370385109389542888e-02,6.639357917564423506e-01
8.439052792989598650e-02,6.633651257283281755e-01
8.507053392067777386e-02,6.627865266542878331e-01
8.574386738777406425e-02,6.622001758105946490e-01
8.641053072580918981e-02,6.616062520029701854e-01
8.707052814679418218e-02,6.610049291947596162e-01
8.772386721803575316e-02,6.603963784710573659e-01
8.837055802624732559e-02,6.597807672873652329e-01
8.901061293232670479e-02,6.591582594153648778e-01
8.964404636534978321e-02,6.585290149354465772e-01
9.027087536245427535e-02,6.578931909610595818e-01
9.089111929852626559e-02,6.572509415029382795e-01
9.150479800568531163e-02,6.566024158430696644e-01
9.211193512806076233e-02,6.559477619101621304e-01
9.271255508506155707e-02,6.552871235116188853e-01
9.330668422345152202e-02,6.546206415824967761e-01
9.389434950316134787e-02,6.539484531607973050e-01
9.447558142851836260e-02,6.532706940877549551e-01
9.505040948899669273e-02,6.525874951654091483e-01
9.561886640814352967e-02,6.518989859463633074e-01
9.618098497624656684e-02,6.512052921582794918e-01
9.673679990892380953e-02,6.505065373708075471e-01
9.728634697410322441e-02,6.498028423723952729e-01
9.782966268011808464e-02,6.490943250428421463e-01
9.836678424982639446e-02,6.483811004551873758e-01
9.889775027425083687e-02,6.476632814690391760e-01
9.942260066097696747e-02,6.469409787565258974e-01
9.994137508288664096e-02,6.462142997661376453e-01
1.004541150324091414e-01,6.454833503039288933e-01
1.009608617757696003e-01,6.447482331536966704e-01
1.014616576870519815e-01,6.440090491101330139e-01
1.019565462060179756e-01,6.432658970022848699e-01
1.024455704723544192e-01,6.425188728572645003e-01
1.029287751443461463e-01,6.417680711827475903e-01
1.034062043245221330e-01,6.410135836816891475e-01
1.038779030117447516e-01,6.402555002724993338e-01
1.043439170662143617e-01,6.394939091099061113e-01
1.048042929119961109e-01,6.387288964486094178e-01
1.052590756885273954e-01,6.379605456119872287e-01
1.057083127260486366e-01,6.371889391377349998e-01
1.061520509735660450e-01,6.364141572847189510e-01
1.065903375867622294e-01,6.356362784495626084e-01
1.070232191717614273e-01,6.348553788076856108e-01
1.074507446006316980e-01,6.340715339233619074e-01
1.078729611182221160e-01,6.332848166377312848e-01
1.082899163244913227e-01,6.324952982353045927e-01
1.087016583720973040e-01,6.317030485846493182e-01
1.091082359415459363e-01,6.309081361544874866e-01
1.095096973146707092e-01,6.301106275792969225e-01
1.099060908586005775e-01,6.293105879611157194e-01
1.102974643551884321e-01,6.285080805865500553e-01
1.106838667780672969e-01,6.277031678385478486e-01
1.110653460694272648e-01,6.268959101500494180e-01
1.114419516296045881e-01,6.260863672307062089e-01
1.118137307604104985e-01,6.252745964353826347e-01
1.121807325944588624e-01,6.244606546331998853e-01
1.125430050920038644e-01,6.236445968543780083e-01
1.129005965292179808e-01,6.228264770093354663e-01
1.132535553381649601e-01,6.220063478408884849e-01
1.136019283160036170e-01,6.211842601964581156e-01
1.139457645812927411e-01,6.203602647478764220e-01
