x,y
0.000000000000000000e+00,0.000000000000000000e+00
4.183979928400104187e-03,2.749905830659562088e-05
8.367236941722802288e-03,1.099914818928921244e-04
1.254904824979717268e-02,2.474630175794256121e-04
1.672869131224367228e-02,4.398899128034267601e-04
2.090544396331587076e-02,6.872389197228672645e-04
2.507858453667748122e-02,9.894673009610010801e-04
2.924739199009306415e-02,1.346522836990587252e-03
3.341114603001091310e-02,1.758343835156629502e-03
3.756912723601659593e-02,2.224859140335544438e-03
4.172061718513563056e-02,2.745988147229562297e-03
4.586489857596377784e-02,3.321640814293879557e-03
5.000125535260360049e-02,3.951717679294024232e-03
5.412897282838584345e-02,4.636109876491383182e-03
5.824733780935412164e-02,5.374699155452860797e-03
6.235563871749182085e-02,6.167357901482726189e-03
6.645316571366972902e-02,7.013949157671881852e-03
7.053921082029324108e-02,7.914326648561502420e-03
7.461306804362791145e-02,8.868334805416931352e-03
7.867403349578221128e-02,9.875808793106899408e-03
8.272140551632649330e-02,1.093657453858414876e-02
8.675448479352707021e-02,1.205044876096211109e-02
9.077257448517439542e-02,1.321723900318219798e-02
9.477498033898476559e-02,1.443674366526728411e-02
9.876101081255424241e-02,1.570875203915414811e-02
1.027299771928446015e-01,1.703304434510004295e-02
1.066811937151802975e-01,1.840939176965679380e-02
1.106139776817360865e-01,1.983755650520527269e-02
1.145276495794946559e-01,2.131729179104450630e-02
1.184215331976539720e-01,2.284834195602706772e-02
1.222949557444642371e-01,2.443044246273470485e-02
1.261472479634739019e-01,2.606331995318532727e-02
1.299777442491649448e-01,2.774669229606433613e-02
1.337857827619572393e-01,2.948026863547179369e-02
1.375707055425624270e-01,3.126374944117683852e-02
1.413318586256672171e-01,3.309682656037126608e-02
1.450685921529264455e-01,3.497918327091244922e-02
1.487802604852469235e-01,3.691049433604723373e-02
1.524662223143418427e-01,3.889042606060693491e-02
1.561258407735372222e-01,4.091863634866360622e-02
1.597584835478108312e-01,4.299477476263812575e-02
1.633635229830444069e-01,4.511848258384924815e-02
1.669403361944711839e-01,4.728939287449365758e-02
1.704883051742985267e-01,4.950713054104613486e-02
1.740068168984886532e-01,5.177131239906882648e-02
1.774952634326779355e-01,5.408154723941849262e-02
1.809530420372166826e-01,5.643743589584023640e-02
1.843795552713116126e-01,5.883857131393629286e-02
1.877742110962525579e-01,6.128453862149724207e-02
1.911364229777061940e-01,6.377491520018463422e-02
1.944656099870580301e-01,6.630927075855166941e-02
1.977611969017865068e-01,6.888716740638936575e-02
2.010226143048508551e-01,7.150815973038650297e-02
2.042492986830758694e-01,7.417179487108822855e-02
2.074406925245167177e-01,7.687761260114249484e-02
2.105962444147868318e-01,7.962514540481852032e-02
2.137154091323319738e-01,8.241391855878497930e-02
2.167976477426348525e-01,8.524345021413375079e-02
2.198424276913329700e-01,8.811325147963429416e-02
2.228492228962342669e-01,9.102282650620523163e-02
2.258175138382144675e-01,9.397167257258802475e-02
2.287467876509805542e-01,9.695928017220779849e-02
2.316365382096844672e-01,9.998513310120693554e-02
2.344862662183725688e-01,1.030487085476356618e-01
2.372954792962545245e-01,1.061494771817843158e-01
2.400636920627776394e-01,1.092869032476416341e-01
2.427904262214920506e-01,1.124604446554639814e-01
2.454752106426912606e-01,1.156695530754380252e-01
2.481175814448149664e-01,1.189136740324226171e-01
2.507170820745991402e-01,1.221922470017515888e-01
2.532732633859601235e-01,1.255047055060820871e-01
2.557856837175987996e-01,1.288504772132718912e-01
2.582539089693115519e-01,1.322289840352673385e-01
2.606775126769950712e-01,1.356396422279869118e-01
2.630560760863312475e-01,1.390818624921812685e-01
2.653891882251401824e-01,1.425550500752531535e-01
2.676764459743891655e-01,1.460586048740201981e-01
