x,y
3.898171832519375494e-17,6.366197723675813824e-01
-3.032067652508629862e-12,-2.093702962031969150e-01
2.532732633859601235e-01,1.255047055060820871e-01
2.557856837175987996e-01,1.288504772132718912e-01
2.582539089693115519e-01,1.322289840352673385e-01
2.606775126769950712e-01,1.356396422279869118e-01
2.630560760863312475e-01,1.390818624921812685e-01
2.653891882251401824e-01,1.425550500752531535e-01
2.676764459743891655e-01,1.460586048740201981e-01
2.699174541378436265e-01,1.495919215384012568e-01
2.721118255103501249e-01,1.531543895760103802e-01
2.742591809447384454e-01,1.567453934576381602e-01
2.763591494173308627e-01,1.603643127236041854e-01
2.784113680920486944e-01,1.640105220909612582e-01
2.804154823831033760e-01,1.676833915615323078e-01
2.823711460162625642e-01,1.713822865307632060e-01
2.842780210886798886e-01,1.751065678973701967e-01
2.861357781272785838e-01,1.788555921737652876e-01
2.879440961456780079e-01,1.826287115972390351e-01
2.897026626996546672e-01,1.864252742418817943e-01
2.914111739411265334e-01,1.902446241312251707e-01
2.930693346706524927e-01,1.940861013515820244e-01
2.946768583884374348e-01,1.979490421660679567e-01
2.962334673438342114e-01,2.018327791292828521e-01
2.977388925833338029e-01,2.057366412026327696e-01
2.991928739970355355e-01,2.096599538702738075e-01
3.005951603635893532e-01,2.136020392556555458e-01
3.019455093936022627e-01,2.175622162386458835e-01
3.032436877715014023e-01,2.215398005732159281e-01
3.044894711958469058e-01,2.255341050056657581e-01
3.056826444180868463e-01,2.295444393933686877e-01
3.068230012797485418e-01,2.335701108240152146e-01
3.079103447480585065e-01,2.376104237353361681e-01
3.089444869499866075e-01,2.416646800352823810e-01
3.099252492047067098e-01,2.457321792226429269e-01
3.108524620544695916e-01,2.498122185080784707e-01
3.117259652938823011e-01,2.539040929355503851e-01
3.125456079975882928e-01,2.580070955041243175e-01
3.133112485463450114e-01,2.621205172901270863e-01
3.140227546514928192e-01,2.662436475696355886e-01
3.146800033778121564e-01,2.703757739412769867e-01
3.152828811647645502e-01,2.745161824493184133e-01
3.158312838461136418e-01,2.786641577070257392e-01
3.163251166679232895e-01,2.828189830202688659e-01
3.167642943049294169e-01,2.869799405113538926e-01
3.171487408752823867e-01,2.911463112430586753e-01
3.174783899536582910e-01,2.953173753428525172e-01
3.177531845827358814e-01,2.994924121272764528e-01
3.179730772830375862e-01,3.036707002264645294e-01
3.181380300611336143e-01,3.078515177087831622e-01
3.182480144162058711e-01,3.120341422055676328e-01
3.183030113449728526e-01,3.162178510359344163e-01
3.183030113449728526e-01,3.204019213316468551e-01
3.182480144162058711e-01,3.245856301620135831e-01
3.181380300611336143e-01,3.287682546587981647e-01
3.179730772830376417e-01,3.329490721411167975e-01
3.177531845827358814e-01,3.371273602403048186e-01
3.174783899536583465e-01,3.413023970247286987e-01
3.171487408752823867e-01,3.454734611245224851e-01
3.167642943049294169e-01,3.496398318562274343e-01
3.163251166679233450e-01,3.538007893473124055e-01
3.158312838461136418e-01,3.579556146605554767e-01
3.152828811647646057e-01,3.621035899182628026e-01
3.146800033778122119e-01,3.662439984263042292e-01
3.140227546514928192e-01,3.703761247979457383e-01
3.133112485463450114e-01,3.744992550774542406e-01
3.125456079975883483e-01,3.786126768634568984e-01
3.117259652938823011e-01,3.827156794320308864e-01
3.108524620544696471e-01,3.868075538595027174e-01
3.099252492047067098e-01,3.908875931449383168e-01
3.089444869499866630e-01,3.949550923322989182e-01
3.079103447480585620e-01,3.990093486322451310e-01
3.068230012797485973e-01,4.030496615435660290e-01
3.056826444180869573e-01,4.070753329742125559e-01
3.044894711958469058e-01,4.110856673619154855e-01
3.032436877715014023e-01,4.150799717943652878e-01
3.019455093936023182e-01,4.190575561289354156e-01
3.005951603635894087e-01,4.230177331119257533e-01
2.991928739970355910e-01,4.269598184973074084e-01
2.977388925833338584e-01,4.308831311649485296e-01
2.962334673438342669e-01,4.347869932382984470e-01
2.946768583884374904e-01,4.386707302015132037e-01
2.930693346706525482e-01,4.425336710159992193e-01
2.914111739411265889e-01,4.463751482363560452e-01
2.897026626996547227e-01,4.501944981256995049e-01
2.879440961456780634e-01,4.539910607703422918e-01
2.861357781272786394e-01,4.577641801938159283e-01
2.842780210886799441e-01,4.615132044702111025e-01
2.823711460162625642e-01,4.652374858368180655e-01
2.804154823831033760e-01,4.689363808060490468e-01
2.784113680920487499e-01,4.726092502766200409e-01
2.763591494173309737e-01,4.762554596439770860e-01
2.742591809447385565e-01,4.798743789099431667e-01
2.721118255103502359e-01,4.834653827915708080e-01
2.699174541378436265e-01,4.870278508291800423e-01
2.676764459743892210e-01,4.905611674935611566e-01
2.653891882251402934e-01,4.940647222923280069e-01
2.630560760863312475e-01,4.975379098754000307e-01
2.606775126769951267e-01,5.009801301395943041e-01
2.582539089693115519e-01,5.043907883323140995e-01
2.557856837175987996e-01,5.077692951543094635e-01
2.532732633859601790e-01,5.111150668614992121e-01
2.507170820745992512e-01,5.144275253658296965e-01
2.481175814448151329e-01,5.177060983351586820e-01
2.454752106426913438e-01,5.209502192921432462e-01
2.427904262214921338e-01,5.241593277121172623e-01
2.400636920627777504e-01,5.273328691199395957e-01
2.372954792962545523e-01,5.304702951857970250e-01
2.344862662183726798e-01,5.335710638199455680e-01
2.316365382096844949e-01,5.366346392663744469e-01
2.287467876509805820e-01,5.396604921953735978e-01
2.258175138382145508e-01,5.426480997949932883e-01
2.228492228962343780e-01,5.455969458613759704e-01
2.198424276913331088e-01,5.485065208879469356e-01
2.167976477426349358e-01,5.513763221534475623e-01
2.137154091323320848e-01,5.542058538087962782e-01
2.105962444147869705e-01,5.569946269627626956e-01
2.074406925245168287e-01,5.597421597664388182e-01
2.042492986830760082e-01,5.624479774964930012e-01
8.439052792989598650e-02,6.633651257283281755e-01
8.370385109389542888e-02,6.639357917564423506e-01
8.301050753194294529e-02,6.644983388643284083e-01
8.231050511988569074e-02,6.650525779021804196e-01
8.160385484921481303e-02,6.655983154037756755e-01
8.089057177913462626e-02,6.661353545253465569e-01
8.017067456726069408e-02,6.666634941703297734e-01
7.944418608063125165e-02,6.671825295019255808e-01
7.871113324343544104e-02,6.676922514244452156e-01
7.797154809702273870e-02,6.681924477918950167e-01
7.722546699030910511e-02,6.686829019372302341e-01
7.647293068853978915e-02,6.691633923906068482e-01
7.571398681096402905e-02,6.696336963544937682e-01
7.494868668862288141e-02,6.700935844004283215e-01
7.417708833093056287e-02,6.705428247761188176e-01
7.339925564636931576e-02,6.709811818157952468e-01
7.261525849681203792e-02,6.714084155588743164e-01
7.182517440368925421e-02,6.718242844640318623e-01
7.102908598563631437e-02,6.722285401488127254e-01
7.022708482938101737e-02,6.726209342890552279e-01
6.941926914520851755e-02,6.730012136871431627e-01
6.860574521360209010e-02,6.733691226303811783e-01
6.778662726944814643e-02,6.737244021519369630e-01
6.696203821316702720e-02,6.740667910880729918e-01
6.613210993552699757e-02,6.743960263933819199e-01
6.529698343192527621e-02,6.747118429333714973e-01
6.445680899843284073e-02,6.750139733820796906e-01
6.361174692969180644e-02,6.753021495329790680e-01
6.276196780719837942e-02,6.755761026917702639e-01
6.190765276700908176e-02,6.758355640613612492e-01
6.104899294240675317e-02,6.760802621929349332e-01
6.018619191747603958e-02,6.763099309251330293e-01
5.931946357221826172e-02,6.765243015931933224e-01
5.844903368266429755e-02,6.767231082070017667e-01
5.757514012205214304e-02,6.769060883990379862e-01
5.669803259365187309e-02,6.770729821803711523e-01
5.581797302875070310e-02,6.772235336976879516e-01
5.493523558037059079e-02,6.773574912886614063e-01
5.405010687291991744e-02,6.774746093390709989e-01
5.316288604936018208e-02,6.775746498600562218e-01
5.227388444187203859e-02,6.776573812638749805e-01
5.138342553936288415e-02,6.777225788475647050e-01
5.049184520857236125e-02,6.777700313491676898e-01
4.959949084529016727e-02,6.777995334111294179e-01
4.870672152702671537e-02,6.778108949394781035e-01
4.781390732841444419e-02,6.778039360796542789e-01
4.692142894871595415e-02,6.777784911069228979e-01
4.602967700459064532e-02,6.777344105937961327e-01
4.513905163533864923e-02,6.776715567864108891e-01
4.424996125797214103e-02,6.775898133906367304e-01
4.336282207494470547e-02,6.774890794523692472e-01
4.247805703914329933e-02,6.773692725403872572e-01
4.159609478089294765e-02,6.772303298420433437e-01
4.071736844247841880e-02,6.770722090734350163e-01
3.984231441388769862e-02,6.768948893275387180e-01
3.897137097294107316e-02,6.766983718483982058e-01
3.810497802882505114e-02,6.764826761433446745e-01
3.724357342028143669e-02,6.762478501044124624e-01
3.638759381246993441e-02,6.759939604836228133e-01
3.553747212804452688e-02,6.757210977886680681e-01
3.469363588917031421e-02,6.754293765414580708e-01
3.385650704089916002e-02,6.751189314266939911e-01
3.302649837769273261e-02,6.747899230270533177e-01
3.220401418316598541e-02,6.744425316843896123e-01
3.138944728991848593e-02,6.740769610010894919e-01
3.058318018187217158e-02,6.736934317554305052e-01
2.978557975588219664e-02,6.732921898042047992e-01
2.899699990066251926e-02,6.728734970367369339e-01
2.821777922890448403e-02,6.724376332035013615e-01
2.744823914650515451e-02,6.719848964700019245e-01
2.668868471090272282e-02,6.715155991908435817e-01
2.593940185578932217e-02,6.710300700801076212e-01
2.520066024751049100e-02,6.705286474854784684e-01
2.447270851060506097e-02,6.700116846944464966e-01
2.375577678362721101e-02,6.694795440444616386e-01
2.305007546374582966e-02,6.689325970803329247e-01
2.235579745291943476e-02,6.683712202450665663e-01
2.167311303204037809e-02,6.677957999875105966e-01
2.100217594531888360e-02,6.672067239935470795e-01
2.034311924553892925e-02,6.666043852300778116e-01
1.969605806645824408e-02,6.659891777944695335e-01
1.906108967033413176e-02,6.653614962372512709e-01
1.843829219930614299e-02,6.647217361502315569e-01
1.782772939787227381e-02,6.640702890083062249e-01
1.722944514715855913e-02,6.634075470393019369e-01
1.664347039817901108e-02,6.627338963790795345e-01
1.606981941951909562e-02,6.620497203633108896e-01
1.550849228005696419e-02,6.613553971201023840e-01
1.495947732504136589e-02,6.606512975883290784e-01
1.442274771419838585e-02,6.599377882832117015e-01
1.389826593730355414e-02,6.592152277646524672e-01
1.338598429240923926e-02,6.584839665484470972e-01
1.288584222310636476e-02,6.577443491093252215e-01
1.239777133373063528e-02,6.569967105256773188e-01
1.192169567402776541e-02,6.562413767063488557e-01
1.145752730081267892e-02,6.554786674026458204e-01
