phi,z
0.000000000000000000e+00,2.702561772285978492e-01
8.726646259971647737e-03,2.692746754592898473e-01
1.745329251994329547e-02,2.682625629140900636e-01
2.617993877991494495e-02,2.672200207019830853e-01
3.490658503988659095e-02,2.661470501352137252e-01
4.363323129985823695e-02,2.650437584390084034e-01
5.235987755982988989e-02,2.639103259620677600e-01
6.108652381980153590e-02,2.627467741155161685e-01
6.981317007977318190e-02,2.615532128535471568e-01
7.853981633974482790e-02,2.603297637496341799e-01
8.726646259971647390e-02,2.590765773704196695e-01
9.599310885968811990e-02,2.577937162233233104e-01
1.047197551196597798e-01,2.564812985119077071e-01
1.134464013796314258e-01,2.551394445791556054e-01
1.221730476396030718e-01,2.537682768958095525e-01
1.308996938995747039e-01,2.523763376365253941e-01
1.396263401595463638e-01,2.509876106557515918e-01
1.483529864195180237e-01,2.496019726613085410e-01
1.570796326794896558e-01,2.482107448832800156e-01
1.658062789394613157e-01,2.468230467168759379e-01
1.745329251994329478e-01,2.454385255262936938e-01
1.832595714594046077e-01,2.440489607668129279e-01
1.919862177193762398e-01,2.426632425529659243e-01
2.007128639793478997e-01,2.412807889420692520e-01
2.094395102393195596e-01,2.398938375422957903e-01
2.181661564992911917e-01,2.385110491150213285e-01
2.268928027592628516e-01,2.371316123383555574e-01
2.356194490192344837e-01,2.357482229011663988e-01
2.443460952792061436e-01,2.343693121393341516e-01
2.530727415391778035e-01,2.329938392795902757e-01
2.617993877991494078e-01,2.316149580194660218e-01
2.705260340591210677e-01,2.302414731994565644e-01
2.792526803190927276e-01,2.288703055161078470e-01
2.879793265790643875e-01,2.274997204327141309e-01
2.967059728390360474e-01,2.261350047239925887e-01
3.054326190990076517e-01,2.247679656674461957e-01
3.141592653589793116e-01,2.234063458904692601e-01
3.228859116189509715e-01,2.220484158349022574e-01
3.316125578789226314e-01,2.206887027943761348e-01
3.403392041388942357e-01,2.193347196837843460e-01
3.490658503988658956e-01,2.179845072073670620e-01
3.577924966588375555e-01,2.166330503818750530e-01
3.665191429188092154e-01,2.152879179067115067e-01
3.752457891787808753e-01,2.139460639739725056e-01
3.839724354387524796e-01,2.126097114977767710e-01
3.926990816987241395e-01,2.112777077486188149e-01
4.014257279586957994e-01,2.099455308940927911e-01
4.101523742186674593e-01,2.086200042877049965e-01
4.188790204786391191e-01,2.072984789987689369e-01
4.276056667386107235e-01,2.059773127922184255e-01
4.363323129985823834e-01,2.046653764697278777e-01
4.450589592585540433e-01,2.033561249032360962e-01
4.537856055185257032e-01,2.020541253376944846e-01
4.625122517784973075e-01,2.007562687389875533e-01
4.712388980384689674e-01,1.994598276917115276e-01
4.799655442984406273e-01,1.981709353628396120e-01
4.886921905584122872e-01,1.968863703355812345e-01
4.974188368183839470e-01,1.956114693512172875e-01
5.061454830783556069e-01,1.943408413489112474e-01
5.148721293383272668e-01,1.930726734619572782e-01
5.235987755982988157e-01,1.918126383937629187e-01
5.323254218582704755e-01,1.905573983090403378e-01
5.410520681182421354e-01,1.893130935930956715e-01
5.497787143782137953e-01,1.880731786276905737e-01
5.585053606381854552e-01,1.868367548295513103e-01
5.672320068981571151e-01,1.856092052953671190e-01
5.759586531581287749e-01,1.843899284469789346e-01
5.846852994181004348e-01,1.831796342466726901e-01
5.934119456780720947e-01,1.819738317423770513e-01
6.021385919380436436e-01,1.807740603969416326e-01
6.108652381980153034e-01,1.795865597850342943e-01
6.195918844579869633e-01,1.784040681604401601e-01
6.283185307179586232e-01,1.772311059247517473e-01
6.370451769779302831e-01,1.760633943627731013e-01
6.457718232379019430e-01,1.749103121564985486e-01
6.544984694978736028e-01,1.737618434242953203e-01
6.632251157578452627e-01,1.726203959276448874e-01
6.719517620178169226e-01,1.714926302237435585e-01
6.806784082777884715e-01,1.703713522834119920e-01
6.894050545377601313e-01,1.692603903795656672e-01
6.981317007977317912e-01,1.681580729156051945e-01
7.068583470577034511e-01,1.670693225231718315e-01
7.155849933176751110e-01,1.659852655971335578e-01
7.243116395776467709e-01,1.649158373814208489e-01
7.330382858376184307e-01,1.638547560405927417e-01
7.417649320975900906e-01,1.628020390410835350e-01
7.504915783575617505e-01,1.617646597851396251e-01
7.592182246175332994e-01,1.607356708658180533e-01
7.679448708775049592e-01,1.597179769045971032e-01
7.766715171374766191e-01,1.587130079076943534e-01
7.853981633974482790e-01,1.577204194544423177e-01
7.941248096574199389e-01,1.567355072288696416e-01
8.028514559173915988e-01,1.557687061113581239e-01
8.115781021773632586e-01,1.548066262011617289e-01
8.203047484373349185e-01,1.538647766369529990e-01
8.290313946973065784e-01,1.529291365163959471e-01
8.377580409572782383e-01,1.520105512858839769e-01
8.464846872172497871e-01,1.511019909621405255e-01
8.552113334772214470e-01,1.502077543613840049e-01
8.639379797371931069e-01,1.493268951782493192e-01
8.726646259971647668e-01,1.484571104750458392e-01
8.813912722571364267e-01,1.475679025644041076e-01
8.901179185171080865e-01,1.466477998284935191e-01
8.988445647770797464e-01,1.456969794182419453e-01
9.075712110370514063e-01,1.447154776489328332e-01
9.162978572970230662e-01,1.437033651037329940e-01
9.250245035569946150e-01,1.426608228916261545e-01
9.337511498169662749e-01,1.415878523248566556e-01
9.424777960769379348e-01,1.404845606286512227e-01
9.512044423369095947e-01,1.393511281517116618e-01
9.599310885968812546e-01,1.381875763051590156e-01
9.686577348568529144e-01,1.369940150431900316e-01
9.773843811168245743e-01,1.357705659392769437e-01
9.861110273767962342e-01,1.345173795600634881e-01
9.948376736367678941e-01,1.332345184129675175e-01
1.003564319896739443e+00,1.319221007015508040e-01
1.012290966156711214e+00,1.305802467687985080e-01
1.021017612416682763e+00,1.292090790854523163e-01
1.029744258676654534e+00,1.278087222384063082e-01
1.038470904936626082e+00,1.263793026023603827e-01
1.047197551196597631e+00,1.249209589415411631e-01
1.055924197456569402e+00,1.234338064537532503e-01
1.064650843716540951e+00,1.219194841475370328e-01
1.073377489976512722e+00,1.204036549985886689e-01
1.082104136236484271e+00,1.188592828916521793e-01
1.090830782496456042e+00,1.172865131335697753e-01
1.099557428756427591e+00,1.156854891370559940e-01
1.108284075016399362e+00,1.140563454978359009e-01
1.117010721276370910e+00,1.124235971343847396e-01
1.125737367536342459e+00,1.107910137839873410e-01
1.134464013796314230e+00,1.091586661567095634e-01
1.143190660056285779e+00,1.075266254693630352e-01
1.151917306316257550e+00,1.058916711910754538e-01
1.160643952576229099e+00,1.042567728315566267e-01
1.169370598836200870e+00,1.026223467759955627e-01
1.178097245096172418e+00,1.009883759008106396e-01
1.186823891356144189e+00,9.935122594863315948e-02
1.195550537616115738e+00,9.771472091038167773e-02
1.204277183876087287e+00,9.607893634947609063e-02
1.213003830136059058e+00,9.444217294306594956e-02
1.221730476396030607e+00,9.280580971405963386e-02
1.230457122656002378e+00,9.126035392814688119e-02
1.239183768915973927e+00,8.986478510064359326e-02
1.247910415175945698e+00,8.862766656733589432e-02
1.256637061435917246e+00,8.755575825496494935e-02
1.265363707695889017e+00,8.665602686861932635e-02
1.274090353955860566e+00,8.593305613310739388e-02
1.282817000215832115e+00,8.539116257976182844e-02
1.291543646475803886e+00,8.503398078658629122e-02
1.300270292735775435e+00,8.486199543211540852e-02
1.308996938995747206e+00,8.485118154278328828e-02
1.317723585255718755e+00,8.488075199092141865e-02
1.326450231515690525e+00,8.494217166759658599e-02
1.335176877775662074e+00,8.503129561084635246e-02
1.343903524035633845e+00,8.514715326285555996e-02
1.352630170295605394e+00,8.529463946374327143e-02
1.361356816555576943e+00,8.547007766924831496e-02
1.370083462815548714e+00,8.567483161354551291e-02
1.378810109075520263e+00,8.586540773317515030e-02
1.387536755335492034e+00,8.602384208565647117e-02
1.396263401595463582e+00,8.615012820807164962e-02
1.404990047855435353e+00,8.624426215277711250e-02
1.413716694115406902e+00,8.630624210384753303e-02
1.422443340375378673e+00,8.633612733650460058e-02
1.431169986635350222e+00,8.633387125912163340e-02
1.439896632895321771e+00,8.629947530012523071e-02
1.448623279155293542e+00,8.623294807015388641e-02
1.457349925415265091e+00,8.614175065994414404e-02
1.466076571675236861e+00,8.604310321755395674e-02
1.474803217935208410e+00,8.591241538514378384e-02
1.483529864195180181e+00,8.574965280590544914e-02
1.492256510455151730e+00,8.555482143474392454e-02
1.500983156715123501e+00,8.539088012569832908e-02
1.509709802975095050e+00,8.527673732592465361e-02
1.518436449235066599e+00,8.521325883459375528e-02
1.527163095495038370e+00,8.519916768941926399e-02
1.535889741755009918e+00,8.524074508851588183e-02
1.544616388014981689e+00,8.533166790827330372e-02
1.553343034274953238e+00,8.548322900263269353e-02
1.562069680534925009e+00,8.569395956912027879e-02
1.570796326794896558e+00,8.596541295209901568e-02
1.579522973054868329e+00,8.630206031390108556e-02
1.588249619314839878e+00,8.670511044506669374e-02
1.596976265574811427e+00,8.717869540098088788e-02
1.605702911834783198e+00,8.773116276397209534e-02
1.614429558094754746e+00,8.836575963088992569e-02
1.623156204354726517e+00,8.906902240360259349e-02
1.631882850614698066e+00,8.985069281288624032e-02
1.640609496874669837e+00,9.073358272501946820e-02
1.649336143134641386e+00,9.168699266501574574e-02
1.658062789394613157e+00,9.273160902318865195e-02
1.666789435654584706e+00,9.386721294209164623e-02
1.675516081914556477e+00,9.508025019570878755e-02
1.684242728174528025e+00,9.638531938081645878e-02
1.692969374434499574e+00,9.777737690975213392e-02
1.701696020694471345e+00,9.923531915647758328e-02
1.710422666954442894e+00,1.008052739621704136e-01
1.719149313214414665e+00,1.024141390973733190e-01
1.727875959474386214e+00,1.041145892109126836e-01
1.736602605734357985e+00,1.059058387692330128e-01
1.745329251994329534e+00,1.077345907228411115e-01
1.754055898254301304e+00,1.096365511369393614e-01
1.762782544514272853e+00,1.116220035135977173e-01
1.771509190774244402e+00,1.136574090641734314e-01
1.780235837034216173e+00,1.157269232546973697e-01
1.788962483294187722e+00,1.178193390829384568e-01
1.797689129554159493e+00,1.198850671848177563e-01
1.806415775814131042e+00,1.219239481410296921e-01
1.815142422074102813e+00,1.239358220778372377e-01
1.823869068334074361e+00,1.259205330004186663e-01
1.832595714594046132e+00,1.278779258512838524e-01
1.841322360854017681e+00,1.298078495402639199e-01
1.850049007113989230e+00,1.317101528403208099e-01
1.858775653373961001e+00,1.335846890055703562e-01
1.867502299633932550e+00,1.354313128294678537e-01
1.876228945893904321e+00,1.372498811703436183e-01
1.884955592153875870e+00,1.390402532374014899e-01
1.893682238413847641e+00,1.408022905094556965e-01
1.902408884673819189e+00,1.425358570636785782e-01
1.911135530933790960e+00,1.442408193453884047e-01
1.919862177193762509e+00,1.459170588152891579e-01
1.928588823453734058e+00,1.475644353639424811e-01
1.937315469713705829e+00,1.491828213576917861e-01
1.946042115973677378e+00,1.507720926038526033e-01
1.954768762233649149e+00,1.523321263745850973e-01
1.963495408493620697e+00,1.538909699904115747e-01
1.972222054753592468e+00,1.554469626341475896e-01
1.980948701013564017e+00,1.570132200311827320e-01
1.989675347273535788e+00,1.585892704782174978e-01
1.998401993533507337e+00,1.601696469807211143e-01
2.007128639793478886e+00,1.617618746780999650e-01
2.015855286053450435e+00,1.633610743619086092e-01
2.024581932313422428e+00,1.649657961556518504e-01
2.033308578573393977e+00,1.665795843515630870e-01
2.042035224833365525e+00,1.682004342250636997e-01
2.050761871093337074e+00,1.698314404993766513e-01
2.059488517353309067e+00,1.714649849544471472e-01
2.068215163613280616e+00,1.731037694417413564e-01
2.076941809873252165e+00,1.747525430975531147e-01
2.085668456133223714e+00,1.764066787703236217e-01
2.094395102393195263e+00,1.780687608793078691e-01
2.103121748653167256e+00,1.797321701023848195e-01
2.111848394913138804e+00,1.814005226388359926e-01
2.120575041173110353e+00,1.830768371206830114e-01
2.129301687433081902e+00,1.847582625082618835e-01
2.138028333693053895e+00,1.864468706763561523e-01
2.146754979953025444e+00,1.881355819729509937e-01
2.155481626212996993e+00,1.898289272924177373e-01
2.164208272472968542e+00,1.915290692427437658e-01
2.172934918732940091e+00,1.932286981387742186e-01
2.181661564992912083e+00,1.949383522404389835e-01
2.190388211252883632e+00,1.966477327308553957e-01
2.199114857512855181e+00,1.983614274859435422e-01
2.207841503772826730e+00,2.000811392520105148e-01
2.216568150032798723e+00,2.017990985442460194e-01
2.225294796292770272e+00,2.035212089621543652e-01
2.234021442552741821e+00,2.052489434551295899e-01
2.242748088812713370e+00,2.069743027728667695e-01
2.251474735072684918e+00,2.087046566107290113e-01
2.260201381332656911e+00,2.104382231649519486e-01
2.268928027592628460e+00,2.121716270648258962e-01
2.277654673852600009e+00,2.139118554254799687e-01
2.286381320112571558e+00,2.156484585731965054e-01
2.295107966372543551e+00,2.173887136195089276e-01
2.303834612632515100e+00,2.191334046638341027e-01
2.312561258892486649e+00,2.208738437015391187e-01
2.321287905152458197e+00,2.226177658624765299e-01
2.330014551412429746e+00,2.243657258107113472e-01
2.338741197672401739e+00,2.261088061385301551e-01
2.347467843932373288e+00,2.278552000849868586e-01
2.356194490192344837e+00,2.296052329698118899e-01
2.364921136452316386e+00,2.313497580733966108e-01
2.373647782712288379e+00,2.330974268350141099e-01
2.382374428972259928e+00,2.348483353212110492e-01
2.391101075232231477e+00,2.365819018754345138e-01
2.399827721492203025e+00,2.382868641571462831e-01
2.408554367752174574e+00,2.399631036270470918e-01
2.417281014012146567e+00,2.416104801757003595e-01
2.426007660272118116e+00,2.432288661694499976e-01
2.434734306532089665e+00,2.448181374156091217e-01
2.443460952792061214e+00,2.463781711863450019e-01
2.452187599052033207e+00,2.479088488647232247e-01
2.460914245312004756e+00,2.494100535952221698e-01
2.469640891571976304e+00,2.508816701762909829e-01
2.478367537831947853e+00,2.523235863811938429e-01
2.487094184091919402e+00,2.537356934193837898e-01
2.495820830351891395e+00,2.551178822282973990e-01
2.504547476611862944e+00,2.564700499905747111e-01
2.513274122871834493e+00,2.577920923740751324e-01
2.522000769131806042e+00,2.590839112345498796e-01
2.530727415391778035e+00,2.603454077329953598e-01
2.539454061651749583e+00,2.615764877195553839e-01
2.548180707911721132e+00,2.627770589779560573e-01
2.556907354171692681e+00,2.639470302676143465e-01
2.565634000431664230e+00,2.650863152033392511e-01
2.574360646691636223e+00,2.661948287873884822e-01
2.583087292951607772e+00,2.672724884674191892e-01
2.591813939211579321e+00,2.683192134882003699e-01
2.600540585471550870e+00,2.693349272049294640e-01
2.609267231731522863e+00,2.703195546501082069e-01
2.617993877991494411e+00,2.712730233887660214e-01
2.626720524251465960e+00,2.721952635203248594e-01
2.635447170511437509e+00,2.730862076802491600e-01
2.644173816771409058e+00,2.739457910414914155e-01
2.652900463031381051e+00,2.747739513157205771e-01
2.661627109291352600e+00,2.755706287543525645e-01
2.670353755551324149e+00,2.763357661493780482e-01
2.679080401811295697e+00,2.770693088339971077e-01
2.687807048071267690e+00,2.777712046830524417e-01
2.696533694331239239e+00,2.784414041132809436e-01
2.705260340591210788e+00,2.790798600833735432e-01
2.713986986851182337e+00,2.796865280938539144e-01
2.722713633111153886e+00,2.802613661867736083e-01
