phi,z
0.000000000000000000e+00,2.702561772285975716e-01
8.726646259971647737e-03,2.712069976388491455e-01
1.745329251994329547e-02,2.721271003747599559e-01
2.617993877991494495e-02,2.730163082854013545e-01
3.490658503988659095e-02,2.738746620485053018e-01
4.363323129985823695e-02,2.747019606734608099e-01
5.235987755982988989e-02,2.754982286530576752e-01
6.108652381980153590e-02,2.762633053437557606e-01
6.981317007977318190e-02,2.769972049467572806e-01
7.853981633974482790e-02,2.776997657886845494e-01
8.726646259971647390e-02,2.783710325003185271e-01
9.599310885968811990e-02,2.790108201139861466e-01
1.047197551196597798e-01,2.796191904720886634e-01
1.134464013796314258e-01,2.801959887864566290e-01
1.221730476396030718e-01,2.807411973926327575e-01
1.308996938995747039e-01,2.812547899707952825e-01
1.396263401595463638e-01,2.817366449172352683e-01
1.483529864195180237e-01,2.821867995570273568e-01
1.570796326794896558e-01,2.826051645848826066e-01
1.658062789394613157e-01,2.829916665233008222e-01
1.745329251994329478e-01,2.833463398932418720e-01
1.832595714594046077e-01,2.836691114516252110e-01
1.919862177193762398e-01,2.839599164735536196e-01
2.007128639793478997e-01,2.842187475507290118e-01
2.094395102393195596e-01,2.844456266488181173e-01
2.181661564992911917e-01,2.846404580199798917e-01
2.268928027592628516e-01,2.848032205992183097e-01
2.356194490192344837e-01,2.849339084316281911e-01
2.443460952792061436e-01,2.850325558740184340e-01
2.530727415391778035e-01,2.850990831039896256e-01
2.617993877991494078e-01,2.851334790629864724e-01
2.705260340591210677e-01,2.851357351403698281e-01
2.792526803190927276e-01,2.851058499077124275e-01
2.879793265790643875e-01,2.850438699566418266e-01
2.967059728390360474e-01,2.849497360119365164e-01
3.054326190990076517e-01,2.848234498895213518e-01
3.141592653589793116e-01,2.846650155370396562e-01
3.228859116189509715e-01,2.844744394174111846e-01
3.316125578789226314e-01,2.842517305115372928e-01
3.403392041388942357e-01,2.839968998900380681e-01
3.490658503988658956e-01,2.837099948066744703e-01
3.577924966588375555e-01,2.833910023795946920e-01
3.665191429188092154e-01,2.830399357575386077e-01
3.752457891787808753e-01,2.826568165946495848e-01
3.839724354387524796e-01,2.822416690779039894e-01
3.926990816987241395e-01,2.817945194922988894e-01
4.014257279586957994e-01,2.813153974927218304e-01
4.101523742186674593e-01,2.808043349452315485e-01
4.188790204786391191e-01,2.802613661867721095e-01
4.276056667386107235e-01,2.796865280938521936e-01
4.363323129985823834e-01,2.790798600833718224e-01
4.450589592585540433e-01,2.784414041132793338e-01
4.537856055185257032e-01,2.777712046830509984e-01
4.625122517784973075e-01,2.770693088339957200e-01
4.712388980384689674e-01,2.763357661493766049e-01
4.799655442984406273e-01,2.755706287543503996e-01
4.886921905584122872e-01,2.747739513157186897e-01
