s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.492568388094478493e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000096e-04,1.999987572569050006e-04,4.985449574403873562e-07,2.492901838522163160e+01,4.985470226616648716e-03,1.999987572569050006e-04
4.000000000000000192e-04,3.999925429513690334e-04,1.994229710375151625e-06,2.493191137849642303e+01,9.971563202988462105e-03,3.999925423303927812e-04
6.000000000000000559e-04,5.999763842241789520e-04,4.487132788336004128e-06,2.493436287129888029e+01,1.495819062796799846e-02,5.999763807623032007e-04
8.000000000000000383e-04,7.999453070406089064e-04,7.977290252331258969e-06,2.493637289993488793e+01,1.994526420509138559e-02,7.999452963811184720e-04
1.000000000000000021e-03,9.998943366662893344e-04,1.246469568759923132e-05,2.493794152646815832e+01,2.493269564773169591e-02,9.998943122180769996e-04
1.200000000000000112e-03,1.199818498143124688e-03,1.794930020239819180e-05,2.493906883869946256e+01,2.992039668424846185e-02,1.199818451423300715e-03
1.399999999999999986e-03,1.399712816765168958e-03,2.443101243283233497e-05,2.493975495014296939e+01,3.490827906313271473e-02,1.399712738181687656e-03
1.600000000000000077e-03,1.599572318554365455e-03,3.190969855371173105e-05,2.493999999999999773e+01,3.989625455814702071e-02,1.599572198628313943e-03
1.800000000000000168e-03,1.799392030736055113e-03,4.038518229544242719e-05,2.493980415313019705e+01,4.488423497346005070e-02,1.799391861763101211e-03
2.000000000000000042e-03,1.999166982214163873e-03,4.985724496694159569e-05,2.493916760001989985e+01,4.987213214877506129e-02,1.999166760364498498e-03
2.200000000000000133e-03,2.198892204045974162e-03,6.032562548457079036e-05,2.493809055674770647e+01,5.485985796445182888e-02,2.198891931901926847e-03
2.400000000000000223e-03,2.398562729916387231e-03,7.179002040707879316e-05,2.493657326494784954e+01,5.984732434662138473e-02,2.398562419446741579e-03
2.600000000000000314e-03,2.598173596611586585e-03,8.425008397654426637e-05,2.493461599177045684e+01,6.483444327229322124e-02,2.598173272581461805e-03
2.799999999999999972e-03,2.797719844492005566e-03,9.770542816530639225e-05,2.493221902983932736e+01,6.982112677445420634e-02,2.797719548307024511e-03
3.000000000000000062e-03,2.997196517964513442e-03,1.121556227288706390e-04,2.492938269720728073e+01,7.480728694715886584e-02,2.997196311947812782e-03
3.200000000000000153e-03,3.196598665953719835e-03,1.276001952647745489e-04,2.492610733730849049e+01,7.979283595061045786e-02,3.196598638054214646e-03
3.400000000000000244e-03,3.395921342372314189e-03,1.440386312773978472e-04,2.492239331890848320e+01,8.477768601623215938e-02,3.395921611302468376e-03
3.600000000000000335e-03,3.595159606590344042e-03,1.614703742486985299e-04,2.491824103605160801e+01,8.976174945172818442e-02,3.595160327391556596e-03
3.799999999999999992e-03,3.794308523903342292e-03,1.798948257148560233e-04,2.491365090800559656e+01,9.474493864613389715e-02,3.794309893936893309e-03
4.000000000000000083e-03,3.993363165999216750e-03,1.993113453488005310e-04,2.490862337920373193e+01,9.972716607485485052e-02,3.993365431360590065e-03
4.200000000000000608e-03,4.192318611423802646e-03,2.197192510486056793e-04,2.490315891918460522e+01,1.047083443046936957e-01,4.192322073778025418e-03
4.400000000000000265e-03,4.391169946045000473e-03,2.411178190317211088e-04,2.489725802252887021e+01,1.096883859988650456e-01,4.391174969880522541e-03
4.599999999999999922e-03,4.589912263515403754e-03,2.635062839350199668e-04,2.489092120879395509e+01,1.146672039219973210e-01,4.589919283813864367e-03
4.800000000000000447e-03,4.788540665733326089e-03,2.868838389206333035e-04,2.488414902244574023e+01,1.196447109451213020e-01,4.788550196052433761e-03
5.000000000000000104e-03,4.987050263302141191e-03,3.112496357875436394e-04,2.487694203278825711e+01,1.246208200506447039e-01,4.987062904268733249e-03
5.200000000000000629e-03,5.185436175987859567e-03,3.366027850889088415e-04,2.486930083389036739e+01,1.295954443373125708e-01,5.185452624198077023e-03
5.400000000000000286e-03,5.383693533174828232e-03,3.629423562550826671e-04,2.486122604451021800e+01,1.345684970251526114e-01,5.383714590498191524e-03
5.599999999999999943e-03,5.581817474319503147e-03,3.902673777223021351e-04,2.485271830801710990e+01,1.395398914604053520e-01,5.581844057603533790e-03
5.800000000000000468e-03,5.779803149402175551e-03,4.185768370670053221e-04,2.484377829231095802e+01,1.445095411204381786e-01,5.779836300574089057e-03
6.000000000000000125e-03,5.977645719376587126e-03,4.478696811457446160e-04,2.483440668973939225e+01,1.494773596186431963e-01,5.977686615938412537e-03
6.200000000000000649e-03,6.175340356617345546e-03,4.781448162406600312e-04,2.482460421701197362e+01,1.544432607093183529e-01,6.175390322530734111e-03
6.400000000000000307e-03,6.372882245365052781e-03,5.094011082104711119e-04,2.481437161511266609e+01,1.594071582925308261e-01,6.372942762321862249e-03
6.599999999999999964e-03,6.570266582169070717e-03,5.416373826469514288e-04,2.480370964920918553e+01,1.643689664189630084e-01,6.570339301243717164e-03
6.800000000000000488e-03,6.767488576327834737e-03,5.748524250368415968e-04,2.479261910856054385e+01,1.693285992947400065e-01,6.767575330007250325e-03
7.000000000000000146e-03,6.964543450326635479e-03,6.090449809291591807e-04,2.478110080642175816e+01,1.742859712862382393e-01,6.964646264913556054e-03
7.200000000000000670e-03,7.161426440272800238e-03,6.442137561078640703e-04,2.476915557994655259e+01,1.792409969248751067e-01,7.161547548657968762e-03
7.400000000000000328e-03,7.358132796328169939e-03,6.803574167698299424e-04,2.475678429008748438e+01,1.841935909118785075e-01,7.358274651126935940e-03
7.599999999999999985e-03,7.554657783138824835e-03,7.174745897080806074e-04,2.474398782149370390e+01,1.891436681230366235e-01,7.554823070187479533e-03
7.800000000000000509e-03,7.750996680261953986e-03,7.555638625002389841e-04,2.473076708240663990e+01,1.940911436134266643e-01,7.751188332469040147e-03
8.000000000000000167e-03,7.947144782589801726e-03,7.946237837021428389e-04,2.471712300455316935e+01,1.990359326221226577e-01,7.947365994137494186e-03
8.200000000000000691e-03,8.143097400770625202e-03,8.346528630465770929e-04,2.470305654303653142e+01,2.039779505768816448e-01,8.143351641661189522e-03
8.400000000000001216e-03,8.338849861626569313e-03,8.756495716470696781e-04,2.468856867622515594e+01,2.089171130988078384e-01,8.339140892568789806e-03
8.600000000000000006e-03,8.534397508568403526e-03,9.176123422067003097e-04,2.467366040563903695e+01,2.138533360069942157e-01,8.534729396198724449e-03
8.800000000000000530e-03,8.729735702007036455e-03,9.605395692318691604e-04,2.465833275583388939e+01,2.187865353231415455e-01,8.730112834440110700e-03
9.000000000000001055e-03,8.924859819761730984e-03,1.004429609250966559e-03,2.464258677428334821e+01,2.237166272761532959e-01,8.925286922464924916e-03
9.199999999999999845e-03,9.119765257464973116e-03,1.049280781037893523e-03,2.462642353125867345e+01,2.286435283067074775e-01,9.120247409451264289e-03
9.400000000000000369e-03,9.314447428963904332e-03,1.095091365840374564e-03,2.460984411970648367e+01,2.335671550718040057e-01,9.314990079297551587e-03
9.600000000000000894e-03,9.508901766718242873e-03,1.141859607612998821e-03,2.459284965512426169e+01,2.384874244492870832e-01,9.509510751327467787e-03
9.799999999999999684e-03,9.703123722194652301e-03,1.189583713254940486e-03,2.457544127543375367e+01,2.434042535423428799e-01,9.703805280985487725e-03
1.000000000000000021e-02,9.897108766257472351e-03,1.238261852852292960e-03,2.455762014085227918e+01,2.483175596839714838e-01,9.897869560522846999e-03
1.020000000000000073e-02,1.009085238955574441e-02,1.287892159924951220e-03,2.453938743376202680e+01,2.532272604414329553e-01,1.009169951967377882e-02
