x,y
4.962696920074449736e-14,7.818368237600259452e-01
1.993783641552638328e-04,7.818525723910122460e-01
3.988327689450278288e-04,7.818673267733864396e-01
5.983582643711569168e-04,7.818810864249423620e-01
7.979498957646212779e-04,7.818938509057067332e-01
9.976027043088313024e-04,7.819056198179844541e-01
1.197311727513884370e-03,7.819163928063991298e-01
1.397071999691259407e-03,7.819261695579265981e-01
1.596878552428867767e-03,7.819349498019229072e-01
1.796726415066360848e-03,7.819427333101457434e-01
1.996610615170609556e-03,7.819495198967707505e-01
2.196526179011257067e-03,7.819553094184006348e-01
2.396468132036251846e-03,7.819601017740696047e-01
2.596431499347272038e-03,7.819638969052401523e-01
2.796411306174941252e-03,7.819666947957955028e-01
2.996402578353753784e-03,7.819684954720247383e-01
3.196400342796600850e-03,7.819692990026025914e-01
3.396399627968821940e-03,7.819691054985630219e-01
3.596395464361677643e-03,7.819679151132669093e-01
3.796382884965154598e-03,7.819657280423636392e-01
3.996356925740017149e-03,7.819625445237464723e-01
4.196312626089002476e-03,7.819583648375030283e-01
4.396245029327075504e-03,7.819531893058579985e-01
4.596149183150656861e-03,7.819470182931120839e-01
4.796020140105726297e-03,7.819398522055731604e-01
4.995852958054701823e-03,7.819316914914828942e-01
5.195642700642041228e-03,7.819225366409363609e-01
5.395384437758425460e-03,7.819123881857974467e-01
5.595073246003485698e-03,7.819012466996061450e-01
5.794704209146945770e-03,7.818891127974825217e-01
5.994272418588120904e-03,7.818759871360232427e-01
6.193772973813663554e-03,7.818618704131927721e-01
6.393200982853493829e-03,7.818467633682096851e-01
6.592551562734806116e-03,7.818306667814257649e-01
6.791819839934084245e-03,7.818135814742013245e-01
6.991000950827021103e-03,7.817955083087733126e-01
7.190090042136294997e-03,7.817764481881189775e-01
7.389082271377064859e-03,7.817564020558132043e-01
7.587972807300169542e-03,7.817353708958814096e-01
7.786756830332885494e-03,7.817133557326458870e-01
7.985429533017203776e-03,7.816903576305671564e-01
8.183986120445537957e-03,7.816663776940806496e-01
8.382421810693775274e-03,7.816414170674270689e-01
8.580731835251598216e-03,7.816154769344781927e-01
8.778911439450007986e-03,7.815885585185571305e-01
8.976955882885950117e-03,7.815606630822534706e-01
9.174860439844006663e-03,7.815317919272334324e-01
9.372620399715037021e-03,7.815019463940451327e-01
9.570231067411727466e-03,7.814711278619184132e-01
9.767687763780955740e-03,7.814393377485597814e-01
9.964985826012916909e-03,7.814065775099430233e-01
1.016212060804692723e-02,7.813728486400942641e-01
1.035908748097385049e-02,7.813381526708728098e-01
1.055588183343505321e-02,7.813024911717465493e-01
1.075249907201787126e-02,7.812658657495638037e-01
1.094893462164744924e-02,7.812282780483194022e-01
1.114518392597497326e-02,7.811897297489167613e-01
1.134124244776215512e-02,7.811502225689258561e-01
1.153710566926197112e-02,7.811097582623358626e-01
1.173276909259554114e-02,7.810683386193043587e-01
1.192822824012512543e-02,7.810259654659015283e-01
1.212347865482317141e-02,7.809826406638504803e-01
1.231851590063732897e-02,7.809383661102634600e-01
1.251333556285142562e-02,7.808931437373739515e-01
1.270793324844230431e-02,7.808469755122642297e-01
1.290230458643249443e-02,7.807998634365898027e-01
1.309644522823863802e-02,7.807518095462996355e-01
1.329035084801567096e-02,7.807028159113518218e-01
1.348401714299664669e-02,7.806528846354269247e-01
1.367743983382818836e-02,7.806020178556364320e-01
1.387061466490154861e-02,7.805502177422282140e-01
1.406353740467915919e-02,7.804974864982879845e-01
1.425620384601670315e-02,7.804438263594380976e-01
1.444860980648060740e-02,7.803892395935320137e-01
1.464075112866095908e-02,7.803337285003463242e-01
1.483262368047976940e-02,7.802772954112684456e-01
1.502422335549457102e-02,7.802199426889825373e-01
1.521554607319730752e-02,7.801616727271514229e-01
1.540658777930846261e-02,7.801024879500952913e-01
1.559734444606640687e-02,7.800423908124682892e-01
1.578781207251193919e-02,7.799813837989317822e-01
1.597798668476798148e-02,7.799194694238247294e-01
1.616786433631437619e-02,7.798566502308316162e-01
1.635744110825777115e-02,7.797929287926476105e-01
1.654671310959662453e-02,7.797283077106412774e-01
1.673567647748117060e-02,7.796627896145147396e-01
