family,minimum_tangent_gap,minimum_max_abs_normal_distance,i,j,t,u,tangent_angle_gap
quadratic_exponential,0.01,0.04008063059286315,280,284,0.04008063057978068,0.04008063059286315,0.012875316808949266
quadratic_exponential,0.05,0.04008654644856235,274,290,0.040086545548248115,0.04008654644856235,0.051497707921012825
quadratic_exponential,0.1,0.04010540952226703,267,299,0.04010540952226703,0.040105401641752365,0.10289865817803989
quadratic_exponential,0.2,0.04017762021475638,252,315,0.04017762021475638,0.040177543485278584,0.2023385611016223
quadratic_exponential,0.5,0.04067772489390775,207,364,0.04067772489390775,0.04067768261527949,0.5006061404791226
quadratic_exponential,1.0,0.042498131330734996,134,457,0.042498131330734996,0.042493702412080434,1.0017595453814108
double_harmonic,0.01,0.04009705382158935,2,4,0.04009705372352021,0.04009705382158935,0.024939436501043365
double_harmonic,0.05,0.040101266131795925,1,6,0.040101266131795925,0.04010126471132209,0.0648357237441704
double_harmonic,0.1,0.040113570273523656,0,9,0.040113570273523656,0.04011352438057231,0.10968838599886505
double_harmonic,0.2,0.04020787614529786,0,17,0.04020787614529786,0.040206472914889595,0.20891711309880784
double_harmonic,0.5,0.04114401541532977,0,42,0.04114401541532977,0.041069884917232465,0.5108236598967558
double_harmonic,1.0,0.04622294960319749,0,91,0.04622294960319749,0.044543315268792676,1.0031082187294575
