coefficient_index,coefficient,analytic_gradient,finite_difference,fd_minus_analytic
1.000000000000000000e+00,-1.689136373844285499e-01,-8.178301863428785734e-02,-8.176909330193105063e-02,1.392533235680670778e-05
2.000000000000000000e+00,-4.682268187518583841e-02,-4.091311228210025436e-02,-4.098848518929720797e-02,-7.537290719695360908e-05
3.000000000000000000e+00,1.801518314373571794e+00,-1.343502285430669095e-02,-1.346566058657572285e-02,-3.063773226903189484e-05
4.000000000000000000e+00,-5.083560487996947597e-01,-4.392055372459115203e-02,-4.390153926503437276e-02,1.901445955677927291e-05
5.000000000000000000e+00,-6.351897490724139894e-01,-6.480837895344432331e-02,-6.484043155174923356e-02,-3.205259830491025141e-05
6.000000000000000000e+00,2.562261910280836386e-01,-2.925935321688814816e-02,-2.933424061990486109e-02,-7.488740301671292787e-05
7.000000000000000000e+00,-4.457872127488091696e-01,7.526367165366265773e-03,7.549260438999283451e-03,2.289327363301767865e-05
8.000000000000000000e+00,3.865091335105789172e-01,-4.242090558408251333e-02,-4.237156694952837199e-02,4.933863455414133625e-05
9.000000000000000000e+00,7.501646937723951414e-01,-1.816334310114163866e-02,-1.818919237450700166e-02,-2.584927336536299580e-05
1.000000000000000000e+01,6.925692345674820949e-01,-8.695115762072005983e-03,-8.743134716215905655e-03,-4.801895414389967254e-05
1.100000000000000000e+01,1.540750116796577585e-01,9.744014484411393437e-03,9.800230460488279505e-03,5.621597607688606779e-05
1.200000000000000000e+01,-7.213519209212451155e-01,-6.300676152908672722e-02,-6.301863345048452913e-02,-1.187192139780191003e-05
1.300000000000000000e+01,-3.623871018737556682e-01,-1.524408034915657878e-02,-1.531109819485898527e-02,-6.701784570240648664e-05
1.400000000000000000e+01,7.863736000711659541e-03,-7.490519927010739392e-04,-7.662495082882969655e-04,-1.719751558722302631e-05
1.500000000000000000e+01,6.732788684990020922e-02,-2.758200258659992011e-03,-2.709960200686367671e-03,4.824005797362434025e-05
1.600000000000000000e+01,6.564666841993361812e-01,-3.838198419638888526e-02,-3.839039980357838999e-02,-8.415607189504736851e-06
1.700000000000000000e+01,3.505358485919400358e-01,1.751901510485568553e-02,1.749345673873747842e-02,-2.555836611820710980e-05
1.800000000000000000e+01,1.159420987109238271e-01,5.713658086306325733e-03,5.733266528196168110e-03,1.960844188984237763e-05
1.900000000000000000e+01,8.935319154501120825e-03,4.031894352369688934e-04,4.541892972831362840e-04,5.099986204616739063e-05
2.000000000000000000e+01,-5.089990067984366817e-01,-3.368814317793779323e-02,-3.373141541085367123e-02,-4.327223291587800613e-05
