mode,cos_coefficient,sin_coefficient
1.000000000000000000e+00,-1.689136373844285499e-01,-4.682268187518583841e-02
2.000000000000000000e+00,1.801518314373571794e+00,-5.083560487996947597e-01
3.000000000000000000e+00,-6.351897490724139894e-01,2.562261910280836386e-01
4.000000000000000000e+00,-4.457872127488091696e-01,3.865091335105789172e-01
5.000000000000000000e+00,7.501646937723951414e-01,6.925692345674820949e-01
6.000000000000000000e+00,1.540750116796577585e-01,-7.213519209212451155e-01
7.000000000000000000e+00,-3.623871018737556682e-01,7.863736000711659541e-03
8.000000000000000000e+00,6.732788684990020922e-02,6.564666841993361812e-01
9.000000000000000000e+00,3.505358485919400358e-01,1.159420987109238271e-01
1.000000000000000000e+01,8.935319154501120825e-03,-5.089990067984366817e-01
