x,y
-1.386280233359702720e-02,1.701010212127661014e-01
-1.373800771471417499e-02,1.701081837279485864e-01
-1.361321752225266336e-02,1.701154229535646045e-01
-1.348843180904117645e-02,1.701227389836834913e-01
-1.336365062799679121e-02,1.701301319108385335e-01
-1.323887403212141781e-02,1.701376018260261636e-01
-1.311410207449823645e-02,1.701451488187050165e-01
-1.298933480828814643e-02,1.701527729767954855e-01
-1.286457228672618740e-02,1.701604743866791947e-01
-1.273981456311799008e-02,1.701682531331988324e-01
-1.261506169083619761e-02,1.701761092996579849e-01
-1.249031372331690926e-02,1.701840429678214972e-01
-1.236557071405611566e-02,1.701920542179155005e-01
-1.224083271660613564e-02,1.702001431286280508e-01
-1.211609978457206180e-02,1.702083097771098508e-01
-1.199137197160819734e-02,1.702165542389749153e-01
-1.186664933141452077e-02,1.702248765883017101e-01
-1.174193191773312273e-02,1.702332768976343447e-01
-1.161721978434468276e-02,1.702417552379838495e-01
-1.149251298506493053e-02,1.702503116788298132e-01
-1.136781157374111909e-02,1.702589462881220483e-01
-1.124311560424851204e-02,1.702676591322824784e-01
-1.111842513048687427e-02,1.702764502762071364e-01
-1.099374020637697638e-02,1.702853197832685239e-01
-1.086906088585710105e-02,1.702942677153178319e-01
-1.074438722287957872e-02,1.703032941326876049e-01
-1.061971927140730951e-02,1.703123990941943777e-01
-1.049505708541032326e-02,1.703215826571416458e-01
-1.037040071886233435e-02,1.703308448773228900e-01
-1.024575022573731911e-02,1.703401858090246579e-01
-1.012110566000610709e-02,1.703496055050301161e-01
-9.996467075632982716e-03,1.703591040166223813e-01
-9.871834526572318205e-03,1.703686813935884059e-01
-9.747208066765197798e-03,1.703783376842226138e-01
-9.622587750136080142e-03,1.703880729353309531e-01
-9.497973630589478036e-03,1.703978871922351146e-01
-9.373365762006639901e-03,1.704077804987766953e-01
-9.248764198242267684e-03,1.704177528973217504e-01
-9.124168993121250376e-03,1.704278044287652061e-01
-8.999580200435409669e-03,1.704379351325358283e-01
-8.874997873940280307e-03,1.704481450466008574e-01
-8.750422067351895650e-03,1.704584342074711989e-01
-8.625852834343620060e-03,1.704688026502064468e-01
-8.501290228542974364e-03,1.704792504084202964e-01
-8.376734303528501208e-03,1.704897775142858729e-01
-8.252185112826663366e-03,1.705003839985413383e-01
-8.127642709908743796e-03,1.705110698904955813e-01
-8.003107148187785583e-03,1.705218352180340735e-01
-7.878578481015557911e-03,1.705326800076247817e-01
-7.754056761679542845e-03,1.705436042843242739e-01
-7.629542043399942068e-03,1.705546080717839919e-01
-7.505034379326734791e-03,1.705656913922564688e-01
-7.380533822536732187e-03,1.705768542666018239e-01
-7.256040426030680411e-03,1.705880967142944793e-01
-7.131554242730390493e-03,1.705994187534295992e-01
-7.007075325475882986e-03,1.706108204007301676e-01
-6.882603727022582919e-03,1.706223016715537333e-01
-6.758139500038520819e-03,1.706338625798994868e-01
-6.633682697101588380e-03,1.706455031384155052e-01
-6.509233370696801933e-03,1.706572233584058851e-01
-6.384791573213613632e-03,1.706690232498381532e-01
-6.260357356943243440e-03,1.706809028213507606e-01
-6.135930774076051031e-03,1.706928620802606600e-01
-6.011511876698927628e-03,1.707049010325708827e-01
-5.887100716792735555e-03,1.707170196829784214e-01
-5.762697346229765996e-03,1.707292180348821131e-01
-5.638301816771239261e-03,1.707414960903904100e-01
-5.513914180064829335e-03,1.707538538503296510e-01
-5.389534487642238733e-03,1.707662913142520833e-01
-5.265162790916785504e-03,1.707788084804441608e-01
-5.140799141181033594e-03,1.707914053459347881e-01
-5.016443589604464848e-03,1.708040819065037574e-01
-4.892096187231171830e-03,1.708168381566902427e-01
-4.767756984977597479e-03,1.708296740898013755e-01
-4.643426033630304248e-03,1.708425896979208214e-01
-4.519103383843767544e-03,1.708555849719176067e-01
-4.394789086138233339e-03,1.708686599014547502e-01
-4.270483190897575790e-03,1.708818144749982559e-01
-4.146185748367217302e-03,1.708950486798260504e-01
-4.021896808652071151e-03,1.709083625020368369e-01
-3.897616421714529197e-03,1.709217559265593378e-01
-3.773344637372470431e-03,1.709352289371613154e-01
-3.649081505297319811e-03,1.709487815164587587e-01
-3.524827075012141805e-03,1.709624136459252375e-01
-3.400581395889761688e-03,1.709761253059010055e-01
-3.276344517150933666e-03,1.709899164756026324e-01
-3.152116487862533303e-03,1.710037871331321624e-01
-3.027897356935803710e-03,1.710177372554867181e-01
-2.903687173124617354e-03,1.710317668185680207e-01
-2.779485985023796846e-03,1.710458757971918542e-01
-2.655293841067446134e-03,1.710600641650977805e-01
-2.531110789527351093e-03,1.710743318949587422e-01
-2.406936878511387046e-03,1.710886789583907219e-01
-2.282772155961973123e-03,1.711031053259625401e-01
-2.158616669654575201e-03,1.711176109672055690e-01
-2.034470467196227914e-03,1.711321958506235585e-01
-1.910333596024100036e-03,1.711468599437024896e-01
-1.786206103404103240e-03,1.711616032129203435e-01
-1.662088036429521659e-03,1.711764256237571780e-01
-1.537979442019702173e-03,1.711913271407048964e-01
-1.413880366918748160e-03,1.712063077272772404e-01
-1.289790857694282644e-03,1.712213673460198093e-01
-1.165710960736221838e-03,1.712365059585200244e-01
-1.041640722255605944e-03,1.712517235254171211e-01
-9.175801882834507678e-04,1.712670200064121961e-01
-7.935294046696340226e-04,1.712823953602783111e-01
-6.694884170818336810e-04,1.712978495448705119e-01
-5.454572710044819361e-04,1.713133825171358482e-01
-4.214360117377798781e-04,1.713289942331236160e-01
-2.974246843967121717e-04,1.713446846479953212e-01
-1.734233339101311222e-04,1.713604537160348384e-01
-4.943200501985635376e-05,1.713763013906585420e-01
7.454925772018908270e-05,1.713922276244253251e-01
1.985204099447992337e-04,1.714082323690469256e-01
3.224814074782797468e-04,1.714243155753977788e-01
4.464322063351990055e-04,1.714404771935253424e-01
5.703727627211288564e-04,1.714567171726601169e-01
6.943030330333107430e-04,1.714730354612258034e-01
8.182229738613253089e-04,1.714894320068493516e-01
9.421325419877168983e-04,1.715059067563711181e-01
1.066031694388578158e-03,1.715224596558549142e-01
1.189920388234108617e-03,1.715390906505981361e-01
1.313798580889135106e-03,1.715557996851417577e-01
1.437666229913609622e-03,1.715725867032804608e-01
1.561523293063065559e-03,1.715894516480725440e-01
1.685369728289040983e-03,1.716063944618501647e-01
1.809205493739489759e-03,1.716234150862291086e-01
1.933030547759130233e-03,1.716405134621189210e-01
2.056844848889788704e-03,1.716576895297327876e-01
2.180648355870692598e-03,1.716749432285975541e-01
2.304441027638765363e-03,1.716922744975635795e-01
2.428222823328845051e-03,1.717096832748146451e-01
2.551993702273909828e-03,1.717271694978777796e-01
2.675753624005258388e-03,1.717447331036331681e-01
2.799502548252669545e-03,1.717623740283239220e-01
2.923240434944523666e-03,1.717800922075658765e-01
3.046967244207896344e-03,1.717978875763572499e-01
3.170682936368631258e-03,1.718157600690884967e-01
3.294387471951381804e-03,1.718337096195518554e-01
3.418080811679628447e-03,1.718517361609510352e-01
3.541762916475650960e-03,1.718698396259108752e-01
3.665433747460511080e-03,1.718880199464868364e-01
3.789093265953955361e-03,1.719062770541745777e-01
3.912741433474356198e-03,1.719246108799193928e-01
4.036378211738566105e-03,1.719430213541256747e-01
4.160003562661782409e-03,1.719615084066664079e-01
4.283617448357384186e-03,1.719800719668923839e-01
4.407219831136727564e-03,1.719987119636416095e-01
4.530810673508923678e-03,1.720174283252485503e-01
4.654389938180616623e-03,1.720362209795534003e-01
4.777957588055698965e-03,1.720550898539111861e-01
4.901513586235034178e-03,1.720740348752009263e-01
5.025057896016123585e-03,1.720930559698346796e-01
5.148590480892801038e-03,1.721121530637667041e-01
5.272111304554854758e-03,1.721313260825022562e-01
5.395620330887652624e-03,1.721505749511066385e-01
5.519117523971736258e-03,1.721698995942139987e-01
5.642602848082428971e-03,1.721892999360361831e-01
5.766076267689346571e-03,1.722087759003715357e-01
5.889537747455977565e-03,1.722283274106135575e-01
6.012987252239173144e-03,1.722479543897595111e-01
6.136424747088661466e-03,1.722676567604191633e-01
6.259850197246520295e-03,1.722874344448231676e-01
6.383263568146642711e-03,1.723072873648316128e-01
6.506664825414164646e-03,1.723272154419424884e-01
6.630053934864906309e-03,1.723472185972999282e-01
6.753430862504778906e-03,1.723672967517025922e-01
6.876795574529149732e-03,1.723874498256119103e-01
7.000148037322245428e-03,1.724076777391602422e-01
7.123488217456492785e-03,1.724279804121588988e-01
7.246816081691852610e-03,1.724483577641063581e-01
7.370131596975163998e-03,1.724688097141961474e-01
7.493434730439429634e-03,1.724893361813247261e-01
7.616725449403118423e-03,1.725099370840994795e-01
7.740003721369464670e-03,1.725306123408464065e-01
7.863269514025708271e-03,1.725513618696178086e-01
7.986522795242338366e-03,1.725721855882001166e-01
8.109763533072368233e-03,1.725930834141212455e-01
8.232991695750533842e-03,1.726140552646583948e-01
8.356207251692509760e-03,1.726351010568452082e-01
8.479410169494114649e-03,1.726562207074794630e-01
8.602600417930489005e-03,1.726774141331300916e-01
8.725777965955286777e-03,1.726986812501447033e-01
8.848942782699828827e-03,1.727200219746566068e-01
8.972094837472270254e-03,1.727414362225918876e-01
9.095234099756729571e-03,1.727629239096766522e-01
9.218360539212424806e-03,1.727844849514437453e-01
9.341474125672809617e-03,1.728061192632398546e-01
9.464574829144692045e-03,1.728278267602322560e-01
9.587662619807315115e-03,1.728496073574155023e-01
9.710737468011468657e-03,1.728714609696182514e-01
9.833799344278601126e-03,1.728933875115098162e-01
9.956848219299862038e-03,1.729153868976066322e-01
1.007988406393519297e-02,1.729374590422789182e-01
1.020290684921240469e-02,1.729596038597568386e-01
1.032591654632622306e-02,1.729818212641369979e-01
1.044891312663735229e-02,1.730041111693886580e-01
1.057189656167150694e-02,1.730264734893598721e-01
1.069486682311846480e-02,1.730489081377836191e-01
1.081782388283110928e-02,1.730714150282838260e-01
1.094076771282443718e-02,1.730939940743813632e-01
1.106369828527461498e-02,1.731166451894999292e-01
1.118661557251797271e-02,1.731393682869717399e-01
1.130951954705003253e-02,1.731621632800434407e-01
1.143241018152452680e-02,1.731850300818816857e-01
1.155528744875240592e-02,1.732079686055787437e-01
1.167815132170083210e-02,1.732309787641579391e-01
1.180100177349219411e-02,1.732540604705792575e-01
1.192383877740311494e-02,1.732772136377445371e-01
1.204666230686344576e-02,1.733004381785028802e-01
1.216947233545523886e-02,1.733237340056558440e-01
1.229226883691179016e-02,1.733471010319625749e-01
1.241505178511659140e-02,1.733705391701448884e-01
1.253782115410234828e-02,1.733940483328922089e-01
1.266057691804995354e-02,1.734176284328666495e-01
1.278331905128749814e-02,1.734412793827076471e-01
1.290604752828924777e-02,1.734650010950369581e-01
1.302876232367464020e-02,1.734887934824631550e-01
1.315146341220727912e-02,1.735126564575864838e-01
1.327415076879392454e-02,1.735365899330031658e-01
1.339682436848349013e-02,1.735605938213100607e-01
1.351948418646603360e-02,1.735846680351089966e-01
1.364213019807175402e-02,1.736088124870111826e-01
1.376476237876999263e-02,1.736330270896413730e-01
1.388738070416823366e-02,1.736573117556420576e-01
1.400998515001109813e-02,1.736816663976777086e-01
1.413257569217937597e-02,1.737060909284386667e-01
1.425515230668899548e-02,1.737305852606451928e-01
1.437771496969006239e-02,1.737551493070513819e-01
1.450026365746587102e-02,1.737797829804489103e-01
1.462279834643190855e-02,1.738044861936708929e-01
1.474531901313489053e-02,1.738292588595954646e-01
1.486782563425179289e-02,1.738541008911494434e-01
1.499031818658886316e-02,1.738790122013119388e-01
1.511279664708066635e-02,1.739039927031176547e-01
1.523526099278912048e-02,1.739290423096603866e-01
1.535771120090255980e-02,1.739541609340963801e-01
1.548014724873475988e-02,1.739793484896475506e-01
1.560256911372400086e-02,1.740046048896045916e-01
1.572497677343213940e-02,1.740299300473302779e-01
1.584737020554366493e-02,1.740553238762622967e-01
1.596974938786476644e-02,1.740807862899163561e-01
1.609211429832244078e-02,1.741063172018890715e-01
1.621446491496354725e-02,1.741319165258607971e-01
1.633680121595391249e-02,1.741575841755984011e-01
1.645912317957743537e-02,1.741833200649578750e-01
1.658143078423519184e-02,1.742091241078871922e-01
1.670372400844453986e-02,1.742349962184286116e-01
1.682600283083825199e-02,1.742609363107213705e-01
1.694826723016363418e-02,1.742869442990039597e-01
1.707051718528168616e-02,1.743130200976166777e-01
1.719275267516620631e-02,1.743391636210037399e-01
1.731497367890300065e-02,1.743653747837156098e-01
1.743718017568898077e-02,1.743916535004111923e-01
1.755937214483138664e-02,1.744179996858597759e-01
1.768154956574692627e-02,1.744444132549433368e-01
1.780371241796101928e-02,1.744708941226582044e-01
1.792586068110695041e-02,1.744974422041171980e-01
1.804799433492504379e-02,1.745240574145513757e-01
1.817011335926196208e-02,1.745507396693117830e-01
1.829221773406988771e-02,1.745774888838713124e-01
1.841430743940574571e-02,1.746043049738260911e-01
1.853638245543045432e-02,1.746311878548973684e-01
1.865844276240821026e-02,1.746581374429328204e-01
1.878048834070572548e-02,1.746851536539081595e-01
1.890251917079151245e-02,1.747122364039284115e-01
1.902453523323514167e-02,1.747393856092293585e-01
1.914653650870661028e-02,1.747666011861787605e-01
1.926852297797554403e-02,1.747938830512776320e-01
1.939049462191062834e-02,1.748212311211613801e-01
1.951245142147883804e-02,1.748486453126008033e-01
1.963439335774485456e-02,1.748761255425033689e-01
1.975632041187035809e-02,1.749036717279139064e-01
1.987823256511341702e-02,1.749312837860157732e-01
2.000012979882786340e-02,1.749589616341316323e-01
2.012201209446268235e-02,1.749867051897242010e-01
2.024387943356138059e-02,1.750145143703970840e-01
2.036573179776143133e-02,1.750423890938954397e-01
2.048756916879364287e-02,1.750703292781066733e-01
2.060939152848165895e-02,1.750983348410608820e-01
2.073119885874135510e-02,1.751264057009315755e-01
2.085299114158029737e-02,1.751545417760359269e-01
2.097476835909722892e-02,1.751827429848354101e-01
2.109653049348154258e-02,1.752110092459359947e-01
2.121827752701275355e-02,1.752393404780885622e-01
2.134000944206004141e-02,1.752677366001891002e-01
2.146172622108173667e-02,1.752961975312789522e-01
2.158342784662485581e-02,1.753247231905449288e-01
2.170511430132468500e-02,1.753533134973194463e-01
2.182678556790426661e-02,1.753819683710804711e-01
2.194844162917399671e-02,1.754106877314517143e-01
2.207008246803123658e-02,1.754394714982024095e-01
2.219170806745986851e-02,1.754683195912472016e-01
2.231331841052989345e-02,1.754972319306461193e-01
2.243491348039711869e-02,1.755262084366042974e-01
2.255649326030271379e-02,1.755552490294716994e-01
2.267805773357289140e-02,1.755843536297428398e-01
2.279960688361853949e-02,1.756135221580564509e-01
2.292114069393497156e-02,1.756427545351950947e-01
2.304265914810150334e-02,1.756720506820846628e-01
2.316416222978123080e-02,1.757014105197939047e-01
2.328564992272071088e-02,1.757308339695339838e-01
2.340712221074969096e-02,1.757603209526577281e-01
2.352857907778085206e-02,1.757898713906591304e-01
2.365002050780956599e-02,1.758194852051726265e-01
2.377144648491363865e-02,1.758491623179723740e-01
2.389285699325310874e-02,1.758789026509715581e-01
2.401425201707006740e-02,1.759087061262214480e-01
2.413563154068838063e-02,1.759385726659107030e-01
2.425699554851361295e-02,1.759685021923643733e-01
2.437834402503279152e-02,1.759984946280429841e-01
2.449967695481425345e-02,1.760285498955416195e-01
2.462099432250756254e-02,1.760586679175888958e-01
2.474229611284333580e-02,1.760888486170457956e-01
2.486358231063312552e-02,1.761190919169046964e-01
2.498485290076936371e-02,1.761493977402882050e-01
2.510610786822523727e-02,1.761797660104479912e-01
2.522734719805463238e-02,1.762101966507634843e-01
2.534857087539208603e-02,1.762406895847407340e-01
2.546977888545273044e-02,1.762712447360110790e-01
2.559097121353226534e-02,1.763018620283298143e-01
2.571214784500694406e-02,1.763325413855747481e-01
2.583330876533355969e-02,1.763632827317450358e-01
2.595445396004947280e-02,1.763940859909594316e-01
2.607558341477262537e-02,1.764249510874550675e-01
