x,y
0.000000000000000000e+00,0.000000000000000000e+00
1.999987572569050006e-04,4.985449574403873562e-07
3.999925429513690334e-04,1.994229710375151625e-06
5.999763842241789520e-04,4.487132788336004128e-06
7.999453070406089064e-04,7.977290252331258969e-06
9.998943366662893344e-04,1.246469568759923132e-05
1.199818498143124688e-03,1.794930020239819180e-05
1.399712816765168958e-03,2.443101243283233497e-05
1.599572318554365455e-03,3.190969855371173105e-05
1.799392030736055113e-03,4.038518229544242719e-05
1.999166982214163873e-03,4.985724496694159569e-05
2.198892204045974162e-03,6.032562548457079036e-05
2.398562729916387231e-03,7.179002040707879316e-05
2.598173596611586585e-03,8.425008397654426637e-05
2.797719844492005566e-03,9.770542816530639225e-05
2.997196517964513442e-03,1.121556227288706390e-04
3.196598665953719835e-03,1.276001952647745489e-04
3.395921342372314189e-03,1.440386312773978472e-04
3.595159606590344042e-03,1.614703742486985299e-04
3.794308523903342292e-03,1.798948257148560233e-04
3.993363165999216750e-03,1.993113453488005310e-04
4.192318611423802646e-03,2.197192510486056793e-04
4.391169946045000473e-03,2.411178190317211088e-04
4.589912263515403754e-03,2.635062839350199668e-04
4.788540665733326089e-03,2.868838389206333035e-04
4.987050263302141191e-03,3.112496357875436394e-04
5.185436175987859567e-03,3.366027850889088415e-04
5.383693533174828232e-03,3.629423562550826671e-04
5.581817474319503147e-03,3.902673777223021351e-04
5.779803149402175551e-03,4.185768370670053221e-04
5.977645719376587126e-03,4.478696811457446160e-04
6.175340356617345546e-03,4.781448162406600312e-04
6.372882245365052781e-03,5.094011082104711119e-04
6.570266582169070717e-03,5.416373826469514288e-04
6.767488576327834737e-03,5.748524250368415968e-04
6.964543450326635479e-03,6.090449809291591807e-04
7.161426440272800238e-03,6.442137561078640703e-04
7.358132796328169939e-03,6.803574167698299424e-04
7.554657783138824835e-03,7.174745897080806074e-04
7.750996680261953986e-03,7.555638625002389841e-04
7.947144782589801726e-03,7.946237837021428389e-04
8.143097400770625202e-03,8.346528630465770929e-04
8.338849861626569313e-03,8.756495716470696781e-04
8.534397508568403526e-03,9.176123422067003097e-04
8.729735702007036455e-03,9.605395692318691604e-04
8.924859819761730984e-03,1.004429609250966559e-03
9.119765257464973116e-03,1.049280781037893523e-03
9.314447428963904332e-03,1.095091365840374564e-03
9.508901766718242873e-03,1.141859607612998821e-03
9.703123722194652301e-03,1.189583713254940486e-03
9.897108766257472351e-03,1.238261852852292960e-03
1.009085238955574441e-02,1.287892159924951220e-03
1.028435010290648481e-02,1.338472731677991037e-03
1.047759743767412433e-02,1.390001629257472601e-03
1.067058994614606890e-02,1.442476878010610659e-03
1.086332320190429995e-02,1.495896467750239831e-03
1.105579280019297790e-02,1.550258353023516774e-03
1.124799435828198642e-02,1.605560453384789364e-03
1.143992351582633592e-02,1.661800653672560477e-03
1.163157593522140890e-02,1.718976804290487824e-03
1.182294730195396909e-02,1.777086721492344371e-03
1.201403332494887718e-02,1.836128187670867801e-03
1.220482973691148360e-02,1.896098951650435462e-03
1.239533229466562546e-02,1.956996728983486332e-03
1.258553677948720528e-02,2.018819202250626225e-03
1.277543899743326279e-02,2.081564021364331035e-03
1.296503477966653300e-02,2.145228803876188164e-03
1.315431998277543854e-02,2.209811135287598292e-03
1.334329048908944153e-02,2.275308569363853999e-03
1.353194220698975339e-02,2.341718628451534313e-03
1.372027107121534355e-02,2.409038803799130185e-03
1.390827304316420363e-02,2.477266555880831486e-03
1.409594411118983079e-02,2.546399314723388815e-03
1.428328029089290067e-02,2.616434480235985908e-03
1.447027762540809698e-02,2.687369422543039402e-03
1.465693218568604045e-02,2.759201482319843541e-03
1.484324007077031556e-02,2.831927971130990436e-03
1.502919740806954799e-02,2.905546171771486094e-03
1.521480035362449482e-02,2.980053338610474598e-03
1.540004509237013867e-02,3.055446697937504088e-03
1.558492783839274601e-02,3.131723448311246518e-03
1.576944483518187556e-02,3.208880760910598311e-03
1.595359235587728505e-02,3.286915779888074755e-03
1.613736670351073946e-02,3.365825622725420949e-03
1.632076421124272619e-02,3.445607380591372490e-03
1.650378124259395743e-02,3.526258118701456647e-03
1.668641419167177925e-02,3.607774876679790185e-03
1.686865948339135238e-02,3.690154668922764145e-03
1.705051357369163217e-02,3.773394484964542276e-03
1.723197294974618959e-02,3.857491289844315434e-03
1.741303413016874121e-02,3.942442024475196170e-03
1.759369366521347858e-02,4.028243606014693216e-03
1.777394813697015519e-02,4.114892928236696910e-03
1.795379415955390690e-02,4.202386861904865850e-03
1.813322837928979178e-02,4.290722255147356654e-03
1.831224747489210505e-02,4.379895933832819201e-03
1.849084815763838568e-02,4.469904701947561079e-03
1.866902717153814256e-02,4.560745341973810978e-03
1.884678129349633482e-02,4.652414615269013370e-03
1.902410733347154048e-02,4.744909262446052149e-03
1.920100213462885147e-02,4.838226003754338145e-03
1.937746257348751944e-02,4.932361539461694623e-03
1.955348556006327246e-02,5.027312550236927129e-03
1.972906803800542411e-02,5.123075697533042983e-03
1.990420698472867081e-02,5.219647623971012014e-03
2.007889941153964686e-02,5.317024953723993065e-03
2.025314236375824750e-02,5.415204292901982033e-03
2.042693292083368889e-02,5.514182229936760889e-03
2.060026819645534302e-02,5.613955335967095624e-03
2.077314533865837198e-02,5.714520165224118084e-03
2.094556152992414766e-02,5.815873255416790198e-03
2.111751398727546372e-02,5.918011128117392494e-03
2.128899996236661984e-02,6.020930289146970114e-03
2.146001674156830519e-02,6.124627228960644390e-03
2.163056164604734710e-02,6.229098423032723188e-03
2.180063203184137363e-02,6.334340332241561455e-03
2.197022528992833776e-02,6.440349403254060079e-03
2.213933884629096932e-02,6.547122068909755344e-03
