x,y
3.504150690524722722e-01,3.939264504089311503e-01
3.505458843976442807e-01,3.937728193601767179e-01
3.506766814242501251e-01,3.936191961136262796e-01
3.508074603205986186e-01,3.934655805877178558e-01
3.509382212739993734e-01,3.933119727005563449e-01
3.510689644708003820e-01,3.931583723698746091e-01
3.511996900963152424e-01,3.930047795131225707e-01
3.513303983348302073e-01,3.928511940474652686e-01
3.514610893695522265e-01,3.926976158898482505e-01
3.515917633826451949e-01,3.925440449569607693e-01
3.517224205551492955e-01,3.923904811653365354e-01
3.518530610669822756e-01,3.922369244313584913e-01
3.519836850969491060e-01,3.920833746712530932e-01
3.521142928227180002e-01,3.919298318011253945e-01
3.522448844207339280e-01,3.917762957370677923e-01
3.523754600663083214e-01,3.916227663950609950e-01
3.525060199335653954e-01,3.914692436910442996e-01
3.526365641953611019e-01,3.913157275410188984e-01
3.527670930233928193e-01,3.911622178609254763e-01
3.528976065880721213e-01,3.910087145668026398e-01
3.530281050585986069e-01,3.908552175747069257e-01
3.531585886029126597e-01,3.907017268007769162e-01
3.532890573876366069e-01,3.905482421613111210e-01
3.534195115781815777e-01,3.903947635726497389e-01
3.535499513386338166e-01,3.902412909513175987e-01
3.536803768317762775e-01,3.900878242140072283e-01
3.538107882191312559e-01,3.899343632775370549e-01
3.539411856608554729e-01,3.897809080589846320e-01
3.540715693158322797e-01,3.896274584755862191e-01
3.542019393415947182e-01,3.894740144448372021e-01
3.543322958943831424e-01,3.893205758844328068e-01
3.544626391290609524e-01,3.891671427123770677e-01
3.545929691991827615e-01,3.890137148469121064e-01
3.547232862569577594e-01,3.888602922065702017e-01
3.548535904532579277e-01,3.887068747101741217e-01
3.549838819375911725e-01,3.885534622768783697e-01
3.551141608581591669e-01,3.884000548261101748e-01
3.552444273617624271e-01,3.882466522776920059e-01
3.553746815938810255e-01,3.880932545517555843e-01
3.555049236986402295e-01,3.879398615687926211e-01
3.556351538188418093e-01,3.877864732496272282e-01
3.557653720958923182e-01,3.876330895155110645e-01
3.558955786698830281e-01,3.874797102880385702e-01
3.560257736795399142e-01,3.873263354892163002e-01
3.561559572622662873e-01,3.871729650414222901e-01
3.562861295541033813e-01,3.870195988674628995e-01
3.564162906897687111e-01,3.868662368905371740e-01
3.565464408026399745e-01,3.867128790342661548e-01
3.566765800247395091e-01,3.865595252227214673e-01
3.568067084868070116e-01,3.864061753803489374e-01
3.569368263182094991e-01,3.862528294320855538e-01
3.570669336470245758e-01,3.860994873032708163e-01
3.571970306000221695e-01,3.859461489196781558e-01
3.573271173026233427e-01,3.857928142075739975e-01
3.574571938789859460e-01,3.856394830936262230e-01
3.575872604519614306e-01,3.854861555049652333e-01
3.577173171430678145e-01,3.853328313692260809e-01
3.578473640726170246e-01,3.851795106144072500e-01
3.579774013595660165e-01,3.850261931690571182e-01
3.581074291216458372e-01,3.848728789621306268e-01
3.582374474753196592e-01,3.847195679230491216e-01
3.583674565357674591e-01,3.845662599817278871e-01
3.584974564169512989e-01,3.844129550685088104e-01
3.586274472315669759e-01,3.842596531142270511e-01
3.587574290911071384e-01,3.841063540501459816e-01
3.588874021058116037e-01,3.839530578080256329e-01
3.590173663847168184e-01,3.837997643200733444e-01
3.591473220356743434e-01,3.836464735189312747e-01
3.592772691652781902e-01,3.834931853377722688e-01
3.594072078790038760e-01,3.833398997101438721e-01
3.595371382811162198e-01,3.831866165700867910e-01
3.596670604746923239e-01,3.830333358521172959e-01
3.597969745616763637e-01,3.828800574911707666e-01
3.599268806428669309e-01,3.827267814226260056e-01
3.600567788178927753e-01,3.825735075823427644e-01
3.601866691852835811e-01,3.824202359065867474e-01
3.603165518424234492e-01,3.822669663320935607e-01
3.604464268855978593e-01,3.821136987960215281e-01
3.605762944100088796e-01,3.819604332359424759e-01
3.607061545097356992e-01,3.818071695898965778e-01
3.608360072778007965e-01,3.816539077963230775e-01
3.609658528061610028e-01,3.815006477940784402e-01
3.610956911857149954e-01,3.813473895224360755e-01
3.612255225062946939e-01,3.811941329211046559e-01
3.613553468567180516e-01,3.810408779301736049e-01
3.614851643247929958e-01,3.808876244901160946e-01
3.616149749972444871e-01,3.807343725418839697e-01
3.617447789598958741e-01,3.805811220266998030e-01
3.618745762975074665e-01,3.804278728862563463e-01
3.620043670938591363e-01,3.802746250626261593e-01
3.621341514318027754e-01,3.801213784982070409e-01
3.622639293931887994e-01,3.799681331358160108e-01
3.623937010589715069e-01,3.798148889185721799e-01
3.625234665091016661e-01,3.796616457900309771e-01
3.626532258226758398e-01,3.795084036940144512e-01
3.627829790778008823e-01,3.793551625747786926e-01
3.629127263517576973e-01,3.792019223768264835e-01
3.630424677208888284e-01,3.790486830450477962e-01
3.631722032606595763e-01,3.788954445246531799e-01
3.633019330456842000e-01,3.787422067611502796e-01
3.634316571497014370e-01,3.785889697003782528e-01
3.635613756456053114e-01,3.784357332884787928e-01
3.636910886054833814e-01,3.782824974718557720e-01
3.638207961005499591e-01,3.781292621972613399e-01
3.639504982012309320e-01,3.779760274117014429e-01
3.640801949771670931e-01,3.778227930624374342e-01
3.642098864971643479e-01,3.776695590970511329e-01
3.643395728292811442e-01,3.775163254633470689e-01
3.644692540408170367e-01,3.773630921093711343e-01
3.645989301982565101e-01,3.772098589834832483e-01
3.647286013674022609e-01,3.770566260342046450e-01
3.648582676132766101e-01,3.769033932103398876e-01
3.649879290001891152e-01,3.767501604609019838e-01
3.651175855917380697e-01,3.765969277351157718e-01
3.652472374507990116e-01,3.764436949824364609e-01
3.653768846395821224e-01,3.762904621524867377e-01
3.655065272195883730e-01,3.761372291951129432e-01
3.656361652516435523e-01,3.759839960603501008e-01
3.657657987959399004e-01,3.758307626983767857e-01
3.658954279119800423e-01,3.756775290595860683e-01
3.660250526586502628e-01,3.755242950945029690e-01
3.661546730941901417e-01,3.753710607538250921e-01
3.662842892762351865e-01,3.752178259883756639e-01
3.664139012617834146e-01,3.750645907491477193e-01
3.665435091072325458e-01,3.749113549872639672e-01
3.666731128684431185e-01,3.747581186539050147e-01
3.668027126005953265e-01,3.746048817004841158e-01
3.669323083583982403e-01,3.744516440784018130e-01
3.670619001959132266e-01,3.742984057392592101e-01
3.671914881667310837e-01,3.741451666346515270e-01
3.673210723238120035e-01,3.739919267163607230e-01
3.674506527196590433e-01,3.738386859361536585e-01
3.675802294062036624e-01,3.736854442459205394e-01
3.677098024348827709e-01,3.735322015975869325e-01
3.678393718566252968e-01,3.733789579431323613e-01
3.679689377218535173e-01,3.732257132345915829e-01
3.680985000805103158e-01,3.730724674240256111e-01
3.682280589820832173e-01,3.729192204634947938e-01
3.683576144755394965e-01,3.727659723051394147e-01
3.684871666094302056e-01,3.726127229010581798e-01
3.686167154318285566e-01,3.724594722033839345e-01
3.687462609904003652e-01,3.723062201642021174e-01
3.688758033323322194e-01,3.721529667356383020e-01
3.690053425044149127e-01,3.719997118697614402e-01
3.691348785530204624e-01,3.718464555186129505e-01
3.692644115240855118e-01,3.716931976342283672e-01
3.693939414631896012e-01,3.715399381685464686e-01
3.695234684155079830e-01,3.713866770734662870e-01
3.696529924257784261e-01,3.712334143008892973e-01
3.697825135384598116e-01,3.710801498025314560e-01
3.699120317975487238e-01,3.709268835301435252e-01
3.700415472467533107e-01,3.707736154353049596e-01
3.701710599293937531e-01,3.706203454695440325e-01
3.703005698884399566e-01,3.704670735842942042e-01
3.704300771665610670e-01,3.703137997308362239e-01
