x,y
3.583364619581971833e-01,1.439223581200664015e-01
3.584317646150281811e-01,1.436510109499266052e-01
3.589793126043598348e-01,1.420739128992928868e-01
3.590805590891478771e-01,1.417785785831675027e-01
3.596157807524714145e-01,1.401972555316727265e-01
3.597225547812712421e-01,1.398773549820803708e-01
3.602444248068583654e-01,1.382915763048599422e-01
3.603563777677036284e-01,1.379461174966379045e-01
3.608638294386771750e-01,1.363556671352472716e-01
3.609806603908116140e-01,1.359832311907398228e-01
3.614725677691160155e-01,1.343879056698369656e-01
3.615939987397074340e-01,1.339866312898055356e-01
3.620691582006184683e-01,1.323862387655604933e-01
3.621949036617496120e-01,1.319538063986168408e-01
3.626520147697017138e-01,1.303481669763359163e-01
3.627817441463311865e-01,1.298817839395473295e-01
3.632193899086206268e-01,1.282707315620522925e-01
3.633526810814961538e-01,1.277671224508616643e-01
3.637693078023035986e-01,1.261505087292015825e-01
3.639055899362226842e-01,1.256059152247855637e-01
3.640667829178512727e-01,1.249420279142702955e-01
3.641568364566928895e-01,1.251554091227616849e-01
3.642808244090961489e-01,1.254573818594674484e-01
3.644034406164028406e-01,1.257644076658956389e-01
3.645246164591329774e-01,1.260764368333770202e-01
3.646442629876919250e-01,1.263933590422321174e-01
3.647623304133798539e-01,1.267151618280455139e-01
3.648787539744416386e-01,1.270417820646682350e-01
3.649934551175917918e-01,1.273731151110849835e-01
3.651063910138572233e-01,1.277091478047197581e-01
3.652174975755745900e-01,1.280497997046747549e-01
3.653267195273689483e-01,1.283950094941592179e-01
3.654339931037854372e-01,1.287446804920716614e-01
3.655392794893823072e-01,1.290987920610432715e-01
3.656425309162626425e-01,1.294572834538168793e-01
3.657436941746242121e-01,1.298200730188462382e-01
3.658427307292227426e-01,1.301871195202543574e-01
3.659395884333657145e-01,1.305583274566523844e-01
3.660342301464790116e-01,1.309336493228135945e-01
3.661266203709208078e-01,1.313130378484323457e-01
3.662167252162444320e-01,1.316964460286604299e-01
3.663045034941325162e-01,1.320837880135164732e-01
3.663899227947037263e-01,1.324750107576676550e-01
3.664729497721402884e-01,1.328700460602484090e-01
3.665535554253845918e-01,1.332688434938565369e-01
3.666317163740862584e-01,1.336713687647234361e-01
3.667074003431819995e-01,1.340775387315040201e-01
3.667805843068420724e-01,1.344873099861760568e-01
3.668512391150396956e-01,1.349005962913945866e-01
3.669193469473363556e-01,1.353173733430336478e-01
3.669848876449430808e-01,1.357375887302099959e-01
3.670478386954383887e-01,1.361611757601515205e-01
3.671081843540403566e-01,1.365880970056379262e-01
3.671659027681017928e-01,1.370182694133197931e-01
3.672209795729245441e-01,1.374516537718429576e-01
3.672734014185156659e-01,1.378882113259061737e-01
3.673231559456172080e-01,1.383279037821874280e-01
3.673702263189813633e-01,1.387706421158504955e-01
3.674146033461149763e-01,1.392164062669636326e-01
3.674562756247474749e-01,1.396651302240195236e-01
3.674952318246982874e-01,1.401167580221719111e-01
3.675314678813508262e-01,1.405712875695763753e-01
3.675649731029282385e-01,1.410286381814467582e-01
3.675957413924358375e-01,1.414887736816537456e-01
3.676237647310440781e-01,1.419516133813571723e-01
3.676490399731147107e-01,1.424171567223549983e-01
3.676715636801104470e-01,1.428853566535667474e-01
3.676913305175021351e-01,1.433561503832083417e-01
3.677083394940372507e-01,1.438295206734030995e-01
3.677225870139262387e-01,1.443053884047074409e-01
3.677340721640471322e-01,1.447837237905751917e-01
3.677427946464384978e-01,1.452644974685061707e-01
3.677487547645470478e-01,1.457476804979222218e-01
3.677519532879642838e-01,1.462332258624271519e-01
3.677523914083069556e-01,1.467210676773895994e-01
3.677500708307421817e-01,1.472111837024930037e-01
3.677449942551599404e-01,1.477035569879793786e-01
3.677371650554864257e-01,1.481981282331740202e-01
3.677265868825680961e-01,1.486948534074769845e-01
3.677132636774612662e-01,1.491937073531784119e-01
3.676971998518885898e-01,1.496946652871788963e-01
3.676784008154221350e-01,1.501976884235266263e-01
3.676568733302469361e-01,1.507027139676558325e-01
3.676326219741071211e-01,1.512097339279898367e-01
3.676056528937138856e-01,1.517187335656577651e-01
3.675759752832398197e-01,1.522296370466069138e-01
3.675435955569344437e-01,1.527424232238197288e-01
3.675085206273240312e-01,1.532570778697749936e-01
3.674707599660910762e-01,1.537735503373573176e-01
3.674303205718167376e-01,1.542918274503325970e-01
3.673872108219043420e-01,1.548118895257788730e-01
3.673414435363161479e-01,1.553336640331421104e-01
3.672930260489989940e-01,1.558571408668392444e-01
3.672419663397853973e-01,1.563823165830132422e-01
3.671882773605316119e-01,1.569091336314062390e-01
3.671319698476936400e-01,1.574375600649192131e-01
3.670730534860171534e-01,1.579675780266496798e-01
3.670115382460851228e-01,1.584991699301813994e-01
3.669474343787048065e-01,1.590323184558599112e-01
3.668807599616052961e-01,1.595669459896722764e-01
3.668115204332566548e-01,1.601030684888571365e-01
3.667397281065323256e-01,1.606406685295163617e-01
3.666654001537523744e-01,1.611796767445238532e-01
3.665885434322297409e-01,1.617201111115031953e-01
3.665091723329078621e-01,1.622619356156536630e-01
3.664273002013486713e-01,1.628051222700058753e-01
3.663429417225304019e-01,1.633496371674386938e-01
3.662561099769059969e-01,1.638954561452886927e-01
3.661668127771645631e-01,1.644425911896983394e-01
3.660750705739796995e-01,1.649909810784093711e-01
3.659808956597182528e-01,1.655406062660581545e-01
3.658842965751007981e-01,1.660914797796350095e-01
3.657852927982485625e-01,1.666435480326222407e-01
3.656838983365618412e-01,1.671967897222329802e-01
3.655801258241350715e-01,1.677511925443691265e-01
3.654739880640479610e-01,1.683067443753348547e-01
3.653655015133683293e-01,1.688634153684729355e-01
3.652546835666501401e-01,1.694211703147466830e-01
3.651415440482081998e-01,1.699800128227644258e-01
3.650260961733600151e-01,1.705399330927531987e-01
3.649083639509293486e-01,1.711008679602407101e-01
3.647883567473430566e-01,1.716628217199225315e-01
3.646660848805550748e-01,1.722258009313731575e-01
3.645415682966814952e-01,1.727897642328063421e-01
3.644148256301352751e-01,1.733546783206709185e-01
3.642858688809689216e-01,1.739205376583742579e-01
3.641547059927482954e-01,1.744873583343427570e-01
3.640213654521571862e-01,1.750550682137251846e-01
3.638858564663665085e-01,1.756236715443928453e-01
3.637481874727756526e-01,1.761931852465183634e-01
3.636083852291320806e-01,1.767635448421509270e-01
3.634664626964764222e-01,1.773347432978272242e-01
3.633224326155255479e-01,1.779067759451050390e-01
3.631763117032596466e-01,1.784796222747805639e-01
3.630281128900191834e-01,1.790532764540977151e-01
3.628778485055673686e-01,1.796277364823770095e-01
3.627255483732813590e-01,1.802029340492802278e-01
3.625712168414033654e-01,1.807788917331350220e-01
3.624148667912467925e-01,1.813556102232136980e-01
3.622565257114013226e-01,1.819330277799454387e-01
3.620961988726108527e-01,1.825111678547142735e-01
3.619339030024583681e-01,1.830900130000405468e-01
3.617696560399026318e-01,1.836695403300896146e-01
3.616034718910708934e-01,1.842497418513165397e-01
3.614353740887702449e-01,1.848305764954380204e-01
3.612653678927078005e-01,1.854120632912166777e-01
3.610934677713606988e-01,1.859941961336823713e-01
3.609196941551087723e-01,1.865769426693100197e-01
3.607440656643363663e-01,1.871602811629059782e-01
3.605665940028036642e-01,1.877442079818029130e-01
3.603872879872069834e-01,1.883287346119557337e-01
3.602061711032761293e-01,1.889138212125393013e-01
3.600232564733655827e-01,1.894994622334428003e-01
3.598385572521131115e-01,1.900856522035218044e-01
3.596520916029362636e-01,1.906723700649082254e-01
3.595221581052520099e-01,1.910777599444298813e-01
3.595149392362866347e-01,1.908856413501733018e-01
3.594495940400109224e-01,1.891842775996434023e-01
3.593831752089449161e-01,1.874871278841555022e-01
3.593158793503905546e-01,1.857943528928609478e-01
3.592479093950519675e-01,1.841061165417135492e-01
3.591794745500856978e-01,1.824225856542516233e-01
3.591107901894831089e-01,1.807439292520542085e-01
3.590420777123741747e-01,1.790703180260345972e-01
3.589736679029599253e-01,1.774044456481167764e-01
3.589057001360354549e-01,1.757442260528536970e-01
3.588384038529230380e-01,1.740896515335639549e-01
3.587720203025810961e-01,1.724408861720463648e-01
3.587067948034813880e-01,1.707980882260567435e-01
3.586429761329726906e-01,1.691614079364342493e-01
3.585808158145805669e-01,1.675309849987328681e-01
3.585205673079779887e-01,1.659069456814727672e-01
3.584624850884102765e-01,1.642893995232840576e-01
3.584068236212861192e-01,1.626784356395033215e-01
3.583538362253198550e-01,1.610741185412433996e-01
3.583037738280727136e-01,1.594764835265118919e-01
3.582568836187444150e-01,1.578855315941436743e-01
