s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.750152116544500647e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000096e-04,1.999999848059700019e-04,5.512536411682429536e-08,2.762384574330093212e+00,5.512536690874591866e-04,1.999999848059700019e-04
4.000000000000000192e-04,3.999999085647939329e-04,2.207469973317311632e-07,2.774707893098079303e+00,1.104962915830276331e-03,3.999999082934616599e-04
6.000000000000000559e-04,5.999997095473968978e-04,4.973577786467116019e-07,2.787121809913479353e+00,1.661145886131432060e-03,5.999997079097394402e-04
8.000000000000000383e-04,7.999993251970563719e-04,8.854541757184110291e-07,2.799626044909205191e+00,2.219820671613700371e-03,7.999993197058714997e-04
1.000000000000000021e-03,9.999986921176904058e-04,1.385536232722609149e-06,2.812220300994014099e+00,2.781005306204021796e-03,9.999986783086319084e-04
1.200000000000000112e-03,1.199997746062089884e-03,1.998107557508038260e-06,2.824904263560047202e+00,3.344717762659427888e-03,1.199997716892186412e-03
1.399999999999999986e-03,1.399996421920096873e-03,2.723675308027554903e-06,2.837677600190137817e+00,3.910975949034446210e-03,1.399996367149564580e-03
1.600000000000000077e-03,1.599994653706732174e-03,3.562750178034669390e-06,2.850539960364976366e+00,4.479797705089957546e-03,1.599994559263933106e-03
1.800000000000000168e-03,1.799992374550273434e-03,4.515846382033439947e-06,2.863490975170337460e+00,5.051200798643487762e-03,1.799992221879672446e-03
2.000000000000000042e-03,1.999989516680286857e-03,5.583481639469736503e-06,2.876530257004462854e+00,5.625202921860967924e-03,1.999989282073266414e-03
2.200000000000000133e-03,2.199986011415615110e-03,6.766177158151892545e-06,2.889657399285805894e+00,6.201821687489994343e-03,2.199985665324017022e-03
2.400000000000000223e-03,2.399981789152323599e-03,8.064457616888778992e-06,2.902871976161243150e+00,6.781074625034699127e-03,2.399981295484584966e-03
2.600000000000000314e-03,2.599976779351608359e-03,9.478851147333357358e-06,2.916173542214948178e+00,7.362979176872317538e-03,2.599976094751380289e-03
2.799999999999999972e-03,2.799970910527668604e-03,1.100988931501979572e-05,2.929561632178093511e+00,7.947552694311622173e-03,2.799969983634797120e-03
3.000000000000000062e-03,2.999964110235545448e-03,1.265810709958227290e-05,2.943035760639513665e+00,8.534812433593382680e-03,2.999962880929313552e-03
3.200000000000000153e-03,3.199956305058932002e-03,1.442404287414364215e-05,2.956595421757539199e+00,9.124775551833087806e-03,3.199954703683464876e-03
3.400000000000000244e-03,3.399947420597956155e-03,1.630823838386216010e-05,2.970240088973165715e+00,9.717459102906158760e-03,3.399945367169700597e-03
3.600000000000000335e-03,3.599937381456940790e-03,1.831123872362457253e-05,2.983969214724720764e+00,1.031288003327594620e-02,3.599934784854141694e-03
3.799999999999999992e-03,3.799926111232142766e-03,2.043359231487387815e-05,2.997782230164231176e+00,1.091105517776484214e-02,3.799922868366242476e-03
4.000000000000000083e-03,3.999913532499477578e-03,2.267585088156020984e-05,3.011678544875671104e+00,1.151200125526883299e-02,3.999909527468380882e-03
4.200000000000000608e-03,4.199899566802228409e-03,2.503856942520331906e-05,3.025657546595274194e+00,1.211573486441592726e-02,4.199894670025380687e-03
4.400000000000000265e-03,4.399884134638747807e-03,2.752230619905523845e-05,3.039718600934120385e+00,1.272227247916886753e-02,4.399878201973984708e-03
4.599999999999999922e-03,4.599867155450155023e-03,3.012762268135182506e-05,3.053861051103156754e+00,1.333163044437259484e-02,4.599860027292299383e-03
4.800000000000000447e-03,4.799848547608029890e-03,3.285508354764196589e-05,3.068084217640905997e+00,1.394382497124699999e-02,4.799840047969212466e-03
5.000000000000000104e-03,4.999828228402107555e-03,3.570525664218335320e-05,3.082387398144027735e+00,1.455887213282549414e-02,4.999818163973808113e-03
5.200000000000000629e-03,5.199806114027985364e-03,3.867871294839383506e-05,3.096769867000937815e+00,1.517678785933999040e-02,5.199794273224801928e-03
5.400000000000000286e-03,5.399782119574836683e-03,4.177602655834755657e-05,3.111230875128726314e+00,1.579758793355295551e-02,5.399768271559996814e-03
5.599999999999999943e-03,5.599756159013141200e-03,4.499777464130510417e-05,3.125769649713562526e+00,1.642128798603718562e-02,5.599740052705790005e-03
5.800000000000000468e-03,5.799728145182434305e-03,4.834453741126719026e-05,3.140385393954796545e+00,1.704790349040402261e-02,5.799709508246746886e-03
6.000000000000000125e-03,5.999697989779081628e-03,5.181689809354143611e-05,3.155077286813017690e+00,1.767744975848080380e-02,5.999676527595255472e-03
6.200000000000000649e-03,6.199665603344083932e-03,5.541544289031202753e-05,3.169844482762230076e+00,1.830994193543832721e-02,6.199640997961285843e-03
6.400000000000000307e-03,6.399630895250914969e-03,5.914076094520221447e-05,3.184686111546435328e+00,1.894539499486919479e-02,6.399602804322269273e-03
6.599999999999999964e-03,6.599593773693396628e-03,6.299344430681980871e-05,3.199601277940800514e+00,1.958382373381791636e-02,6.599561829393128277e-03
6.800000000000000488e-03,6.799554145673621791e-03,6.697408789127593529e-05,3.214589061517667101e+00,2.022524276776376320e-02,6.799517953596457588e-03
7.000000000000000146e-03,6.999511916989923158e-03,7.108328944366773387e-05,3.229648516417621185e+00,2.086966652555729065e-02,6.999471055032904614e-03
7.200000000000000670e-03,7.199466992224899317e-03,7.532164949851560462e-05,3.244778671125879921e+00,2.151710924431163990e-02,7.199421009451750265e-03
7.400000000000000328e-03,7.399419274733498933e-03,7.968977133914608108e-05,3.259978528254212193e+00,2.216758496424964947e-02,7.399367690221714429e-03
7.599999999999999985e-03,7.599368666631173448e-03,8.418826095601150716e-05,3.275247064328621782e+00,2.282110752350793165e-02,7.599310968302030317e-03
7.800000000000000509e-03,7.799315068782095711e-03,8.881772700393804820e-05,3.290583229583081692e+00,2.347769055289910048e-02,7.799250712213782501e-03
8.000000000000000167e-03,7.999258380787462736e-03,9.357878075829371457e-05,3.305985947759518151e+00,2.413734747063336211e-02,7.999186788011550253e-03
8.200000000000000691e-03,8.199198500973876522e-03,9.847203607006832071e-05,3.321454115914299621e+00,2.480009147700074426e-02,8.199119059255384825e-03
8.400000000000001216e-03,8.399135326381815952e-03,1.034981093198578442e-04,3.336986604231504394e+00,2.546593554901532483e-02,8.399047386983122393e-03
8.600000000000000006e-03,8.599068752754200629e-03,1.086576193707455281e-04,3.352582255843168824e+00,2.613489243502279194e-02,8.598971629683095988e-03
8.800000000000000530e-03,8.798998674525064859e-03,1.139511875200726921e-04,3.368239886656810622e+00,2.680697464927278909e-02,8.798891643267241214e-03
9.000000000000001055e-03,8.998924984808327060e-03,1.193794374500924496e-04,3.383958285190459492e+00,2.748219446645751296e-02,8.998807281044629569e-03
9.199999999999999845e-03,9.198847575386687528e-03,1.249429951774997446e-04,3.399736212415428227e+00,2.816056391621810095e-02,9.198718393695473616e-03
9.400000000000000369e-03,9.398766336700635493e-03,1.306424890018314730e-04,3.415572401607116060e+00,2.884209477762035567e-02,9.398624829245621343e-03
9.600000000000000894e-03,9.598681157837589753e-03,1.364785494527310790e-04,3.431465558204061850e+00,2.952679857360147181e-02,9.598526433041543182e-03
9.799999999999999684e-03,9.798591926521174611e-03,1.424518092360718246e-04,3.447414359675534445e+00,3.021468656538943073e-02,9.798423047725917517e-03
1.000000000000000021e-02,9.998498529100634594e-03,1.485629031789338010e-04,3.463417455397860056e+00,3.090576974689676973e-02,9.998314513213724455e-03
1.020000000000000073e-02,1.019840085054039835e-02,1.548124681734299498e-04,3.479473466539816595e+00,3.160005883909054042e-02,1.019820066666901441e-02
1.040000000000000126e-02,1.039829877440979870e-02,1.612011431193765697e-04,3.495580985957285503e+00,3.229756428434025356e-02,1.039808134248226476e-02
1.060000000000000005e-02,1.059819218287296090e-02,1.677295688658044035e-04,3.511738578097432839e+00,3.299829624074572532e-02,1.059795637224844080e-02
1.080000000000000057e-02,1.079808095667885402e-02,1.743983881513068109e-04,3.527944778912684765e+00,3.370226457644674017e-02,1.079782558474574015e-02
1.100000000000000110e-02,1.099796497515152099e-02,1.812082455432218267e-04,3.544198095784742097e+00,3.440947886391648031e-02,1.099768880591506584e-02
1.119999999999999989e-02,1.119784411618050118e-02,1.881597873756452868e-04,3.560497007458874208e+00,3.511994837424084470e-02,1.119754585884030068e-02
1.140000000000000041e-02,1.139771825621144034e-02,1.952536616862728537e-04,3.576839963988758253e+00,3.583368207138561135e-02,1.139739656372933986e-02
1.160000000000000094e-02,1.159758727023690178e-02,2.024905181520690698e-04,3.593225386692098677e+00,3.655068860645369760e-02,1.159724073789597520e-02
1.179999999999999973e-02,1.179745103178738916e-02,2.098710080237619767e-04,3.609651668117284995e+00,3.727097631193463517e-02,1.179707819574267458e-02
1.200000000000000025e-02,1.199730941292258789e-02,2.173957840591625673e-04,3.626117172021314783e+00,3.799455319594849390e-02,1.199690874874421304e-02
1.220000000000000077e-02,1.219716228422282334e-02,2.250655004553084478e-04,3.642620233359247450e+00,3.872142693648655126e-02,1.219673220543227715e-02
1.240000000000000130e-02,1.239700951478076366e-02,2.328808127794319263e-04,3.659159158285410829e+00,3.945160487565101126e-02,1.239654837138104947e-02
1.260000000000000009e-02,1.259685097219335331e-02,2.408423778987528810e-04,3.675732224166596840e+00,4.018509401389621510e-02,1.259635704919376438e-02
1.280000000000000061e-02,1.279668652255400510e-02,2.489508539090977890e-04,3.692337679607497591e+00,4.092190100427362670e-02,1.279615803849034651e-02
1.300000000000000114e-02,1.299651603044504368e-02,2.572069000623461638e-04,3.708973744488589741e+00,4.166203214668323662e-02,1.299595113589610204e-02
1.319999999999999993e-02,1.319633935893041975e-02,2.656111766927068138e-04,3.725638610016704710e+00,4.240549338213376457e-02,1.319573613503155322e-02
1.340000000000000045e-02,1.339615636954869828e-02,2.741643451418264411e-04,3.742330438788530333e+00,4.315229028701429020e-02,1.339551282650339528e-02
1.360000000000000098e-02,1.359596692230632779e-02,2.828670676827336181e-04,3.759047364867203811e+00,4.390242806737986586e-02,1.359528099789667627e-02
1.380000000000000150e-02,1.379577087567120629e-02,2.917200074426223432e-04,3.775787493872282408e+00,4.465591155325381728e-02,1.379504043376817042e-02
1.400000000000000029e-02,1.399556808656654376e-02,3.007238283244791847e-04,3.792548903083254430e+00,4.541274519294936918e-02,1.399479091564104737e-02
1.420000000000000082e-02,1.419535841036503876e-02,3.098791949275590037e-04,3.809329641556804091e+00,4.617293304741337812e-02,1.419453222200081979e-02
1.440000000000000134e-02,1.439514170088337063e-02,3.191867724667145660e-04,3.826127730258040760e+00,4.693647878459486500e-02,1.439426412829263209e-02
1.460000000000000013e-02,1.459491781037701441e-02,3.286472266905867117e-04,3.842941162205904426e+00,4.770338567384126149e-02,1.459398640691993675e-02
1.480000000000000066e-02,1.479468658953540447e-02,3.382612237986609921e-04,3.859767902632878389e+00,4.847365658032513902e-02,1.479369882724456894e-02
1.500000000000000118e-02,1.499444788747742764e-02,3.480294303571987414e-04,3.876605889159245422e+00,4.924729395950434852e-02,1.499340115558827485e-02
1.519999999999999997e-02,1.519420155174728421e-02,3.579525132140501192e-04,3.893453031982058832e+00,5.002429985161847836e-02,1.519309315523573872e-02
1.540000000000000049e-02,1.539394742831070098e-02,3.680311394123577436e-04,3.910307214078984739e+00,5.080467587622457953e-02,1.539277458643909316e-02
1.560000000000000102e-02,1.559368536155151912e-02,3.782659761031602385e-04,3.927166291427155898e+00,5.158842322677519715e-02,1.559244520642404964e-02
1.580000000000000154e-02,1.579341519426866874e-02,3.886576904569053977e-04,3.944028093237255561e+00,5.237554266524163671e-02,1.579210476939757121e-02
