x,y
1.098354568663499342e-01,3.879044436539412499e-02
1.113817075115327154e-01,3.816103673702063437e-02
1.129329895197643541e-01,3.754413386043341239e-02
1.144892014191581653e-01,3.693977507548967809e-02
1.160502414928426124e-01,3.634799900043098053e-02
1.176160073989626492e-01,3.576884258569611175e-02
1.191863964974899659e-01,3.520234181907268972e-02
1.207613056811399077e-01,3.464853128477874550e-02
1.223406314719204524e-01,3.410744433244180390e-02
1.239242700654236418e-01,3.357911312097226764e-02
1.255121172627378934e-01,3.306356842239248361e-02
1.271040686033322320e-01,3.256083985794398783e-02
1.287000192856256331e-01,3.207095568145404418e-02
1.302998642475783619e-01,3.159394290245501336e-02
1.319034981829582398e-01,3.112982727197668303e-02
1.335108155202271718e-01,3.067863319626228102e-02
1.351217105106045646e-01,3.024038386883168283e-02
1.367360771844673972e-01,2.981510114133829187e-02
1.383538094072428171e-01,2.940280559220046636e-02
1.399748009088877254e-01,2.900351654146361008e-02
1.415989452635915968e-01,2.861725197379131475e-02
1.432261359598118455e-01,2.824402863149606813e-02
1.448562663892641322e-01,2.788386195655433164e-02
1.464892298670957271e-01,2.753676609276568821e-02
1.481249196832434556e-01,2.720275394293955248e-02
1.497632290857403015e-01,2.688183710596396547e-02
1.514040513165045565e-01,2.657402590859758024e-02
1.530472796490499610e-01,2.627932943929603415e-02
1.546928073770771073e-01,2.599775549972056440e-02
1.563405278503782192e-01,2.572931063832186588e-02
1.579903345080548305e-01,2.547400017859972887e-02
1.596421208724093377e-01,2.523182818445677406e-02
1.612957805790297128e-01,2.500279748654789941e-02
1.629512074086259532e-01,2.478690971123655162e-02
1.646082952895248086e-01,2.458416526462811613e-02
1.662669383173229209e-01,2.439456334576937252e-02
1.679270307811055185e-01,2.421810197093894612e-02
1.695884671847975866e-01,2.405477799145276652e-02
1.712511422500098690e-01,2.390458708602115345e-02
1.729149509412566954e-01,2.376752378849719682e-02
1.745797884850361081e-01,2.364358150797551961e-02
1.762455503886134756e-01,2.353275255026365809e-02
1.779121324451669039e-01,2.343502812259137119e-02
1.795794307544639201e-01,2.335039836282107317e-02
1.812473417379128482e-01,2.327885236306028588e-02
1.829157621537333134e-01,2.322037819606592723e-02
1.845845891094407554e-01,2.317496294091405187e-02
1.862537200689838857e-01,2.314259270500306290e-02
1.879230528673126455e-01,2.312325265929164250e-02
1.895924857204510094e-01,2.311692707117351392e-02
1.912619172343124618e-01,2.312359933966814940e-02
1.929312464122778237e-01,2.314325203326885252e-02
1.946003726623648511e-01,2.317586693175313628e-02
1.962691958001707704e-01,2.322142506771544476e-02
1.979376160519615846e-01,2.327990677356466670e-02
1.996055340567159386e-01,2.335129173280107301e-02
2.012728508654165194e-01,2.343555903398831380e-02
2.029394679381976430e-01,2.353268722862493501e-02
2.046052871391534356e-01,2.364265439316621739e-02
2.062702107285934727e-01,2.376543819545876707e-02
2.079341413525166993e-01,2.390101596586280408e-02
2.095969820290564667e-01,2.404936477334885386e-02
2.112586361316285410e-01,2.421046150686845255e-02
2.129190073684954498e-01,2.438428296231013453e-02
2.145779997584369714e-01,2.457080593536512328e-02
2.162355176021938385e-01,2.477000732063898078e-02
2.178914654493279701e-01,2.498186421735915444e-02
2.195457480601136768e-01,2.520635404204021879e-02
2.211982703620491986e-01,2.544345464848302846e-02
2.228489374005455104e-01,2.569314445549679415e-02
2.244976542833178046e-01,2.595540258274752626e-02
2.261443261179711950e-01,2.623020899515171242e-02
2.277888579417690629e-01,2.651754465588655046e-02
2.294311546434609494e-01,2.681739168890040492e-02
2.310711208788327475e-01,2.712973355306679685e-02
2.327086609743249657e-01,2.745455522455940434e-02
2.343436788214862954e-01,2.779184339080258137e-02
2.359760777607191884e-01,2.814158665589308606e-02
2.376057604534151657e-01,2.850377575800929972e-02
2.392326287407813279e-01,2.887840379893552578e-02
2.408565834884754953e-01,2.926546648655425215e-02
2.424775244226674842e-01,2.966496239462421830e-02
2.440953499437150953e-01,3.007689323298654016e-02
2.457099569246246062e-01,3.050126413427127481e-02
2.473212404913140150e-01,3.093808395681956619e-02
2.489290937801656167e-01,3.138736560344088794e-02
2.505334076798585441e-01,3.184912636067383646e-02
2.521340705485064504e-01,3.232338825578819075e-02
2.537309679012400565e-01,3.281017843204744183e-02
2.553239820722578157e-01,3.330952954593748710e-02
2.569129918459895356e-01,3.382148018642347487e-02
2.584978720541949437e-01,3.434607531764877209e-02
2.600784931446611381e-01,3.488336674802915843e-02
2.616547207021972521e-01,3.543341362365048930e-02
2.632264149286068777e-01,3.599628295047603566e-02
2.647934300757134318e-01,3.657205014653856778e-02
2.663556138262380690e-01,3.716079962591143510e-02
2.679128066172102862e-01,3.776262541649743482e-02
2.694648408999289479e-01,3.837763181381148581e-02
2.710115403297442827e-01,3.900593407306102156e-02
2.725527188780695886e-01,3.964765914195422791e-02
2.740881798580494522e-01,4.030294643677514999e-02
2.756177148541811839e-01,4.097194866435671656e-02
2.771411025448857757e-01,4.165483269264361882e-02
2.786581074055198837e-01,4.235178047255386269e-02
2.801684782775800686e-01,4.306299001381028863e-02
2.816719467878134320e-01,4.378867641729470433e-02
2.831682256119765762e-01,4.452907296259158570e-02
2.846570065462811772e-01,4.528443225573595965e-02
2.861379583325062148e-01,4.605502744810874988e-02
2.876107243444168127e-01,4.684115348726830552e-02
2.890749198736429770e-01,4.764312846529769607e-02
2.905301292683341030e-01,4.846129497538541331e-02
2.919759026226925736e-01,4.929602155030998745e-02
2.934117521432444420e-01,5.014770412114278458e-02
2.948371481148708284e-01,5.101676748858491317e-02
2.962515143754326230e-01,5.190366679899521829e-02
2.976542233019694450e-01,5.280888897465273180e-02
2.990445901799133610e-01,5.373295408084364372e-02
3.004218669854726853e-01,5.467641654152492758e-02
3.017852354919161040e-01,5.563986613895353928e-02
3.031337995991615353e-01,5.662392871465778132e-02
3.044665768823774932e-01,5.762926642851545767e-02
3.057824893343304984e-01,5.865657740962380851e-02
3.070803532437594296e-01,5.970659460775113586e-02
3.083588683712572553e-01,6.078008354147156067e-02
3.096166062651768414e-01,6.187783870087494587e-02
3.108519981388715436e-01,6.300067812821641411e-02
3.120633223966924330e-01,6.414943577002950315e-02
3.132486925382134690e-01,6.532495096569979065e-02
3.144060456539601311e-01,6.652805458786634207e-02
3.155331327961648502e-01,6.775955106065578715e-02
3.166275125769276721e-01,6.902019557345197287e-02
3.176865491603443892e-01,7.031066604895461203e-02
3.187074171777138920e-01,7.163152937070832449e-02
3.196871161848361398e-01,7.298320185939141669e-02
3.206224967771479362e-01,7.436590482942789793e-02
3.215103022386631704e-01,7.577961646665291873e-02
3.223472270745573187e-01,7.722402302312957045e-02
3.231299954031653376e-01,7.869847284975096946e-02
3.238554573667458136e-01,8.020193894886057384e-02
3.245206984042247056e-01,8.173299718978495332e-02
3.251231786239218158e-01,8.328981665728582562e-02
3.256608238030906377e-01,8.487019548868786345e-02
3.261321696109462098e-01,8.647159785686567290e-02
3.265364342581486001e-01,8.809123686028673406e-02
3.268735743527100279e-01,8.972617059099403936e-02
3.271442957566398357e-01,9.137341059632081430e-02
3.273500193066405384e-01,9.303003093272527169e-02
3.274928061318994610e-01,9.469326651520409976e-02
3.275752523558758678e-01,9.636059170273503227e-02
3.276003647564578181e-01,9.802977441418625482e-02
3.275714307898170419e-01,9.969890438149439649e-02
3.274918940879785190e-01,1.013663979706481560e-01
3.273652436467333615e-01,1.030309842283370636e-01
3.271949220441440764e-01,1.046916775781899789e-01
3.269842540864498770e-01,1.063477428626130317e-01
3.267363959189943934e-01,1.079986571891737579e-01
3.264543021213399676e-01,1.096440722902637666e-01
3.261407082347973496e-01,1.112837796636746840e-01
3.257981255129848153e-01,1.129176799081323679e-01
3.254288449162836550e-01,1.145457568391538700e-01
3.250349477883203164e-01,1.161680564098997448e-01
3.246183210675128716e-01,1.177846701315598266e-01
3.241806753052234313e-01,1.193957225090548496e-01
3.237235641972713296e-01,1.210013619313357741e-01
3.232484047363602953e-01,1.226017544555808164e-01
3.227564973580558938e-01,1.241970799764836597e-01
3.222490456870823472e-01,1.257875303378742926e-01
3.217271756614952238e-01,1.273733090150947211e-01
3.211919539981716865e-01,1.289546320665894974e-01
3.206444060088400327e-01,1.305317301172231881e-01
3.200855328342072648e-01,1.321048511808790848e-01
3.195163282427960216e-01,1.336742641683926758e-01
3.189377951420108714e-01,1.352402629517591159e-01
3.183509618964150967e-01,1.368031708503062160e-01
3.177568986051046429e-01,1.383633454088786519e-01
3.171567334022218909e-01,1.399211833072104283e-01
3.165516687447259558e-01,1.414771251790683526e-01
3.159429976919614358e-01,1.430316601005902633e-01
3.153321198793291313e-01,1.445853293656940430e-01
3.147205569722980600e-01,1.461387291543905509e-01
3.141099669630556535e-01,1.476925115091098362e-01
3.135021567304022705e-01,1.492473830397530177e-01
3.128990917866714128e-01,1.508041006016306862e-01
3.123029020768250952e-01,1.523634632364310459e-01
3.117158823764007991e-01,1.539262996809319106e-01
3.111404855745059650e-01,1.554934508869911247e-01
3.105793071149854367e-01,1.570657473352784494e-01
3.100350588828579834e-01,1.586439813844948143e-01
3.095105311684174243e-01,1.602288755597084946e-01
3.090085420809885464e-01,1.618210484758662582e-01
3.085318746904356924e-01,1.634209809035343519e-01
3.080832039917738019e-01,1.650289851926136642e-01
3.076650170253492078e-01,1.666451815981248585e-01
3.072795315110298242e-01,1.682694848837342216e-01
3.069286194469731388e-01,1.699016036998587942e-01
3.066137423884917057e-01,1.715410538589314804e-01
3.063359047844801397e-01,1.731871846964821993e-01
3.060956296640400254e-01,1.748392159974911375e-01
