mode,coefficient_amplitude,width_gradient_amplitude
1.000000000000000000e+00,1.752831436060612036e-01,9.144585771670588059e-02
2.000000000000000000e+00,1.871869148571724706e+00,4.592945545693352671e-02
3.000000000000000000e+00,6.849218045116072240e-01,7.110721294808190762e-02
4.000000000000000000e+00,5.900131772574664923e-01,4.308340090198946315e-02
5.000000000000000000e+00,1.020979535765540902e+00,2.013733027800911415e-02
6.000000000000000000e+00,7.376230087523414358e-01,6.375576692861299744e-02
7.000000000000000000e+00,3.624724126721213802e-01,1.526247242681575550e-02
8.000000000000000000e+00,6.599102604228426205e-01,3.848096126032610198e-02
9.000000000000000000e+00,3.692126100251251208e-01,1.842720214713496063e-02
1.000000000000000000e+01,5.090774291305673049e-01,3.369055583539581900e-02
