mode,cos_coefficient,sin_coefficient
1.000000000000000000e+00,6.350455349918801007e-01,-2.050795883084244320e-02
2.000000000000000000e+00,1.924651608269969838e+00,-1.837989584036291424e-01
3.000000000000000000e+00,-6.063925425080317622e-01,4.106616098061310893e-01
4.000000000000000000e+00,-4.585353100185756703e-01,4.258644312084325367e-01
5.000000000000000000e+00,6.616472341198955665e-01,6.710613979258753803e-01
6.000000000000000000e+00,1.584665355162377942e-01,-5.036445365424033760e-01
7.000000000000000000e+00,-1.295288555717933610e-01,2.007448214222509186e-01
8.000000000000000000e+00,-4.353646510488307780e-02,7.036393643662658404e-01
9.000000000000000000e+00,5.795260273171406462e-01,1.889244304120746842e-01
1.000000000000000000e+01,2.222015578952394599e-01,-6.390733383095323905e-01
1.100000000000000000e+01,-4.026669694904980723e-01,8.736491534616500076e-02
1.200000000000000000e+01,4.293630526923377516e-02,-1.040975176140467862e-01
