x,y
-9.563094847410810728e-02,7.339832241295982662e-01
-9.525359069012510893e-02,7.343112463829437608e-01
-9.487414846324840334e-02,7.346368550670835385e-01
-9.449260610198056964e-02,7.349600001856158027e-01
-9.410894896501327545e-02,7.352806315380938651e-01
-9.372316348700721056e-02,7.355986987469480543e-01
-9.333523720296892090e-02,7.359141512848177413e-01
-9.294515877120079761e-02,7.362269385022689461e-01
-9.255291799480586112e-02,7.365370096558757629e-01
-9.215850584173250482e-02,7.368443139366450678e-01
-9.176191446334938662e-02,7.371488004987631903e-01
-9.136313721154443179e-02,7.374504184886480074e-01
-9.096216865434546273e-02,7.377491170742868087e-01
-9.055900459006364922e-02,7.380448454748471665e-01
-9.015364205996417857e-02,7.383375529905434886e-01
-8.974607935947116755e-02,7.386271890327485989e-01
-8.933631604791655856e-02,7.389137031543387968e-01
-8.892435295684483765e-02,7.391970450802607395e-01
-8.851019219688721629e-02,7.394771647383150404e-01
-8.809383716322069513e-02,7.397540122901451465e-01
-8.767529253962814961e-02,7.400275381624304982e-01
-8.725456430117710382e-02,7.402976930782741993e-01
-8.683165971553467866e-02,7.405644280887864195e-01
-8.640658734293704679e-02,7.408276946048560907e-01
-8.597935703483153280e-02,7.410874444291132290e-01
-8.554997993120878885e-02,7.413436297880763304e-01
-8.511846845664278183e-02,7.415962033644866169e-01
-8.468483631505459297e-02,7.418451183298265805e-01
-8.424909848321573969e-02,7.420903283770218239e-01
-8.381127120300534139e-02,7.423317877533258669e-01
-8.337137197243395248e-02,7.425694512933839198e-01
-8.292941953544583078e-02,7.428032744524750708e-01
-8.248543387050960574e-02,7.430332133399275563e-01
-8.203943617800571464e-02,7.432592247527021190e-01
-8.159144886641749028e-02,7.434812662091381252e-01
-8.114149553733109033e-02,7.436992959828514493e-01
-8.068960096924790437e-02,7.439132731367761320e-01
-8.023579110021120120e-02,7.441231575573347135e-01
-7.978009300924811253e-02,7.443289099887228089e-01
-7.932253489662562107e-02,7.445304920672892735e-01
-7.886314606291912332e-02,7.447278663559901979e-01
-7.840195688689041709e-02,7.449209963788916422e-01
-7.793899880217142195e-02,7.451098466556944633e-01
-7.747430427274940024e-02,7.452943827362465967e-01
-7.700790676724933448e-02,7.454745712350097087e-01
-7.653984073200847948e-02,7.456503798654386950e-01
-7.607014156293931406e-02,7.458217774742309514e-01
-7.559884557617696510e-02,7.459887340753972307e-01
-7.512598997750845331e-02,7.461512208841024618e-01
-7.465161283058271979e-02,7.463092103502189101e-01
-7.417575302390129466e-02,7.464626761915326147e-01
-7.369845023659236938e-02,7.466115934265368237e-01
-7.321974490297306071e-02,7.467559384067444794e-01
-7.273967817590737406e-02,7.468956888484469259e-01
-7.225829188897080202e-02,7.470308238638410092e-01
-7.177562851743601868e-02,7.471613239914457472e-01
-7.129173113809798845e-02,7.472871712257238563e-01
-7.080664338796108237e-02,7.474083490458217627e-01
-7.032040942181540244e-02,7.475248424433378336e-01
-6.983307386873466305e-02,7.476366379490282377e-01
-6.934468178753276646e-02,7.477437236583546198e-01
-6.885527862122194087e-02,7.478460892557788897e-01
-6.836491015052108267e-02,7.479437260377084229e-01
-6.787362244646848175e-02,7.480366269339933094e-01
-6.738146182219927061e-02,7.481247865278788378e-01
-6.688847478395426593e-02,7.482082010743156264e-01
-6.639470798139253394e-02,7.482868685165315892e-01
-6.590020815728658832e-02,7.483607885007704796e-01
-6.540502209668498657e-02,7.484299623891057518e-01
-6.490919657563336276e-02,7.484943932702389224e-01
-6.441277830955008388e-02,7.485540859681976134e-01
-6.391581390135937790e-02,7.486090470488510062e-01
-6.341834978948901469e-02,7.486592848241655496e-01
-6.292043219584544933e-02,7.487048093541285310e-01
-6.242210707388333446e-02,7.487456324462758994e-01
-6.192342005689091544e-02,7.487817676527626087e-01
-6.142441640661606278e-02,7.488132302649249672e-01
-6.092514096236113091e-02,7.488400373052906955e-01
-6.042563809067699049e-02,7.488622075170000558e-01
-5.992595163578868372e-02,7.488797613506106288e-01
-5.942612487088612394e-02,7.488927209482674208e-01
-5.892620045041378762e-02,7.489011101252294189e-01
-5.842622036349293807e-02,7.489049543487522609e-01
-5.792622588860888572e-02,7.489042807143386771e-01
-5.742625754969386820e-02,7.488991179193768000e-01
-5.692635507373348253e-02,7.488894962341959838e-01
-5.642655735002102824e-02,7.488754474705837660e-01
-5.592690239117990847e-02,7.488570049478121549e-01
-5.542742729606926072e-02,7.488342034562363025e-01
-5.492816821468177874e-02,7.488070792185369529e-01
-5.442916031513671260e-02,7.487756698486858209e-01
-5.393043775286322783e-02,7.487400143087258320e-01
-5.343203364206164374e-02,7.487001528634641412e-01
-5.293398002952148795e-02,7.486561270331866247e-01
-5.243630787086636658e-02,7.486079795445085283e-01
-5.193904700928562990e-02,7.485557542794848418e-01
-5.144222615680350830e-02,7.484994962231102944e-01
-5.094587287812531173e-02,7.484392514093453075e-01
-5.045001357709023165e-02,7.483750668658083471e-01
-4.995467348574909178e-02,7.483069905572830027e-01
-4.945987665607468053e-02,7.482350713281871180e-01
-4.896564595430102224e-02,7.481593588441599607e-01
-4.847200305787743857e-02,7.480799035329220859e-01
-4.797896845501183755e-02,7.479967565245642103e-01
-4.748656144676766805e-02,7.479099695914243062e-01
-4.699480015166802166e-02,7.478195950877110088e-01
-4.650370151275089181e-02,7.477256858890285462e-01
-4.601328130700971242e-02,7.476282953319600688e-01
-4.552355415714420817e-02,7.475274771538622520e-01
-4.503453354553833832e-02,7.474232854330190579e-01
-4.454623183037379613e-02,7.473157745293035337e-01
-4.405866026378051775e-02,7.472049990254862051e-01
-4.357182901191901381e-02,7.470910136693276193e-01
-4.308574717688330724e-02,7.469738733165866007e-01
-4.260042282030842425e-02,7.468536328750662312e-01
-4.211586298856179189e-02,7.467303472498182382e-01
-4.163207373939454420e-02,7.466040712896144793e-01
-4.114906016992576909e-02,7.464748597347899972e-01
-4.066682644583103495e-02,7.463427671665538998e-01
-4.018537583160498861e-02,7.462078479578539980e-01
-3.970471072176780247e-02,7.460701562258783559e-01
-3.922483267288510989e-02,7.459297457862622549e-01
-3.874574243627258718e-02,7.457866701090659634e-01
-3.826743999125756246e-02,7.456409822765779349e-01
-3.778992457887278555e-02,7.454927349429907313e-01
-3.731319473586023477e-02,7.453419802959879714e-01
-3.683724832886638156e-02,7.451887700202737275e-01
-3.636208258871446997e-02,7.450331552630672372e-01
-3.588769414464382940e-02,7.448751866015781431e-01
-3.541407905841087445e-02,7.447149140124709188e-01
-3.494123285815226715e-02,7.445523868433182590e-01
-3.446915057191562298e-02,7.443876537860389941e-01
-3.399782676076948396e-02,7.442207628523066498e-01
-3.352725555141002067e-02,7.440517613509116668e-01
-3.305743066818801756e-02,7.438806958670517444e-01
-3.258834546448638458e-02,7.437076122435213321e-01
-3.211999295338396898e-02,7.435325555637657402e-01
-3.165236583754868493e-02,7.433555701367599022e-01
-3.118545653830842590e-02,7.431766994836689344e-01
-3.071925722385487889e-02,7.429959863262433073e-01
-3.025375983654142453e-02,7.428134725768968938e-01
-2.978895611924189946e-02,7.426291993304158234e-01
-2.932483764074311772e-02,7.424432068572404120e-01
-2.886139582014947413e-02,7.422555345982619901e-01
-2.839862195028312886e-02,7.420662211610744574e-01
-2.793650722006857379e-02,7.418753043176181672e-01
-2.747504273589487789e-02,7.416828210031533031e-01
-2.701421954195389052e-02,7.414888073164979110e-01
-2.655402863955637349e-02,7.412932985214676362e-01
-2.609446100543245939e-02,7.410963290494497757e-01
-2.563550760902606751e-02,7.408979325030501384e-01
-2.517715942879662772e-02,7.406981416607446578e-01
-2.471940746754429374e-02,7.404969884824745829e-01
-2.426224276677742264e-02,7.402945041161206330e-01
-2.380565642014403904e-02,7.400907189047939427e-01
-2.334963958595055733e-02,7.398856623948838473e-01
-2.289418349879340786e-02,7.396793633448002225e-01
-2.243927948033067055e-02,7.394718497343556463e-01
-2.198491894922201262e-02,7.392631487747268748e-01
-2.153109343026671230e-02,7.390532869189435639e-01
-2.107779456277010521e-02,7.388422898728500554e-01
-2.062501410816963698e-02,7.386301826064884946e-01
-2.017274395695217715e-02,7.384169893658547590e-01
-1.972097613489441625e-02,7.382027336849800170e-01
-1.926970280865848706e-02,7.379874383982918395e-01
-1.881891629077449279e-02,7.377711256532137885e-01
-1.836860904404197248e-02,7.375538169229600705e-01
-1.791877368538154214e-02,7.373355330194883983e-01
-1.746940298916760392e-02,7.371162941065748653e-01
-1.702048989007261259e-02,7.368961197129735297e-01
-1.657202748545243132e-02,7.366750287456320656e-01
-1.612400903730196178e-02,7.364530395029306176e-01
-1.567642797380888742e-02,7.362301696879163249e-01
-1.522927789053299397e-02,7.360064364215079813e-01
-1.478255255123725465e-02,7.357818562556455166e-01
-1.433624588839617353e-02,7.355564451863624287e-01
-1.389035200340540954e-02,7.353302186667616258e-01
-1.344486516651631491e-02,7.351031916198733640e-01
-1.299977981651749548e-02,7.348753784513822884e-01
-1.255509056018445924e-02,7.346467930622032627e-01
-1.211079217151767029e-02,7.344174488608981033e-01
-1.166687959078799297e-02,7.341873587759153441e-01
