s,x,y,kappa,theta,radial_dot
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256262851031258521e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-04,4.999949916449041281e-04,1.582451409788533161e-06,1.275676312453525973e+01,6.329847908711959403e-03,4.999949916449041281e-04
1.000000000000000021e-03,9.999696428528315889e-04,6.353915951391213395e-06,1.294943920098705448e+01,1.275639849009253465e-02,9.999693344604659081e-04
1.500000000000000031e-03,1.499902844372991888e-03,1.436235467987882246e-05,1.314055329689515794e+01,1.927889661456308468e-02,1.499900987369544606e-03
2.000000000000000042e-03,1.999772562191012414e-03,2.565519074336078734e-05,1.333000533184748093e+01,2.589653627174873934e-02,1.999766351658341379e-03
2.500000000000000052e-03,2.499555835852504057e-03,4.027927214584036677e-05,1.351769863169815089e+01,3.260846226263514058e-02,2.499540262351304925e-03
3.000000000000000062e-03,2.999228778112224877e-03,5.828083512585652108e-05,1.370353995249997681e+01,3.941377190868466246e-02,2.999195983429910495e-03
3.500000000000000073e-03,3.498766575911209722e-03,7.970546818389762599e-05,1.388743948490163049e+01,4.631151676803506312e-02,3.498705206914788212e-03
4.000000000000000083e-03,3.998143492681382680e-03,1.045980767877249861e-04,1.406931083955950434e+01,5.330070434915034489e-02,3.998038055817837964e-03
4.500000000000000527e-03,4.497332871974554780e-03,1.330028487809383679e-04,1.424907101421901601e+01,6.038029981259497581e-02,4.497163090959285445e-03
5.000000000000000104e-03,4.996307142410306816e-03,1.649632205163806405e-04,1.442664034321664879e+01,6.754922765195388312e-02,4.996047321633998069e-03
5.499999999999999681e-03,5.495037823935121010e-03,2.005218437323426188e-04,1.460194243024354677e+01,7.480637334531892169e-02,5.494656220102136709e-03
6.000000000000000125e-03,5.993495535383188896e-03,2.397205531860170560e-04,1.477490406529173406e+01,8.215058496920273068e-02,5.992953739871020001e-03
6.500000000000000569e-03,6.491650003327687803e-03,2.826003350552909509e-04,1.494545512677594878e+01,8.958067476721966182e-02,6.490902337728382369e-03
7.000000000000000146e-03,6.989470072209893678e-03,3.292012961167805588e-04,1.511352846988789622e+01,9.709542066638561508e-02,6.988462999481648459e-03
7.499999999999999722e-03,7.486923715732335741e-03,3.795626337050246081e-04,1.527905980229500393e+01,1.046935677344313365e-01,7.485595269353621274e-03
8.000000000000000167e-03,7.983978049501268617e-03,4.337226064549816028e-04,1.544198754834180143e+01,1.123738295720905361e-01,7.982257282981975940e-03
8.500000000000000611e-03,8.480599344903052422e-03,4.917185058274450718e-04,1.560225270295109112e+01,1.201348896349137690e-01,8.478405803968124335e-03
9.000000000000001055e-03,8.976753044198548109e-03,5.535866284147113354e-04,1.575979867645211563e+01,1.279754024797645773e-01,8.973996263920289845e-03
9.499999999999999764e-03,9.472403776819387361e-03,6.193622490218240323e-04,1.591457113158592662e+01,1.358939949317740647e-01,9.468982805935954178e-03
1.000000000000000021e-02,9.967515376849882605e-03,6.890795945169927040e-04,1.606651781395349587e+01,1.438892671681589186e-01,9.963318331470025560e-03
1.050000000000000065e-02,1.046205090167844597e-02,7.627718184433397719e-04,1.621558837718004398e+01,1.519597937159423151e-01,1.045695455053712898e-02
1.099999999999999936e-02,1.095597265180267045e-02,8.404709763830019642e-04,1.636173420407182988e+01,1.601041243612552345e-01,1.094984203519913137e-02
1.149999999999999981e-02,1.144924219177258402e-02,9.222080020637737300e-04,1.650490822503590138e+01,1.683207849685321722e-01,1.144193027629226284e-02
1.200000000000000025e-02,1.194182037225707121e-02,1.008012684197957375e-03,1.664506473502433082e+01,1.766082782085472425e-01,1.193316774335183295e-02
1.250000000000000069e-02,1.243366735321910915e-02,1.097913644042878330e-03,1.678215921024790092e+01,1.849650841948653202e-01,1.242350194769653408e-02
1.300000000000000114e-02,1.292474262818602004e-02,1.191938313672615251e-03,1.691614812588459671e+01,1.933896610288984574e-01,1.291287950863825168e-02
1.349999999999999985e-02,1.341500504960170537e-02,1.290112914950899059e-03,1.704698877598265838e+01,2.018804452543652428e-01,1.340124622278736355e-02
1.400000000000000029e-02,1.390441285524845159e-02,1.392462439195838678e-03,1.717463909672894218e+01,2.104358522225431571e-01,1.388854713642718487e-02
1.450000000000000074e-02,1.439292369572660324e-02,1.499010627528121102e-03,1.729905749422088945e+01,2.190542763702806039e-01,1.437472662093468995e-02
1.499999999999999944e-02,1.488049466298101836e-02,1.609779951895616134e-03,1.742020267784377197e+01,2.277340914132967575e-01,1.485972845122744343e-02
1.549999999999999989e-02,1.536708231986379236e-02,1.724791596768856594e-03,1.753803350031536112e+01,2.364736504578365539e-01,1.534349588721893587e-02
1.600000000000000033e-02,1.585264273072313837e-02,1.844065441503658486e-03,1.765250880541896805e+01,2.452712860342701473e-01,1.582597175826582284e-02
1.650000000000000078e-02,1.633713149300872539e-02,1.967620043369197342e-03,1.776358728440002110e+01,2.541253100567248957e-01,1.630709855059105789e-02
1.700000000000000122e-02,1.682050376988391757e-02,2.095472621242100864e-03,1.787122734195521545e+01,2.630340137133136968e-01,1.678681849766612902e-02
1.750000000000000167e-02,1.730271432383537200e-02,2.227639039969576268e-03,1.797538697269397900e+01,2.719956672919759955e-01,1.726507367353382824e-02
1.800000000000000211e-02,1.778371755127030468e-02,2.364133795407229264e-03,1.807602364890073687e+01,2.810085199473746909e-01,1.774180608904961376e-02
1.849999999999999908e-02,1.826346751809132529e-02,2.504970000140009125e-03,1.817309422037418543e+01,2.900707994146933810e-01,1.821695779101509260e-02
1.899999999999999953e-02,1.874191799623814089e-02,2.650159369897638149e-03,1.826655482706415867e+01,2.991807116765529684e-01,1.869047096417082027e-02
1.949999999999999997e-02,1.921902250118450589e-02,2.799712210678875161e-03,1.835636082517142498e+01,3.083364405896118488e-01,1.916228803600792535e-02
