x,y
3.897400091497253000e-02,3.541166707171086725e-02
4.050758874520118263e-02,3.475201188500094684e-02
4.204775547459177476e-02,3.410786667376473208e-02
4.359434369904033324e-02,3.347929569626041657e-02
4.514719515078317175e-02,3.286636097026272851e-02
4.670615070577755629e-02,3.226912215513006582e-02
4.827105036885720457e-02,3.168763639851930602e-02
4.984173335710425506e-02,3.112195839651364648e-02
5.141803816226164087e-02,3.057214040534381866e-02
5.299980260685673017e-02,3.003823223910122991e-02
5.458686386108006078e-02,2.952028119172646348e-02
5.617905851261782713e-02,2.901833206691681669e-02
5.777622262200783620e-02,2.853242717843392645e-02
5.937819177851128005e-02,2.806260635176963114e-02
6.098480113097454192e-02,2.760890688118257733e-02
6.259588544998745396e-02,2.717136354724846228e-02
6.421127918055161143e-02,2.675000861732109228e-02
6.583081649833535942e-02,2.634487185341698526e-02
6.745433135111407463e-02,2.595598049581262709e-02
6.908165750988863596e-02,2.558335926596146115e-02
7.071262862329227850e-02,2.522703037642689064e-02
7.234707826787449558e-02,2.488701353531927798e-02
7.398483999973534675e-02,2.456332595469190930e-02
7.562574740310001875e-02,2.425598235578005010e-02
7.726963413609884423e-02,2.396499497201636658e-02
7.891633398297683011e-02,2.369037356419927132e-02
8.056568090265499305e-02,2.343212543169807122e-02
8.221750907676277087e-02,2.319025542484224461e-02
8.387165295715448554e-02,2.296476595855151751e-02
8.552794731287301222e-02,2.275565702717713759e-02
8.718622727652720894e-02,2.256292622052850222e-02
8.884632839024668438e-02,2.238656874132683924e-02
9.050808665028965694e-02,2.222657742282173332e-02
9.217133855159015399e-02,2.208294274839467386e-02
9.383592113168995330e-02,2.195565287233569585e-02
9.550167201368565950e-02,2.184469364130842833e-02
9.716842944840602125e-02,2.175004861681275117e-02
9.883603235579420387e-02,2.167169909861153126e-02
1.005043203654472916e-01,2.160962414905763865e-02
1.021731338559004887e-01,2.156380061782132637e-02
1.038423139938926820e-01,2.153420316852606292e-02
1.055117027724044171e-01,2.152080430575580364e-02
1.071811430476453941e-01,2.152357440267038680e-02
1.088504785752252568e-01,2.154248172949341233e-02
1.105195540453965536e-01,2.157749248271752934e-02
1.121882151173588110e-01,2.162857081499051579e-02
1.138563084513811163e-01,2.169567886433836426e-02
1.155236817395434434e-01,2.177877678369753364e-02
1.171901837425825821e-01,2.187782277845341100e-02
1.188556643178574901e-01,2.199277313594001637e-02
1.205199744467583822e-01,2.212358225613879348e-02
1.221829662592825577e-01,2.227020268127446329e-02
1.238444930723858056e-01,2.243258514031077483e-02
1.255044094099368179e-01,2.261067857638151407e-02
1.271625710202350656e-01,2.280443017396774352e-02
1.288188349170927005e-01,2.301378540930417577e-02
1.304730593893909663e-01,2.323868807237641429e-02
1.321251040258417109e-01,2.347908030464509674e-02
1.337748297451890889e-01,2.373490264215347492e-02
1.354220987992056369e-01,2.400609403616509041e-02
1.370667748135487585e-01,2.429259190729888759e-02
1.387087227829031932e-01,2.459433216197858679e-02
1.403478091105377079e-01,2.491124924669051860e-02
1.419839016056214653e-01,2.524327616858417292e-02
1.436168695099029613e-01,2.559034454062214178e-02
1.452465835118584569e-01,2.595238461717116682e-02
1.468729157497326021e-01,2.632932532231407885e-02
1.484957398384375016e-01,2.672109429643497805e-02
1.501149308721685949e-01,2.712761792539569033e-02
1.517303654337743835e-01,2.754882137556546873e-02
1.533419216090631254e-01,2.798462863264190859e-02
1.549494789975489062e-01,2.843496253818847755e-02
1.565529187141805056e-01,2.889974482076928738e-02
1.581521233990730857e-01,2.937889613282361478e-02
1.597469772245876940e-01,2.987233608601414653e-02
1.613373659006786809e-01,3.037998328574383067e-02
1.629231766794683456e-01,3.090175536544825796e-02
1.645042983590689900e-01,3.143756902064268749e-02
1.660806212866686171e-01,3.198734004270322590e-02
1.676520373609011461e-01,3.255098335236355361e-02
1.692184400335199068e-01,3.312841303290816469e-02
1.707797243103941209e-01,3.371954236304539748e-02
1.723357867518491016e-01,3.432428384944281874e-02
1.738865254723699627e-01,3.494254925890966090e-02
1.754318401396912086e-01,3.557424965021087349e-02
1.769716319732921039e-01,3.621929540549849447e-02
1.785058037417635024e-01,3.687759626111457301e-02
1.800342597562934743e-01,3.754906133668651363e-02
1.815569058737721286e-01,3.823359916807551190e-02
1.830736494917416801e-01,3.893111773649609447e-02
1.845843995384780500e-01,3.964152449571110848e-02
1.860890664688118201e-01,4.036472640140827822e-02
1.875875622688678024e-01,4.110062994321988378e-02
1.890798004320688175e-01,4.184914116630794600e-02
1.905656959699326691e-01,4.261016570488448951e-02
1.920451653936321446e-01,4.338360880529058133e-02
1.935181267114325920e-01,4.416937535417889138e-02
1.949844994186191172e-01,4.496736990387673050e-02
1.964442044935905407e-01,4.577749669918282360e-02
1.978971643787062196e-01,4.659965969961714360e-02
1.993433029888151131e-01,4.743376260865789923e-02
2.007825456821871468e-01,4.827970889277859168e-02
2.022148192620398799e-01,4.913740180805339225e-02
2.036400519701455913e-01,5.000674442394050651e-02
2.050581734650596955e-01,5.088763964343365892e-02
2.064691148175780977e-01,5.177999022668237916e-02
2.078728085003707926e-01,5.268369881277119859e-02
2.092691883775127382e-01,5.359866794100739962e-02
2.106581896910231511e-01,5.452480007128049366e-02
2.120397490486258252e-01,5.546199760427911879e-02
2.134138044132798673e-01,5.641016290152209289e-02
2.147802950910312758e-01,5.736919830465889159e-02
2.161391617187287395e-01,5.833900615431454606e-02
2.174903462516195318e-01,5.931948880847851685e-02
2.188337919508435980e-01,6.031054866043811941e-02
2.201694433708409893e-01,6.131208815625627251e-02
