mode,cos_coefficient,sin_coefficient
1.000000000000000000e+00,4.094978874312480421e-01,1.057522722164866563e-01
2.000000000000000000e+00,1.821007522918933530e+00,-1.892313402169896186e-01
3.000000000000000000e+00,-4.489403284808043959e-01,1.979979809878391062e-01
4.000000000000000000e+00,-4.022838896397077368e-01,2.702497121244782363e-01
5.000000000000000000e+00,7.388225008594055954e-01,7.390536239249907435e-01
6.000000000000000000e+00,2.799566301425021053e-01,-4.689763498432302780e-01
7.000000000000000000e+00,-2.123419663687064196e-01,1.414710418284391424e-01
8.000000000000000000e+00,-8.732545900018312546e-02,5.308325261802806505e-01
9.000000000000000000e+00,4.301159889300977257e-01,8.562623934585586460e-02
1.000000000000000000e+01,1.954840690944212034e-01,-3.254642158411499286e-01
1.100000000000000000e+01,-9.080574828924736774e-02,1.419996242025715893e-01
1.200000000000000000e+01,1.004064833993042333e-01,-5.004598684854782292e-02
1.300000000000000000e+01,1.882853067526630078e-02,-1.092538509178677397e-01
1.400000000000000000e+01,1.952369967305242482e-02,1.359214968334697404e-02
