x,y
2.046233831410710913e-01,6.317162345502417287e-01
2.050563717090685689e-01,6.314086238185303568e-01
2.054887823340939557e-01,6.311009233946907049e-01
2.059206281693435892e-01,6.307931313346037960e-01
2.063519223765792332e-01,6.304852454386730143e-01
2.067826781114927848e-01,6.301772632611829517e-01
2.072129085104330581e-01,6.298691821189870144e-01
2.076426266780926899e-01,6.295609990997790284e-01
2.080718456767266800e-01,6.292527110695033121e-01
2.085005785162105663e-01,6.289443146793687323e-01
2.089288381453876797e-01,6.286358063721143585e-01
2.093566374446176326e-01,6.283271823875536954e-01
2.097839892190833944e-01,6.280184387676950308e-01
2.102109061934313849e-01,6.277095713609892602e-01
2.106374010073366609e-01,6.274005758259740828e-01
2.110634862118262178e-01,6.270914476344118249e-01
2.114891742668951469e-01,6.267821820735036686e-01
2.119144775396240576e-01,6.264727742477353978e-01
2.123394083035348434e-01,6.261632190797896680e-01
2.127639787384601466e-01,6.258535113110353931e-01
2.131882009313440796e-01,6.255436455012646224e-01
2.136120868777977022e-01,6.252336160277862653e-01
2.140356484844130880e-01,6.249234170838510183e-01
2.144588975716072710e-01,6.246130426765594823e-01
2.148818458773662232e-01,6.243024866239585968e-01
2.153045050614180445e-01,6.239917425516563476e-01
2.157268867101540810e-01,6.236808038887001748e-01
2.161490023420372386e-01,6.233696638628953846e-01
2.165708634136195854e-01,6.230583154954545400e-01
2.169924813261135399e-01,6.227467515950009247e-01
2.174138674323392029e-01,6.224349647510436512e-01
2.178350330443961091e-01,6.221229473266457477e-01
2.182559894415643242e-01,6.218106914506372762e-01
2.186767478787832453e-01,6.214981890090990335e-01
2.190973195955332742e-01,6.211854316362286355e-01
2.195177158251349347e-01,6.208724107045612284e-01
2.199379478045073721e-01,6.205591173144957562e-01
2.203580267840804519e-01,6.202455422833413889e-01
2.207779640383913666e-01,6.199316761334653370e-01
2.211977708768093354e-01,6.196175090799422858e-01
2.216174586547042247e-01,6.193030310174508779e-01
2.220370387848252247e-01,6.189882315065738938e-01
2.224565227490954977e-01,6.186730997593293813e-01
2.228759221107111943e-01,6.183576246239922414e-01
2.232952485264089737e-01,6.180417945692953108e-01
2.237145137590173805e-01,6.177255976678971416e-01
2.241337296903736787e-01,6.174090215790355440e-01
2.245529083342999166e-01,6.170920535305747245e-01
2.249720618498900759e-01,6.167746803002344125e-01
2.253912025549625886e-01,6.164568881960860169e-01
2.258103429394975048e-01,6.161386630364319439e-01
2.262294956795843637e-01,6.158199901286380840e-01
2.266486736510150424e-01,6.155008542475578492e-01
2.270678899432475584e-01,6.151812396129656690e-01
2.274871578733315414e-01,6.148611298662834956e-01
2.279064909996564303e-01,6.145405080466836978e-01
2.283259031358848556e-01,6.142193565662569243e-01
2.287454083645487635e-01,6.138976571846199715e-01
2.291650210505963292e-01,6.135753909827128538e-01
2.295847558547237099e-01,6.132525383358786719e-01
2.300046277461624267e-01,6.129290788864567574e-01
2.304246520154704936e-01,6.126049915154292425e-01
2.308448442864394212e-01,6.122802543137794151e-01
2.311143025178266919e-01,6.120716689324293691e-01
2.314088511339406073e-01,6.118523296339060114e-01
2.318133226741587449e-01,6.115510666879746537e-01
2.322178829433995118e-01,6.112496670545449762e-01
2.326225373914415084e-01,6.109481240960957793e-01
2.330272917373923391e-01,6.106464308305195043e-01
2.334321519816850432e-01,6.103445799145232886e-01
2.338371244184863085e-01,6.100425636263288043e-01
2.342422156482912576e-01,6.097403738478203161e-01
2.346474325904295000e-01,6.094380020463397996e-01
2.350527824957316103e-01,6.091354392559238384e-01
2.354582729592996637e-01,6.088326760580111685e-01
2.358639119329762057e-01,6.085297025619136324e-01
2.362697077379109778e-01,6.082265083847354648e-01
2.366756690765955129e-01,6.079230826312059799e-01
2.370818050449512437e-01,6.076194138729698047e-01
2.374881251435937701e-01,6.073154901279878004e-01
2.378946392888561245e-01,6.070112988395999221e-01
2.383013578229444263e-01,6.067068268557160859e-01
2.387082915234137181e-01,6.064020604079858323e-01
2.391154516116656692e-01,6.060969850911702705e-01
2.395228497603233142e-01,6.057915858428232214e-01
2.399304980993720582e-01,6.054858469233678209e-01
2.403384092209091549e-01,6.051797518966899325e-01
2.407465961821803058e-01,6.048732836115007228e-01
2.411550725069462886e-01,6.045664241834465269e-01
2.415638521847567333e-01,6.042591549782998506e-01
2.419729496679657865e-01,6.039514565963782777e-01
2.423823798665534490e-01,6.036433088581653061e-01
2.427921581400736550e-01,6.033346907916771196e-01
2.432023002868922978e-01,6.030255806214885883e-01
2.436128225302789385e-01,6.027159557597890904e-01
2.440237415013379874e-01,6.024057927995273287e-01
2.444350742182548053e-01,6.020950675100994465e-01
2.448468380620015261e-01,6.017837548355325916e-01
2.452590507480905957e-01,6.014718288955464010e-01
2.456717302940981118e-01,6.011592629897880569e-01
2.460848949832011301e-01,6.008460296051363336e-01
2.464985633229840323e-01,6.005321004267456519e-01
2.469127539998883514e-01,6.002174463526493975e-01
2.473274858289011280e-01,5.999020375123488291e-01
2.477427776986187713e-01,5.995858432894103363e-01
2.481586485112901030e-01,5.992688323485129143e-01
2.485751171183802621e-01,5.989509726666769618e-01
2.489922022509960253e-01,5.986322315693421992e-01
2.494099224459662145e-01,5.983125757708496195e-01
2.498282959670491410e-01,5.979919714199156688e-01
2.502473407219770185e-01,5.976703841497367220e-01
2.506670741750172127e-01,5.973477791331699427e-01
2.510875132559345912e-01,5.970241211425111327e-01
2.515086742651269081e-01,5.966993746142547073e-01
2.519305727756157576e-01,5.963735037185271537e-01
2.523532235322946127e-01,5.960464724331020481e-01
2.527766403488927449e-01,5.957182446218601823e-01
2.532008360032679817e-01,5.953887841174415607e-01
2.536258221313725802e-01,5.950580548080441901e-01
2.540516091210948124e-01,5.947260207276419131e-01
2.540842489711022667e-01,5.947005386396357896e-01
2.544782060059787576e-01,5.943926461498294511e-01
2.545119937746965766e-01,5.943662105181194422e-01
2.549056203602503290e-01,5.940578956843740599e-01
2.549405742332851998e-01,5.940304861303622452e-01
2.553338581952839803e-01,5.937217343765511801e-01
2.553699949400433655e-01,5.936933312679723018e-01
2.557629238588501330e-01,5.933841278083794579e-01
2.558002587167221287e-01,5.933547123430894521e-01
2.561928199376721782e-01,5.930450422014842404e-01
2.562313665193265422e-01,5.930145964910186196e-01
2.566235471641495347e-01,5.927044445210389867e-01
2.566633173489829001e-01,5.926729516732874847e-01
2.570551043282586212e-01,5.923623025800801578e-01
2.570961081686771732e-01,5.923297467806688532e-01
2.574874881953087002e-01,5.920185851437255176e-01
2.575297338267415470e-01,5.919849517355221247e-01
2.579206934304208998e-01,5.916732620326414782e-01
2.579641869880002769e-01,5.916385375927414314e-01
2.583547125306387415e-01,5.913263042250312962e-01
2.583994580732654756e-01,5.912904766387311328e-01
2.587895357653469675e-01,5.909776839565603623e-01
2.588355352078526850e-01,5.909407424878052595e-01
2.592251511256679630e-01,5.906273748176040783e-01
2.592724041800314461e-01,5.905893101751648055e-01
2.596615442837399979e-01,5.902753518469590066e-01
2.597100484098558981e-01,5.902361562459335076e-01
2.600986985623167103e-01,5.899215916214941569e-01
2.601484489288923840e-01,5.898812588396284973e-01
2.605365949151979277e-01,5.895660723411111359e-01
2.605875843714179907e-01,5.895245977693492900e-01
2.609752119190600905e-01,5.892087739082870756e-01
2.610274309776473012e-01,5.891661545949297141e-01
2.614145257772365061e-01,5.888496780014372822e-01
2.614679626087609288e-01,5.888059126898802509e-01
2.618545103352156178e-01,5.884887681419299632e-01
2.619091507745288649e-01,5.884438573010855045e-01
2.622951371086453820e-01,5.881260297537029835e-01
2.623509646730161071e-01,5.880799756012294877e-01
2.627363753233288302e-01,5.877614502154625553e-01
2.627933712431776980e-01,5.877142567328071943e-01
2.631781919680081239e-01,5.873950189043098957e-01
2.632363352290631453e-01,5.873466918442465934e-01
2.636205518586615115e-01,5.870267272313376417e-01
2.636798192564621668e-01,5.869772741169141383e-01
2.640634177151366946e-01,5.866565686679531266e-01
2.641237839210586191e-01,5.866059987831800937e-01
2.645067502491882383e-01,5.862845387631189231e-01
2.645681878877444437e-01,5.862328631352335950e-01
2.649505082635693065e-01,5.859106351512016753e-01
2.650129880005186456e-01,5.858578665244984496e-01
2.653946487616037908e-01,5.855348575502864472e-01
2.654581394025031793e-01,5.854810103514103137e-01
2.658391270667673778e-01,5.851572077507227743e-01
2.659035956649512533e-01,5.851022980458526757e-01
2.662838969511618359e-01,5.847776895942098374e-01
2.663493089248197832e-01,5.847217350379807499e-01
2.667289107724474251e-01,5.843963089431584157e-01
2.667952300297107837e-01,5.843393287198122010e-01
2.671741196180493771e-01,5.840130736407170842e-01
2.672413086893578038e-01,5.839550883976710738e-01
2.676194734558134392e-01,5.836279934615621334e-01
2.676874936326060217e-01,5.835690252357934593e-01
2.680649212900658718e-01,5.832410800537696227e-01
2.681337327687479677e-01,5.831811521915077901e-01
2.685104113219448640e-01,5.828523468721964473e-01
2.685799733523170918e-01,5.827914839422375648e-01
2.689558911131104679e-01,5.824618091036275480e-01
2.690261621500072420e-01,5.824000368049900844e-01
2.694013077515102772e-01,5.820694835843690518e-01
