x,y
3.641798653339482494e-01,1.669271820500876635e-01
3.641313341185677399e-01,1.668694999575516535e-01
3.638090736157110761e-01,1.664872069452078829e-01
3.637606442390760586e-01,1.664298651275544216e-01
3.634376669625849487e-01,1.660481774806966959e-01
3.633893401370440479e-01,1.659911739447088586e-01
3.630656503154404691e-01,1.656100903814636260e-01
3.630174274022546221e-01,1.655534239217191506e-01
3.626930292489889407e-01,1.651729431431924189e-01
3.626449122589615603e-01,1.651166133280353998e-01
3.623198099820846840e-01,1.647367340101936195e-01
3.622718015749120668e-01,1.646807411665839327e-01
3.620680113809651157e-01,1.644435009409688231e-01
3.620562328271419439e-01,1.635341653958786445e-01
3.620389221477560149e-01,1.619493557955473118e-01
3.620251521316900645e-01,1.603711650379874565e-01
3.620151519442234567e-01,1.587994599104516624e-01
3.620091416935410922e-01,1.572340480481307923e-01
3.620073307990046008e-01,1.556746709290770525e-01
3.620099163151776489e-01,1.541209967366196365e-01
3.620170812169621333e-01,1.525726132407227431e-01
3.620289926487228471e-01,1.510290208827147762e-01
3.620458001316532171e-01,1.494896262760548600e-01
3.620622518741183904e-01,1.483323236665127498e-01
3.622920783255833554e-01,1.477207500194202272e-01
3.623568251267126894e-01,1.475472384848380003e-01
3.629368548721252363e-01,1.459817929086795474e-01
3.630100577645712367e-01,1.457826049720755968e-01
3.635817739997229125e-01,1.442141046422467376e-01
3.636626172896668119e-01,1.439902437791167888e-01
3.642249902534277495e-01,1.424183698522731856e-01
3.643127711444326677e-01,1.421704490737782933e-01
3.648647966606737847e-01,1.405949120429025312e-01
3.649589181773865709e-01,1.403231529156701296e-01
3.652464871375074584e-01,1.394830952298874438e-01
3.653037372773941249e-01,1.398827523236778059e-01
3.653618390042680519e-01,1.403099847401617917e-01
3.654172964408430313e-01,1.407404544700815718e-01
3.654700954286423942e-01,1.411741222271627461e-01
3.655202228214817772e-01,1.416109491864904757e-01
3.655676664614700422e-01,1.420508969903165608e-01
3.656124099813439221e-01,1.424938765266197394e-01
3.656544442941305761e-01,1.429398676874068241e-01
3.656937583445513118e-01,1.433888044021895125e-01
3.657303410966285528e-01,1.438406306473659912e-01
3.657641884967918200e-01,1.442953443097529098e-01
3.657952902773419779e-01,1.447528646495311877e-01
3.658236405314400086e-01,1.452131554589976559e-01
3.658492316643177089e-01,1.456761360083144718e-01
3.658720605333128928e-01,1.461418057227535927e-01
3.658921239471484288e-01,1.466101175338262452e-01
3.659094169012847564e-01,1.470810086225833035e-01
3.659239384950528362e-01,1.475544617461695129e-01
3.659356855484162674e-01,1.480303977673364801e-01
3.659446573047688833e-01,1.485087868951946166e-01
3.659508536204266749e-01,1.489895997660262428e-01
3.659542749508900572e-01,1.494728074412677854e-01
3.659549223127701589e-01,1.499583629092451909e-01
3.659527972438335053e-01,1.504462002924455977e-01
3.659479015660772605e-01,1.509362973598488422e-01
3.659402380684096956e-01,1.514286371761305039e-01
3.659298104362848636e-01,1.519231604591112783e-01
3.659166225518393767e-01,1.524198231980646856e-01
3.659006784882599672e-01,1.529186002562262225e-01
3.658819827874191799e-01,1.534194668741035439e-01
3.658605410626015741e-01,1.539223842946775833e-01
3.658363604058305074e-01,1.544272897597562810e-01
3.658094454367743498e-01,1.549341753019606305e-01
3.657798023794996967e-01,1.554430262149037734e-01
3.657474408264935750e-01,1.559537667138968797e-01
3.657123673030297506e-01,1.564663756858618859e-01
3.656745887962855046e-01,1.569808389398868465e-01
3.656341150439256227e-01,1.574971058792363487e-01
3.655909531136601331e-01,1.580151633646792730e-01
3.655451114861955619e-01,1.585349917575560041e-01
3.654966033624003074e-01,1.590565185956894501e-01
3.654454361292170939e-01,1.595797338121576203e-01
3.653916177844621638e-01,1.601046340050841787e-01
3.653351615821907039e-01,1.606311616930450048e-01
3.652760784265631222e-01,1.611592849858062837e-01
3.652143780960150354e-01,1.616889860775870269e-01
3.651500706533879481e-01,1.622202474346420842e-01
3.650831664403584309e-01,1.627530517913249875e-01
3.650136839421918022e-01,1.632873216297433816e-01
3.649416285134393090e-01,1.638230729355062698e-01
3.648670125583596824e-01,1.643602883495914602e-01
3.647898536134935310e-01,1.648988985961005183e-01
3.647101584416057585e-01,1.654389216884138147e-01
3.646279416226673176e-01,1.659803216878424359e-01
3.645432166491013315e-01,1.665230706779340375e-01
3.644559983838339123e-01,1.670671348292016856e-01
3.644300208168657074e-01,1.672250753237538579e-01
3.641798653339482494e-01,1.669271820500876635e-01
