x,y
-1.003590787620269043e-01,7.301954446651600650e-01
-9.999414948815768533e-02,7.305372401023674245e-01
-9.962704766917271360e-02,7.308767009590538821e-01
-9.925775576964140923e-02,7.312137778553455814e-01
-9.888625729602987247e-02,7.315484211685048255e-01
-9.851253682346181040e-02,7.318805810588770999e-01
-9.813658002109246214e-02,7.322102074963003915e-01
-9.775837367607116690e-02,7.325372502869519353e-01
-9.737790571607297940e-02,7.328616591006126280e-01
-9.699516523038413662e-02,7.331833834983289000e-01
-9.661014248953067596e-02,7.335023729604494003e-01
-9.622282896344322434e-02,7.338185769150246118e-01
-9.583321733815543253e-02,7.341319447665433096e-01
-9.544130153103606851e-02,7.344424259249993092e-01
-9.504707670455898871e-02,7.347499698352673025e-01
-9.465053927861730165e-02,7.350545260067774533e-01
-9.425168694139141046e-02,7.353560440434788736e-01
-9.385051865878187016e-02,7.356544736740764368e-01
-9.344703468242088196e-02,7.359497647825389288e-01
-9.304123655627716261e-02,7.362418674388637729e-01
-9.263312712187038445e-02,7.365307319300976596e-01
-9.222271052211258868e-02,7.368163087916043130e-01
-9.180999220379391923e-02,7.370985488385759510e-01
-9.139497891873057944e-02,7.373774031977855525e-01
-9.097767872359374675e-02,7.376528233395767131e-01
-9.055810097843612627e-02,7.379247611100885340e-01
-9.013625634393404584e-02,7.381931687637138806e-01
-8.971215677736148197e-02,7.384579989957901214e-01
-8.928581552731079674e-02,7.387192049755193501e-01
-8.885724712717504858e-02,7.389767403791178690e-01
-8.842646738740506107e-02,7.392305594231904919e-01
-8.799349338655142183e-02,7.394806168983274475e-01
-8.755834346110277777e-02,7.397268682029204401e-01
-8.712103719412800373e-02,7.399692693771910967e-01
-8.668159540272832309e-02,7.402077771374248050e-01
-8.624004012430540322e-02,7.404423489104032807e-01
-8.579639460164763254e-02,7.406729428680225435e-01
-8.535068326683632745e-02,7.408995179620843086e-01
-8.490293172397236909e-02,7.411220339592449191e-01
-8.445316673072125746e-02,7.413404514761058328e-01
-8.400141617867419586e-02,7.415547320144185717e-01
-8.354770907252127843e-02,7.417648379963855954e-01
-8.309207550803195119e-02,7.419707328000254565e-01
-8.263454664883755629e-02,7.421723807945719287e-01
-8.217515470200999206e-02,7.423697473758695820e-01
-8.171393289243011893e-02,7.425627990017298341e-01
-8.125091543594070709e-02,7.427515032271992945e-01
-8.078613751127798615e-02,7.429358287396969907e-01
-8.031963523077736977e-02,7.431157453939651880e-01
-7.985144560984996920e-02,7.432912242467795139e-01
-7.938160653522807753e-02,7.434622375913565451e-01
-7.891015673197913916e-02,7.436287589913950224e-01
-7.843713572929122968e-02,7.437907633146793041e-01
-7.796258382503433448e-02,7.439482267661774451e-01
-7.748654204910582211e-02,7.441011269205495271e-01
-7.700905212557131174e-02,7.442494427539900759e-01
-7.653015643361626985e-02,7.443931546753207451e-01
-7.604989796732784801e-02,7.445322445562426728e-01
-7.556832029433045717e-02,7.446666957606589143e-01
-7.508546751330427704e-02,7.447964931729768034e-01
-7.460138421042046553e-02,7.449216232252894310e-01
-7.411611541473157871e-02,7.450420739233434286e-01
-7.362970655256334540e-02,7.451578348711940247e-01
-7.314220340095753392e-02,7.452688972944442325e-01
-7.265365204022258827e-02,7.453752540619730249e-01
-7.216409880565567703e-02,7.454768997060504665e-01
-7.167359023850398969e-02,7.455738304407409922e-01
-7.118217303624156667e-02,7.456660441784986881e-01
-7.068989400224208464e-02,7.457535405448580956e-01
-7.019679999493579070e-02,7.458363208911266140e-01
-6.970293787654351092e-02,7.459143883049930146e-01
-6.920835446148700110e-02,7.459877476189618051e-01
-6.871309646458037546e-02,7.460564054165348402e-01
-6.821721044911249754e-02,7.461203700360641289e-01
-6.772074277493458916e-02,7.461796515722064482e-01
-6.722373954667261453e-02,7.462342618749140399e-01
-6.672624656218691108e-02,7.462842145459060994e-01
-6.622830926140579888e-02,7.463295249325733183e-01
-6.572997267566163537e-02,7.463702101192729588e-01
-6.523128137766112666e-02,7.464062889159802650e-01
-6.473227943222245595e-02,7.464377818442784474e-01
-6.423301034791223385e-02,7.464647111206659247e-01
-6.373351702971669086e-02,7.464871006371829321e-01
-6.323384173287879828e-02,7.465049759393584949e-01
-6.273402601803361456e-02,7.465183642014960874e-01
-6.223411070777010168e-02,7.465272941993228439e-01
-6.173413584474557458e-02,7.465317962800387397e-01
-6.123414065147453345e-02,7.465319023298131462e-01
-6.073416349190953467e-02,7.465276457387836073e-01
-6.023424183492531725e-02,7.465190613636281114e-01
-5.973441221981229399e-02,7.465061854877830250e-01
-5.923471022387767626e-02,7.464890557793956161e-01
-5.873517043224572853e-02,7.464677112471078679e-01
-5.823582640993960058e-02,7.464421921937742788e-01
-5.773671067631917786e-02,7.464125401682276673e-01
-5.723785468193970383e-02,7.463787979152136653e-01
-5.673928878788596364e-02,7.463410093236217957e-01
-5.624104224762750681e-02,7.462992193731473600e-01
-5.574314319142888163e-02,7.462534740795252475e-01
-5.524561861333923685e-02,7.462038204384805473e-01
-5.474849436077407205e-02,7.461503063685444026e-01
-5.425179512669145443e-02,7.460929806528923125e-01
-5.375554444435430568e-02,7.460318928803575389e-01
-5.325976468465870584e-02,7.459670933857771580e-01
-5.276447705599923016e-02,7.458986331898331823e-01
-5.226970160662985920e-02,7.458265639385477375e-01
-5.177545722947105022e-02,7.457509378425865032e-01
-5.128176166930246277e-02,7.456718076165338438e-01
-5.078863153227220623e-02,7.455892264182932827e-01
-5.029608229764503946e-02,7.455032477887634235e-01
-4.980412833170354270e-02,7.454139255919429718e-01
-4.931278290370878087e-02,7.453213139556069677e-01
-4.882205820382058692e-02,7.452254672126924495e-01
-4.833196536287122369e-02,7.451264398435356595e-01
-4.784251447388085388e-02,7.450242864190783632e-01
-4.735371461519877201e-02,7.449190615451770636e-01
-4.686557387515074419e-02,7.448108198081229148e-01
-4.637809937806895016e-02,7.446996157214803569e-01
-4.589129731158005793e-02,7.445855036743529443e-01
-4.540517295502421308e-02,7.444685378811565224e-01
-4.491973070887794739e-02,7.443487723329981209e-01
-4.443497412505316435e-02,7.442262607507245109e-01
-4.395090593794625383e-02,7.441010565397185861e-01
-4.346752809611126311e-02,7.439732127464964151e-01
-4.298484179443476383e-02,7.438427820171626959e-01
-4.250284750669095640e-02,7.437098165577604725e-01
-4.202154501836066064e-02,7.435743680965589686e-01
-4.154093345959987416e-02,7.434364878482996319e-01
-4.106101133824888172e-02,7.432962264804239272e-01
-4.058177657277705491e-02,7.431536340812934238e-01
-4.010322652506373431e-02,7.430087601304072864e-01
-3.962535803292034642e-02,7.428616534706138363e-01
-3.914816744226544409e-02,7.427123622823078586e-01
-3.867165063886905674e-02,7.425609340595993313e-01
-3.819580307958944654e-02,7.424074155884291537e-01
-3.772061982303109851e-02,7.422518529266082243e-01
-3.724609555955891993e-02,7.420942913857450085e-01
-3.677222464060966867e-02,7.419347755150264012e-01
-3.629900110724812445e-02,7.417733490868092527e-01
-3.582641871792092980e-02,7.416100550839753724e-01
-3.535447097536761896e-02,7.414449356890062681e-01
-3.488315115265366168e-02,7.412780322747181128e-01
-3.441245231829630907e-02,7.411093853966072009e-01
-3.394236736045933706e-02,7.409390347867444993e-01
-3.347288901019807722e-02,7.407670193491616706e-01
-3.300400986374116968e-02,7.405933771566668433e-01
-3.253572240380005198e-02,7.404181454490251779e-01
-3.206801901990193743e-02,7.402413606324435014e-01
-3.160089202774606781e-02,7.400630582802911750e-01
-3.113433368758714709e-02,7.398832731349943570e-01
-3.066833622165301976e-02,7.397020391110383786e-01
-3.020289183060782812e-02,7.395193892990119533e-01
-2.973799270907419995e-02,7.393353559706288269e-01
-2.927363106023102984e-02,7.391499705846656942e-01
-2.880979910950615119e-02,7.389632637937494364e-01
-2.834648911738503474e-02,7.387752654519347262e-01
-2.788369339135866876e-02,7.385860046230090514e-01
-2.742140429703588539e-02,7.383955095894687570e-01
-2.695961426844595971e-02,7.382038078621050436e-01
-2.649831581755949378e-02,7.380109261901462991e-01
-2.603750154305567444e-02,7.378168905719021398e-01
-2.557716413836547825e-02,7.376217262658555374e-01
-2.511729639902023081e-02,7.374254578021541828e-01
-2.465789122933594035e-02,7.372281089944525689e-01
-2.419894164846368018e-02,7.370297029520561649e-01
-2.374044079583600281e-02,7.368302620923286028e-01
-2.328238193604011130e-02,7.366298081533132480e-01
-2.282475846314731271e-02,7.364283622065346258e-01
-2.236756390452849380e-02,7.362259446699410681e-01
-2.191079192418463051e-02,7.360225753209486133e-01
-2.145443632562074598e-02,7.358182733095610661e-01
-2.099849105429130169e-02,7.356130571715243649e-01
-2.054295019964389596e-02,7.354069448414972676e-01
-2.008780799678758916e-02,7.351999536662010559e-01
-1.963305882781124154e-02,7.349921004175302697e-01
-1.917869722277642033e-02,7.347834013055966063e-01
-1.872471786040833322e-02,7.345738719916886650e-01
-1.827111556850732205e-02,7.343635276011231117e-01
-1.781788532410281956e-02,7.341523827359747179e-01
-1.736502225336991612e-02,7.339404514876640695e-01
-1.691252163132855521e-02,7.337277474493939522e-01
-1.646037888134367286e-02,7.335142837284165385e-01
-1.600858957444403069e-02,7.333000729581230503e-01
-1.555714942847621213e-02,7.330851273099455723e-01
-1.510605430710960234e-02,7.328694585050617993e-01
-1.465530021870673633e-02,7.326530778258967258e-01
-1.420488331507292409e-02,7.324359961274136133e-01
-1.375479989009789974e-02,7.322182238481911298e-01
-1.330504637830128359e-02,7.319997710212831077e-01
-1.285561935329286587e-02,7.317806472848567001e-01
-1.240651552615805453e-02,7.315608618926096041e-01
-1.195773174377745898e-02,7.313404237239629069e-01
-1.150926498708943618e-02,7.311193412940346636e-01
-1.106111236930320749e-02,7.308976227633895428e-01
-1.061327113406950601e-02,7.306752759475694248e-01
-1.016573865361525275e-02,7.304523083264097272e-01
-9.718512426847573243e-03,7.302287270531397922e-01
-9.271590077432528831e-03,7.300045389632748849e-01
-8.824969351852309657e-03,7.297797505833039100e-01
-8.378648117445364890e-03,7.295543681391762902e-01
-7.932624360431919652e-03,7.293283975645955541e-01
-7.486896183927917864e-03,7.291018445091238531e-01
-7.041461805949528197e-03,7.288747143461054012e-01
-6.596319557409413559e-03,7.286470121804148325e-01
-6.151467880106460673e-03,7.284187428560371380e-01
-5.706905324709226485e-03,7.281899109634881739e-01
-5.262630548733613148e-03,7.279605208470816269e-01
-4.818642314514575559e-03,7.277305766120528707e-01
-4.374939487171507560e-03,7.275000821315454891e-01
-3.931521032566271182e-03,7.272690410534690120e-01
-3.488386015252798594e-03,7.270374568072395238e-01
-3.045533596417071553e-03,7.268053326104076950e-01
-2.602963031805287375e-03,7.265726714751867821e-01
-2.160673669638358760e-03,7.263394762148843720e-01
-1.718664948510863558e-03,7.261057494502536347e-01
-1.276936395271481561e-03,7.258714936157683040e-01
-8.354876228824793111e-04,7.256367109658293790e-01
-3.943183282555332708e-04,7.254014035809166483e-01
4.657170993934561798e-05,7.251655733736904752e-01
4.871826334946639109e-04,7.249292220950533938e-01
9.275145069194776909e-04,7.246923513401806183e-01
1.367567319729760117e-03,7.244549625545264604e-01
1.807340988778544447e-03,7.242170570398163143e-01
2.246835360629298103e-03,7.239786359600308696e-01
2.686050213975760444e-03,7.237397003473905466e-01
3.124985262111896686e-03,7.235002511083477028e-01
3.563640155454995094e-03,7.232602890295936060e-01
4.002014484125569413e-03,7.230198147840847245e-01
4.440107780586901969e-03,7.227788289370986607e-01
4.877919522347509522e-03,7.225373319523202831e-01
5.315449134729478310e-03,7.222953241979671590e-01
5.752695993705087343e-03,7.220528059529573994e-01
6.189659428804608274e-03,7.218097774131223554e-01
6.626338726097304524e-03,7.215662386974716069e-01
7.062733131247683586e-03,7.213221898545081334e-01
7.498841852648704259e-03,7.210776308685988845e-01
7.934664064633211236e-03,7.208325616664014168e-01
8.370198910764620540e-03,7.205869821233467087e-01
8.805445507207375344e-03,7.203408920701771523e-01
9.240402946177292756e-03,7.200942912995408340e-01
9.675070299471542207e-03,7.198471795726369971e-01
1.010944662207729355e-02,7.195995566259136833e-01
1.054353095585773906e-02,7.193514221778090079e-01
1.097732233331360184e-02,7.191027759355356208e-01
1.141081978141769704e-02,7.188536176019013624e-01
1.184402232551931555e-02,7.186039468821571186e-01
1.227692899331491935e-02,7.183537634908684355e-01
1.270953881888074559e-02,7.181030671587984582e-01
1.314185084676233045e-02,7.178518576397963091e-01
1.357386413611547452e-02,7.176001347176772516e-01
1.400557776489223111e-02,7.173478982130853110e-01
1.443699083406498052e-02,7.170951479903252546e-01
1.486810247188125045e-02,7.168418839641518270e-01
1.529891183814051717e-02,7.165881061065015878e-01
1.572941812848477339e-02,7.163338144531522511e-01
1.615962057869273216e-02,7.160790091102962052e-01
1.658951846896798699e-02,7.158236902610094488e-01
1.701911112821016120e-02,7.155678581716026221e-01
1.744839793825812488e-02,7.153115131978334817e-01
1.787737833809328880e-02,7.150546557909674972e-01
1.830605182799103364e-02,7.147972865036652523e-01
1.873441797360757277e-02,7.145394059956806654e-01
1.916247640998947760e-02,7.142810150393524848e-01
1.959022684549268159e-02,7.140221145248690782e-01
2.001766906559751882e-02,7.137627054652906367e-01
2.044480293660630443e-02,7.135027890013099228e-01
2.087162840921007526e-02,7.132423664057354618e-01
2.129814552191059210e-02,7.129814390876777486e-01
2.172435440428461748e-02,7.127200085964274789e-01
2.215025528007685124e-02,7.124580766250038222e-01
2.257584847010864551e-02,7.121956450133634098e-01
2.300113439499022749e-02,7.119327157512537196e-01
2.342611357762389157e-02,7.116692909806990874e-01
2.385078664548680172e-02,7.114053729981074659e-01
2.427515433268250672e-02,7.111409642559887168e-01
2.469921748175102350e-02,7.108760673642748884e-01
