s,round6_deficit,round7_deficit,round8_seed_deficit,round6_signed_clearance,round7_signed_clearance,round8_seed_signed_clearance
0.000000000000000000e+00,2.517332092511646857e-02,2.495824166923777537e-02,2.389013274210878557e-03,1.482667907488353053e-02,1.504175833076222372e-02,3.761098672578912228e-02
1.000000000000000021e-03,2.538205185628932686e-02,2.471802166123467093e-02,1.628433057227172964e-03,1.461794814371067570e-02,1.528197833876532817e-02,3.837156694277282787e-02
2.000000000000000042e-03,2.558220626688609278e-02,2.453509979952633521e-02,8.746774563841777650e-04,1.441779373311390632e-02,1.546490020047366562e-02,3.912532254361582307e-02
3.000000000000000062e-03,2.577351472455562814e-02,2.441126190072075500e-02,1.281262966904006539e-04,1.422648527544437096e-02,1.558873809927924584e-02,3.987187370330960018e-02
4.000000000000000083e-03,2.595580284086539125e-02,2.434793326384878873e-02,0.000000000000000000e+00,1.404419715913460959e-02,1.565206673615121211e-02,4.061083844038136659e-02
5.000000000000000104e-03,2.612873271228773053e-02,2.434602245510735646e-02,0.000000000000000000e+00,1.387126728771227203e-02,1.565397754489264437e-02,4.134183667821997310e-02
6.000000000000000125e-03,2.629206751210718881e-02,2.440590307754665622e-02,0.000000000000000000e+00,1.370793248789281202e-02,1.559409692245334635e-02,4.206449137339721839e-02
7.000000000000000146e-03,2.644561855985656101e-02,2.452740069964642888e-02,0.000000000000000000e+00,1.355438144014343982e-02,1.547259930035357021e-02,4.277843267474903260e-02
8.000000000000000167e-03,2.658922640220134220e-02,2.470978528795697571e-02,0.000000000000000000e+00,1.341077359779866036e-02,1.529021471204302512e-02,4.348330302025905925e-02
9.000000000000001055e-03,2.672280994656411890e-02,2.493193615646010358e-02,0.000000000000000000e+00,1.327719005343588193e-02,1.506806384353989552e-02,4.417876004893687286e-02
1.000000000000000021e-02,2.684631861404173508e-02,2.515842110347510721e-02,0.000000000000000000e+00,1.315368138595826401e-02,1.484157889652489362e-02,4.486448030644459711e-02
1.099999999999999936e-02,2.695958761841478132e-02,2.538649671401216334e-02,0.000000000000000000e+00,1.304041238158521951e-02,1.461350328598783749e-02,4.554016282843507263e-02
1.200000000000000025e-02,2.706258058857222148e-02,2.561485856124332688e-02,0.000000000000000000e+00,1.293741941142777935e-02,1.438514143875667221e-02,4.620553250621613206e-02
1.300000000000000114e-02,2.715529167143228631e-02,2.584212503408558903e-02,0.000000000000000000e+00,1.284470832856771452e-02,1.415787496591441180e-02,4.686034314164992665e-02
1.400000000000000029e-02,2.723774476003572309e-02,2.606685040564682074e-02,0.000000000000000000e+00,1.276225523996427774e-02,1.393314959435318010e-02,4.750438010491048191e-02
1.499999999999999944e-02,2.731003616082212926e-02,2.628720784326057242e-02,0.000000000000000000e+00,1.268996383917787331e-02,1.371279215673942668e-02,4.813746251968271939e-02
1.600000000000000033e-02,2.737229626156515577e-02,2.650127488663626962e-02,0.000000000000000000e+00,1.262770373843484679e-02,1.349872511336373294e-02,4.875944491513675011e-02
1.700000000000000122e-02,2.742453579748916140e-02,2.670758598596149891e-02,0.000000000000000000e+00,1.257546420251083943e-02,1.329241401403850192e-02,4.937021830174732201e-02
1.800000000000000211e-02,2.746688438411580210e-02,2.690380151499003475e-02,0.000000000000000000e+00,1.253311561588419873e-02,1.309619848500996435e-02,4.996971064779372890e-02
1.899999999999999953e-02,2.749949357705952155e-02,2.708788592776131127e-02,0.000000000000000000e+00,1.250050642294047928e-02,1.291211407223868783e-02,5.055788675399406490e-02
2.000000000000000042e-02,2.752253477573253851e-02,2.725796010924331353e-02,0.000000000000000000e+00,1.247746522426746232e-02,1.274203989075668904e-02,5.113474754404775946e-02
2.100000000000000130e-02,2.753622363391572750e-02,2.741191297154613182e-02,0.000000000000000000e+00,1.246377636608427333e-02,1.258808702845386901e-02,5.170032880771643219e-02
2.199999999999999872e-02,2.754083232337581344e-02,2.754779199212967905e-02,0.000000000000000000e+00,1.245916767662418566e-02,1.245220800787032178e-02,5.225469944952707696e-02
