x,y
2.296877858598796868e-02,2.193112932823415399e-03
2.346842330370146196e-02,2.174268712042004385e-03
2.396809700542362059e-02,2.156209354273397154e-03
2.446779845825940852e-02,2.138934904076949910e-03
2.496752642924517790e-02,2.122445404075845414e-03
2.546727968535183323e-02,2.106740894956426850e-03
2.596705699348771795e-02,2.091821415467698224e-03
2.646685712050219491e-02,2.077687002422157030e-03
2.696667883318806108e-02,2.064337690695128118e-03
2.746652089828493376e-02,2.051773513224430627e-03
2.796638208248216489e-02,2.039994501011321675e-03
2.846626115242208849e-02,2.029000683119108576e-03
2.896615687470265738e-02,2.018792086673870494e-03
2.946606801588091268e-02,2.009368736864458431e-03
2.996599334247592589e-02,2.000730656942051149e-03
3.046593162097143564e-02,1.992877868220099651e-03
3.096588161781967802e-02,1.985810390074715763e-03
3.146584209944352367e-02,1.979528239944172534e-03
3.196581183224022488e-02,1.974031433328959743e-03
3.246578958258424658e-02,1.969319983792116972e-03
3.296577411683018072e-02,1.965393902958456444e-03
3.346576420131585489e-02,1.962253200515340183e-03
3.396575860236538541e-02,1.959897884212069390e-03
3.446575608629236925e-02,1.958327959859939953e-03
3.496575541940277060e-02,1.957543431333130628e-03
3.546575536799783518e-02,1.957544300566926680e-03
3.596575469837742095e-02,1.958330567559385220e-03
3.646575217684285691e-02,1.959902230370280489e-03
3.696574656970019052e-02,1.962259285121825507e-03
3.746573664326274117e-02,1.965401725998283493e-03
3.796572116385493051e-02,1.969329545245912354e-03
3.846569889781450285e-02,1.974042733173186730e-03
3.896566861149618893e-02,1.979541278150797994e-03
3.946562907127442593e-02,1.985825166611709762e-03
3.996557904354643836e-02,1.992894383050935851e-03
4.046551729473523568e-02,2.000748910026039877e-03
4.096544259129322046e-02,2.009388728156635655e-03
4.146535369970404811e-02,2.018813816124720266e-03
4.196524938648698438e-02,2.029024150675118147e-03
4.246512841819904266e-02,2.040019706614537402e-03
4.296498956143845332e-02,2.051800456812846556e-03
4.346483158284755038e-02,2.064366372202019843e-03
4.396465324911563027e-02,2.077717421776914368e-03
4.446445332698264336e-02,2.091853572595103565e-03
4.496423058324149763e-02,2.106774789777265781e-03
4.546398378474147267e-02,2.122481036506518141e-03
4.596371169839124499e-02,2.138972274029304725e-03
4.646341309116188562e-02,2.156248461655285546e-03
4.696308673008985773e-02,2.174309556757170019e-03
4.746273138228020855e-02,2.193155514770994512e-03
4.796234581490926158e-02,2.212786289195900306e-03
4.846192879522819713e-02,2.233201831595354840e-03
4.896147909056568909e-02,2.254402091595652906e-03
4.946099546833090249e-02,2.276387016887693009e-03
4.996047669601699076e-02,2.299156553225589587e-03
5.045992154120353818e-02,2.322710644427616704e-03
5.095932877156016810e-02,2.347049232376763155e-03
5.145869715484912427e-02,2.372172257019788781e-03
5.195802545892857366e-02,2.398079656368112648e-03
5.245731245175546537e-02,2.424771366497813045e-03
5.295655690138888899e-02,2.452247321549905039e-03
5.345575757599282246e-02,2.480507453729896387e-03
5.395491324383907411e-02,2.509551693308897762e-03
5.445402267331077989e-02,2.539379968623234167e-03
5.495308463290509565e-02,2.569992206074333922e-03
5.545209789123605598e-02,2.601388330129894393e-03
5.595106121703807139e-02,2.633568263322716256e-03
5.644997337916900920e-02,2.666531926252479860e-03
5.694883314661241397e-02,2.700279237584079887e-03
5.744763928848144879e-02,2.734810114049790290e-03
5.794639057402175414e-02,2.770124470448043046e-03
5.844508577261383481e-02,2.806222219643872244e-03
5.894372365377691797e-02,2.843103272570135336e-03
5.944230298717172872e-02,2.880767538226069839e-03
5.994082254260323789e-02,2.919214923679125211e-03
6.043928109002402044e-02,2.958445334064130176e-03
6.093767739953714208e-02,2.998458672583903355e-03
6.143601024139935113e-02,3.039254840509530813e-03
6.193427838602371532e-02,3.080833737180477087e-03
6.243248060398317451e-02,3.123195260005029276e-03
6.293061566601348966e-02,3.166339304460352548e-03
6.342868234301560215e-02,3.210265764092712186e-03
6.392667940605972765e-02,3.254974530518028701e-03
6.442460562638760435e-02,3.300465493421877831e-03
6.492245977541555302e-02,3.346738540559657075e-03
6.542024062473816848e-02,3.393793557757418360e-03
6.591794694613059558e-02,3.441630428911423949e-03
6.641557751155199862e-02,3.490249035989090136e-03
6.691313109314850349e-02,3.539649259028709687e-03
6.741060646325597316e-02,3.589830976140395528e-03
6.790800239440339392e-02,3.640794063505470128e-03
6.840531765931578967e-02,3.692538395377742248e-03
6.890255103091716404e-02,3.745063844082951836e-03
6.939970128233372004e-02,3.798370280019991267e-03
6.989676718689649682e-02,3.852457571660683304e-03
7.039374751814472808e-02,3.907325585549725581e-03
7.089064104982914505e-02,3.962974186305911854e-03
